#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AMBRA1	BECN1	9606.ENSP00000431926	9606.ENSP00000355231	0	0.483	0.500	0	0.730
AMFR	RPS27A	9606.ENSP00000290649	9606.ENSP00000272317	0	0.944	0	0	0.944
AMFR	UBB	9606.ENSP00000290649	9606.ENSP00000478771	0	0.900	0	0	0.900
AMFR	UBA52	9606.ENSP00000290649	9606.ENSP00000388107	0	0.900	0	0	0.900
AMFR	UBC	9606.ENSP00000290649	9606.ENSP00000441543	0	0.960	0	0	0.960
AMFR	VCP	9606.ENSP00000290649	9606.ENSP00000351777	0	0.710	0.900	0	0.969
ARIH1	RPS27A	9606.ENSP00000369217	9606.ENSP00000272317	0	0.939	0	0	0.939
ARIH1	UBB	9606.ENSP00000369217	9606.ENSP00000478771	0	0.900	0	0	0.900
ARIH1	UBA52	9606.ENSP00000369217	9606.ENSP00000388107	0	0.900	0	0	0.900
ARIH1	UBC	9606.ENSP00000369217	9606.ENSP00000441543	0	0.960	0	0	0.960
ATG9A	ATG9B	9606.ENSP00000386710	9606.ENSP00000491504	0	0	0.900	0	0.900
BCL2L1	KRAS	9606.ENSP00000365230	9606.ENSP00000256078	0	0.165	0.900	0	0.912
BCL2L1	TP53	9606.ENSP00000365230	9606.ENSP00000269305	0	0.955	0	0	0.955
BCL2L1	BECN1	9606.ENSP00000365230	9606.ENSP00000355231	0	0.733	0	0	0.733
BCL2L13	GABARAPL2	9606.ENSP00000480836	9606.ENSP00000037243	0	0.234	0.900	0	0.920
BCL2L13	GABARAP	9606.ENSP00000480836	9606.ENSP00000306866	0	0	0.900	0	0.900
BCL2L13	GABARAPL1	9606.ENSP00000480836	9606.ENSP00000411256	0	0	0.900	0	0.900
BECN1	TRAF2	9606.ENSP00000355231	9606.ENSP00000247668	0	0.734	0	0	0.734
BECN1	RAB5A	9606.ENSP00000355231	9606.ENSP00000273047	0	0.800	0	0	0.800
BECN1	ULK1	9606.ENSP00000355231	9606.ENSP00000324560	0	0.766	0	0	0.766
BECN1	BECN2	9606.ENSP00000355231	9606.ENSP00000488361	0	0	0.900	0	0.900
BNIP3	GABARAPL2	9606.ENSP00000357625	9606.ENSP00000037243	0	0	0.900	0	0.900
BNIP3	GABARAP	9606.ENSP00000357625	9606.ENSP00000306866	0	0	0.900	0	0.900
BNIP3	GABARAPL1	9606.ENSP00000357625	9606.ENSP00000411256	0	0	0.900	0	0.900
BNIP3L	GABARAPL2	9606.ENSP00000370003	9606.ENSP00000037243	0	0.329	0.900	0	0.930
BNIP3L	GABARAP	9606.ENSP00000370003	9606.ENSP00000306866	0	0.292	0.900	0	0.926
BNIP3L	GABARAPL1	9606.ENSP00000370003	9606.ENSP00000411256	0	0.329	0.900	0	0.930
CALCOCO2	MAP1LC3C	9606.ENSP00000398523	9606.ENSP00000349785	0	0.767	0	0	0.767
CCZ1	MON1B	9606.ENSP00000325681	9606.ENSP00000248248	0	0.552	0.900	0	0.953
CCZ1	MON1A	9606.ENSP00000325681	9606.ENSP00000296473	0	0.360	0.900	0	0.933
CCZ1	CCZ1B	9606.ENSP00000325681	9606.ENSP00000314544	0	0.622	0.360	0	0.747
CSNK2A1	CSNK2A3	9606.ENSP00000217244	9606.ENSP00000473553	0	0	0.900	0	0.900
CSNK2A1	CSNK2A2	9606.ENSP00000217244	9606.ENSP00000262506	0	0.614	0.900	0	0.959
CSNK2A1	CSNK2B	9606.ENSP00000217244	9606.ENSP00000365042	0	0.976	0.900	0	0.997
CSNK2A2	CSNK2A3	9606.ENSP00000262506	9606.ENSP00000473553	0	0	0.900	0	0.900
CSNK2A2	CSNK2B	9606.ENSP00000262506	9606.ENSP00000365042	0	0.693	0.900	0	0.967
CSNK2A3	CSNK2B	9606.ENSP00000473553	9606.ENSP00000365042	0	0.325	0.900	0	0.929
DUSP16	MAPK8	9606.ENSP00000298573	9606.ENSP00000378974	0	0.945	0	0	0.945
E2F1	SP1	9606.ENSP00000345571	9606.ENSP00000329357	0	0.457	0.500	0	0.716
EIF2S1	RPS27A	9606.ENSP00000256383	9606.ENSP00000272317	0	0.917	0	0	0.917
FUNDC1	GABARAPL2	9606.ENSP00000367284	9606.ENSP00000037243	0	0.238	0.900	0	0.920
FUNDC1	GABARAP	9606.ENSP00000367284	9606.ENSP00000306866	0	0	0.900	0	0.900
FUNDC1	MAP1LC3A	9606.ENSP00000367284	9606.ENSP00000363970	0	0.173	0.700	0	0.741
FUNDC1	GABARAPL1	9606.ENSP00000367284	9606.ENSP00000411256	0	0.157	0.900	0	0.912
FUNDC1	MAP1LC3B	9606.ENSP00000367284	9606.ENSP00000498476	0	0.943	0.700	0	0.982
GABARAP	GABARAPL2	9606.ENSP00000306866	9606.ENSP00000037243	0	0.166	0.900	0	0.913
