"gene","Atrial Cardiomyocyte","Ventricular Cardiomyocyte","Fibroblast","Endothelial cell","Lymphatic Endothelial cell","Mural cell","Mesothelial cell","Neural cell","Adipocyte","Myeloid","Lymphoid","Mast cell"
"MGAT4D","m = 0.00248 
 p = 0.30276","m = 0.00150 
 p = 0.18090","m = 0.00143 
 p = 0.12749","m = 0.00043 
 p = 0.03346","m = 0.00817 
 p = 0.46332","m = 0.00089 
 p = 0.05258","m = 0.00038 
 p = 0.28382","m = 0.00201 
 p = 0.13591","m = 0.00235 
 p = 0.33086","m = 0.00082 
 p = 0.07389","m = 0.00108 
 p = 0.07223","m = 0.00594 
 p = 0.32380"
"MGAT4A","m = 0.20212 
 p = 24.06831","m = 0.13954 
 p = 16.40344","m = 0.01945 
 p = 1.93256","m = 0.31196 
 p = 21.81818","m = 0.08372 
 p = 6.64093","m = 0.02901 
 p = 1.98675","m = 0.10296 
 p = 10.78524","m = 0.04513 
 p = 3.83570","m = 0.07042 
 p = 10.11501","m = 0.47459 
 p = 33.16027","m = 0.39824 
 p = 23.64577","m = 0.03560 
 p = 1.99676"
"KRTCAP2","m = 0.02762 
 p = 4.04043","m = 0.01863 
 p = 2.61864","m = 0.09545 
 p = 8.20832","m = 0.33398 
 p = 24.06753","m = 0.23648 
 p = 20.61776","m = 0.10547 
 p = 7.83513","m = 0.14049 
 p = 16.27247","m = 0.09805 
 p = 6.99185","m = 0.04298 
 p = 5.82953","m = 0.13577 
 p = 12.09894","m = 0.21026 
 p = 14.54939","m = 0.01263 
 p = 0.75553"
"TUSC3","m = 0.22672 
 p = 26.05694","m = 0.31294 
 p = 31.75083","m = 0.13523 
 p = 10.68415","m = 0.15942 
 p = 11.85810","m = 0.20108 
 p = 15.52124","m = 0.07493 
 p = 4.76227","m = 0.18207 
 p = 20.24598","m = 0.03576 
 p = 3.47327","m = 0.03849 
 p = 5.38837","m = 0.01423 
 p = 1.38451","m = 0.00627 
 p = 0.55373","m = 0.02133 
 p = 1.13330"
"DAD1","m = 0.05257 
 p = 6.98090","m = 0.04215 
 p = 5.60380","m = 0.16386 
 p = 12.81446","m = 0.57989 
 p = 37.44496","m = 0.38670 
 p = 27.18147","m = 0.22948 
 p = 15.13103","m = 0.33050 
 p = 29.13907","m = 0.19660 
 p = 12.38297","m = 0.08033 
 p = 11.35970","m = 0.22273 
 p = 18.71038","m = 0.29875 
 p = 19.58109","m = 0.06063 
 p = 3.13006"
"OST4","m = 0.10729 
 p = 11.55279","m = 0.06152 
 p = 7.16376","m = 0.13231 
 p = 10.21477","m = 0.49345 
 p = 32.41093","m = 0.39494 
 p = 27.02703","m = 0.23895 
 p = 14.92547","m = 0.38362 
 p = 30.08515","m = 0.12001 
 p = 8.32075","m = 0.08837 
 p = 10.93430","m = 0.32955 
 p = 23.09921","m = 0.58919 
 p = 33.49250","m = 0.01767 
 p = 0.91743"
"MAN1A1","m = 0.15492 
 p = 17.15493","m = 0.15701 
 p = 16.34838","m = 0.61799 
 p = 38.68893","m = 0.28105 
 p = 19.53386","m = 1.00000 
 p = 56.44788","m = 0.16076 
 p = 9.64118","m = 0.28631 
 p = 23.27342","m = 0.16414 
 p = 11.61281","m = 0.90395 
 p = 64.42414","m = 0.90231 
 p = 48.29658","m = 0.18551 
 p = 11.19493","m = 0.28624 
 p = 13.97733"
"DPM3","m = 0.04256 
 p = 5.50413","m = 0.03951 
 p = 4.75958","m = 0.06699 
 p = 5.45942","m = 0.18021 
 p = 14.31428","m = 0.12761 
 p = 11.73745","m = 0.09010 
 p = 6.62473","m = 0.08776 
 p = 11.44749","m = 0.06117 
 p = 4.53035","m = 0.06843 
 p = 9.65811","m = 0.07029 
 p = 6.54922","m = 0.09570 
 p = 6.94567","m = 0.01164 
 p = 0.70157"
"TMEM258","m = 0.05828 
 p = 6.85674","m = 0.05757 
 p = 6.81244","m = 0.13621 
 p = 10.14885","m = 0.44914 
 p = 30.12205","m = 0.22244 
 p = 17.99228","m = 0.16235 
 p = 11.16996","m = 0.44061 
 p = 33.77483","m = 0.23904 
 p = 13.89308","m = 0.05777 
 p = 7.65716","m = 0.22350 
 p = 17.20142","m = 0.33383 
 p = 21.29444","m = 0.01050 
 p = 0.53967"
"B4GALT2","m = 0.01203 
 p = 1.71419","m = 0.01024 
 p = 1.35441","m = 0.03142 
 p = 2.95245","m = 0.02672 
 p = 2.48888","m = 0.02853 
 p = 2.77992","m = 0.01865 
 p = 1.38155","m = 0.04218 
 p = 6.52791","m = 0.01505 
 p = 1.37421","m = 0.02676 
 p = 4.00189","m = 0.00787 
 p = 0.82837","m = 0.00401 
 p = 0.34909","m = 0.00535 
 p = 0.26983"
