name,BetweennessCentrality,Radiality,Degree,NeighborhoodConnectivity,Stress,TopologicalCoefficient
DAD1,,1.0,1.0,1.0,,1.0
OSTC,,1.0,1.0,1.0,,1.0
KRTCAP2,,1.0,1.0,1.0,,1.0
RPN2,,1.0,1.0,1.0,,1.0
TUSC3,,1.0,1.0,1.0,,1.0
STT3B,,1.0,1.0,1.0,,1.0
TMEM258,,1.0,1.0,1.0,,1.0
MAGT1,,1.0,1.0,1.0,,1.0
DDOST,,1.0,1.0,1.0,,1.0
RPN1,,1.0,1.0,1.0,,1.0
OST4,,1.0,1.0,1.0,,1.0
STT3A,,1.0,1.0,1.0,,1.0
B4GALT2,,1.0,0.1,0.1,,1.0
B4GALT1,,1.0,0.1,0.1,,1.0
B4GALT3,,1.0,0.1,0.1,,1.0
DPM1,,1.0,0.1,0.1,,1.0
DPM2,,1.0,0.1,0.1,,1.0
DPM3,,1.0,0.1,0.1,,1.0
MAN1A1,,1.0,0.1,0.1,,1.0
MAN1A2,,1.0,0.1,0.1,,1.0
MAN1C1,,1.0,0.1,0.1,,1.0
MGAT4A,,1.0,0.1,0.1,,1.0
MGAT4D,,1.0,0.1,0.1,,1.0
MGAT4B,,1.0,0.1,0.1,,1.0
