,tau,expected_Atrial Cardiomyocyte,expected_Ventricular Cardiomyocyte,expected_Fibroblast,expected_Endothelial cell,expected_Lymphatic Endothelial cell,expected_Mural cell,expected_Mesothelial cell,expected_Neural cell,expected_Adipocyte,expected_Myeloid,expected_Lymphoid,expected_Mast cell
DDOST,0.32162702,0.010626826941082893,0.013220542675547078,0.011487749454350046,0.020813149377187527,0.013424489534959831,0.006697082357074928,0.03123117921311785,0.007051294983981491,0.007986074020933199,0.013085930949295851,0.017526011355266116,0.0028816675510975197
MAN1C1,0.49296758,0.023928971680106832,0.06683761750474734,0.0164947942672664,0.0007716195158920181,0.021800496944129236,0.01722897023480299,0.05547059884923973,0.0025610363218349407,0.010955225215552453,0.03207872243586441,0.002734911505420808,0.004082819383593423
B4GALT2,0.59776056,0.00025492345949176094,0.0001715009910752887,0.001147076993655029,0.0008225304951305549,0.0009808727558054979,0.0003186516528508292,0.0034049765445651487,0.00025578071589701777,0.0013241116840839008,8.064854149918005e-05,1.7310288694300266e-05,1.7843586410291767e-05
MAN1A2,0.49552822,0.3727610453692916,0.16925261828703234,0.090716363283955,0.029893124171986897,0.09983254763150307,0.025311976583031148,0.07287087932214945,0.05555183111235152,0.377410783229784,0.07706883870395827,0.05974161824013121,0.04561820264384995
DPM3,0.61571026,0.0028970614022107277,0.0023255552243687276,0.004523067589792432,0.03190018243605834,0.01852335736558244,0.007381707746592348,0.012423415614561641,0.003427099205870817,0.00817350104829167,0.005692916067952208,0.008219623448961419,0.00010102536907259734
KRTCAP2,0.69408673,0.0013802680605516356,0.000603231569157,0.00968849592434061,0.09940187019620311,0.0602948735119293,0.010219734270118611,0.0282720886770012,0.0084782425619097,0.0030982816465373905,0.020314809200491373,0.03783152791453292,0.00011804029626969834
B4GALT3,0.50076777,0.0007519707977395262,0.0006648775708737267,0.0012446037495636223,0.004062247185656147,0.002584518613042058,0.0018500895509523311,0.003706908531931062,0.00043693372973571985,0.0021977462162084235,0.0012159678876099804,0.0040820246116468895,0.00010959962076325064
OST4,0.63468117,0.015328559467625347,0.005450159385132306,0.016713612325974427,0.19778027235702444,0.13200027717126384,0.04410412043987552,0.14272385012347855,0.012349238353116174,0.011949418716887442,0.09413883771011507,0.24403608056728057,0.0002004912447765333
MGAT4A,0.7245207,0.06015777144208558,0.02830706976319352,0.0004648365231737414,0.08417119112881746,0.006875304653377606,0.0007126633284687876,0.013732632884690529,0.002140862352491253,0.008808398640717374,0.1946204049741726,0.11645221514568294,0.0008791732610365666
STT3B,0.3035971,0.11263566743036811,0.12813733624871915,0.07049837097445184,0.029948858771436198,0.04774846616398873,0.020529012973258664,0.08239598480619793,0.028848760529826035,0.16931544714073918,0.1277389325987049,0.09893948312446114,0.025249270188506076
RPN1,0.42280605,0.014485018573894013,0.01001375256124131,0.023895453985678345,0.05460605374951176,0.05631140553352915,0.00636075270951188,0.051799373798135775,0.00952954385547759,0.03201797436931593,0.06162821793831601,0.010962428170378962,0.004715038569019861
OSTC,0.5931858,0.005937600691103623,0.00518900276130525,0.02109210381776074,0.0560504513060447,0.03345121057797583,0.015678656310312924,0.11321655039868496,0.009253888926236733,0.019627993118486873,0.028828143239559095,0.031542450653570114,0.0009667134838238059
MGAT4D,0.7850643,9.291095175979336e-06,3.3489308712322167e-06,2.2557917335395994e-06,1.7901474710465076e-07,4.6813436226494984e-05,5.81274207905769e-07,1.325952618267447e-06,3.384723128625469e-06,9.601291690778316e-06,7.519792364859175e-07,9.630941106120854e-07,2.3793032582843234e-05
MGAT4B,0.5745416,0.0008745023956029126,0.0009478927693140224,0.0014846192519106776,0.0037220284152400802,0.00918128320149013,0.0005182402060049169,0.007448649113203065,0.0014225710622180951,0.0018470842330797989,0.0030860380382846703,0.0006826434756201141,0.0003613198394155862
