#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ALG10	ALG10B	9606.ENSP00000266483	9606.ENSP00000310120	0	0	0.900	0	0.900
ALG13	ALG14	9606.ENSP00000378260	9606.ENSP00000359224	0	0	0.900	0	0.900
B4GALT1	B4GALT2	9606.ENSP00000369055	9606.ENSP00000310696	0	0	0.900	0	0.900
B4GALT1	B4GALT3	9606.ENSP00000369055	9606.ENSP00000480428	0	0	0.900	0	0.900
B4GALT2	B4GALT3	9606.ENSP00000310696	9606.ENSP00000480428	0	0	0.900	0	0.900
DAD1	RPN2	9606.ENSP00000250498	9606.ENSP00000237530	0	0.984	0.900	0	0.998
DAD1	KRTCAP2	9606.ENSP00000250498	9606.ENSP00000295682	0	0.457	0.720	0	0.841
DAD1	OSTC	9606.ENSP00000250498	9606.ENSP00000426167	0	0.800	0.720	0	0.941
DAD1	TUSC3	9606.ENSP00000250498	9606.ENSP00000424544	0	0.461	0.900	0	0.943
DAD1	MAGT1	9606.ENSP00000250498	9606.ENSP00000354649	0	0.925	0.800	0	0.984
DAD1	TMEM258	9606.ENSP00000250498	9606.ENSP00000443216	0	0.852	0.720	0	0.956
DAD1	STT3B	9606.ENSP00000250498	9606.ENSP00000295770	0	0.959	0.900	0	0.995
DAD1	STT3A	9606.ENSP00000250498	9606.ENSP00000376472	0	0.967	0.900	0	0.996
DAD1	DDOST	9606.ENSP00000250498	9606.ENSP00000399457	0	0.990	0.900	0	0.998
DAD1	RPN1	9606.ENSP00000250498	9606.ENSP00000296255	0	0.979	0.900	0	0.997
DAD1	OST4	9606.ENSP00000250498	9606.ENSP00000455716	0	0.837	0.720	0	0.952
DDOST	RPN2	9606.ENSP00000399457	9606.ENSP00000237530	0	0.990	0.900	0	0.999
DDOST	KRTCAP2	9606.ENSP00000399457	9606.ENSP00000295682	0	0.448	0.720	0	0.838
DDOST	STT3B	9606.ENSP00000399457	9606.ENSP00000295770	0	0.982	0.900	0	0.998
DDOST	RPN1	9606.ENSP00000399457	9606.ENSP00000296255	0	0.990	0.900	0	0.999
DDOST	MAGT1	9606.ENSP00000399457	9606.ENSP00000354649	0	0.960	0.900	0	0.995
