"gene","Atrial Cardiomyocyte","Ventricular Cardiomyocyte","Fibroblast","Endothelial cell","Lymphatic Endothelial cell","Mural cell","Mesothelial cell","Neural cell","Adipocyte","Myeloid","Lymphoid","Mast cell"
"LCK","m = 0.00578 
 p = 0.51404","m = 0.00384 
 p = 0.33401","m = 0.00416 
 p = 0.32306","m = 0.00701 
 p = 0.42128","m = 0.01758 
 p = 0.84942","m = 0.00233 
 p = 0.11282","m = 0.01786 
 p = 1.51372","m = 0.00708 
 p = 0.48324","m = 0.00674 
 p = 0.72475","m = 0.02739 
 p = 1.93871","m = 0.68215 
 p = 30.39884","m = 0.01783 
 p = 0.70157"
"CARD11","m = 0.01413 
 p = 1.22193","m = 0.00956 
 p = 0.85155","m = 0.00910 
 p = 0.66350","m = 0.00391 
 p = 0.21900","m = 0.02921 
 p = 1.31274","m = 0.00664 
 p = 0.30499","m = 0.03104 
 p = 2.83822","m = 0.01480 
 p = 0.89097","m = 0.02133 
 p = 2.15850","m = 0.03527 
 p = 2.26734","m = 0.60498 
 p = 24.42822","m = 0.04086 
 p = 1.56503"
"PRKCQ","m = 0.00873 
 p = 0.82987","m = 0.00878 
 p = 0.79597","m = 0.00803 
 p = 0.63888","m = 0.00432 
 p = 0.23269","m = 0.13005 
 p = 7.02703","m = 0.00780 
 p = 0.35662","m = 0.01221 
 p = 1.79754","m = 0.02623 
 p = 1.34400","m = 0.05735 
 p = 5.26233","m = 0.02726 
 p = 1.85120","m = 0.69789 
 p = 27.61014","m = 0.03625 
 p = 1.45710"
"BTK","m = 0.00213 
 p = 0.19603","m = 0.00198 
 p = 0.17776","m = 0.00297 
 p = 0.32016","m = 0.00138 
 p = 0.07832","m = 0.01085 
 p = 0.92664","m = 0.00125 
 p = 0.05832","m = 0.00859 
 p = 0.94607","m = 0.00318 
 p = 0.18121","m = 0.00477 
 p = 0.53569","m = 0.19643 
 p = 13.93264","m = 0.02224 
 p = 1.36827","m = 0.44668 
 p = 17.32326"
"LAT","m = 0.00746 
 p = 0.68829","m = 0.00817 
 p = 0.77762","m = 0.01359 
 p = 0.94310","m = 0.00896 
 p = 0.53610","m = 0.00830 
 p = 0.61776","m = 0.01376 
 p = 0.69986","m = 0.01367 
 p = 1.60833","m = 0.01591 
 p = 0.95137","m = 0.02751 
 p = 3.07232","m = 0.03131 
 p = 2.44040","m = 0.33967 
 p = 16.78035","m = 0.15440 
 p = 5.99029"
"SYK","m = 0.01211 
 p = 0.98234","m = 0.00453 
 p = 0.41110","m = 0.00778 
 p = 0.71276","m = 0.00316 
 p = 0.20303","m = 0.04951 
 p = 2.85714","m = 0.00159 
 p = 0.08414","m = 0.01304 
 p = 1.98675","m = 0.03406 
 p = 1.82724","m = 0.01208 
 p = 1.30770","m = 0.92634 
 p = 45.16587","m = 0.16542 
 p = 7.38304","m = 0.57817 
 p = 22.01835"
"TNFRSF11A","m = 0.00807 
 p = 0.94749","m = 0.00490 
 p = 0.46196","m = 0.00669 
 p = 0.55630","m = 0.00290 
 p = 0.18098","m = 0.29512 
 p = 17.68340","m = 0.00167 
 p = 0.08318","m = 0.01107 
 p = 1.79754","m = 0.00636 
 p = 0.37753","m = 0.00501 
 p = 0.59871","m = 0.21806 
 p = 13.29872","m = 0.00965 
 p = 0.56577","m = 0.01798 
 p = 0.75553"
"TLR4","m = 0.00967 
 p = 1.23500","m = 0.00109 
 p = 0.09596","m = 0.04508 
 p = 3.40227","m = 0.20412 
 p = 12.76073","m = 0.16625 
 p = 11.96911","m = 0.00671 
 p = 0.39869","m = 0.01621 
 p = 2.55440","m = 0.01425 
 p = 1.11749","m = 0.04061 
 p = 4.69513","m = 0.40832 
 p = 25.83518","m = 0.00674 
 p = 0.46144","m = 0.02116 
 p = 0.86346"
"TNF","m = 0.00009 
 p = 0.01525","m = 0.00021 
 p = 0.01626","m = 0.00063 
 p = 0.12386","m = 0.05264 
 p = 3.10254","m = 0.00404 
 p = 0.23166","m = 0.00122 
 p = 0.07649","m = 0.00248 
 p = 0.66225","m = 0.00066 
 p = 0.03020","m = 0.00084 
 p = 0.09453","m = 0.05322 
 p = 3.46906","m = 0.07266 
 p = 3.59923","m = 0.00956 
 p = 0.43173"
"MYD88","m = 0.00381 
 p = 0.39642","m = 0.00181 
 p = 0.17409","m = 0.03059 
 p = 2.11582","m = 0.06706 
 p = 4.58157","m = 0.03870 
 p = 2.85714","m = 0.01397 
 p = 0.84327","m = 0.05806 
 p = 6.90634","m = 0.01280 
 p = 0.78526","m = 0.01443 
 p = 1.76461","m = 0.14694 
 p = 10.37607","m = 0.06971 
 p = 4.13289","m = 0.01295 
 p = 0.53967"
