name,BetweennessCentrality,Radiality,Degree,NeighborhoodConnectivity,Stress,TopologicalCoefficient
TRAF6,0.6796253480475475,0.9637362637362638,1.0,0.41617357001972394,1.0,0.1745562130177514
TRAF2,0.38499242307289744,0.9631868131868132,0.96,0.5066666666666667,0.6826625386996904,0.2133333333333333
IKBKG,0.16696953919068339,0.9565934065934064,0.8,0.5494505494505494,0.4040247678018576,0.2546583850931677
BIRC2,0.17226205071996395,0.9543956043956044,0.6,0.5993589743589743,0.2786377708978328,0.2805555555555555
CHUK,0.18341837308163664,0.9472527472527472,0.44,0.6410256410256411,0.36261609907120745,0.3
RIPK1,0.06147460357732181,0.953846153846154,0.72,0.5964912280701754,0.19659442724458204,0.2937576499388005
MAP3K7,0.07910601556666275,0.9527472527472528,0.64,0.5972850678733032,0.24883900928792568,0.2810457516339869
TNF,0.05748029495661825,0.9494505494505496,0.64,0.5942684766214179,0.19311145510835914,0.3070301291248206
IKBKB,0.038298700909114684,0.9489010989010987,0.44,0.7350427350427351,0.13506191950464397,0.3565891472868217
TNFRSF1A,0.0402063603244905,0.9467032967032968,0.56,0.6153846153846154,0.15441176470588236,0.325
LCK,0.2952439900445303,0.9456043956043956,0.16,0.5641025641025641,0.34829721362229105,0.2780487804878049
TRAF3,0.13525753569128457,0.9527472527472528,0.52,0.5128205128205128,0.21323529411764705,0.2340425531914893
BIRC3,0.02098040104717594,0.943956043956044,0.48,0.6548323471400395,0.07120743034055728,0.3442307692307692
TAB2,0.0102447254863575,0.9456043956043956,0.4,0.7365967365967366,0.05572755417956656,0.3658008658008658
MAP3K14,0.09316865123976,0.939010989010989,0.16,0.6974358974358974,0.15518575851393188,0.4055555555555555
TNFRSF11A,0.053571428571428444,0.939010989010989,0.12,0.7948717948717948,0.05959752321981424,0.4391891891891892
TRAF5,0.02135633165032894,0.9456043956043956,0.36,0.6820512820512821,0.0565015479876161,0.3404761904761905
CD40,0.053571428571428444,0.941758241758242,0.2,0.7350427350427351,0.06656346749226007,0.3991228070175439
MALT1,0.04277451031449956,0.9384615384615383,0.24,0.6446886446886447,0.10758513931888544,0.376984126984127
IRAK1,0.031317022349631,0.9428571428571428,0.32,0.5925925925925926,0.06695046439628483,0.3304093567251462
LTBR,0.09943426529218444,0.9324175824175824,0.24,0.45421245421245426,0.18304953560371517,0.334975369458128
CARD11,0.06394302886465443,0.9291208791208792,0.28,0.4358974358974359,0.16950464396284828,0.3392857142857143
PRKCQ,0.06252762908863274,0.9368131868131868,0.16,0.5641025641025641,0.09442724458204334,0.3470588235294117
NFKB2,0.20522774327122142,0.9186813186813187,0.2,0.2136752136752137,0.3332043343653251,0.287037037037037
MYD88,0.05587042788129731,0.9373626373626374,0.2,0.5042735042735043,0.0684984520123839,0.3137254901960784
TICAM1,0.011823019600497187,0.9406593406593406,0.2,0.5641025641025641,0.027476780185758515,0.3076923076923077
IL1R1,0.053571428571428444,0.931868131868132,0.12,0.48717948717948717,0.08010835913312693,0.3660714285714285
TLR4,0.10744910282953744,0.9384615384615383,0.2,0.4017094017094017,0.11106811145510836,0.2523809523809524
BTK,0.09036677600101818,0.9230769230769232,0.08,0.3247863247863248,0.10835913312693499,0.3684210526315789
LAT,0.06253406492268901,0.9131868131868132,0.12,0.1282051282051282,0.103328173374613,0.375
SYK,0.10036002864150993,0.9126373626373626,0.12,0.08974358974358974,0.12809597523219815,0.35
