,tau,expected_Atrial Cardiomyocyte,expected_Ventricular Cardiomyocyte,expected_Fibroblast,expected_Endothelial cell,expected_Lymphatic Endothelial cell,expected_Mural cell,expected_Mesothelial cell,expected_Neural cell,expected_Adipocyte,expected_Myeloid,expected_Lymphoid,expected_Mast cell
LCK,0.98433,2.8168505168815903e-05,1.215963129553469e-05,1.2734840602413391e-05,2.7994521568176943e-05,0.00014159487826483593,2.4946295109248832e-06,0.0002563399251272008,3.24310226873918e-05,4.635979786071512e-05,0.0005035716894696327,0.1966700367536852,0.0001186521425320532
TRAF5,0.732126,3.3016839276214034e-05,1.19346855432428e-05,0.00552676113442524,0.0005199240302399108,0.0005029684932305546,0.0141740171826906,0.02350009178483723,0.0018573270807432573,0.005050682035021393,0.011397164536506252,0.023554936908774426,0.04095955790536698
IL1R1,0.73121315,0.014781471894828126,0.001310391723230629,0.2171284256951664,0.07729276767280509,0.061768448721027734,0.028262056456401067,0.4441529743606005,0.012028321070240473,0.1906992546663484,0.03286442204070278,0.0003433340181186335,0.0010576439479590104
MYD88,0.7996115,1.4310469561830972e-05,2.982349582647409e-06,0.0006139307718489655,0.002914127546690937,0.001048653040613447,0.0001116943951522097,0.0038027705073131065,9.536166030973222e-05,0.00024154298189438776,0.014460178729520075,0.0027325965901188764,6.629280239359728e-05
RIPK1,0.48298776,0.0322960397893432,0.03405769831166871,0.034980205116762954,0.01241962036025066,0.04854228201980296,0.023607943794813107,0.022905404585199525,0.019334514977816044,0.13618003848745858,0.037768950374439926,0.013980488935105062,0.020423067593921925
TNF,0.8428629,1.2371317498475649e-08,3.230020689885612e-08,7.450584547565114e-07,0.001548877970664058,8.866681382923052e-06,8.866311473930229e-07,1.5570242451318843e-05,1.900312590616162e-07,7.526345749985652e-07,0.0017509955647843577,0.0024801651212441275,3.9142797235148183e-05
MAP3K7,0.26719788,0.06169675970907885,0.034735558880646875,0.04311962990896199,0.02140876965252448,0.04288584304592324,0.01234267420111014,0.05582719917216161,0.020186403841095293,0.0819257204788434,0.060060190383952085,0.01862552333508073,0.011119702701239216
TAB2,0.4622409,0.0946762058317943,0.07489579501571343,0.10122743983986472,0.017199464087082693,0.0475216530464791,0.011639268273990082,0.060649121608391275,0.07695407642496564,0.13237164876809246,0.1859469736294184,0.0514520250117929,0.040972735903678684
CARD11,0.9675657,0.00016376948646336254,7.720021872338923e-05,5.7270631524939784e-05,8.116969635838234e-06,0.00036361273450050575,1.9195419540090353e-05,0.0008355477047677073,0.00012508926930581647,0.0004367497788511225,0.0007584241765749356,0.14016411608882803,0.0006064449251502253
BTK,0.9479481,3.951308955762292e-06,3.3379606765618587e-06,9.024782212665151e-06,1.0228223573833037e-06,9.539274635462227e-05,6.892347919945137e-07,7.705907482749015e-05,5.4584817504619984e-06,2.424341655958914e-05,0.02595607773740405,0.00028857765398664277,0.07338863596746359
IRAK1,0.75764334,0.00014631277947185949,9.614120282798851e-05,0.0026338646825810295,0.0017729236773132693,0.004763334885987535,0.00059669880715766,0.00770604881116999,0.0005560653586288263,0.002794531966516008,0.026168638409373224,0.002852787214886864,0.0006873850171397457
