#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
BCL10	PRKCQ	9606.ENSP00000498104	9606.ENSP00000263125	0	0.457	0.500	0	0.716
BCL10	MAP3K7	9606.ENSP00000498104	9606.ENSP00000358335	0	0.292	0.900	0	0.926
BCL10	CHUK	9606.ENSP00000498104	9606.ENSP00000359424	0	0.457	0.500	0	0.716
BCL10	CARD11	9606.ENSP00000498104	9606.ENSP00000380150	0	0.618	0.900	0	0.960
BCL10	CARD10	9606.ENSP00000498104	9606.ENSP00000384570	0	0.457	0.900	0	0.943
BCL10	IKBKB	9606.ENSP00000498104	9606.ENSP00000430684	0	0.457	0.500	0	0.716
BCL10	IKBKG	9606.ENSP00000498104	9606.ENSP00000483825	0	0.457	0.500	0	0.716
BCL10	MALT1	9606.ENSP00000498104	9606.ENSP00000497997	0	0.960	0.900	0	0.995
BCL2	BCL2L1	9606.ENSP00000381185	9606.ENSP00000365230	0	0.690	0.900	0	0.967
BIRC2	TNFRSF1A	9606.ENSP00000477613	9606.ENSP00000162749	0	0.734	0.500	0	0.861
BIRC2	TRAF2	9606.ENSP00000477613	9606.ENSP00000247668	0	0.586	0.900	0	0.956
BIRC2	RIPK1	9606.ENSP00000477613	9606.ENSP00000259808	0	0.457	0.800	0	0.886
BIRC2	TRAF5	9606.ENSP00000477613	9606.ENSP00000261464	0	0	0.900	0	0.900
BIRC2	BIRC3	9606.ENSP00000477613	9606.ENSP00000263464	0	0.292	0.900	0	0.926
BIRC2	TRADD	9606.ENSP00000477613	9606.ENSP00000341268	0	0.734	0.800	0	0.944
BIRC2	XIAP	9606.ENSP00000477613	9606.ENSP00000360242	0	0.571	0.900	0	0.955
BIRC2	CD40	9606.ENSP00000477613	9606.ENSP00000361359	0	0.457	0.540	0	0.739
BIRC2	TRAF1	9606.ENSP00000477613	9606.ENSP00000362994	0	0.457	0.500	0	0.716
BIRC2	TRAF3	9606.ENSP00000477613	9606.ENSP00000376500	0	0.457	0.540	0	0.739
BIRC2	TNF	9606.ENSP00000477613	9606.ENSP00000398698	0	0.734	0.500	0	0.861
BIRC2	TRAF6	9606.ENSP00000477613	9606.ENSP00000433623	0	0.457	0.540	0	0.739
BIRC2	MAP3K14	9606.ENSP00000477613	9606.ENSP00000482657	0	0.457	0.500	0	0.716
BIRC2	TNFAIP3	9606.ENSP00000477613	9606.ENSP00000481570	0	0.457	0.500	0	0.716
BIRC2	IKBKG	9606.ENSP00000477613	9606.ENSP00000483825	0	0.457	0.500	0	0.716
BIRC2	BTK	9606.ENSP00000477613	9606.ENSP00000483570	0	0.900	0	0	0.900
BIRC3	TNFRSF1A	9606.ENSP00000263464	9606.ENSP00000162749	0	0.734	0.500	0	0.861
BIRC3	LTBR	9606.ENSP00000263464	9606.ENSP00000228918	0	0.484	0.500	0	0.730
BIRC3	TRAF2	9606.ENSP00000263464	9606.ENSP00000247668	0	0.964	0.900	0	0.996
