"gene","Atrial Cardiomyocyte","Ventricular Cardiomyocyte","Fibroblast","Endothelial cell","Lymphatic Endothelial cell","Mural cell","Mesothelial cell","Neural cell","Adipocyte","Myeloid","Lymphoid","Mast cell"
"NLRP3","m = 0.00068 
 p = 0.12415","m = 0.00046 
 p = 0.07551","m = 0.00129 
 p = 0.25642","m = 0.00055 
 p = 0.07148","m = 0.00568 
 p = 0.69498","m = 0.00059 
 p = 0.06023","m = 0.00570 
 p = 1.22990","m = 0.00106 
 p = 0.13591","m = 0.00127 
 p = 0.23633","m = 0.13829 
 p = 15.14992","m = 0.01883 
 p = 1.94607","m = 0.00717 
 p = 0.53967"
"PYCARD","m = 0.00049 
 p = 0.06752","m = 0.00045 
 p = 0.07026","m = 0.00996 
 p = 1.21328","m = 0.04015 
 p = 5.05076","m = 0.02983 
 p = 4.40154","m = 0.00424 
 p = 0.54593","m = 0.04881 
 p = 9.27152","m = 0.00545 
 p = 0.52854","m = 0.00173 
 p = 0.34662","m = 0.20074 
 p = 20.46241","m = 0.11229 
 p = 11.22703","m = 0.00978 
 p = 0.75553"
"CASP8","m = 0.01209 
 p = 2.56801","m = 0.01336 
 p = 2.43301","m = 0.03451 
 p = 4.46489","m = 0.02783 
 p = 3.31622","m = 0.02087 
 p = 2.54826","m = 0.01000 
 p = 0.95800","m = 0.04596 
 p = 9.08231","m = 0.01357 
 p = 1.63093","m = 0.05158 
 p = 10.50890","m = 0.07856 
 p = 9.93855","m = 0.30237 
 p = 25.60388","m = 0.13682 
 p = 10.09174"
"CASP5","m = 0.00036 
 p = 0.07841","m = 0.00372 
 p = 0.66908","m = 0.00074 
 p = 0.12821","m = 0.00039 
 p = 0.04791","m = 0.00326 
 p = 0.30888","m = 0.00031 
 p = 0.02773","m = 0.00018 
 p = 0.28382","m = 0.00031 
 p = 0.06040","m = 0.00131 
 p = 0.25209","m = 0.00911 
 p = 1.25423","m = 0.00074 
 p = 0.09229","m = 0.00261 
 p = 0.21587"
"TNF","m = 0.00005 
 p = 0.01525","m = 0.00011 
 p = 0.01626","m = 0.00034 
 p = 0.12386","m = 0.02803 
 p = 3.10254","m = 0.00215 
 p = 0.23166","m = 0.00065 
 p = 0.07649","m = 0.00132 
 p = 0.66225","m = 0.00035 
 p = 0.03020","m = 0.00045 
 p = 0.09453","m = 0.02834 
 p = 3.46906","m = 0.03869 
 p = 3.59923","m = 0.00509 
 p = 0.43173"
"NLRC4","m = 0.03005 
 p = 5.55640","m = 0.04541 
 p = 7.43328","m = 0.00686 
 p = 0.94093","m = 0.00191 
 p = 0.21140","m = 0.00797 
 p = 1.00386","m = 0.00394 
 p = 0.36236","m = 0.00845 
 p = 2.27058","m = 0.00649 
 p = 0.83056","m = 0.01847 
 p = 3.78131","m = 0.06891 
 p = 8.65321","m = 0.00330 
 p = 0.39724","m = 0.01049 
 p = 0.80950"
"CASP1","m = 0.00036 
 p = 0.07841","m = 0.00144 
 p = 0.26952","m = 0.01245 
 p = 1.58125","m = 0.08320 
 p = 10.07870","m = 0.02148 
 p = 2.93436","m = 0.00271 
 p = 0.33081","m = 0.02836 
 p = 6.71712","m = 0.00366 
 p = 0.54364","m = 0.00924 
 p = 1.84339","m = 0.10376 
 p = 12.64147","m = 0.11746 
 p = 11.37549","m = 0.00048 
 p = 0.05397"
"MFN2","m = 0.22404 
 p = 34.84132","m = 0.26861 
 p = 38.27906","m = 0.03664 
 p = 4.92630","m = 0.03723 
 p = 4.88042","m = 0.04662 
 p = 6.17761","m = 0.03705 
 p = 3.81479","m = 0.05769 
 p = 10.97446","m = 0.03646 
 p = 4.59076","m = 0.07692 
 p = 14.82590","m = 0.05826 
 p = 8.30125","m = 0.02982 
 p = 3.17792","m = 0.02853 
 p = 2.15866"
"IKBKE","m = 0.00365 
 p = 0.72532","m = 0.00162 
 p = 0.29364","m = 0.01303 
 p = 1.63051","m = 0.00077 
 p = 0.09201","m = 0.01063 
 p = 1.38996","m = 0.00238 
 p = 0.22564","m = 0.01953 
 p = 3.31126","m = 0.00318 
 p = 0.39263","m = 0.00723 
 p = 1.43375","m = 0.03808 
 p = 5.20165","m = 0.04496 
 p = 4.29340","m = 0.01482 
 p = 1.13330"
"BCL2","m = 0.12616 
 p = 19.35484","m = 0.16293 
 p = 22.76965","m = 0.24472 
 p = 22.29256","m = 0.01402 
 p = 1.53530","m = 0.12012 
 p = 11.66023","m = 0.09098 
 p = 7.54544","m = 0.11997 
 p = 14.28571","m = 0.99836 
 p = 64.42162","m = 1.00000 
 p = 79.43911","m = 0.19599 
 p = 18.95734","m = 0.51422 
 p = 34.14654","m = 0.34734 
 p = 23.47545"
