,tau,expected_Atrial Cardiomyocyte,expected_Ventricular Cardiomyocyte,expected_Fibroblast,expected_Endothelial cell,expected_Lymphatic Endothelial cell,expected_Mural cell,expected_Mesothelial cell,expected_Neural cell,expected_Adipocyte,expected_Myeloid,expected_Lymphoid,expected_Mast cell
MFN2,0.7734918,0.1390277585976837,0.1831291992277662,0.0032150460138578594,0.0032362856104285005,0.005129705524812794,0.0025171669787013326,0.011276850806392355,0.002981093526786636,0.02031068076801165,0.008613488854990999,0.0016876444915316575,0.0010968230893916848
JUN,0.5865423,0.05747471497367388,0.11952951124850095,0.07166213983040676,0.44374220739829257,0.11806959065691384,0.06579956344757018,0.6437804078649776,0.12113773645464657,0.114907143847368,0.1454760378209035,0.31367153858939506,0.0012785842128528238
TXNIP,0.38009027,0.6275613810615127,0.9177707229423933,0.2252058373440146,1.0739580013367536,0.5611954356712725,0.38730542200248763,0.356360126692051,0.2561007081670223,0.8594274742501504,0.5420590570823911,1.0373594874163212,0.20506803370525692
IKBKE,0.76759934,4.719570784227629e-05,8.46215484369958e-06,0.00037845612865613663,1.265597617349481e-06,0.0002631625556117319,9.5619683262301e-06,0.0011520014940113422,2.2212858698593815e-05,0.00018462498147144496,0.0035282814076885815,0.0034378635658277247,0.000299178657945722
NLRP3,0.9715445,1.501076579715802e-06,6.129372726076333e-07,5.8709017817462746e-06,7.026795716975735e-07,7.036129393862942e-05,6.356403724489022e-07,0.0001248697562596092,2.5755862574051134e-06,5.341335441151228e-06,0.03731342070148033,0.0006526706181361945,6.893694931535676e-05
NLRC4,0.81086785,0.0029737786832615986,0.006011782555867426,0.00011496778896248399,7.178979944543264e-06,0.00014256307258339002,2.545134416107287e-05,0.0003416009296644602,9.60660473353839e-05,0.001244197328278112,0.010619698498656386,2.338143862887348e-05,0.00015127655526817133
CASP8,0.8661589,0.0005531748330164552,0.0005790953334005044,0.0027446069884622315,0.00164395641886931,0.0009472016345810247,0.0001705650914733496,0.007434039264776398,0.00039425814410092713,0.009654843919442848,0.01390506556293898,0.13788584653183789,0.02459246945490531
MFN1,0.5124848,0.15842647174734065,0.08156735838556582,0.050094636008755966,0.011408981741718872,0.03672052937124687,0.014923297142411016,0.03902552637043378,0.028773936108587302,0.08997526134264382,0.020009617925232676,0.010615821123295368,0.00785823305490785
ATG12,0.27285412,0.021155257046499214,0.014715191489034279,0.03974192392769521,0.02382878657178432,0.033521822163957424,0.013071523101257794,0.03793900579129511,0.015311556540562358,0.07104290330411882,0.045861985313488084,0.03703212820309791,0.016144677449803836
VDAC1,0.31995824,0.07972485843063822,0.07997216016818316,0.023317531987424048,0.03801519040936576,0.03251554388337154,0.023339789507966762,0.06978635508267521,0.01314239548893358,0.05941594456976486,0.045449847597941045,0.01726580831288679,0.0011521397863152344
RIPK1,0.48298776,0.0322960397893432,0.03405769831166871,0.034980205116762954,0.01241962036025066,0.04854228201980296,0.023607943794813107,0.022905404585199525,0.019334514977816044,0.13618003848745858,0.037768950374439926,0.013980488935105062,0.020423067593921925
TNF,0.8428629,1.2371317498475649e-08,3.230020689885612e-08,7.450584547565114e-07,0.001548877970664058,8.866681382923052e-06,8.866311473930229e-07,1.5570242451318843e-05,1.900312590616162e-07,7.526345749985652e-07,0.0017509955647843577,0.0024801651212441275,3.9142797235148183e-05
MAP3K7,0.26719788,0.06169675970907885,0.034735558880646875,0.04311962990896199,0.02140876965252448,0.04288584304592324,0.01234267420111014,0.05582719917216161,0.020186403841095293,0.0819257204788434,0.060060190383952085,0.01862552333508073,0.011119702701239216
ATG5,0.3146403,0.06628627390060846,0.04378497019620317,0.041304527959830174,0.024347917061310557,0.036019883445791295,0.02052807706014964,0.03635784875083444,0.0319195401223899,0.10776969373028954,0.08587788255250019,0.06554291555600433,0.029882693847192023
XIAP,0.40639982,0.08227413762789644,0.0747585953067992,0.04605088506033859,0.03276523014134017,0.07710004888446174,0.018886487594824117,0.03460067527521976,0.022312623123789944,0.15580310039920697,0.07064049124801162,0.020492608763080816,0.0237837706024558
IKBKG,0.30297482,0.0013849050423595294,0.001270036704794911,0.0021201491746625804,0.003032161736142966,0.002526430825929384,0.0014614115821668184,0.004697800725839447,0.0010942546985492141,0.005572342376775097,0.0033870109744891263,0.0033427465498691365,0.000729700788670595
IKBKB,0.50092274,0.012551267831548469,0.006400128230698664,0.037445607746546754,0.028222212837085148,0.07272095459308403,0.007235226975706444,0.033242866523782374,0.022223019498203215,0.05940949829033797,0.11064884195003043,0.030114062434190465,0.03762917298596419
RIPK2,0.5993378,0.004736735336173376,0.0022167550228099743,0.00984072745750851,0.00374199712391131,0.004443468055669865,0.0010656687969896128,0.019756405558807172,0.00535366528255995,0.00636216034349427,0.033911777135858794,0.010123369229489445,0.0035940121459240404
GSDMD,0.67679775,0.0007240914770847014,0.00022263885572631597,0.004864907071287424,0.06522865283444355,0.041597149846176386,0.0035840954920812775,0.03565183655484848,0.004232749590445991,0.0027955139024446983,0.013958817617142998,0.015904521713257985,0.0015188808529298498
TRAF2,0.2521662,0.0022979857404644196,0.003570150240754132,0.0013709560883420383,0.002556633979505896,0.002588196452635135,0.000751963291347962,0.002376873032062146,0.0005694323887964707,0.0033005165531632655,0.0011827416831881534,0.002274068721023209,0.0012426645295464279
TRAF6,0.45786494,0.026407357690142748,0.019933085607923538,0.004852945050832817,0.0032248141933206346,0.006849504523986095,0.0023710113483375083,0.0038699533088994453,0.0031612090962201728,0.01154797635027531,0.00761592018970766,0.002731259858739308,0.002222555480933614
BIRC2,0.33953702,0.022705307700771567,0.016527901863265467,0.02383984417507949,0.0263551419522163,0.022077806380264544,0.007220626549829587,0.03333455924730653,0.024217450042229624,0.03518068110527759,0.04588029777109379,0.020551299336236683,0.004780952207024395
CASP5,0.8611277,5.08881031482479e-07,4.430471345525215e-05,1.6801997592937086e-06,3.298517478368832e-07,1.7927375596922795e-05,1.5225749166936794e-07,9.10828026168422e-07,3.361523182901217e-07,5.885604161511487e-06,0.00020359378651857183,1.213983371598221e-06,1.0029863640545384e-05
CASP1,0.7932419,5.046217536293236e-07,6.897554993977158e-06,0.0003506075652777438,0.014935667010061798,0.0011223940200326987,1.5977462109786966e-05,0.0033931598955432313,3.5442382646305474e-05,0.00030349566358665,0.023361742526915204,0.02379835998145739,4.6494680633230654e-07
TBK1,0.28932723,0.03731619702039356,0.0249894606045725,0.06713375844983421,0.03259282630832244,0.061331553808970804,0.021817035750038315,0.0648793676831075,0.03387703070806903,0.08628104502936507,0.08725779341985153,0.025253531723274634,0.04910583568146855
HSP90AA1,0.55361396,0.11483079488625214,0.07721639756785449,0.21349957007464823,0.7894774015799825,0.3504260236231977,0.20677472444582828,0.44659572382974755,0.2909402779242453,0.30581021432860056,0.5907517609460692,0.8724175767228515,0.024223653934353183
TRAF3,0.64825,0.008891847776323092,0.004000909545692136,0.08052840224861825,0.0038459406952264935,0.030678856165712864,0.0042621609037845395,0.06850424360980825,0.011278687746493847,0.23032466440627533,0.08356914432570921,0.018319982413198637,0.012546616699395795
PYCARD,0.88082415,5.875182983256087e-07,5.574643730917614e-07,0.00021512743704503183,0.0036115751243227766,0.002338152623314655,4.122392509467103e-05,0.00805929707770316,5.129588882086393e-05,1.0680893122943269e-05,0.0731598466469008,0.022453536701550616,0.0001316323265216187
DHX33,0.47431162,0.001894043234215334,0.0015170031535463562,0.008985827216191586,0.0033602454727160416,0.003985036466572735,0.0019253026533960899,0.005849049862759679,0.0016182666985929573,0.012802037170820957,0.002563362070346794,0.0007935474857588697,0.0007786235103109239
NLRP1,0.66571844,0.00012064070056075793,7.847141517264412e-05,0.03786932892336719,0.04151705443498767,0.0039390236944765655,0.0006924375658251578,0.017702136608149042,0.009272980664349582,0.0386017568800343,0.029968080769869235,0.07131918559257315,0.00323892080793494
BCL2,0.73319966,0.04348887551215387,0.06607471455263045,0.0971643670207713,0.0003832536565019425,0.02494510320162681,0.012226893895943869,0.030524630631719316,1.1454961266772548,1.4148488290407197,0.0661745529375689,0.31273197122297874,0.14522571114675456
MAVS,0.46502307,0.03075529235054466,0.04595528823313244,0.023069175001392887,0.006538597329579072,0.02470477382188598,0.007766796056447857,0.007454570576675455,0.023367756213154615,0.08155309828563206,0.02595582500616487,0.006925762032115549,0.008319981834467718
TICAM1,0.5510101,0.0007005686761983761,0.0008587296006110211,0.0015549327266509432,0.002003428505054513,0.0019335351395330833,0.00017623750741412508,0.006496423085342632,0.000427076644234627,0.002524860428650022,0.006166149608535018,0.000727618044549739,0.00040819414293708124
IRF3,0.4756768,0.003628278376606351,0.002619052422434368,0.008511475851878517,0.013674926934806635,0.016288676777401485,0.004953120918994609,0.023504878342320814,0.0047749377037779655,0.013326050442786825,0.010509775097511644,0.023220954930004555,0.00453217982184353
TAB1,0.42494956,0.011300837748606763,0.017007946084213396,0.0038133423714315504,0.0013903151418717568,0.0027205128985022023,0.0030943802388571267,0.0033973034756749785,0.008541822843017336,0.013057460533890815,0.0026428684744660394,0.002084683302821915,0.002221123063590034
