#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AIM2	DHX33	9606.ENSP00000357112	9606.ENSP00000225296	0	0	0.900	0	0.900
AIM2	PYCARD	9606.ENSP00000357112	9606.ENSP00000247470	0	0.691	0.900	0	0.967
AIM2	NLRP6	9606.ENSP00000357112	9606.ENSP00000309767	0	0	0.900	0	0.900
AIM2	NLRP3	9606.ENSP00000357112	9606.ENSP00000337383	0	0	0.900	0	0.900
AIM2	GSDMD	9606.ENSP00000357112	9606.ENSP00000433209	0	0	0.720	0	0.720
AIM2	CASP5	9606.ENSP00000357112	9606.ENSP00000376849	0	0	0.900	0	0.900
AIM2	CARD8	9606.ENSP00000357112	9606.ENSP00000499211	0	0	0.900	0	0.900
AIM2	NLRC4	9606.ENSP00000357112	9606.ENSP00000385428	0	0	0.720	0	0.720
AIM2	NLRP1	9606.ENSP00000357112	9606.ENSP00000460475	0	0	0.900	0	0.900
AIM2	CASP1	9606.ENSP00000357112	9606.ENSP00000433138	0	0.626	0.900	0	0.961
ANTXR1	ANTXR2	9606.ENSP00000301945	9606.ENSP00000306185	0	0	0.900	0	0.900
ATG12	ATG5	9606.ENSP00000425107	9606.ENSP00000358072	0	0.989	0.900	0	0.998
ATG12	ATG16L1	9606.ENSP00000425107	9606.ENSP00000375873	0	0.951	0.900	0	0.994
ATG12	MAVS	9606.ENSP00000425107	9606.ENSP00000401980	0	0.457	0.900	0	0.943
ATG16L1	ATG5	9606.ENSP00000375873	9606.ENSP00000358072	0	0.980	0.900	0	0.997
ATG5	MAVS	9606.ENSP00000358072	9606.ENSP00000401980	0	0.457	0.900	0	0.943
BCL2	BCL2L1	9606.ENSP00000381185	9606.ENSP00000365230	0	0.690	0.900	0	0.967
BCL2	VDAC1	9606.ENSP00000381185	9606.ENSP00000378487	0	0.292	0.720	0	0.793
BCL2	NLRP1	9606.ENSP00000381185	9606.ENSP00000460475	0	0.457	0.700	0	0.830
BCL2L1	NLRP1	9606.ENSP00000365230	9606.ENSP00000460475	0	0.457	0.700	0	0.830
BIRC2	TRAF2	9606.ENSP00000477613	9606.ENSP00000247668	0	0.586	0.900	0	0.956
BIRC2	RIPK1	9606.ENSP00000477613	9606.ENSP00000259808	0	0.457	0.800	0	0.886
BIRC2	TRAF5	9606.ENSP00000477613	9606.ENSP00000261464	0	0	0.900	0	0.900
BIRC2	BIRC3	9606.ENSP00000477613	9606.ENSP00000263464	0	0.292	0.900	0	0.926
BIRC2	RNF31	9606.ENSP00000477613	9606.ENSP00000315112	0	0.457	0.900	0	0.943
BIRC2	RBCK1	9606.ENSP00000477613	9606.ENSP00000348632	0	0	0.900	0	0.900
BIRC2	XIAP	9606.ENSP00000477613	9606.ENSP00000360242	0	0.571	0.900	0	0.955
BIRC2	TRAF3	9606.ENSP00000477613	9606.ENSP00000376500	0	0.457	0.540	0	0.739
BIRC2	SHARPIN	9606.ENSP00000477613	9606.ENSP00000381698	0	0.292	0.900	0	0.926
BIRC2	TNF	9606.ENSP00000477613	9606.ENSP00000398698	0	0.734	0.500	0	0.861
BIRC2	TRAF6	9606.ENSP00000477613	9606.ENSP00000433623	0	0.457	0.540	0	0.739
BIRC2	TNFAIP3	9606.ENSP00000477613	9606.ENSP00000481570	0	0.457	0.500	0	0.716
BIRC2	IKBKG	9606.ENSP00000477613	9606.ENSP00000483825	0	0.457	0.500	0	0.716
BIRC3	TRAF2	9606.ENSP00000263464	9606.ENSP00000247668	0	0.964	0.900	0	0.996
BIRC3	RIPK1	9606.ENSP00000263464	9606.ENSP00000259808	0	0.457	0.800	0	0.886
BIRC3	TRAF5	9606.ENSP00000263464	9606.ENSP00000261464	0	0	0.900	0	0.900
BIRC3	IKBKG	9606.ENSP00000263464	9606.ENSP00000483825	0	0.453	0.500	0	0.714
BIRC3	IKBKB	9606.ENSP00000263464	9606.ENSP00000430684	0	0.596	0.500	0	0.789
BIRC3	TNF	9606.ENSP00000263464	9606.ENSP00000398698	0	0.457	0.500	0	0.716
BIRC3	RBCK1	9606.ENSP00000263464	9606.ENSP00000348632	0	0.215	0.900	0	0.918
BIRC3	RNF31	9606.ENSP00000263464	9606.ENSP00000315112	0	0.215	0.900	0	0.918
BIRC3	SHARPIN	9606.ENSP00000263464	9606.ENSP00000381698	0	0.292	0.900	0	0.926
BIRC3	TRAF3	9606.ENSP00000263464	9606.ENSP00000376500	0	0.457	0.500	0	0.716
BIRC3	XIAP	9606.ENSP00000263464	9606.ENSP00000360242	0	0.457	0.900	0	0.943
BRCC3	NLRP3	9606.ENSP00000358474	9606.ENSP00000337383	0	0.457	0.500	0	0.716
CARD16	CARD18	9606.ENSP00000364858	9606.ENSP00000436691	0	0	0.900	0	0.900
CARD16	CASP1	9606.ENSP00000364858	9606.ENSP00000433138	0	0.457	0.720	0	0.841
CARD8	DHX33	9606.ENSP00000499211	9606.ENSP00000225296	0	0	0.900	0	0.900
CARD8	PYCARD	9606.ENSP00000499211	9606.ENSP00000247470	0	0	0.900	0	0.900
CARD8	NLRP6	9606.ENSP00000499211	9606.ENSP00000309767	0	0	0.900	0	0.900
CARD8	NLRP3	9606.ENSP00000499211	9606.ENSP00000337383	0	0.292	0.900	0	0.926
CARD8	CASP5	9606.ENSP00000499211	9606.ENSP00000376849	0	0	0.900	0	0.900
CARD8	NLRC4	9606.ENSP00000499211	9606.ENSP00000385428	0	0	0.720	0	0.720
CARD8	CASP1	9606.ENSP00000499211	9606.ENSP00000433138	0	0	0.900	0	0.900
CARD8	GSDMD	9606.ENSP00000499211	9606.ENSP00000433209	0	0	0.720	0	0.720
CARD8	NLRP1	9606.ENSP00000499211	9606.ENSP00000460475	0	0	0.900	0	0.900
CASP1	DHX33	9606.ENSP00000433138	9606.ENSP00000225296	0	0	0.900	0	0.900
CASP1	PYCARD	9606.ENSP00000433138	9606.ENSP00000247470	0	0.967	0.900	0	0.996
CASP1	NLRP6	9606.ENSP00000433138	9606.ENSP00000309767	0	0	0.900	0	0.900
CASP1	NLRP3	9606.ENSP00000433138	9606.ENSP00000337383	0	0.292	0.900	0	0.926
CASP1	CASP8	9606.ENSP00000433138	9606.ENSP00000351273	0	0.544	0.540	0	0.781
CASP1	CASP5	9606.ENSP00000433138	9606.ENSP00000376849	0	0	0.900	0	0.900
CASP1	NLRC4	9606.ENSP00000433138	9606.ENSP00000385428	0	0.457	0.720	0	0.841
CASP1	GSDMD	9606.ENSP00000433138	9606.ENSP00000433209	0	0.926	0.720	0	0.978
CASP1	NLRP1	9606.ENSP00000433138	9606.ENSP00000460475	0	0.457	0.900	0	0.943
CASP4	CASP5	9606.ENSP00000388566	9606.ENSP00000376849	0	0.671	0.900	0	0.965
CASP4	GSDMD	9606.ENSP00000388566	9606.ENSP00000433209	0	0.932	0.540	0	0.967
CASP5	DHX33	9606.ENSP00000376849	9606.ENSP00000225296	0	0	0.900	0	0.900
CASP5	PYCARD	9606.ENSP00000376849	9606.ENSP00000247470	0	0	0.900	0	0.900
CASP5	NLRP6	9606.ENSP00000376849	9606.ENSP00000309767	0	0	0.900	0	0.900
CASP5	NLRP3	9606.ENSP00000376849	9606.ENSP00000337383	0	0	0.900	0	0.900
CASP5	GSDMD	9606.ENSP00000376849	9606.ENSP00000433209	0	0.131	0.720	0	0.746
CASP5	NLRC4	9606.ENSP00000376849	9606.ENSP00000385428	0	0	0.720	0	0.720
CASP5	NLRP1	9606.ENSP00000376849	9606.ENSP00000460475	0	0.292	0.900	0	0.926
CASP8	RIPK3	9606.ENSP00000351273	9606.ENSP00000216274	0	0.734	0	0	0.734
CASP8	PYCARD	9606.ENSP00000351273	9606.ENSP00000247470	0	0.457	0.900	0	0.943
CASP8	TRAF2	9606.ENSP00000351273	9606.ENSP00000247668	0	0.577	0.500	0	0.779
CASP8	TICAM1	9606.ENSP00000351273	9606.ENSP00000248244	0	0.457	0.900	0	0.943
CASP8	RIPK1	9606.ENSP00000351273	9606.ENSP00000259808	0	0.564	0.900	0	0.954
CASP8	FADD	9606.ENSP00000351273	9606.ENSP00000301838	0	0.671	0.900	0	0.965
CASP8	TNF	9606.ENSP00000351273	9606.ENSP00000398698	0	0.734	0	0	0.734
CASR	GPRC6A	9606.ENSP00000420194	9606.ENSP00000309493	0	0	0.900	0	0.900
CCL2	CXCL8	9606.ENSP00000225831	9606.ENSP00000306512	0	0.734	0	0	0.734
CCL2	CCL5	9606.ENSP00000225831	9606.ENSP00000474412	0	0.734	0	0	0.734
CCL5	CXCL2	9606.ENSP00000474412	9606.ENSP00000427279	0	0.734	0	0	0.734
CHUK	TRAF2	9606.ENSP00000359424	9606.ENSP00000247668	0	0.657	0.540	0	0.835
CHUK	RIPK1	9606.ENSP00000359424	9606.ENSP00000259808	0	0.457	0.500	0	0.716
CHUK	MAP3K7	9606.ENSP00000359424	9606.ENSP00000358335	0	0.542	0.500	0	0.761
CHUK	TNF	9606.ENSP00000359424	9606.ENSP00000398698	0	0.734	0.500	0	0.861
CHUK	IKBKG	9606.ENSP00000359424	9606.ENSP00000483825	0	0.734	0.900	0	0.972
CHUK	IKBKB	9606.ENSP00000359424	9606.ENSP00000430684	0	0.734	0.900	0	0.972
CXCL1	CXCL3	9606.ENSP00000379110	9606.ENSP00000296026	0	0.610	0.900	0	0.959
CXCL1	CXCL2	9606.ENSP00000379110	9606.ENSP00000427279	0	0.610	0.900	0	0.959
CXCL2	CXCL3	9606.ENSP00000427279	9606.ENSP00000296026	0	0.610	0.900	0	0.959
CYBA	CYBB	9606.ENSP00000261623	9606.ENSP00000367851	0	0.917	0.900	0	0.991
DEFA1	DEFA3	9606.ENSP00000372139	9606.ENSP00000328359	0	0.900	0	0	0.900
DEFA1	DEFA1B	9606.ENSP00000372139	9606.ENSP00000372136	0	0.900	0	0	0.900
DEFA1B	DEFA3	9606.ENSP00000372136	9606.ENSP00000328359	0	0.900	0.500	0	0.947
DEFB103A	DEFB4A	9606.ENSP00000320951	9606.ENSP00000303532	0	0	0.900	0	0.900
DEFB103A	DEFB103B	9606.ENSP00000320951	9606.ENSP00000324633	0	0.800	0	0	0.800
DEFB4A	DEFB4B	9606.ENSP00000303532	9606.ENSP00000424598	0	0.900	0	0	0.900
DHX33	NLRC4	9606.ENSP00000225296	9606.ENSP00000385428	0	0	0.720	0	0.720
DHX33	GSDMD	9606.ENSP00000225296	9606.ENSP00000433209	0	0	0.720	0	0.720
DHX33	NLRP1	9606.ENSP00000225296	9606.ENSP00000460475	0	0	0.900	0	0.900
DHX33	PYCARD	9606.ENSP00000225296	9606.ENSP00000247470	0	0	0.900	0	0.900
DHX33	NLRP6	9606.ENSP00000225296	9606.ENSP00000309767	0	0	0.900	0	0.900
DHX33	MAVS	9606.ENSP00000225296	9606.ENSP00000401980	0	0	0.900	0	0.900
DHX33	NLRP3	9606.ENSP00000225296	9606.ENSP00000337383	0	0.292	0.900	0	0.926
DUSP16	MAPK8	9606.ENSP00000298573	9606.ENSP00000378974	0	0.945	0	0	0.945
FADD	RIPK3	9606.ENSP00000301838	9606.ENSP00000216274	0	0.734	0	0	0.734
FADD	TRAF2	9606.ENSP00000301838	9606.ENSP00000247668	0	0.424	0.800	0	0.879
FADD	TICAM1	9606.ENSP00000301838	9606.ENSP00000248244	0	0	0.900	0	0.900
FADD	RIPK1	9606.ENSP00000301838	9606.ENSP00000259808	0	0.457	0.900	0	0.943
FADD	IKBKG	9606.ENSP00000301838	9606.ENSP00000483825	0	0.457	0.500	0	0.716
GABARAP	GABARAPL2	9606.ENSP00000306866	9606.ENSP00000037243	0	0.166	0.900	0	0.913
GABARAP	GABARAPL1	9606.ENSP00000306866	9606.ENSP00000411256	0	0.166	0.900	0	0.913
GABARAPL1	GABARAPL2	9606.ENSP00000411256	9606.ENSP00000037243	0	0.166	0.900	0	0.913
GBP2	GBP5	9606.ENSP00000359497	9606.ENSP00000359488	0	0.292	0.900	0	0.926
GSDMD	PYCARD	9606.ENSP00000433209	9606.ENSP00000247470	0	0	0.720	0	0.720
GSDMD	NLRP6	9606.ENSP00000433209	9606.ENSP00000309767	0	0	0.720	0	0.720
GSDMD	NLRP3	9606.ENSP00000433209	9606.ENSP00000337383	0	0	0.720	0	0.720
GSDMD	NLRC4	9606.ENSP00000433209	9606.ENSP00000385428	0	0	0.720	0	0.720
GSDMD	NLRP1	9606.ENSP00000433209	9606.ENSP00000460475	0	0	0.720	0	0.720
HSP90AA1	TBK1	9606.ENSP00000335153	9606.ENSP00000329967	0	0.458	0.500	0	0.717
HSP90AA1	IRF3	9606.ENSP00000335153	9606.ENSP00000471896	0	0.457	0.500	0	0.716
HSP90AA1	HSP90AB1	9606.ENSP00000335153	9606.ENSP00000360609	0	0.669	0.900	0	0.965
HSP90AA1	NLRP3	9606.ENSP00000335153	9606.ENSP00000337383	0	0.292	0.900	0	0.926
HSP90AA1	SUGT1	9606.ENSP00000335153	9606.ENSP00000367208	0	0.719	0.900	0	0.970
HSP90AB1	NLRP3	9606.ENSP00000360609	9606.ENSP00000337383	0	0	0.900	0	0.900
HSP90AB1	SUGT1	9606.ENSP00000360609	9606.ENSP00000367208	0	0.601	0.900	0	0.958
IFNA1	IFNA13	9606.ENSP00000276927	9606.ENSP00000480467	0	0.831	0	0	0.831
IFNA2	IFNAR1	9606.ENSP00000369554	9606.ENSP00000270139	0	0.960	0.500	0	0.979
IFNA2	IFNAR2	9606.ENSP00000369554	9606.ENSP00000343957	0	0.960	0.500	0	0.979
IFNAR1	STAT2	9606.ENSP00000270139	9606.ENSP00000315768	0	0.549	0.800	0	0.905
IFNAR1	IFNB1	9606.ENSP00000270139	9606.ENSP00000369581	0	0.643	0.500	0	0.814
IFNAR1	JAK1	9606.ENSP00000270139	9606.ENSP00000499900	0	0.362	0.900	0	0.933
IFNAR1	TYK2	9606.ENSP00000270139	9606.ENSP00000431885	0	0.943	0.900	0	0.994
IFNAR1	IFNAR2	9606.ENSP00000270139	9606.ENSP00000343957	0	0.886	0.900	0	0.988
IFNAR2	STAT2	9606.ENSP00000343957	9606.ENSP00000315768	0	0.457	0.800	0	0.886
IFNAR2	STAT1	9606.ENSP00000343957	9606.ENSP00000354394	0	0.457	0.500	0	0.716
IFNAR2	TYK2	9606.ENSP00000343957	9606.ENSP00000431885	0	0	0.900	0	0.900
IFNAR2	JAK1	9606.ENSP00000343957	9606.ENSP00000499900	0	0.457	0.900	0	0.943
IKBKB	TRAF2	9606.ENSP00000430684	9606.ENSP00000247668	0	0.657	0.540	0	0.835
IKBKB	RIPK1	9606.ENSP00000430684	9606.ENSP00000259808	0	0.457	0.500	0	0.716
IKBKB	MAP3K7	9606.ENSP00000430684	9606.ENSP00000358335	0	0.457	0.500	0	0.716
IKBKB	TNF	9606.ENSP00000430684	9606.ENSP00000398698	0	0.734	0.500	0	0.861
IKBKB	MAVS	9606.ENSP00000430684	9606.ENSP00000401980	0	0.509	0.500	0	0.744
IKBKB	TRAF6	9606.ENSP00000430684	9606.ENSP00000433623	0	0.509	0.540	0	0.764
IKBKB	IKBKG	9606.ENSP00000430684	9606.ENSP00000483825	0	0.972	0.900	0	0.997
IKBKE	TRAF2	9606.ENSP00000464030	9606.ENSP00000247668	0	0.734	0.500	0	0.861
IKBKE	TANK	9606.ENSP00000464030	9606.ENSP00000259075	0	0.639	0.900	0	0.962
