"gene","Atrial Cardiomyocyte","Ventricular Cardiomyocyte","Fibroblast","Endothelial cell","Lymphatic Endothelial cell","Mural cell","Mesothelial cell","Neural cell","Adipocyte","Myeloid","Lymphoid","Mast cell"
"RBPJ","m = 0.18865 
 p = 34.07027","m = 0.18205 
 p = 32.35855","m = 0.24474 
 p = 29.31223","m = 0.13228 
 p = 17.32786","m = 0.24011 
 p = 28.95753","m = 0.17009 
 p = 17.98495","m = 0.18866 
 p = 30.08515","m = 0.18452 
 p = 20.38659","m = 0.22525 
 p = 38.91602","m = 1.00000 
 p = 71.42107","m = 0.18786 
 p = 18.89094","m = 0.14791 
 p = 12.03454"
"MAML3","m = 0.16986 
 p = 26.94343","m = 0.14845 
 p = 24.54984","m = 0.15568 
 p = 16.58035","m = 0.12890 
 p = 12.55237","m = 0.26997 
 p = 27.72201","m = 0.10831 
 p = 9.99015","m = 0.16912 
 p = 21.66509","m = 0.23808 
 p = 22.36484","m = 0.30141 
 p = 43.09122","m = 0.33519 
 p = 32.36301","m = 0.07786 
 p = 6.85740","m = 0.80252 
 p = 57.04263"
"APH1A","m = 0.01544 
 p = 3.45669","m = 0.01387 
 p = 2.88134","m = 0.03196 
 p = 4.70827","m = 0.13304 
 p = 17.94913","m = 0.07173 
 p = 11.73745","m = 0.02641 
 p = 3.43809","m = 0.07506 
 p = 16.55629","m = 0.03234 
 p = 4.06222","m = 0.01635 
 p = 4.28549","m = 0.06811 
 p = 11.17917","m = 0.06742 
 p = 8.57877","m = 0.00371 
 p = 0.32380"
"NOTCH1","m = 0.00353 
 p = 0.98669","m = 0.00493 
 p = 1.15096","m = 0.03461 
 p = 5.32541","m = 0.16003 
 p = 20.25398","m = 0.17374 
 p = 23.24324","m = 0.05350 
 p = 5.92487","m = 0.02456 
 p = 6.62252","m = 0.08411 
 p = 9.51374","m = 0.13238 
 p = 25.25603","m = 0.04722 
 p = 7.71011","m = 0.04723 
 p = 5.42091","m = 0.02458 
 p = 2.21263"
"PSENEN","m = 0.00393 
 p = 1.02590","m = 0.00245 
 p = 0.64810","m = 0.01627 
 p = 2.74673","m = 0.07433 
 p = 10.28250","m = 0.05378 
 p = 8.88031","m = 0.03259 
 p = 4.48309","m = 0.03423 
 p = 10.21760","m = 0.01706 
 p = 2.25008","m = 0.00580 
 p = 1.54404","m = 0.04536 
 p = 7.22592","m = 0.06343 
 p = 7.96886","m = 0.00113 
 p = 0.10793"
"RBPJL","m = 0.00035 
 p = 0.06317","m = 0.00027 
 p = 0.05401","m = 0.00042 
 p = 0.06664","m = 0.00019 
 p = 0.02281","m = 0.00087 
 p = 0.07722","m = 0.00035 
 p = 0.03442","m = 0.00121 
 p = 0.28382","m = 0.00076 
 p = 0.09061","m = 0.00071 
 p = 0.14180","m = 0.00024 
 p = 0.03695","m = 0.00010 
 p = 0.01204","m = 0.00074 
 p = 0.05397"
"NOTCH2","m = 0.07889 
 p = 17.83886","m = 0.05423 
 p = 11.61869","m = 0.24211 
 p = 29.15070","m = 0.00700 
 p = 1.17562","m = 0.03157 
 p = 4.86486","m = 0.05478 
 p = 6.22413","m = 0.18545 
 p = 26.86850","m = 0.11939 
 p = 14.34612","m = 0.23291 
 p = 40.31826","m = 0.25485 
 p = 32.49135","m = 0.05950 
 p = 6.78116","m = 0.12721 
 p = 11.22504"
"PSEN1","m = 0.10110 
 p = 20.74448","m = 0.10917 
 p = 20.63814","m = 0.11657 
 p = 15.34896","m = 0.07422 
 p = 9.56542","m = 0.11362 
 p = 15.13514","m = 0.08822 
 p = 9.10577","m = 0.13922 
 p = 22.23273","m = 0.12971 
 p = 14.72365","m = 0.16289 
 p = 31.85757","m = 0.26467 
 p = 33.65807","m = 0.10550 
 p = 11.25110","m = 0.13823 
 p = 11.76471"
"TLE3","m = 0.02651 
 p = 7.10723","m = 0.00824 
 p = 1.97106","m = 0.03056 
 p = 4.79302","m = 0.02552 
 p = 3.90099","m = 0.01672 
 p = 2.70270","m = 0.00982 
 p = 1.29263","m = 0.05016 
 p = 11.25828","m = 0.07494 
 p = 8.72848","m = 0.05023 
 p = 10.98157","m = 0.08084 
 p = 12.63952","m = 0.03965 
 p = 5.03571","m = 0.06032 
 p = 5.45062"
"HDAC1","m = 0.04774 
 p = 10.78391","m = 0.05058 
 p = 10.42053","m = 0.02416 
 p = 3.66738","m = 0.09949 
 p = 13.34930","m = 0.08538 
 p = 13.20463","m = 0.04147 
 p = 4.96783","m = 0.04989 
 p = 11.63671","m = 0.04018 
 p = 5.05889","m = 0.02906 
 p = 6.96392","m = 0.05515 
 p = 9.08490","m = 0.09334 
 p = 10.73750","m = 0.05825 
 p = 5.12682"
"NCOR2","m = 0.15936 
 p = 30.62447","m = 0.14280 
 p = 26.43700","m = 0.26406 
 p = 31.51570","m = 0.08430 
 p = 10.94939","m = 0.12407 
 p = 17.14286","m = 0.15558 
 p = 15.98099","m = 0.13249 
 p = 21.47588","m = 0.14694 
 p = 17.07943","m = 0.24465 
 p = 41.16906","m = 0.29521 
 p = 35.82818","m = 0.08436 
 p = 9.38929","m = 0.19724 
 p = 17.10739"
"MAML2","m = 0.20035 
 p = 30.62447","m = 0.07324 
 p = 12.15825","m = 0.85591 
 p = 67.14353","m = 0.14551 
 p = 14.19718","m = 0.58560 
 p = 52.81853","m = 0.71643 
 p = 53.12210","m = 0.51219 
 p = 49.00662","m = 0.46545 
 p = 39.56509","m = 0.72685 
 p = 73.15267","m = 0.65797 
 p = 53.67324","m = 0.41011 
 p = 30.84022","m = 0.72554 
 p = 51.69995"
"NUMB","m = 0.18913 
 p = 34.82608","m = 0.17414 
 p = 31.30303","m = 0.28767 
 p = 33.45406","m = 0.27765 
 p = 30.33801","m = 0.45194 
 p = 48.95753","m = 0.19681 
 p = 19.54146","m = 0.24163 
 p = 32.35572","m = 0.22955 
 p = 24.78103","m = 0.34002 
 p = 53.45833","m = 0.43290 
 p = 47.69377","m = 0.13263 
 p = 13.85924","m = 0.27618 
 p = 23.04371"
"NCSTN","m = 0.02688 
 p = 6.31221","m = 0.02919 
 p = 6.05107","m = 0.03695 
 p = 5.55865","m = 0.05324 
 p = 7.90464","m = 0.04423 
 p = 6.87259","m = 0.02905 
 p = 3.51649","m = 0.03310 
 p = 8.04163","m = 0.04299 
 p = 5.28541","m = 0.04003 
 p = 9.46904","m = 0.06240 
 p = 10.28663","m = 0.03513 
 p = 4.35358","m = 0.01767 
 p = 1.72693"
"MAML1","m = 0.05743 
 p = 13.52399","m = 0.05911 
 p = 12.25473","m = 0.05323 
 p = 8.04897","m = 0.03472 
 p = 4.99525","m = 0.05494 
 p = 7.87645","m = 0.03757 
 p = 4.24216","m = 0.03701 
 p = 9.46074","m = 0.03880 
 p = 5.40622","m = 0.08249 
 p = 18.74902","m = 0.06992 
 p = 11.00999","m = 0.04520 
 p = 5.22430","m = 0.05701 
 p = 5.01889"
"EP300","m = 0.14988 
 p = 29.47660","m = 0.14245 
 p = 26.67978","m = 0.17813 
 p = 23.19655","m = 0.10871 
 p = 14.26562","m = 0.15927 
 p = 21.38996","m = 0.14316 
 p = 14.87576","m = 0.14464 
 p = 23.36802","m = 0.18007 
 p = 20.25068","m = 0.23327 
 p = 41.83079","m = 0.24454 
 p = 32.63913","m = 0.14754 
 p = 15.61672","m = 0.14286 
 p = 12.57420"
