name,BetweennessCentrality,Radiality,Degree,NeighborhoodConnectivity,Stress,TopologicalCoefficient
NOTCH1,1.0,0.9575,1.0,0.38,1.0,0.2275862068965517
EP300,0.45309918100873287,0.94625,0.3684210526315789,0.6083333333333333,0.30026990553306343,0.3448275862068966
RBPJ,0.23619013639031092,0.94375,0.5789473684210527,0.5444444444444444,0.2894736842105263,0.3273809523809524
MAML2,0.066003036243264,0.9425,0.5789473684210527,0.5944444444444444,0.13022941970310392,0.3672839506172839
MAML3,0.066003036243264,0.9425,0.5789473684210527,0.5944444444444444,0.13022941970310392,0.3672839506172839
MAML1,0.066003036243264,0.9425,0.5789473684210527,0.5944444444444444,0.13022941970310392,0.3672839506172839
RBPJL,0.012481482553212596,0.93125,0.42105263157894735,0.6666666666666666,0.030364372469635626,0.4230769230769231
NOTCH2,0.034013571844777414,0.9325,0.47368421052631576,0.58,0.0620782726045884,0.3730769230769231
NCOR2,0.2550426478073536,0.92125,0.15789473684210525,0.38333333333333336,0.3090418353576248,0.375
SNW1,0.09069194294021028,0.935,0.21052631578947367,0.64,0.14035087719298245,0.3785714285714285
TLE3,0.39913636497316396,0.9225,0.21052631578947367,0.26666666666666666,0.2341430499325236,0.3
APH1A,0.041417109149486805,0.9175,0.2631578947368421,0.4666666666666667,0.09851551956815115,0.3636363636363636
PSENEN,0.041417109149486805,0.9175,0.2631578947368421,0.4666666666666667,0.09851551956815115,0.3636363636363636
PSEN1,0.041417109149486805,0.9175,0.2631578947368421,0.4666666666666667,0.09851551956815115,0.3636363636363636
NCSTN,0.041417109149486805,0.9175,0.2631578947368421,0.4666666666666667,0.09851551956815115,0.3636363636363636
NUMB,0.13608478720545683,0.91375,0.10526315789473684,0.4444444444444445,0.10998650472334683,0.3508771929824561
HDAC1,0.18018525715366393,0.89875,0.2631578947368421,0.2,0.18218623481781376,0.3333333333333333
