,tau,expected_Atrial Cardiomyocyte,expected_Ventricular Cardiomyocyte,expected_Fibroblast,expected_Endothelial cell,expected_Lymphatic Endothelial cell,expected_Mural cell,expected_Mesothelial cell,expected_Neural cell,expected_Adipocyte,expected_Myeloid,expected_Lymphoid,expected_Mast cell
HDAC1,0.47438353,0.010844237839699686,0.011101449178502953,0.001866062685568267,0.027973155751708233,0.023747442369295362,0.004339633788202039,0.012228431692919645,0.004281306566743108,0.004262576686438189,0.010553259770362922,0.02110955470944377,0.006290764436809295
NOTCH2,0.5744266,0.02964127970848982,0.013272644526669302,0.14865934512282847,0.00017337981343931095,0.003234862234141376,0.007181886415133809,0.1049541486471243,0.03607679249584333,0.19779092867918724,0.17441324844283576,0.008498083732214433,0.03007612753351894
APH1A,0.71137136,0.0011241534169701578,0.0008415881402536216,0.003169950637886117,0.05029793850056895,0.017732427571270918,0.0019127858907692966,0.02617514538054435,0.0027671640722530554,0.001475497166979345,0.016036751779644656,0.012182972698042917,2.528964936395497e-05
NCSTN,0.43404892,0.003573349012943435,0.0037210324449910735,0.004326651828455081,0.008864212393237177,0.006402152949318462,0.002151395151536569,0.0056073558759102875,0.004785866663647505,0.00798473600254146,0.013519826787789237,0.0032210923852703174,0.0006426812118925536
RBPJ,0.8098072,0.13538014735957637,0.1240786766266449,0.15110179107807697,0.04828078503468377,0.1464538592629451,0.0644340073930251,0.11955212988488045,0.07923240974495974,0.1846334394534141,1.5043516378950146,0.07475165827738685,0.03749332417363549
MAML3,0.7617931,0.09639871869941269,0.07676479730269285,0.0543679494591142,0.03407948228085586,0.15763943089481489,0.022790223110172682,0.07717714734312037,0.11215515160661421,0.27357345742467104,0.22848498059307518,0.011245724606304467,0.9642290282879915
MAML1,0.39945552,0.01635935296484273,0.015257794439173803,0.009024353946702923,0.003652603647055397,0.009114995495232836,0.003357437035321412,0.0073744613208518136,0.00441775823811396,0.0325765478220327,0.016214809362832608,0.004973785377588655,0.006026328892657645
NOTCH1,0.67734027,7.32890175781781e-05,0.00011949122688871682,0.0038816979982209555,0.06827018777864803,0.08506102191435325,0.006676597829241418,0.00342606141275128,0.0168540473657229,0.07041972815023176,0.007669080206863207,0.005392866838601149,0.0011454059290551394
MAML2,0.4456484,0.129234763901951,0.018756722844404602,1.210475760490433,0.04351258697602592,0.6514938111470933,0.8016270522904065,0.5286945838801909,0.38788868559339335,1.1199415868072786,0.7438578812563169,0.26640725998709724,0.7900811794700973
NCOR2,0.4654537,0.10279645087300351,0.07951855905329411,0.17528543068823735,0.019442697858421537,0.04479812213352748,0.05236949320481975,0.059931640875373345,0.052862014867898675,0.21214970718580325,0.2227829584604624,0.016683539500177966,0.07107190743563178
PSEN1,0.5608745,0.04417334264033746,0.047456455669676365,0.03768800632450487,0.014953351186702499,0.03622205192978318,0.016920824165014534,0.06519540453588726,0.040226487082248366,0.10930126775845554,0.18763514534690778,0.025002163915513232,0.03425249632667092
NUMB,0.44113177,0.1387353948452792,0.11481666483618305,0.20270537322815538,0.17742492954548145,0.4660388016792798,0.08100769978706908,0.16467393369413033,0.11981910153912909,0.3828652830636274,0.43488770296585416,0.03871665011869274,0.1340482784038097
SNW1,0.21838821,0.02748579048450375,0.024363148853922736,0.037618064892244105,0.04825597231952207,0.05278233407086847,0.021476339172461237,0.04687540368472165,0.020559122519833703,0.061979765462484696,0.0446541532691559,0.03595312059418308,0.011814690768493554
TLE3,0.55838484,0.003967938924127994,0.00034226988680603293,0.0030854151515297356,0.0020967205021595403,0.0009520580438343254,0.00026746213956989914,0.011895804413107057,0.013778502434915157,0.01161834096225844,0.021521038563884886,0.0042054796364643,0.006925383718413915
RBPJL,0.62455606,4.63544615817197e-07,3.076223413827729e-07,5.902029914052003e-07,8.901889395898052e-08,1.4138489810598863e-06,2.523571482089592e-07,7.220698994572927e-06,1.443430410916893e-06,2.1068709948686646e-06,1.8807437973872e-07,2.4877498716906093e-08,8.466187738891363e-07
PSENEN,0.6623954,8.484342262820385e-05,3.3466370835776076e-05,0.0009411537022511369,0.01609762160072154,0.010060191355847023,0.003077143355728902,0.00736683550711048,0.0008085139953128811,0.0001887008509631981,0.006903086041192286,0.010646278189145278,2.565848225445215e-06
EP300,0.35688,0.09305813912406848,0.08005198025455272,0.0870329803422448,0.032665808637497254,0.07175570947323066,0.04485550751180551,0.07119335745908002,0.07680831656503519,0.20552832288724784,0.16811899457480217,0.048530772733761066,0.037835541523538664
