#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
APH1A	APH1B	9606.ENSP00000358105	9606.ENSP00000261879	0	0	0.900	0	0.900
APH1A	NCSTN	9606.ENSP00000358105	9606.ENSP00000294785	0	0.974	0.900	0	0.997
APH1A	PSEN1	9606.ENSP00000358105	9606.ENSP00000326366	0	0.974	0.900	0	0.997
APH1A	PSEN2	9606.ENSP00000358105	9606.ENSP00000355747	0	0.974	0.800	0	0.994
APH1A	NOTCH1	9606.ENSP00000358105	9606.ENSP00000498587	0	0.800	0	0	0.800
APH1A	PSENEN	9606.ENSP00000358105	9606.ENSP00000468411	0	0.945	0.900	0	0.994
APH1B	PSEN2	9606.ENSP00000261879	9606.ENSP00000355747	0	0.759	0.800	0	0.949
APH1B	NCSTN	9606.ENSP00000261879	9606.ENSP00000294785	0	0.762	0.800	0	0.950
APH1B	PSEN1	9606.ENSP00000261879	9606.ENSP00000326366	0	0.759	0.800	0	0.949
APH1B	PSENEN	9606.ENSP00000261879	9606.ENSP00000468411	0	0.743	0.800	0	0.946
ATXN1	ATXN1L	9606.ENSP00000244769	9606.ENSP00000415822	0	0.359	0.900	0	0.933
CREBBP	KAT2A	9606.ENSP00000262367	9606.ENSP00000225916	0	0	0.900	0	0.900
CREBBP	SNW1	9606.ENSP00000262367	9606.ENSP00000451129	0	0	0.800	0	0.800
CREBBP	RBPJ	9606.ENSP00000262367	9606.ENSP00000345206	0	0	0.800	0	0.800
CREBBP	MAML3	9606.ENSP00000262367	9606.ENSP00000421180	0	0	0.800	0	0.800
CREBBP	MAML1	9606.ENSP00000262367	9606.ENSP00000292599	0	0.292	0.800	0	0.852
CREBBP	MAML2	9606.ENSP00000262367	9606.ENSP00000434552	0	0.292	0.800	0	0.852
CREBBP	KAT2B	9606.ENSP00000262367	9606.ENSP00000263754	0	0.457	0.900	0	0.943
CREBBP	EP300	9606.ENSP00000262367	9606.ENSP00000263253	0	0.457	0.900	0	0.943
CTBP1	HDAC2	9606.ENSP00000290921	9606.ENSP00000430432	0	0.457	0.800	0	0.886
CTBP1	HDAC1	9606.ENSP00000290921	9606.ENSP00000362649	0	0.457	0.800	0	0.886
CTBP1	CTBP2	9606.ENSP00000290921	9606.ENSP00000311825	0	0.639	0.900	0	0.962
CTBP2	HDAC1	9606.ENSP00000311825	9606.ENSP00000362649	0	0.329	0.800	0	0.860
CTBP2	HDAC2	9606.ENSP00000311825	9606.ENSP00000430432	0	0.457	0.800	0	0.886
DLL1	DLL3	9606.ENSP00000355718	9606.ENSP00000205143	0	0	0.900	0	0.900
DLL1	DLL4	9606.ENSP00000355718	9606.ENSP00000249749	0	0	0.900	0	0.900
