"gene","Atrial Cardiomyocyte","Ventricular Cardiomyocyte","Fibroblast","Endothelial cell","Lymphatic Endothelial cell","Mural cell","Mesothelial cell","Neural cell","Adipocyte","Myeloid","Lymphoid","Mast cell"
"COX6A2","m = 0.18041 
 p = 38.22396","m = 0.21229 
 p = 43.68727","m = 0.01297 
 p = 2.71051","m = 0.00934 
 p = 1.70032","m = 0.01468 
 p = 3.55212","m = 0.00693 
 p = 1.26586","m = 0.00730 
 p = 3.02744","m = 0.02320 
 p = 4.57566","m = 0.01359 
 p = 3.56074","m = 0.01699 
 p = 3.53907","m = 0.00420 
 p = 0.74633","m = 0.00313 
 p = 0.43173"
"COX7A1","m = 0.15400 
 p = 33.75226","m = 0.18377 
 p = 40.32405","m = 0.02844 
 p = 5.88099","m = 0.20812 
 p = 33.09760","m = 0.10726 
 p = 20.46332","m = 0.09777 
 p = 14.79831","m = 0.02004 
 p = 6.81173","m = 0.04123 
 p = 7.45998","m = 0.04427 
 p = 12.88798","m = 0.01991 
 p = 4.04465","m = 0.00505 
 p = 0.91084","m = 0.00328 
 p = 0.37777"
"ATP6V0C","m = 0.01389 
 p = 5.36473","m = 0.00764 
 p = 2.75811","m = 0.03617 
 p = 8.09967","m = 0.01291 
 p = 2.61283","m = 0.04660 
 p = 9.96139","m = 0.00900 
 p = 1.59380","m = 0.01344 
 p = 5.77105","m = 0.03229 
 p = 5.98007","m = 0.02192 
 p = 7.38932","m = 0.06442 
 p = 14.04154","m = 0.01585 
 p = 2.72851","m = 0.01222 
 p = 1.61900"
"UQCR11","m = 0.06056 
 p = 16.33813","m = 0.04398 
 p = 11.60034","m = 0.03359 
 p = 7.33041","m = 0.20350 
 p = 32.21627","m = 0.12945 
 p = 24.01544","m = 0.09547 
 p = 14.15009","m = 0.10920 
 p = 21.00284","m = 0.04628 
 p = 8.18484","m = 0.03322 
 p = 10.02048","m = 0.15608 
 p = 25.07875","m = 0.18168 
 p = 26.50670","m = 0.00515 
 p = 0.64760"
"UQCRC1","m = 0.11619 
 p = 30.53952","m = 0.11405 
 p = 29.41429","m = 0.02620 
 p = 5.66803","m = 0.04785 
 p = 9.87871","m = 0.03702 
 p = 8.80309","m = 0.05103 
 p = 9.09239","m = 0.06053 
 p = 18.73226","m = 0.03649 
 p = 7.00695","m = 0.04246 
 p = 14.27446","m = 0.06720 
 p = 14.87963","m = 0.04135 
 p = 7.61175","m = 0.00733 
 p = 1.02536"
"NDUFA4","m = 0.17656 
 p = 37.23291","m = 0.13185 
 p = 28.94500","m = 0.05457 
 p = 10.42845","m = 0.29929 
 p = 43.49797","m = 0.15853 
 p = 26.10039","m = 0.12840 
 p = 15.78595","m = 0.24590 
 p = 37.55913","m = 0.09307 
 p = 14.25551","m = 0.05012 
 p = 13.17158","m = 0.15918 
 p = 25.44044","m = 0.16685 
 p = 24.92577","m = 0.00610 
 p = 0.80950"
"COX5A","m = 0.14114 
 p = 34.00057","m = 0.17469 
 p = 40.43889","m = 0.03162 
 p = 6.94940","m = 0.10688 
 p = 20.34828","m = 0.08820 
 p = 19.22780","m = 0.05489 
 p = 9.83622","m = 0.08617 
 p = 22.61116","m = 0.04131 
 p = 7.77711","m = 0.07293 
 p = 21.77407","m = 0.09440 
 p = 19.16540","m = 0.08547 
 p = 14.70187","m = 0.00722 
 p = 0.97140"
"UQCRQ","m = 0.08261 
 p = 20.95358","m = 0.08492 
 p = 21.69367","m = 0.04002 
 p = 8.23005","m = 0.19242 
 p = 30.84674","m = 0.11312 
 p = 21.69884","m = 0.09394 
 p = 14.39771","m = 0.16216 
 p = 30.36897","m = 0.04832 
 p = 8.38115","m = 0.05703 
 p = 17.44131","m = 0.12166 
 p = 21.01855","m = 0.12861 
 p = 20.25921","m = 0.00296 
 p = 0.43173"
"COX5B","m = 0.15125 
 p = 34.52767","m = 0.13596 
 p = 32.43668","m = 0.05524 
 p = 10.69791","m = 0.26414 
 p = 40.54142","m = 0.14544 
 p = 26.64093","m = 0.17912 
 p = 23.56467","m = 0.22493 
 p = 38.59981","m = 0.07792 
 p = 12.63969","m = 0.07573 
 p = 21.45896","m = 0.15215 
 p = 25.70879","m = 0.15091 
 p = 23.56552","m = 0.00549 
 p = 0.75553"
"COX7C","m = 0.15608 
 p = 34.35560","m = 0.13932 
 p = 32.13623","m = 0.07240 
 p = 13.51201","m = 0.24959 
 p = 38.56583","m = 0.18039 
 p = 29.96139","m = 0.14287 
 p = 19.50417","m = 0.29303 
 p = 43.23557","m = 0.07330 
 p = 12.29236","m = 0.06907 
 p = 18.46542","m = 0.18119 
 p = 28.73449","m = 0.25979 
 p = 35.23393","m = 0.00624 
 p = 0.91743"
