,tau,expected_Atrial Cardiomyocyte,expected_Ventricular Cardiomyocyte,expected_Fibroblast,expected_Endothelial cell,expected_Lymphatic Endothelial cell,expected_Mural cell,expected_Mesothelial cell,expected_Neural cell,expected_Adipocyte,expected_Myeloid,expected_Lymphoid,expected_Mast cell
UQCRH,0.479521,0.23947632256949264,0.3073003161829261,0.013088118212488405,0.09967660864497911,0.07802045248650216,0.05323031671339464,0.13273203215062224,0.01298356875304692,0.169289793604957,0.11136296664440372,0.09649900396202551,0.0009487039207029009
COX5B,0.53395265,0.15809928853391694,0.13350733013409607,0.01788859241775798,0.32418609750546873,0.11730137824091673,0.1277768577983466,0.26283682441530976,0.02981635413296595,0.04919404471805194,0.11841633310362222,0.10765757958269667,0.00012552861226808041
UQCRC1,0.5841247,0.10741777728810312,0.10155503573199386,0.00449536636810129,0.014309704258869705,0.009866829901128202,0.014046342596648916,0.034326309315303415,0.007740373159239782,0.01834782263566626,0.030270865047167618,0.00952748457192131,0.00022766535676497091
NDUFS4,0.43558738,0.2518718571612634,0.28681533787635693,0.075125115342636,0.05269467551093343,0.057342461867682264,0.06998054730294158,0.10864252579471585,0.06949258297096743,0.17551199289613095,0.07938664376547923,0.026472059569325534,0.02195810313103846
COX7C,0.525261,0.16232964038155603,0.1355379914185415,0.029614012612707952,0.29139943253581074,0.16361938885280064,0.08435906140535515,0.3835397908568044,0.027277810381496466,0.038608317987851616,0.15761679168232068,0.2770999605430281,0.0001733927312520666
UQCRQ,0.5580789,0.052401357878919114,0.05576719705537559,0.009971289116329184,0.17968296597681183,0.07431011982405968,0.04094372558924048,0.14908108972330192,0.012261118605953443,0.030114332465500424,0.07741445316002425,0.07887765879032556,3.870536009813732e-05
NDUFA4,0.5835234,0.19900884671346367,0.1155353232256349,0.01722701348258845,0.3941167534750626,0.1252614163063668,0.06136341880163439,0.2796013187211757,0.04016558794916234,0.019984394053652547,0.12259642182633224,0.12590206480649987,0.0001495239398750304
COX7B,0.46695718,0.13568836549374752,0.12154745985781426,0.00722680780616338,0.16749009499463385,0.05097253621775211,0.07695273515605819,0.15402235455860364,0.010627355632447866,0.021985699266678933,0.092751935583376,0.09254353738416592,6.1318021985369e-05
UQCRB,0.45074466,0.20508537445987327,0.10611908279176115,0.014243627925183529,0.24531514758569858,0.14032756389338077,0.057716818426071896,0.2191996700716335,0.0190415938849789,0.014169511906608966,0.17435885610869,0.2166890764220187,0.00013406109316118717
CYC1,0.40629485,0.0963248674682743,0.10137587151888201,0.010616762752137653,0.047767136749725034,0.033916903750316515,0.053109575957796425,0.08634944661901937,0.009160224970501018,0.03484991556953516,0.019845716095729177,0.020238289059322973,0.00019689201625115282
NDUFS8,0.4286583,0.07886497890683625,0.07777144142305098,0.005648826992389565,0.046677551578058536,0.02186033684314448,0.02032352258689445,0.0817211511119312,0.007014095319681966,0.027188334248376606,0.02415963395840645,0.036624061363905336,0.00013979217183313303
COX5A,0.57836956,0.14527922373959845,0.21386281725031522,0.00665124695321607,0.06583692209085426,0.05133906432560512,0.016346029144646283,0.0589842488716093,0.009724935232620878,0.04807586312688428,0.054769593730151056,0.03803827842771792,0.00021228638537433168
ATP6V0C,0.68683666,0.002256025173094103,0.0006376449978802902,0.008869788317254485,0.001020990787842016,0.014051960679094764,0.00043408643207950393,0.0023480079638134674,0.0058458152898522315,0.004903983226747649,0.027384970606193982,0.001309106550795645,0.0005988855491891399
UQCRC2,0.49926844,0.2921297407729814,0.26752121640916926,0.038969103952318694,0.08216194875960721,0.045852112493920044,0.05817663878729285,0.09158698307982908,0.025358755165124293,0.16930421543098798,0.06183472848646014,0.03282719676009668,0.0048233237151705894
COX6A2,0.8746374,0.20876474365926634,0.2807681431949598,0.001064602859062717,0.00048078050714614045,0.0015789296348582822,0.0002654820575049458,0.0006689865744779329,0.0032140507673036295,0.0014649271878160151,0.001820783032197748,9.490212969838897e-05,4.0847753841556605e-05
COX4I1,0.45511702,0.2316454956504573,0.19713560277155143,0.02565255127084894,0.380398061075055,0.20254923965940141,0.08903915426463566,0.38284137283954967,0.034615474456892524,0.048581468823276505,0.23772326529394605,0.32824290155092084,0.000510787672759775
UQCR11,0.60031885,0.029953642787386207,0.015445900004009203,0.007454860610215167,0.19846659645164544,0.09411373451409653,0.04089713277838017,0.06943213319372432,0.011466830748332229,0.010077737054618978,0.11849792613030148,0.14578864345982182,0.00010086830224916218
UQCRFS1,0.4481036,0.08924899028866068,0.09271894578390895,0.005665714259421544,0.03201253154963025,0.016996012633831804,0.026140784807376072,0.06026565712808773,0.00725737883988121,0.04175308860670549,0.021916378775532343,0.024128714133759256,0.0024050495075137305
COX6B1,0.4626746,0.07957669182693672,0.08174884749752157,0.012847580526144587,0.1862708843405684,0.08196306757945351,0.06590124976852327,0.18825509712847208,0.018247103275254715,0.016499435749507727,0.13677162380423052,0.1491015065626122,0.00012972165970659487
COX7A1,0.69204277,0.1573588674198433,0.22433125272719048,0.005062574800221959,0.20853332919379358,0.06644546836039275,0.0438001682187251,0.004133168886377774,0.00931104870045592,0.017273701906993066,0.0024378631545472476,0.00013927752581087115,3.754700691360303e-05
UQCR10,0.48437226,0.04407215948259196,0.04111811884185526,0.0049154964407913965,0.08769704750892188,0.03863533571880296,0.026353123662596983,0.1116009263802838,0.009422887648854938,0.0093321075364513,0.07009947061891043,0.07537106610580485,1.706595216459091e-05
MT-CO1,0.4182596,0.4321446765450895,0.18980342706119527,1.252579608690967,1.6648288856363627,1.7419683714170713,0.6911224612061988,1.7833668696169824,1.0266466551372848,0.824459897940302,2.396812116135907,2.445951306124425,0.2980888605246464
MT-CYB,0.3553078,0.17577624198946976,0.06540476079536194,0.89575891744559,1.3299180239462807,1.3905357173971227,0.41283833609915416,1.1351624946043868,0.7101699684869482,0.5916797377395691,1.4127934625638072,1.3293940938692894,0.1649279319075591
