#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ATP12A	ATP4A	9606.ENSP00000218548	9606.ENSP00000262623	0	0	0.900	0	0.900
ATP12A	ATP4B	9606.ENSP00000218548	9606.ENSP00000334216	0	0.448	0.900	0	0.942
ATP4A	ATP4B	9606.ENSP00000262623	9606.ENSP00000334216	0	0.738	0.900	0	0.972
ATP5F1A	ATP5F1D	9606.ENSP00000381736	9606.ENSP00000215375	0	0.906	0.980	0	0.998
ATP5F1A	ATP6V1D	9606.ENSP00000381736	9606.ENSP00000216442	0	0	0.900	0	0.900
ATP5F1A	ATP6V1B1	9606.ENSP00000381736	9606.ENSP00000234396	0	0	0.900	0	0.900
ATP5F1A	ATP5F1E	9606.ENSP00000381736	9606.ENSP00000243997	0	0.775	0.967	0	0.992
ATP5F1A	ATP6V1E1	9606.ENSP00000381736	9606.ENSP00000253413	0	0	0.744	0	0.744
ATP5F1A	ATP5F1B	9606.ENSP00000381736	9606.ENSP00000262030	0	0.908	0.967	0	0.996
ATP5F1A	ATP6V1A	9606.ENSP00000381736	9606.ENSP00000273398	0	0.205	0.900	0	0.917
ATP5F1A	ATP6V1B2	9606.ENSP00000381736	9606.ENSP00000276390	0	0.307	0.900	0	0.927
ATP5F1A	ATP5MC3	9606.ENSP00000381736	9606.ENSP00000284727	0	0.720	0.764	0	0.931
ATP5F1A	ATP5PO	9606.ENSP00000381736	9606.ENSP00000290299	0	0.791	0.978	0	0.995
ATP5F1A	ATP5MF	9606.ENSP00000381736	9606.ENSP00000292475	0	0.764	0.900	0	0.975
ATP5F1A	ATP5MG	9606.ENSP00000381736	9606.ENSP00000300688	0	0.755	0.944	0	0.985
ATP5F1A	ATP5PD	9606.ENSP00000381736	9606.ENSP00000301587	0	0.894	0.967	0	0.996
ATP5F1A	ATP5ME	9606.ENSP00000381736	9606.ENSP00000306003	0	0.907	0.967	0	0.996
ATP5F1A	ATP6V0C	9606.ENSP00000381736	9606.ENSP00000329757	0	0.624	0.510	0	0.808
ATP5F1A	ATP5F1C	9606.ENSP00000381736	9606.ENSP00000349142	0	0.897	0.980	0	0.997
ATP5F1A	MT-ATP6	9606.ENSP00000381736	9606.ENSP00000354632	0	0.786	0.980	0	0.995
ATP5F1A	MT-ATP8	9606.ENSP00000381736	9606.ENSP00000355265	0	0.377	0.967	0	0.979
ATP5F1A	ATP5PB	9606.ENSP00000381736	9606.ENSP00000358737	0	0.890	0.967	0	0.996
ATP5F1A	ATP5MC1	9606.ENSP00000381736	9606.ENSP00000377033	0	0.518	0.856	0	0.928
ATP5F1A	ATP6V1F	9606.ENSP00000381736	9606.ENSP00000417378	0	0	0.851	0	0.851
ATP5F1A	ATP5MGL	9606.ENSP00000381736	9606.ENSP00000421076	0	0.500	0.744	0	0.866
ATP5F1A	ATP5MC2	9606.ENSP00000381736	9606.ENSP00000499883	0	0.719	0.764	0	0.931
ATP5F1A	ATP5PF	9606.ENSP00000381736	9606.ENSP00000389649	0	0.887	0.900	0	0.988
ATP5F1B	ATP5F1D	9606.ENSP00000262030	9606.ENSP00000215375	0	0.899	0.967	0	0.996
ATP5F1B	ATP6V1D	9606.ENSP00000262030	9606.ENSP00000216442	0	0	0.791	0	0.791
ATP5F1B	ATP6V1B1	9606.ENSP00000262030	9606.ENSP00000234396	0	0	0.925	0	0.925
ATP5F1B	ATP5F1E	9606.ENSP00000262030	9606.ENSP00000243997	0	0.560	0.967	0	0.985
ATP5F1B	ATP6V1E1	9606.ENSP00000262030	9606.ENSP00000253413	0	0	0.925	0	0.925
ATP5F1B	ATP6V1H	9606.ENSP00000262030	9606.ENSP00000352522	0	0	0.720	0	0.720
