"gene","Atrial Cardiomyocyte","Ventricular Cardiomyocyte","Fibroblast","Endothelial cell","Lymphatic Endothelial cell","Mural cell","Mesothelial cell","Neural cell","Adipocyte","Myeloid","Lymphoid","Mast cell"
"KIT","m = 0.00086 
 p = 0.24395","m = 0.00078 
 p = 0.17671","m = 0.00104 
 p = 0.22817","m = 0.00659 
 p = 0.98323","m = 0.00288 
 p = 0.38610","m = 0.00089 
 p = 0.11282","m = 0.00366 
 p = 1.22990","m = 0.00295 
 p = 0.43793","m = 0.00145 
 p = 0.37813","m = 0.00193 
 p = 0.27807","m = 0.00621 
 p = 0.74232","m = 1.00000 
 p = 77.92768"
"FLT4","m = 0.00032 
 p = 0.08059","m = 0.00017 
 p = 0.04667","m = 0.00051 
 p = 0.12459","m = 0.03116 
 p = 5.17395","m = 0.33548 
 p = 46.10039","m = 0.00042 
 p = 0.07266","m = 0.00190 
 p = 0.66225","m = 0.00118 
 p = 0.22652","m = 0.00168 
 p = 0.50418","m = 0.00046 
 p = 0.09723","m = 0.00283 
 p = 0.38119","m = 0.00101 
 p = 0.16190"
"ERBB3","m = 0.00311 
 p = 0.78195","m = 0.00298 
 p = 0.71732","m = 0.00366 
 p = 0.70986","m = 0.00098 
 p = 0.18326","m = 0.00339 
 p = 0.54054","m = 0.00113 
 p = 0.16636","m = 0.00940 
 p = 3.40587","m = 0.28692 
 p = 34.41558","m = 0.00667 
 p = 2.04821","m = 0.00104 
 p = 0.21001","m = 0.00168 
 p = 0.22871","m = 0.00508 
 p = 0.64760"
"IL2RG","m = 0.00005 
 p = 0.02396","m = 0.00011 
 p = 0.02045","m = 0.00018 
 p = 0.08765","m = 0.00292 
 p = 0.54599","m = 0.00421 
 p = 0.84942","m = 0.00014 
 p = 0.02295","m = 0.00041 
 p = 0.47304","m = 0.00081 
 p = 0.13591","m = 0.00130 
 p = 0.36238","m = 0.02769 
 p = 5.23860","m = 0.23511 
 p = 29.39170","m = 0.00548 
 p = 0.59363"
"PIK3R6","m = 0.00302 
 p = 0.69047","m = 0.00196 
 p = 0.46458","m = 0.00187 
 p = 0.40926","m = 0.01309 
 p = 1.96570","m = 0.00303 
 p = 0.46332","m = 0.00121 
 p = 0.16158","m = 0.00335 
 p = 1.13529","m = 0.00144 
 p = 0.28692","m = 0.00221 
 p = 0.74051","m = 0.02952 
 p = 5.75779","m = 0.00739 
 p = 1.02720","m = 0.27294 
 p = 28.11657"
"CSF1R","m = 0.00087 
 p = 0.24177","m = 0.00073 
 p = 0.18667","m = 0.00702 
 p = 1.44363","m = 0.00110 
 p = 0.18098","m = 0.01419 
 p = 2.47104","m = 0.03023 
 p = 3.68380","m = 0.00565 
 p = 1.98675","m = 0.00464 
 p = 0.81546","m = 0.00500 
 p = 1.70159","m = 0.23782 
 p = 35.62984","m = 0.00319 
 p = 0.62595","m = 0.00350 
 p = 0.48570"
"PDGFRA","m = 0.00176 
 p = 0.63166","m = 0.00067 
 p = 0.20869","m = 0.31771 
 p = 38.61360","m = 0.00295 
 p = 0.60758","m = 0.01341 
 p = 2.39382","m = 0.00471 
 p = 0.70655","m = 0.03925 
 p = 8.23084","m = 0.03546 
 p = 5.58744","m = 0.03980 
 p = 9.26422","m = 0.00352 
 p = 0.81282","m = 0.00156 
 p = 0.30094","m = 0.00331 
 p = 0.37777"
"PDGFRB","m = 0.00361 
 p = 0.92788","m = 0.00373 
 p = 0.82376","m = 0.26415 
 p = 35.43081","m = 0.00863 
 p = 1.50565","m = 0.01257 
 p = 1.69884","m = 0.84014 
 p = 76.37222","m = 0.01905 
 p = 5.48723","m = 0.08583 
 p = 11.85442","m = 0.06615 
 p = 15.18828","m = 0.00552 
 p = 1.08505","m = 0.01112 
 p = 1.70532","m = 0.00843 
 p = 0.91743"
"CSF3R","m = 0.00196 
 p = 0.61859","m = 0.00080 
 p = 0.19978","m = 0.01496 
 p = 2.71486","m = 0.00071 
 p = 0.12243","m = 0.01128 
 p = 1.31274","m = 0.00085 
 p = 0.12620","m = 0.00434 
 p = 1.89215","m = 0.00244 
 p = 0.55874","m = 0.01083 
 p = 3.13534","m = 0.11256 
 p = 18.24758","m = 0.00480 
 p = 0.76238","m = 0.01909 
 p = 1.99676"
"PIK3AP1","m = 0.00518 
 p = 1.43974","m = 0.00560 
 p = 1.50490","m = 0.00365 
 p = 0.80258","m = 0.00116 
 p = 0.19543","m = 0.01532 
 p = 2.85714","m = 0.00127 
 p = 0.16062","m = 0.00852 
 p = 2.74361","m = 0.00423 
 p = 0.70976","m = 0.00553 
 p = 1.63857","m = 0.27170 
 p = 39.38280","m = 0.05577 
 p = 7.60774","m = 0.08181 
 p = 8.95845"
