,tau,expected_Atrial Cardiomyocyte,expected_Ventricular Cardiomyocyte,expected_Fibroblast,expected_Endothelial cell,expected_Lymphatic Endothelial cell,expected_Mural cell,expected_Mesothelial cell,expected_Neural cell,expected_Adipocyte,expected_Myeloid,expected_Lymphoid,expected_Mast cell
GNB1,0.43074006,0.10201903047590935,0.09065305024071349,0.18730819782004113,0.27460342706154023,0.48331527709960936,0.12952998594211368,0.1562025783867236,0.11371177217096981,0.356909857014887,0.5114424747858907,0.12834621928455875,0.11188107712874847
PIK3CD,0.78033537,0.0005845970468239941,0.0003223803835687512,0.0005591700178900285,2.153568911142691e-05,0.0018240833173157165,0.0006247595395374025,0.010276814057450309,0.0005734856576582559,0.0013955008201576957,0.04159040046174945,0.05857504130691713,0.025084858914034083
MTOR,0.4495532,0.07313905157446952,0.055749914447497786,0.034378474475870203,0.006878333308661303,0.023597991512548967,0.01349558260748033,0.018904166421240643,0.0199733377313081,0.10557890657704704,0.029700224373975112,0.009852794556793379,0.010587322128121428
EPHA2,0.7404187,0.001835377641235283,0.0004286921443595915,0.00024350172304795397,0.013727637303790632,0.01772471107111014,0.005542483254096769,0.007290242918279786,0.00021501279364887662,0.00039344402571559915,1.119017556444583e-05,4.392701038807791e-06,2.2758573446477095e-06
CSF3R,0.9417959,3.158139874579114e-05,4.160606570568815e-06,0.0010594907423392232,2.274319790435433e-06,0.0003863518734005888,2.7963273955155332e-06,0.0002142886720181865,3.5629264151886204e-05,0.0008860276224027379,0.05358274356304396,9.550822644782443e-05,0.000994324943485996
PIK3R3,0.92691445,0.037699275928582146,0.006733275140552602,0.00047409962369595547,0.36863849352423284,0.013311022393491734,0.0002265172845416517,0.00365136939478913,0.0006946021177907502,0.001342566954759945,0.0038756706449048356,0.0003470032985683391,0.0001399955600178441
JAK1,0.38879368,0.2308539262991252,0.17293545951078662,0.29292240647014833,0.18917418392859167,0.35619660602112996,0.15732010361313833,0.15038916358659035,0.12078321963881697,0.39207246710376253,0.26723006588016374,0.43875491196984284,0.09227911845710042
NTRK1,0.8936392,1.7185112355679692e-06,2.008221010567101e-06,0.004683132418222383,8.525322067658714e-07,1.7086283077259321e-06,0.00018380003769842944,0.0001743449816302297,8.491419435190997e-05,0.0008445271046232648,6.267740285975979e-06,1.2818609566350263e-05,0.0001746466110927378
LAMC1,0.73042583,0.09156347582889718,0.09508615365629586,1.1125150480160204,0.06802752954140122,0.30172462242450493,0.09338470681891033,0.08075160318201402,0.36220553070891837,0.9141779658699368,0.009290232315033063,0.00021642532781688468,0.0005914298018377276
SOS1,0.6322723,0.30583078479780346,0.38135800402388614,0.14549600198783444,0.10745228894341285,0.17359566320323574,0.06329670181583787,0.142029244012165,0.11557112054517356,1.04264249173566,0.15279368777070726,0.18368163820149552,0.0467055967641533
TGFA,0.8275417,0.0002879741759283718,0.0006244140461549787,5.841465043354992e-06,3.1841193271958735e-06,0.00030265938361178957,7.667731629483527e-07,5.545480619118592e-05,0.00019063899415618018,0.00010773839380011627,0.0013960326859838407,0.0002276816460438567,0.0031027680095053983
ITGA6,0.8809934,0.00721278169983362,0.009083100658152914,0.00018612865456678291,0.5823168825937322,0.09053137647599327,9.777135894497621e-05,0.018231656476361862,0.05275787507180756,0.0433499245206371,0.002168544167927635,0.013316579115241539,0.0003473380046780535
ITGAV,0.5360553,0.2243255039227946,0.37596081139551163,0.10508256446775102,0.051728564676216476,0.13019022172942585,0.009303978759505754,0.07353590224414021,0.1326844884491658,0.17167677713300705,0.05883380137559242,0.004511877386774319,0.011968365470847115
IRS1,0.76481396,0.012167973451290228,0.021087735560439653,0.01929969662477769,8.949410908406037e-05,0.0001800850235127114,0.00106131044088117,0.0016557747390660456,0.017565595189166266,0.07240811772133884,4.259027145053657e-05,2.1831217599272888e-05,4.837272766147249e-05
RAF1,0.4998636,0.4251440942711978,0.3667863740736496,0.09927511191960457,0.0386751233049275,0.0705597318967797,0.055175709091640164,0.07292167705641453,0.08834854442523851,0.2200598072137948,0.10829475583354387,0.036178163742236556,0.053817638434787346
ITGB5,0.53006816,0.027069463936425345,0.038715133393956595,0.07705112207087425,0.03186158490953308,0.001587890151844982,0.012225580734550705,0.035305586871721896,0.005237607853006143,0.11139044470349052,0.08095455315716416,0.00012648515071429596,0.000545873594682923
PIK3CB,0.38062125,0.1364336877192106,0.11967782792391334,0.027882794346827004,0.02810412898117506,0.0390653116822703,0.005705877561546556,0.03397641524799387,0.02201572732509929,0.16422496965894257,0.11681343826637318,0.016492345954736448,0.06710256297589634
PIK3CA,0.44200075,0.07052796398146308,0.046196798130047095,0.08621598779993277,0.030324176843141603,0.08386157596893752,0.05604282861371701,0.055051050523371774,0.04384290145013096,0.1665701975836723,0.071831236425546,0.02482255601931246,0.1203070840382666
FGFR3,0.85978186,1.4847248964425006e-07,2.7607856029742766e-08,1.6745130375757848e-05,0.0005493260650080712,0.00022349412837083734,3.2379351432068975e-05,2.8478508584321166e-05,1.0124158985604516e-05,6.776155291466482e-06,4.629947785829946e-07,1.7333572038936869e-07,0.0
PDGFRA,0.9581101,2.8968611997661046e-05,3.63005853758285e-06,0.3200499994364234,4.681268172436833e-05,0.0008376506592316056,8.677933337681482e-05,0.00842798093832543,0.005168905231355721,0.009619585102667897,7.455084231380301e-05,1.2265136578286136e-05,3.261569308401505e-05
KIT,0.99734217,5.458999556703279e-06,3.578298611696422e-06,6.207129508049134e-06,0.00016893096292822503,2.8982869993075443e-05,2.622651233202769e-06,0.00011753128504939202,3.3672923127673646e-05,1.4331518995662328e-05,1.3973535024151522e-05,0.00012035428156007324,2.032974418150176
KDR,0.84478015,3.7002209152656582e-06,1.6692103392710554e-06,5.607791735419739e-05,0.15447418266618884,0.147148903709581,3.3658581208764116e-05,0.09610380935804282,6.922133260175059e-05,0.00015812703281082243,2.7019922850711556e-05,5.840854979372887e-06,1.8886750623286257e-05
EGF,0.9137205,0.15518706697216095,0.0823188168733373,3.927992533037402e-05,1.438309071217058e-05,1.7839385390741946e-05,5.7391632214485915e-06,0.0005791636823536432,0.0003699795178432221,0.0004409476662735799,0.00012150063581365699,8.759351820770098e-06,4.688843369033616e-05
PRLR,0.7666048,5.176517453470403e-05,4.7059523418430876e-05,0.0003270003005588617,5.767143412097036e-06,2.9503049968982753e-05,0.00276394433669962,0.00042983073681282806,0.00028116761714364063,0.00035860343220404077,0.003427339468045714,4.109579377846765e-06,9.05827440711465e-05
GHR,0.8627827,0.3568651794216233,0.2518233476009662,0.1690786511725947,0.006807105419916878,0.038985190359321804,0.05515581353529083,0.1282720243242854,0.029447070673688666,1.8914696012160073,0.0003971609171820842,6.750569633326977e-05,0.0004801948932268397
PIK3R1,0.46614665,0.3502247146589433,0.7648163179665918,0.27620319313902997,0.009186746598180676,0.054441404641825265,0.02004043788816818,0.11710251209413317,0.4448682892830197,0.6833940245738194,0.28496192425764116,0.29277646767367005,0.2088555137144831
PPP2CA,0.5180231,0.02982840231816118,0.011539157574818498,0.015923051263166003,0.03455245869147732,0.02497483201929041,0.008485689834762524,0.030001311902178834,0.00928593077928917,0.020547305784470383,0.07151888332177603,0.031007045066650356,0.0013686820655594758
CSF1R,0.9709073,5.487260823312614e-06,3.5394166621285936e-06,0.0002642753536278912,5.1920239182156454e-06,0.000914548446773102,0.002904962173822297,0.00029302152823533446,9.873790547760257e-05,0.00022199369259137553,0.22105872630957094,5.203062167243048e-05,4.432191172613688e-05
PDGFRB,0.94710916,8.74043350071231e-05,8.015134645534434e-05,0.24415633741989243,0.00033914011761714403,0.0005572153967319769,1.6738957176986442,0.0027272418183657845,0.026544000491009342,0.0262096243823478,0.00015631486884375989,0.000494560588908472,0.00020177669207984154
FLT4,0.98871857,6.725493567814355e-07,2.0519953416567153e-07,1.6510501983721741e-06,0.00420547265602352,0.4034716660911972,8.055311852741027e-07,3.276158444928808e-05,6.953420720002112e-06,2.2139486523525012e-05,1.1615865848176433e-06,2.8110711348250754e-05,4.278811919153605e-06
HSP90AB1,0.5771966,0.09032067036400747,0.057240986142071744,0.11488978514257367,0.5892392209870594,0.24865082562199894,0.10512125199181628,0.31704811465661253,0.08956238677839397,0.12882510188697585,0.2227239342139741,0.358988485011231,0.0014583584819847484
EGFR,0.7670602,0.07782732797952731,4.7545034788417284e-05,0.5941825359527612,0.029152239076737953,0.001211238865341459,0.07635400066237322,0.24354588274924172,0.014632456193640671,0.6867594407715534,0.0006194442483222606,3.456710276117907e-05,0.00010939396835393153
GNB2,0.6913381,0.0020948420522862686,0.0008360556628750202,0.011786154600962677,0.15595289387361555,0.06648993756780293,0.025012354200977947,0.04740387003942831,0.011599479553131349,0.00782290792228557,0.0667921471563543,0.03236473882244253,0.0006151300665499774
EPO,0.74081683,3.5765469576464827e-09,1.453195718239584e-09,4.8358203705414654e-08,9.734364624151945e-09,5.532681319905755e-07,1.234589535573283e-08,0.0,5.860230305303272e-08,5.265615042049584e-07,7.340895387331784e-08,2.1358712836197183e-08,0.0
PIK3CG,0.7989483,5.137467867341647e-07,4.794481235560357e-07,1.309884063199819e-05,0.00010219778468132173,0.0012958244237200173,4.0901198204034653e-07,2.6567643481882093e-05,1.0860931410669956e-05,4.503161352810398e-05,0.00847573845515761,0.008661003883047037,0.004055899410587481
LAMB1,0.70256704,0.005022543839241601,0.013906209758941869,0.6426536610287882,0.02947530057089333,0.07931762033908063,0.07981218926643965,0.26653180848683744,0.41693853030425115,0.5810199441995436,0.00120089555191302,0.00010003411484543368,0.00016473367995207077
MET,0.89246935,0.023756761493753695,0.014492340418261815,0.0001166737702197579,0.00695991257987391,0.009807140037820147,6.690585763476172e-06,0.22265162282996057,0.0008735859407124941,0.007439654750703395,0.0016704357427984276,1.1124222851550058e-05,5.1740016154965e-05
IL2RG,0.9832566,2.880538671670655e-08,5.7571126216668295e-08,4.1313045190334295e-07,4.157449056931464e-05,9.332840478328205e-05,8.561808268692663e-08,5.0719060856662164e-06,2.8634198883065142e-06,1.2281967882534754e-05,0.0037847446268392884,0.18027585429399454,8.490514130815581e-05
EIF4EBP1,0.5777694,0.0014285052497889986,0.0008968871347026029,0.004308866898494389,0.003679916362908217,0.0052316296975124755,0.0019401510905110737,0.026886659023213636,0.0007867114306198295,0.02075102677378332,0.015085891019559466,0.0015257795332867378,0.0002232562113277859
FGFR1,0.6165795,0.153926378959681,0.17378359803161564,0.3365691388423153,0.06555407522413732,0.05719921782210067,0.006489040750315328,0.11645086610102946,0.03382065481773787,0.37916397888753967,0.032245822597684916,0.001412616526812193,0.006235777849258118
YWHAZ,0.3824961,0.10146964111755201,0.12047353078870066,0.08811452666721273,0.12539639781080794,0.25665673330483746,0.11391133258904705,0.16157498191636807,0.0672387442301494,0.32094009736400525,0.35392746890861054,0.30142645472441676,0.07092092256576901
PTK2,0.3435817,0.5571818967772352,0.5126059166792899,0.5116697544544015,0.26872962115858035,0.5364340666178111,0.4829555846942427,0.3859880460019143,0.613455614342282,0.6095284473732623,0.16327965833275396,0.001643349384042513,0.1519009517902821
JAK2,0.5518524,0.08728018848293269,0.15910193910509243,0.06326299741497761,0.014271515079570956,0.042155559573854716,0.006659133175453995,0.04445188704705395,0.021730773072162087,0.22153707597318434,0.22287468484757925,0.02046861062294962,0.039275892187438655
NTRK2,0.8254425,0.06184042527668306,6.692216556633933e-05,0.014319905664491565,0.0021326747358871917,0.0005860456168421446,0.008745301570604594,0.006084837942836187,0.0017123605928835786,0.13884663600630134,3.3073895421619894e-05,9.382868734373058e-06,0.00016380762867327967
