#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AKT1	NOS3	9606.ENSP00000451828	9606.ENSP00000297494	0	0.592	0.500	0	0.787
AKT1	HSP90AA1	9606.ENSP00000451828	9606.ENSP00000335153	0	0.458	0.800	0	0.887
AKT1	PDPK1	9606.ENSP00000451828	9606.ENSP00000344220	0	0.639	0.700	0	0.887
AKT1	THEM4	9606.ENSP00000451828	9606.ENSP00000357804	0	0.457	0.500	0	0.716
AKT1	AKT2	9606.ENSP00000451828	9606.ENSP00000375892	0	0.655	0.900	0	0.964
AKT1	AKT3	9606.ENSP00000451828	9606.ENSP00000500582	0	0.592	0.900	0	0.957
AKT2	THEM4	9606.ENSP00000375892	9606.ENSP00000357804	0	0	0.700	0	0.700
AKT2	AKT3	9606.ENSP00000375892	9606.ENSP00000500582	0	0.162	0.900	0	0.912
ANGPT1	ANGPT2	9606.ENSP00000428340	9606.ENSP00000314897	0	0	0.900	0	0.900
ANGPT1	TEK	9606.ENSP00000428340	9606.ENSP00000369375	0	0.667	0.900	0	0.965
ANGPT1	ANGPT4	9606.ENSP00000428340	9606.ENSP00000371347	0	0.229	0.900	0	0.919
ANGPT2	ANGPT4	9606.ENSP00000314897	9606.ENSP00000371347	0	0	0.900	0	0.900
ANGPT2	TEK	9606.ENSP00000314897	9606.ENSP00000369375	0	0.730	0.900	0	0.971
ANGPT4	TEK	9606.ENSP00000371347	9606.ENSP00000369375	0	0.537	0.900	0	0.951
AREG	EGFR	9606.ENSP00000379097	9606.ENSP00000275493	0	0.662	0.400	0	0.788
ARTN	RET	9606.ENSP00000387435	9606.ENSP00000347942	0	0.900	0.400	0	0.937
ATF2	CREB3L3	9606.ENSP00000264110	9606.ENSP00000078445	0	0	0.900	0	0.900
ATF2	CRTC2	9606.ENSP00000264110	9606.ENSP00000357622	0	0	0.800	0	0.800
ATF2	CREB3L4	9606.ENSP00000264110	9606.ENSP00000271889	0	0	0.900	0	0.900
ATF2	CREB3L1	9606.ENSP00000264110	9606.ENSP00000481956	0	0	0.900	0	0.900
ATF2	CREB3L2	9606.ENSP00000264110	9606.ENSP00000329140	0	0	0.900	0	0.900
ATF2	ATF6B	9606.ENSP00000264110	9606.ENSP00000364349	0	0	0.900	0	0.900
ATF2	ATF4	9606.ENSP00000264110	9606.ENSP00000336790	0	0.193	0.900	0	0.915
ATF2	CREB3	9606.ENSP00000264110	9606.ENSP00000342136	0	0	0.900	0	0.900
ATF2	CREB1	9606.ENSP00000264110	9606.ENSP00000387699	0	0.302	0.900	0	0.927
