"gene","Atrial Cardiomyocyte","Ventricular Cardiomyocyte","Fibroblast","Endothelial cell","Lymphatic Endothelial cell","Mural cell","Mesothelial cell","Neural cell","Adipocyte","Myeloid","Lymphoid","Mast cell"
"PCK1","m = 0.00029 
 p = 0.06317","m = 0.00006 
 p = 0.01311","m = 0.00080 
 p = 0.19050","m = 0.00018 
 p = 0.03346","m = 0.00065 
 p = 0.23166","m = 0.00199 
 p = 0.29352","m = 0.00743 
 p = 1.79754","m = 0.00119 
 p = 0.22652","m = 0.31537 
 p = 43.50087","m = 0.00045 
 p = 0.06417","m = 0.00011 
 p = 0.02006","m = 0.00061 
 p = 0.05397"
"SCD","m = 0.00338 
 p = 1.06075","m = 0.00078 
 p = 0.17828","m = 0.02481 
 p = 4.66336","m = 0.00312 
 p = 0.67602","m = 0.00948 
 p = 1.85328","m = 0.00211 
 p = 0.32603","m = 0.01676 
 p = 4.35194","m = 0.07202 
 p = 9.93658","m = 0.65159 
 p = 64.14054","m = 0.01603 
 p = 3.52351","m = 0.00700 
 p = 1.19573","m = 0.00754 
 p = 0.80950"
"APOC3","m = 0.00002 
 p = 0.00436","m = 0.00001 
 p = 0.00262","m = 0.00001 
 p = 0.00145","m = 0.00004 
 p = 0.00760","m = 0.00000 
 p = 0.00000","m = 0.00000 
 p = 0.00000","m = 0.00000 
 p = 0.00000","m = 0.00000 
 p = 0.00000","m = 0.00052 
 p = 0.04727","m = 0.00002 
 p = 0.00194","m = 0.00007 
 p = 0.00401","m = 0.00000 
 p = 0.00000"
"RXRG","m = 0.00166 
 p = 0.48572","m = 0.00396 
 p = 1.04557","m = 0.00881 
 p = 1.40741","m = 0.00055 
 p = 0.10570","m = 0.00167 
 p = 0.15444","m = 0.00086 
 p = 0.13959","m = 0.00131 
 p = 0.37843","m = 0.08622 
 p = 11.37119","m = 0.01015 
 p = 2.85174","m = 0.00044 
 p = 0.08167","m = 0.00024 
 p = 0.04815","m = 0.00113 
 p = 0.16190"
"ACADL","m = 0.00713 
 p = 2.19120","m = 0.00456 
 p = 1.24849","m = 0.03951 
 p = 6.78063","m = 0.00035 
 p = 0.07148","m = 0.00066 
 p = 0.15444","m = 0.00197 
 p = 0.33654","m = 0.00830 
 p = 2.45979","m = 0.00888 
 p = 1.87255","m = 0.13510 
 p = 30.67591","m = 0.00055 
 p = 0.13806","m = 0.00021 
 p = 0.05216","m = 0.00259 
 p = 0.32380"
"PLTP","m = 0.00126 
 p = 0.37682","m = 0.00109 
 p = 0.26637","m = 0.09852 
 p = 15.30549","m = 0.01313 
 p = 2.54895","m = 0.03797 
 p = 6.10039","m = 0.01537 
 p = 2.43993","m = 0.05044 
 p = 14.19111","m = 0.02128 
 p = 3.48837","m = 0.02244 
 p = 6.53852","m = 0.36544 
 p = 41.09983","m = 0.00322 
 p = 0.52163","m = 0.00679 
 p = 0.80950"
"HMGCS2","m = 0.00613 
 p = 1.82527","m = 0.01564 
 p = 3.46704","m = 0.00048 
 p = 0.09489","m = 0.00027 
 p = 0.05931","m = 0.00000 
 p = 0.00000","m = 0.00031 
 p = 0.04398","m = 0.00270 
 p = 0.66225","m = 0.00031 
 p = 0.07551","m = 0.00129 
 p = 0.26784","m = 0.00029 
 p = 0.06806","m = 0.00025 
 p = 0.05618","m = 0.00092 
 p = 0.10793"
"APOA2","m = 0.00000 
 p = 0.00000","m = 0.00000 
 p = 0.00105","m = 0.00003 
 p = 0.00579","m = 0.00000 
 p = 0.00076","m = 0.00000 
 p = 0.00000","m = 0.00000 
 p = 0.00000","m = 0.00007 
 p = 0.09461","m = 0.00011 
 p = 0.01510","m = 0.00048 
 p = 0.04727","m = 0.00013 
 p = 0.02917","m = 0.00008 
 p = 0.00803","m = 0.00000 
 p = 0.00000"
"APOA5","m = 0.00002 
 p = 0.00436","m = 0.00000 
 p = 0.00105","m = 0.00000 
 p = 0.00145","m = 0.00000 
 p = 0.00076","m = 0.00000 
 p = 0.00000","m = 0.00000 
 p = 0.00000","m = 0.00000 
 p = 0.00000","m = 0.00000 
 p = 0.00000","m = 0.00005 
 p = 0.01576","m = 0.00000 
 p = 0.00000","m = 0.00008 
 p = 0.00803","m = 0.00000 
 p = 0.00000"
"PPARG","m = 0.07626 
 p = 18.87129","m = 0.09561 
 p = 21.54580","m = 0.09415 
 p = 14.10815","m = 0.14448 
 p = 19.32778","m = 0.25341 
 p = 34.90347","m = 0.16709 
 p = 19.14660","m = 0.03635 
 p = 6.90634","m = 0.09215 
 p = 12.24706","m = 1.00000 
 p = 89.23901","m = 0.14618 
 p = 19.34430","m = 0.00759 
 p = 1.09141","m = 0.01554 
 p = 1.72693"
