name,BetweennessCentrality,Radiality,Degree,NeighborhoodConnectivity,Stress,TopologicalCoefficient
APOA5,1.0,0.9761904761904764,1.0,0.7,1.0,0.7222222222222222
APOA1,1.0,0.9761904761904764,1.0,0.7,1.0,0.7222222222222222
RXRB,0.46666666666666656,1.0,1.0,0.6,1.0,0.6666666666666666
RXRA,0.46666666666666656,1.0,1.0,0.6,1.0,0.6666666666666666
RXRG,0.46666666666666656,1.0,1.0,0.6,1.0,0.6666666666666666
ACOX1,0.875,1.0,0.8,0.4,0.8333333333333334,0.6
ACOX3,0.875,1.0,0.8,0.4,0.8333333333333334,0.6
PLTP,0.0,0.9523809523809524,0.8,0.8800000000000001,0.0,0.7714285714285715
APOA2,0.0,0.9523809523809524,0.8,0.8800000000000001,0.0,0.7714285714285715
APOC3,0.0,0.9523809523809524,0.8,0.8800000000000001,0.0,0.7714285714285715
DBI,0.0,0.9523809523809524,0.8,0.8800000000000001,0.0,0.7714285714285715
NR1H3,0.0,0.9166666666666666,0.4,1.0,0.0,1.0
PPARA,0.0,0.9166666666666666,0.4,1.0,0.0,1.0
PPARD,0.0,0.9166666666666666,0.4,1.0,0.0,1.0
PPARG,0.0,0.9166666666666666,0.4,1.0,0.0,1.0
ACADL,0.0,0.8800000000000001,0.2,0.8,0.0,1.0
ACOX2,0.0,0.8800000000000001,0.2,0.8,0.0,1.0
ACAA1,0.0,0.92,0.4,0.6666666666666666,0.0,0.8666666666666667
SCP2,0.0,0.92,0.4,0.6666666666666666,0.0,0.8666666666666667
CPT1B,0.0,1.0,0.2,0.2,0.0,1.0
CPT1A,0.0,1.0,0.2,0.2,0.0,1.0
CPT1C,0.0,1.0,0.2,0.2,0.0,1.0
CD36,0.0,0.8333333333333334,0.0,1.0,0.0,0.0
LPL,0.0,0.8333333333333334,0.0,1.0,0.0,0.0
HMGCS1,0.0,1.0,0.0,0.0,0.0,0.0
GK2,0.0,1.0,0.0,0.0,0.0,0.0
GK,0.0,1.0,0.0,0.0,0.0,0.0
ME3,0.0,1.0,0.0,0.0,0.0,0.0
PCK1,0.0,1.0,0.0,0.0,0.0,0.0
HMGCS2,0.0,1.0,0.0,0.0,0.0,0.0
ME1,0.0,1.0,0.0,0.0,0.0,0.0
PCK2,0.0,1.0,0.0,0.0,0.0,0.0
SCD,0.0,1.0,0.0,0.0,0.0,0.0
SCD5,0.0,1.0,0.0,0.0,0.0,0.0
SLC27A1,0.0,1.0,0.0,0.0,0.0,0.0
SLC27A4,0.0,1.0,0.0,0.0,0.0,0.0
