,tau,expected_Atrial Cardiomyocyte,expected_Ventricular Cardiomyocyte,expected_Fibroblast,expected_Endothelial cell,expected_Lymphatic Endothelial cell,expected_Mural cell,expected_Mesothelial cell,expected_Neural cell,expected_Adipocyte,expected_Myeloid,expected_Lymphoid,expected_Mast cell
SCP2,0.36638796,0.1246551258395325,0.09996797842613384,0.07065207455388872,0.15091654747721134,0.055734917924210835,0.018551137320178795,0.10670030449738228,0.05022066233922117,0.20059642702345776,0.07518590558754198,0.058334187535353375,0.018627116536039053
HMGCS2,0.9246931,0.0002906919160222823,0.001408643711376475,1.1776391914509876e-06,4.194415097620015e-07,0.0,3.511669379418538e-07,4.65138266418154e-05,6.028450621144041e-07,9.00611145225532e-06,5.047137878950526e-07,3.71437256670122e-07,2.5867092479935094e-06
APOA2,0.91786367,0.0,1.0288954133712952e-10,4.342751077143804e-09,7.29509777301508e-11,0.0,0.0,1.8148237285129337e-07,4.4348273572279354e-08,5.853048736901289e-07,9.658922443313936e-08,1.6677468794193002e-08,0.0
RXRG,0.9675478,2.089706889437735e-05,0.0001075545977132052,0.00032205733427680274,1.523277443196231e-06,6.704013003575756e-06,3.1123435377083636e-06,1.2870129046286742e-05,0.025463238142473543,0.0007515666207845369,9.335486594078603e-07,2.9977403146759406e-07,4.746475449476252e-06
DBI,0.5254473,0.010316389586462235,0.021279375018748943,0.011480809708614063,0.10491563827564251,0.07178628255961944,0.020361886336662496,0.054607780197372724,0.03481513012467249,0.06126222389597433,0.10571488285861651,0.12096603741262,9.173208508887808e-05
ACADL,0.94972724,0.0004058645066950691,0.00014785831945724986,0.0069575467364863435,6.422367596216319e-07,2.648466011387041e-06,1.719099794336775e-05,0.0005305089944640533,0.0004319494657108194,0.10763686585467652,1.9656461938091105e-06,2.8769128231904057e-07,2.1801999615805895e-05
PPARG,0.897381,0.037377445829843946,0.053503316657418545,0.03449764174383339,0.07252572513497794,0.2297185367598957,0.08309118885141566,0.00652047519483088,0.029311765362239974,2.31774976269662,0.0734446258197767,0.00021523454748754775,0.0006970809204669753
ACAA1,0.38491985,0.026790987902672123,0.03347062536826713,0.006650608901047386,0.007056317464395927,0.005565301653961418,0.004226023635364776,0.01371865456636604,0.005795022215648059,0.03143583035279357,0.020257955903325537,0.0099859637793564,0.0033544455501625364
ACOX2,0.6180107,0.005543788566184764,0.006893795331952068,0.002231491146881929,0.00010056174697497423,0.000182657568035899,0.0006233067423905626,0.000948372542815831,0.0015555459604328832,0.008807266889659743,6.119985796523633e-05,4.230252010141657e-06,4.637400990103749e-05
ACOX3,0.81536543,0.18018808236028344,0.034785878577815434,0.008255404769297092,0.0015006822078637101,0.003933754724425238,0.0014667705607306768,0.0039986435433210015,0.003928425866684069,0.02705442969050016,0.004278960262401302,0.0015188561712527924,0.002120214816498486
GK2,0.8972565,0.0,0.0,1.3878662920029795e-09,1.8214780737369975e-10,0.0,0.0,0.0,2.2265731225679626e-08,3.3693422440263974e-08,3.0726394047369527e-10,0.0,0.0
SCD5,0.7434811,6.637300824806656e-05,4.282250774935514e-05,0.026642117072099847,0.003080396549492561,0.0007557442864856205,0.003997864792177201,0.0064062102078376445,0.029450595072841614,0.0039345034115968475,0.0008118393690892632,0.0007184976599013363,0.000745981883436554
HMGCS1,0.81963366,0.011482391957337154,0.007829900538250644,0.005203776967391209,0.0029450328133028367,0.0076497803265983995,0.0025189539827879044,0.012210234224288782,0.005044548285939981,0.1726677706575176,0.006003187089979971,0.005311063447534134,0.0021628993495502666
RXRB,0.26217228,0.007036478343239171,0.004895141545045758,0.004376983001219972,0.0037571652358867596,0.004606483238083976,0.0034471011871694017,0.009326587104244739,0.0025008356609901826,0.010137246897300623,0.002477811788888377,0.0021412909768139723,0.0007366726322715758
PPARD,0.54872113,0.04021229809987278,0.017586430826145128,0.022423768759136466,0.005371997956041918,0.012403926621532809,0.004834429411350938,0.04077904667906188,0.01198818731509606,0.03939752894648421,0.08177727665489215,0.0048548220687081485,0.03492448502659991
ME1,0.8753651,0.3050877796339357,0.08783455140145234,0.0288833698628498,0.00025754628822613674,0.0025724150039054252,0.0002824360334123134,0.015951622880170564,0.004617626620982572,1.395010732657819,0.415040577964262,0.00017408828228118953,0.0010459370312019098
CD36,0.6293533,1.5267192010683635,2.245336974617894,0.0027019610607370618,0.9685082513838864,1.2788028407741239,1.4289351764297022,0.008008849203530188,0.02546290062284657,1.0408157293338636,0.11105477301204598,0.001519961606230727,0.006603689786877043
GK,0.80235136,0.0331226662919469,0.07276846092727787,0.0014710430045197986,0.00015631993786154903,0.0015299072827151385,0.0006783573373656537,0.007211474153718074,0.004917481079882129,0.006634657400479294,0.12900076999235185,0.0015713753827898587,0.005776146904269361
LPL,0.88235754,0.05042999455478616,0.6041996500262191,0.0018766364030547277,0.08372348310068023,0.0009990411059046344,0.08709677131945116,0.00176548497538129,0.024341948440664667,1.62837879365122,0.0058674631368013765,0.00012658812893703598,8.888919805103679e-05
SLC27A4,0.57379335,0.004753436347709988,0.00703606760659382,0.0027684660826298928,0.0008099108434694312,0.0018210754488886091,0.001031763021552491,0.012775828450382488,0.0016730720212734273,0.007246436017393897,0.0024767980957162918,0.0006042888580714802,0.00018338462628355814
RXRA,0.71585196,0.008962454265736325,0.007669590837024041,0.00673759004497756,0.004310476156492332,0.011192818762712957,0.0049796999742433064,0.006265451350974495,0.006035246753829442,0.11526241860972704,0.06585282321451556,0.001189782100715967,0.0018353589438002494
NR1H3,0.75595015,0.0014801643320140876,0.0012333413840643506,0.0025001916936300377,0.0013062538590650043,0.00568024161699656,0.005694902443953504,0.0011760176546244318,0.0008124696291652341,0.040074211698038965,0.004751015842373524,0.00016325497090213803,0.00018896655462525435
CPT1A,0.41724014,0.044304918812548943,0.07080927344215765,0.019505306992767937,0.022264374573826042,0.033824889390625085,0.013854373133703503,0.015645631524675165,0.02109695713583417,0.007962728102638794,0.026170324282521838,0.0068722764416798456,0.01164265403989451
ME3,0.7226967,0.1319132968145606,0.16425655421222565,0.010364071549416314,0.012494455044212725,0.028620575604291494,0.01932971451214641,0.03867476417303311,0.02487976971942829,0.3314128382874226,0.004636213933589814,0.0001460823007947407,0.0003193720966111115
APOA5,0.9084036,1.8002219305527433e-09,8.322645759832728e-11,1.5239795081204497e-10,9.286269763115128e-11,0.0,0.0,0.0,0.0,2.228256574125671e-08,0.0,1.699851947508399e-08,0.0
APOC3,0.97139376,2.3920867161620052e-09,7.106196238536943e-10,2.239353763609655e-10,7.785468296479712e-09,0.0,0.0,0.0,0.0,6.400990179998585e-07,8.249654230676069e-10,7.377197417320639e-09,0.0
APOA1,0.80778027,4.7515893707531464e-05,0.0004706386674925505,4.819716554874314e-06,0.0001045697718498385,0.0,1.817371508496471e-06,1.0502944958582168e-05,9.331643191534419e-05,8.621026075260084e-06,2.2598989113560576e-06,8.166139793219253e-06,2.0531491168884734e-06
SCD,0.97725385,9.30756305092803e-05,3.6125978007916544e-06,0.0030049654340490155,5.475042525163726e-05,0.0004563108949587612,1.783921296478102e-05,0.0018942626713014709,0.01858771546698524,1.0854685886912558,0.0014674226905428646,0.00021732374311244447,0.0001585861357382292
PCK2,0.681088,2.4832368903757065e-05,3.077877782559468e-05,0.0010363831938031939,0.00024518829459024697,0.0011650198444896683,0.0003277448112389025,0.0022848707499544692,0.000588862895425516,0.008402201666200143,0.0031005127011874277,0.0003820347484811362,0.00011238611780239707
ACOX1,0.75609547,0.028176495628696976,0.042553576411213795,0.013749283181516166,0.007472529208849131,0.0074612618183077075,0.0034791660792744886,0.026088434057407146,0.008966357406983741,0.21874097893514913,0.01962513160164064,0.0022129375172466404,0.002544450875687329
PLTP,0.93246,1.2332648594075281e-05,7.530945023039978e-06,0.03916321474390803,0.0008690063082978308,0.006016048812037728,0.0009737131463241655,0.0185927011375734,0.0019279310349808183,0.0038107456053939224,0.3900931939747529,4.363019205016966e-05,0.00014268441846482637
PCK1,0.9960347,4.796884993511904e-07,2.0541700163111814e-08,3.963539263926427e-06,1.575036982439742e-07,3.89586274717075e-06,1.517747412944366e-05,0.0003468261339129878,6.977515105282979e-06,0.3563156335564585,7.428324706600345e-07,5.9286284698198065e-08,8.52885788243266e-07
SLC27A1,0.6836787,0.09402578272197598,0.13676885907010286,0.0063245003763360294,0.0006013776294549678,0.006301465872171763,0.002151984802735837,0.0038819553342876057,0.022056364717889645,0.0970787404981658,0.011579700805875897,0.0005422202319722336,0.0018456634988478567
CPT1C,0.6975439,3.211222068411692e-05,1.8479971460375712e-05,0.0006654683026552573,0.00013357158518713204,0.00024124145162611853,0.000245277196385166,0.0001821522737519292,4.2885634176178816e-05,0.00011243718544648391,5.4836611849528345e-06,1.8870768584738514e-06,1.1610694498997794e-05
PPARA,0.74115556,0.17920203833947063,0.22144211474896902,0.0198390436220625,0.00410026710813732,0.010809287003108433,0.010895835550693971,0.018889567653526083,0.02537825018419524,0.4172342270401419,0.02128960159518674,0.005004621642176024,0.007048848572127318
CPT1B,0.8176909,0.012452662580531697,0.007634602301711523,3.319680168960295e-05,3.0606310146216914e-05,0.00016082370200672666,3.7874364976382335e-06,0.00017825479098474968,0.00020130853047996657,0.0010451085458163185,0.00037446922316526594,0.00012201703615512331,6.6516591216896394e-06
