#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACAA1	ACOX1	9606.ENSP00000333664	9606.ENSP00000293217	0	0.163	0.900	0	0.912
ACAA1	ACOX3	9606.ENSP00000333664	9606.ENSP00000348775	0	0	0.900	0	0.900
ACAA1	SCP2	9606.ENSP00000333664	9606.ENSP00000360569	0	0.234	0.900	0	0.920
ACADL	ACOX1	9606.ENSP00000233710	9606.ENSP00000293217	0	0	0.900	0	0.900
ACADL	ACOX3	9606.ENSP00000233710	9606.ENSP00000348775	0	0	0.900	0	0.900
ACOX1	ACOX2	9606.ENSP00000293217	9606.ENSP00000307697	0	0	0.900	0	0.900
ACOX1	ACOX3	9606.ENSP00000293217	9606.ENSP00000348775	0	0	0.900	0	0.900
ACOX1	SCP2	9606.ENSP00000293217	9606.ENSP00000360569	0	0	0.900	0	0.900
ACOX2	ACOX3	9606.ENSP00000307697	9606.ENSP00000348775	0	0	0.900	0	0.900
ACOX3	SCP2	9606.ENSP00000348775	9606.ENSP00000360569	0	0	0.900	0	0.900
APOA1	APOC3	9606.ENSP00000236850	9606.ENSP00000227667	0	0.077	0.800	0	0.807
APOA1	DBI	9606.ENSP00000236850	9606.ENSP00000486361	0	0	0.720	0	0.720
APOA1	PLTP	9606.ENSP00000236850	9606.ENSP00000417138	0	0.292	0.720	0	0.793
APOA1	CD36	9606.ENSP00000236850	9606.ENSP00000415743	0	0	0.700	0	0.700
APOA1	APOA5	9606.ENSP00000236850	9606.ENSP00000445002	0	0	0.720	0	0.720
APOA1	APOA2	9606.ENSP00000236850	9606.ENSP00000356969	0	0.457	0.800	0	0.886
APOA2	APOC3	9606.ENSP00000356969	9606.ENSP00000227667	0	0	0.800	0	0.800
APOA2	DBI	9606.ENSP00000356969	9606.ENSP00000486361	0	0	0.720	0	0.720
APOA2	PLTP	9606.ENSP00000356969	9606.ENSP00000417138	0	0.292	0.720	0	0.793
APOA2	APOA5	9606.ENSP00000356969	9606.ENSP00000445002	0	0	0.720	0	0.720
APOA5	APOC3	9606.ENSP00000445002	9606.ENSP00000227667	0	0	0.720	0	0.720
APOA5	PLTP	9606.ENSP00000445002	9606.ENSP00000417138	0	0	0.720	0	0.720
APOA5	LPL	9606.ENSP00000445002	9606.ENSP00000497642	0	0.405	0.540	0	0.714
APOA5	DBI	9606.ENSP00000445002	9606.ENSP00000486361	0	0	0.900	0	0.900
APOC3	PLTP	9606.ENSP00000227667	9606.ENSP00000417138	0	0	0.720	0	0.720
APOC3	DBI	9606.ENSP00000227667	9606.ENSP00000486361	0	0	0.720	0	0.720
CPT1A	CPT1B	9606.ENSP00000265641	9606.ENSP00000379011	0	0	0.900	0	0.900
CPT1A	CPT1C	9606.ENSP00000265641	9606.ENSP00000376303	0	0	0.900	0	0.900
CPT1B	CPT1C	9606.ENSP00000379011	9606.ENSP00000376303	0	0	0.900	0	0.900
DBI	PLTP	9606.ENSP00000486361	9606.ENSP00000417138	0	0	0.720	0	0.720
GK	GK2	9606.ENSP00000401720	9606.ENSP00000351706	0	0.599	0.900	0	0.958
HMGCS1	HMGCS2	9606.ENSP00000322706	9606.ENSP00000358414	0	0	0.900	0	0.900
ME1	ME3	9606.ENSP00000358719	9606.ENSP00000440246	0	0	0.900	0	0.900
NR1H3	RXRG	9606.ENSP00000477707	9606.ENSP00000352900	0	0.734	0	0	0.734
NR1H3	RXRB	9606.ENSP00000477707	9606.ENSP00000363817	0	0.964	0.900	0	0.996
NR1H3	RXRA	9606.ENSP00000477707	9606.ENSP00000419692	0	0.968	0.900	0	0.996
PCK1	PCK2	9606.ENSP00000319814	9606.ENSP00000216780	0	0.319	0.900	0	0.928
PPARA	RXRG	9606.ENSP00000385523	9606.ENSP00000352900	0	0.321	0.800	0	0.858
PPARA	RXRB	9606.ENSP00000385523	9606.ENSP00000363817	0	0.292	0.800	0	0.852
PPARA	RXRA	9606.ENSP00000385523	9606.ENSP00000419692	0	0.483	0.900	0	0.946
PPARD	RXRG	9606.ENSP00000310928	9606.ENSP00000352900	0	0.361	0.800	0	0.866
PPARD	RXRB	9606.ENSP00000310928	9606.ENSP00000363817	0	0.396	0.800	0	0.874
PPARD	RXRA	9606.ENSP00000310928	9606.ENSP00000419692	0	0.483	0.900	0	0.946
PPARG	RXRG	9606.ENSP00000287820	9606.ENSP00000352900	0	0.359	0.900	0	0.933
PPARG	RXRB	9606.ENSP00000287820	9606.ENSP00000363817	0	0.457	0.900	0	0.943
PPARG	RXRA	9606.ENSP00000287820	9606.ENSP00000419692	0	0.964	0.900	0	0.996
RXRA	RXRG	9606.ENSP00000419692	9606.ENSP00000352900	0	0.414	0.900	0	0.938
RXRA	RXRB	9606.ENSP00000419692	9606.ENSP00000363817	0	0	0.900	0	0.900
RXRB	RXRG	9606.ENSP00000363817	9606.ENSP00000352900	0	0	0.900	0	0.900
SCD	SCD5	9606.ENSP00000359380	9606.ENSP00000316329	0	0	0.900	0	0.900
SLC27A1	SLC27A4	9606.ENSP00000252595	9606.ENSP00000300456	0	0	0.900	0	0.900
