"gene","Atrial Cardiomyocyte","Ventricular Cardiomyocyte","Fibroblast","Endothelial cell","Lymphatic Endothelial cell","Mural cell","Mesothelial cell","Neural cell","Adipocyte","Myeloid","Lymphoid","Mast cell"
"AGXT","m = 0.00012 
 p = 0.01307","m = 0.00002 
 p = 0.00262","m = 0.00009 
 p = 0.00435","m = 0.00004 
 p = 0.00304","m = 0.00000 
 p = 0.00000","m = 0.00001 
 p = 0.00096","m = 0.00000 
 p = 0.00000","m = 0.00024 
 p = 0.01510","m = 0.00466 
 p = 0.28360","m = 0.00004 
 p = 0.00389","m = 0.00017 
 p = 0.00401","m = 0.00000 
 p = 0.00000"
"PEX5","m = 0.04403 
 p = 3.58520","m = 0.04332 
 p = 3.12516","m = 0.06885 
 p = 3.45732","m = 0.05480 
 p = 2.63716","m = 0.06886 
 p = 3.24324","m = 0.05400 
 p = 2.00874","m = 0.07181 
 p = 6.43330","m = 0.04404 
 p = 1.99336","m = 0.22812 
 p = 13.88057","m = 0.03586 
 p = 1.94454","m = 0.02960 
 p = 1.13956","m = 0.02326 
 p = 0.64760"
"ACOX1","m = 0.26003 
 p = 17.13315","m = 0.34099 
 p = 19.73153","m = 0.22326 
 p = 9.73742","m = 0.16621 
 p = 7.10847","m = 0.16253 
 p = 7.25869","m = 0.12654 
 p = 4.34733","m = 0.25799 
 p = 15.98865","m = 0.19043 
 p = 7.44488","m = 0.82154 
 p = 42.09863","m = 0.25386 
 p = 12.22339","m = 0.09809 
 p = 3.56713","m = 0.12425 
 p = 3.23799"
"CAT","m = 0.38440 
 p = 22.98578","m = 0.60529 
 p = 31.78334","m = 0.18419 
 p = 7.84108","m = 0.44280 
 p = 17.32482","m = 0.16722 
 p = 8.33977","m = 0.21746 
 p = 7.90493","m = 0.11432 
 p = 10.02838","m = 0.31816 
 p = 11.15977","m = 0.87585 
 p = 43.64267","m = 0.35140 
 p = 16.08914","m = 0.13906 
 p = 5.27245","m = 0.06512 
 p = 1.61900"
"PEX7","m = 0.21541 
 p = 14.15783","m = 0.34125 
 p = 19.74569","m = 0.11411 
 p = 5.06175","m = 0.04769 
 p = 2.18395","m = 0.10640 
 p = 4.63320","m = 0.07355 
 p = 2.58048","m = 0.10317 
 p = 8.89309","m = 0.10977 
 p = 4.36424","m = 0.21120 
 p = 14.54230","m = 0.10917 
 p = 5.29499","m = 0.08061 
 p = 2.74055","m = 0.12545 
 p = 3.29196"
"PEX14","m = 0.62398 
 p = 34.56906","m = 0.61382 
 p = 32.67002","m = 0.31373 
 p = 12.93470","m = 0.15230 
 p = 5.79218","m = 0.35814 
 p = 14.20849","m = 0.22394 
 p = 7.04923","m = 0.32360 
 p = 16.84011","m = 0.23385 
 p = 8.80399","m = 1.00000 
 p = 48.65291","m = 0.39396 
 p = 17.10808","m = 0.32860 
 p = 10.25600","m = 0.40890 
 p = 10.73934"
"PEX12","m = 0.00898 
 p = 0.66651","m = 0.00709 
 p = 0.50496","m = 0.01125 
 p = 0.52950","m = 0.02011 
 p = 0.97943","m = 0.01210 
 p = 0.69498","m = 0.00606 
 p = 0.24571","m = 0.02086 
 p = 1.51372","m = 0.01055 
 p = 0.40773","m = 0.00862 
 p = 0.75626","m = 0.00515 
 p = 0.28001","m = 0.00612 
 p = 0.24075","m = 0.00685 
 p = 0.16190"
"HSD17B4","m = 0.69855 
 p = 37.24598","m = 0.68748 
 p = 35.31540","m = 0.43067 
 p = 17.43218","m = 0.28807 
 p = 11.84594","m = 0.21862 
 p = 10.42471","m = 0.31171 
 p = 10.31044","m = 0.32875 
 p = 19.01608","m = 0.34807 
 p = 12.70009","m = 0.91032 
 p = 45.56483","m = 0.55039 
 p = 23.38506","m = 0.18027 
 p = 6.21138","m = 0.53213 
 p = 13.81543"
"PEX19","m = 0.03479 
 p = 3.18442","m = 0.01837 
 p = 1.55681","m = 0.03380 
 p = 1.87317","m = 0.08663 
 p = 4.13292","m = 0.06836 
 p = 3.78378","m = 0.04661 
 p = 2.05463","m = 0.05625 
 p = 6.71712","m = 0.03780 
 p = 1.70643","m = 0.09395 
 p = 7.02694","m = 0.04592 
 p = 2.59791","m = 0.05292 
 p = 2.01830","m = 0.01217 
 p = 0.32380"
"SCP2","m = 0.59662 
 p = 33.03566","m = 0.54047 
 p = 29.24545","m = 0.53779 
 p = 20.77216","m = 0.81074 
 p = 29.43234","m = 0.45466 
 p = 19.38224","m = 0.28626 
 p = 10.24638","m = 0.57710 
 p = 29.23368","m = 0.48508 
 p = 16.36968","m = 0.79757 
 p = 39.76682","m = 0.51884 
 p = 22.91253","m = 0.51935 
 p = 17.75941","m = 0.33688 
 p = 8.74258"
"PEX13","m = 0.15252 
 p = 10.72074","m = 0.19838 
 p = 12.33129","m = 0.12970 
 p = 5.94256","m = 0.13649 
 p = 5.92525","m = 0.18893 
 p = 8.03089","m = 0.09513 
 p = 3.37499","m = 0.14768 
 p = 10.87985","m = 0.11138 
 p = 4.37934","m = 0.21885 
 p = 15.26706","m = 0.15795 
 p = 7.57982","m = 0.13834 
 p = 4.84311","m = 0.14707 
 p = 3.77766"
