name,BetweennessCentrality,Radiality,Degree,NeighborhoodConnectivity,Stress,TopologicalCoefficient
PEX5,1.0,0.9696969696969696,1.0,0.06702898550724637,1.0,0.0905797101449275
PEX19,0.5186348837738769,0.9422348484848484,0.4782608695652174,0.10144927536231883,0.6648160999306038,0.1875
PEX14,0.2526694442547183,0.956439393939394,0.21739130434782608,0.31884057971014496,0.2914642609299098,0.2314814814814814
PEX13,0.15549939667144763,0.9554924242424242,0.13043478260869565,0.44565217391304346,0.22831367106176267,0.304054054054054
PEX12,0.1511281105571112,0.9526515151515152,0.13043478260869565,0.41304347826086957,0.21512838306731435,0.3106060606060606
AGXT,0.058739157161395994,0.930871212121212,0.043478260869565216,0.5,0.048577376821651634,0.5
CAT,0.1147462605013318,0.9327651515151516,0.08695652173913043,0.36231884057971014,0.09576682859125607,0.36
PEX7,0.028071853015504394,0.9431818181818182,0.08695652173913043,0.43478260869565216,0.03816793893129771,0.4102564102564102
ACOX1,0.08011747831432273,0.9365530303030304,0.21739130434782608,0.2898550724637681,0.10478834142956281,0.2839506172839506
HSD17B4,0.02524873073332877,0.9356060606060606,0.17391304347826086,0.34782608695652173,0.05968077723802915,0.3333333333333333
SCP2,0.02524873073332877,0.9356060606060606,0.17391304347826086,0.34782608695652173,0.05968077723802915,0.3333333333333333
