,tau,expected_Atrial Cardiomyocyte,expected_Ventricular Cardiomyocyte,expected_Fibroblast,expected_Endothelial cell,expected_Lymphatic Endothelial cell,expected_Mural cell,expected_Mesothelial cell,expected_Neural cell,expected_Adipocyte,expected_Myeloid,expected_Lymphoid,expected_Mast cell
PEX14,0.63865227,0.13642467776784573,0.12683118579443423,0.02566484505339865,0.005579402245979727,0.03218312291104821,0.009983977946383673,0.034465339940566435,0.013021290525051448,0.307709825983644,0.04262712212583034,0.02131493483956979,0.02777319805595081
SCP2,0.36638796,0.1246551258395325,0.09996797842613384,0.07065207455388872,0.15091654747721134,0.055734917924210835,0.018551137320178795,0.10670030449738228,0.05022066233922117,0.20059642702345776,0.07518590558754198,0.058334187535353375,0.018627116536039053
PEX19,0.52235055,0.0007006622899093017,0.0001808500993358299,0.0004004220737520172,0.002264395456884774,0.0016359641745283798,0.0006057382472891708,0.002389682314112825,0.000407970505360119,0.00417540969342646,0.0007545395579299316,0.000675554808276144,2.4928122304512627e-05
PEX13,0.33389056,0.010341766356476738,0.01547162801575807,0.0048746089802584125,0.005115033696302512,0.009596326314344369,0.002030659636412021,0.010161690428049472,0.003085048766303228,0.021131982385633272,0.007572154367764699,0.004237490321165218,0.0035137304793932734
AGXT,0.98582894,9.899906188111485e-09,4.093082401773586e-10,2.381156488186093e-09,7.782946429265124e-10,0.0,8.388744072898108e-11,0.0,2.2876054636134965e-08,8.35904673713858e-06,8.682094502317789e-10,4.2186479292005475e-09,0.0
HSD17B4,0.5431427,0.1645544747568237,0.15355346531299408,0.0474821994138953,0.02158278073835208,0.014414216618280153,0.020326492103540993,0.03953829980054439,0.027958330852734796,0.2623339055822988,0.08140371648706077,0.007081858869368475,0.04649555187770887
PEX7,0.65461427,0.019288194044255698,0.042616745537825435,0.003652903943728271,0.000658741553361586,0.0031177320995846307,0.0012003469046440675,0.005802568855326246,0.00302978358629498,0.019424568687402603,0.003655815253280747,0.0013971348441034095,0.0026119274428517384
CAT,0.6897134,0.055882523926748445,0.12167307413447591,0.00913432152706859,0.048518310442681886,0.008819892991003385,0.010872189836532256,0.007250857513923068,0.02245635760267924,0.24175415625811864,0.03575710653945788,0.004637048642159503,0.0006667620472758767
PEX5,0.78543335,0.000998479298832956,0.0008561969882452672,0.0015054725310483055,0.0009140111119306331,0.001412470840119027,0.0006860424009329155,0.0029216527995233168,0.0005552624893742939,0.02002674273351844,0.0004409801705930511,0.00021330678494551928,9.526774946638397e-05
PEX12,0.55163044,3.7856814646356854e-05,2.263167274411752e-05,3.7678309556167355e-05,0.00012459175231397743,5.31792759348757e-05,9.415734231407334e-06,0.0001996874301751605,2.7196391110683413e-05,4.1215646937454295e-05,9.125897235122643e-06,9.311537018639062e-06,7.016452092675344e-06
ACOX1,0.75609547,0.028176495628696976,0.042553576411213795,0.013749283181516166,0.007472529208849131,0.0074612618183077075,0.0034791660792744886,0.026088434057407146,0.008966357406983741,0.21874097893514913,0.01962513160164064,0.0022129375172466404,0.002544450875687329
