#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABCD1	PEX19	9606.ENSP00000218104	9606.ENSP00000357051	0	0.457	0.500	0	0.716
ABCD1	PEX3	9606.ENSP00000218104	9606.ENSP00000356563	0	0.616	0.500	0	0.799
ABCD1	ABCD2	9606.ENSP00000218104	9606.ENSP00000310688	0	0.509	0.900	0	0.948
ABCD1	ABCD3	9606.ENSP00000218104	9606.ENSP00000359233	0	0.619	0.900	0	0.960
ABCD2	PEX19	9606.ENSP00000310688	9606.ENSP00000357051	0	0.457	0.500	0	0.716
ABCD2	ABCD3	9606.ENSP00000310688	9606.ENSP00000359233	0	0.041	0.900	0	0.900
ABCD3	PEX3	9606.ENSP00000359233	9606.ENSP00000356563	0	0.471	0.500	0	0.724
ABCD3	PEX19	9606.ENSP00000359233	9606.ENSP00000357051	0	0.457	0.500	0	0.716
ACAA1	ACOX1	9606.ENSP00000333664	9606.ENSP00000293217	0	0.163	0.900	0	0.912
ACAA1	PEX7	9606.ENSP00000333664	9606.ENSP00000315680	0	0.809	0.500	0	0.900
ACAA1	HSD17B4	9606.ENSP00000333664	9606.ENSP00000411960	0	0.227	0.900	0	0.919
ACAA1	ACOX3	9606.ENSP00000333664	9606.ENSP00000348775	0	0	0.900	0	0.900
ACAA1	SCP2	9606.ENSP00000333664	9606.ENSP00000360569	0	0.234	0.900	0	0.920
ACOT8	PEX5	9606.ENSP00000217455	9606.ENSP00000391601	0	0.457	0.500	0	0.716
ACOX1	PEX5	9606.ENSP00000293217	9606.ENSP00000391601	0	0.457	0.500	0	0.716
ACOX1	ACOX2	9606.ENSP00000293217	9606.ENSP00000307697	0	0	0.900	0	0.900
ACOX1	ACOX3	9606.ENSP00000293217	9606.ENSP00000348775	0	0	0.900	0	0.900
ACOX1	SCP2	9606.ENSP00000293217	9606.ENSP00000360569	0	0	0.900	0	0.900
ACOX1	HSD17B4	9606.ENSP00000293217	9606.ENSP00000411960	0	0	0.900	0	0.900
ACOX2	ACOX3	9606.ENSP00000307697	9606.ENSP00000348775	0	0	0.900	0	0.900
ACOX3	HSD17B4	9606.ENSP00000348775	9606.ENSP00000411960	0	0	0.900	0	0.900
ACOX3	SCP2	9606.ENSP00000348775	9606.ENSP00000360569	0	0	0.900	0	0.900
AGPS	PEX5	9606.ENSP00000264167	9606.ENSP00000391601	0	0.457	0.500	0	0.716
AGPS	GNPAT	9606.ENSP00000264167	9606.ENSP00000355607	0	0.447	0.700	0	0.827
AGXT	DAO	9606.ENSP00000302620	9606.ENSP00000228476	0	0	0.900	0	0.900
AGXT	PEX5	9606.ENSP00000302620	9606.ENSP00000391601	0	0.958	0.500	0	0.978
CAT	PEX5	9606.ENSP00000241052	9606.ENSP00000391601	0	0.457	0.500	0	0.716
CAT	HAO1	9606.ENSP00000241052	9606.ENSP00000368066	0	0	0.900	0	0.900
CAT	HAO2	9606.ENSP00000241052	9606.ENSP00000354314	0	0	0.900	0	0.900
CRAT	PEX5	9606.ENSP00000315013	9606.ENSP00000391601	0	0.457	0.500	0	0.716
DECR2	PEX5	9606.ENSP00000219481	9606.ENSP00000391601	0	0.457	0.500	0	0.716
DHRS4	PEX5	9606.ENSP00000326219	9606.ENSP00000391601	0	0.457	0.500	0	0.716
ECH1	PEX5	9606.ENSP00000221418	9606.ENSP00000391601	0	0.457	0.500	0	0.716
ECI2	EHHADH	9606.ENSP00000369461	9606.ENSP00000231887	0	0	0.900	0	0.900
ECI2	PEX5	9606.ENSP00000369461	9606.ENSP00000391601	0	0.457	0.500	0	0.716
EHHADH	PEX5	9606.ENSP00000231887	9606.ENSP00000391601	0	0.457	0.500	0	0.716
FAR1	FAR2	9606.ENSP00000346874	9606.ENSP00000443291	0	0	0.900	0	0.900
GNPAT	PEX5	9606.ENSP00000355607	9606.ENSP00000391601	0	0.457	0.500	0	0.716
GSTK1	PEX5	9606.ENSP00000431049	9606.ENSP00000391601	0	0.457	0.500	0	0.716
HACL1	PEX5	9606.ENSP00000323811	9606.ENSP00000391601	0	0.457	0.500	0	0.716
HAO1	HAO2	9606.ENSP00000368066	9606.ENSP00000354314	0	0	0.900	0	0.900
HMGCL	HMGCLL1	9606.ENSP00000363614	9606.ENSP00000381654	0	0.375	0.900	0	0.934
HSD17B4	SCP2	9606.ENSP00000411960	9606.ENSP00000360569	0	0.239	0.900	0	0.920
HSD17B4	PEX5	9606.ENSP00000411960	9606.ENSP00000391601	0	0.457	0.500	0	0.716
IDH1	IDH2	9606.ENSP00000390265	9606.ENSP00000331897	0	0.608	0.900	0	0.959
MPV17	MPV17L	9606.ENSP00000369383	9606.ENSP00000379669	0	0	0.900	0	0.900
MPV17	MPV17L2	9606.ENSP00000369383	9606.ENSP00000469836	0	0	0.900	0	0.900
MPV17L	MPV17L2	9606.ENSP00000379669	9606.ENSP00000469836	0	0	0.900	0	0.900
PECR	PEX5	9606.ENSP00000265322	9606.ENSP00000391601	0	0.457	0.500	0	0.716
PEX1	PEX14	9606.ENSP00000248633	9606.ENSP00000349016	0	0.457	0.500	0	0.716
PEX1	PEX26	9606.ENSP00000248633	9606.ENSP00000331106	0	0.457	0.800	0	0.886
PEX1	PEX6	9606.ENSP00000248633	9606.ENSP00000303511	0	0.577	0.800	0	0.911
PEX10	PEX5	9606.ENSP00000288774	9606.ENSP00000391601	0	0.457	0.500	0	0.716
PEX10	PEX2	9606.ENSP00000288774	9606.ENSP00000349543	0	0.292	0.800	0	0.852
PEX10	PEX12	9606.ENSP00000288774	9606.ENSP00000482609	0	0.778	0.800	0	0.953
PEX11A	PEX11G	9606.ENSP00000300056	9606.ENSP00000221480	0	0.292	0.900	0	0.926
PEX11A	PEX11B	9606.ENSP00000300056	9606.ENSP00000358312	0	0	0.900	0	0.900
PEX11B	PEX11G	9606.ENSP00000358312	9606.ENSP00000221480	0	0.292	0.900	0	0.926
PEX11B	PEX19	9606.ENSP00000358312	9606.ENSP00000357051	0	0.692	0.500	0	0.839
PEX12	PEX2	9606.ENSP00000482609	9606.ENSP00000349543	0	0.378	0.800	0	0.870
PEX12	PEX19	9606.ENSP00000482609	9606.ENSP00000357051	0	0.431	0.500	0	0.703
PEX12	PEX5	9606.ENSP00000482609	9606.ENSP00000391601	0	0.457	0.500	0	0.716
PEX13	PEX19	9606.ENSP00000295030	9606.ENSP00000357051	0	0.677	0.500	0	0.831
PEX13	PEX7	9606.ENSP00000295030	9606.ENSP00000315680	0	0.457	0.500	0	0.716
PEX13	PEX5	9606.ENSP00000295030	9606.ENSP00000391601	0	0.457	0.500	0	0.716
PEX13	PEX14	9606.ENSP00000295030	9606.ENSP00000349016	0	0.735	0.900	0	0.972
PEX14	PEX6	9606.ENSP00000349016	9606.ENSP00000303511	0	0.465	0.500	0	0.721
PEX14	PEX26	9606.ENSP00000349016	9606.ENSP00000331106	0	0.483	0.500	0	0.730
PEX14	PEX19	9606.ENSP00000349016	9606.ENSP00000357051	0	0.967	0.500	0	0.983
PEX14	PEX5	9606.ENSP00000349016	9606.ENSP00000391601	0	0.969	0.500	0	0.984
PEX16	PEX3	9606.ENSP00000241041	9606.ENSP00000356563	0	0.457	0.500	0	0.716
PEX16	PEX19	9606.ENSP00000241041	9606.ENSP00000357051	0	0.688	0.500	0	0.837
PEX19	PXMP2	9606.ENSP00000357051	9606.ENSP00000321271	0	0.457	0.500	0	0.716
PEX19	PEX26	9606.ENSP00000357051	9606.ENSP00000331106	0	0.483	0.500	0	0.730
PEX19	PEX3	9606.ENSP00000357051	9606.ENSP00000356563	0	0.971	0.900	0	0.997
PEX19	SLC25A17	9606.ENSP00000357051	9606.ENSP00000390722	0	0.457	0.500	0	0.716
PEX2	PEX5	9606.ENSP00000349543	9606.ENSP00000391601	0	0.457	0.500	0	0.716
PEX26	PEX6	9606.ENSP00000331106	9606.ENSP00000303511	0	0.483	0.800	0	0.892
PEX5	PEX7	9606.ENSP00000391601	9606.ENSP00000315680	0	0.516	0.800	0	0.899
PEX5	SCP2	9606.ENSP00000391601	9606.ENSP00000360569	0	0.900	0.500	0	0.947
PEX5	PEX5L	9606.ENSP00000391601	9606.ENSP00000419975	0	0	0.900	0	0.900
SOD1	SOD2	9606.ENSP00000270142	9606.ENSP00000446252	0	0.368	0.900	0	0.934
