"gene","Atrial Cardiomyocyte","Ventricular Cardiomyocyte","Fibroblast","Endothelial cell","Lymphatic Endothelial cell","Mural cell","Mesothelial cell","Neural cell","Adipocyte","Myeloid","Lymphoid","Mast cell"
"CALML3","m = 0.00000 
 p = 0.00000","m = 0.00000 
 p = 0.00000","m = 0.00000 
 p = 0.00000","m = 0.00001 
 p = 0.00076","m = 0.00000 
 p = 0.00000","m = 0.00000 
 p = 0.00000","m = 0.00000 
 p = 0.00000","m = 0.00000 
 p = 0.00000","m = 0.00000 
 p = 0.00000","m = 0.00000 
 p = 0.00000","m = 0.00000 
 p = 0.00000","m = 0.00000 
 p = 0.00000"
"KIT","m = 0.00086 
 p = 0.24395","m = 0.00078 
 p = 0.17671","m = 0.00104 
 p = 0.22817","m = 0.00659 
 p = 0.98323","m = 0.00288 
 p = 0.38610","m = 0.00089 
 p = 0.11282","m = 0.00366 
 p = 1.22990","m = 0.00295 
 p = 0.43793","m = 0.00145 
 p = 0.37813","m = 0.00193 
 p = 0.27807","m = 0.00621 
 p = 0.74232","m = 1.00000 
 p = 77.92768"
"CSF1R","m = 0.00087 
 p = 0.24177","m = 0.00073 
 p = 0.18667","m = 0.00702 
 p = 1.44363","m = 0.00110 
 p = 0.18098","m = 0.01419 
 p = 2.47104","m = 0.03023 
 p = 3.68380","m = 0.00565 
 p = 1.98675","m = 0.00464 
 p = 0.81546","m = 0.00500 
 p = 1.70159","m = 0.23782 
 p = 35.62984","m = 0.00319 
 p = 0.62595","m = 0.00350 
 p = 0.48570"
"BDNF","m = 0.00401 
 p = 1.23064","m = 0.08707 
 p = 18.63720","m = 0.00260 
 p = 0.56861","m = 0.00053 
 p = 0.13612","m = 0.00017 
 p = 0.07722","m = 0.00142 
 p = 0.22755","m = 0.00723 
 p = 1.79754","m = 0.00411 
 p = 0.81546","m = 0.00649 
 p = 2.23728","m = 0.00159 
 p = 0.44141","m = 0.00099 
 p = 0.18056","m = 0.00195 
 p = 0.21587"
"CALML6","m = 0.00005 
 p = 0.01960","m = 0.00005 
 p = 0.01206","m = 0.00021 
 p = 0.03839","m = 0.00003 
 p = 0.00456","m = 0.00000 
 p = 0.00000","m = 0.00013 
 p = 0.02295","m = 0.00013 
 p = 0.09461","m = 0.00000 
 p = 0.00000","m = 0.00222 
 p = 0.74051","m = 0.00008 
 p = 0.01167","m = 0.00017 
 p = 0.02408","m = 0.00000 
 p = 0.00000"
"PDGFRA","m = 0.00176 
 p = 0.63166","m = 0.00067 
 p = 0.20869","m = 0.31771 
 p = 38.61360","m = 0.00295 
 p = 0.60758","m = 0.01341 
 p = 2.39382","m = 0.00471 
 p = 0.70655","m = 0.03925 
 p = 8.23084","m = 0.03546 
 p = 5.58744","m = 0.03980 
 p = 9.26422","m = 0.00352 
 p = 0.81282","m = 0.00156 
 p = 0.30094","m = 0.00331 
 p = 0.37777"
"RAC2","m = 0.00018 
 p = 0.05445","m = 0.00024 
 p = 0.05506","m = 0.00042 
 p = 0.15646","m = 0.00085 
 p = 0.16653","m = 0.00280 
 p = 0.38610","m = 0.00033 
 p = 0.04780","m = 0.00352 
 p = 1.98675","m = 0.00147 
 p = 0.27182","m = 0.00127 
 p = 0.40964","m = 0.06711 
 p = 11.96671","m = 0.26189 
 p = 31.51834","m = 0.06585 
 p = 7.50135"
"FLT1","m = 0.00729 
 p = 1.91022","m = 0.00414 
 p = 0.99366","m = 0.01230 
 p = 2.23244","m = 0.72122 
 p = 70.58515","m = 0.03571 
 p = 5.09653","m = 0.20796 
 p = 22.70324","m = 0.02957 
 p = 6.33869","m = 0.02335 
 p = 3.74509","m = 0.02778 
 p = 5.92406","m = 0.04086 
 p = 6.54533","m = 0.00698 
 p = 1.08739","m = 0.01538 
 p = 1.61900"
"PDGFRB","m = 0.00361 
 p = 0.92788","m = 0.00373 
 p = 0.82376","m = 0.26415 
 p = 35.43081","m = 0.00863 
 p = 1.50565","m = 0.01257 
 p = 1.69884","m = 0.84014 
 p = 76.37222","m = 0.01905 
 p = 5.48723","m = 0.08583 
 p = 11.85442","m = 0.06615 
 p = 15.18828","m = 0.00552 
 p = 1.08505","m = 0.01112 
 p = 1.70532","m = 0.00843 
 p = 0.91743"
"CALML5","m = 0.00000 
 p = 0.00000","m = 0.00000 
 p = 0.00000","m = 0.00000 
 p = 0.00072","m = 0.00000 
 p = 0.00076","m = 0.00000 
 p = 0.00000","m = 0.00000 
 p = 0.00000","m = 0.00000 
 p = 0.00000","m = 0.00000 
 p = 0.00000","m = 0.00000 
 p = 0.00000","m = 0.00000 
 p = 0.00000","m = 0.00000 
 p = 0.00000","m = 0.00000 
 p = 0.00000"
"NGFR","m = 0.00066 
 p = 0.24177","m = 0.00019 
 p = 0.04667","m = 0.04399 
 p = 7.17106","m = 0.00127 
 p = 0.26691","m = 0.00125 
 p = 0.30888","m = 0.03990 
 p = 5.61701","m = 0.00368 
 p = 1.79754","m = 0.14257 
 p = 17.95530","m = 0.01010 
 p = 3.54498","m = 0.00090 
 p = 0.19834","m = 0.00111 
 p = 0.20865","m = 0.00198 
 p = 0.21587"
"TEK","m = 0.00184 
 p = 0.49008","m = 0.00113 
 p = 0.28787","m = 0.00586 
 p = 1.19662","m = 0.26168 
 p = 35.07167","m = 0.15340 
 p = 23.08880","m = 0.00306 
 p = 0.48856","m = 0.01565 
 p = 4.44655","m = 0.00792 
 p = 1.43461","m = 0.01103 
 p = 3.07232","m = 0.00335 
 p = 0.71948","m = 0.00174 
 p = 0.28088","m = 0.00514 
 p = 0.59363"
"PIK3R3","m = 0.07823 
 p = 18.47270","m = 0.03120 
 p = 8.27120","m = 0.00955 
 p = 1.90286","m = 0.34530 
 p = 40.92316","m = 0.05647 
 p = 9.03475","m = 0.00755 
 p = 1.15017","m = 0.02507 
 p = 5.58184","m = 0.01138 
 p = 2.34068","m = 0.01478 
 p = 3.48196","m = 0.02747 
 p = 5.40777","m = 0.00926 
 p = 1.43648","m = 0.00663 
 p = 0.80950"
"EGF","m = 0.17121 
 p = 34.74549","m = 0.12167 
 p = 25.93467","m = 0.00242 
 p = 0.62222","m = 0.00153 
 p = 0.35968","m = 0.00221 
 p = 0.30888","m = 0.00111 
 p = 0.19887","m = 0.00809 
 p = 2.74361","m = 0.00739 
 p = 1.91785","m = 0.00795 
 p = 2.12699","m = 0.00464 
 p = 1.00338","m = 0.00131 
 p = 0.25680","m = 0.00416 
 p = 0.43173"
"IGF1","m = 0.00561 
 p = 1.58568","m = 0.00132 
 p = 0.33559","m = 0.22439 
 p = 26.84365","m = 0.00139 
 p = 0.24866","m = 0.16886 
 p = 23.70656","m = 0.00323 
 p = 0.44458","m = 0.02769 
 p = 6.62252","m = 0.02563 
 p = 3.85080","m = 0.50500 
 p = 61.57240","m = 0.07136 
 p = 11.22389","m = 0.00483 
 p = 0.78645","m = 0.00575 
 p = 0.64760"
