"gene","Atrial Cardiomyocyte","Ventricular Cardiomyocyte","Fibroblast","Endothelial cell","Lymphatic Endothelial cell","Mural cell","Mesothelial cell","Neural cell","Adipocyte","Myeloid","Lymphoid","Mast cell"
"TNF","m = 0.00011 
 p = 0.01525","m = 0.00027 
 p = 0.01626","m = 0.00082 
 p = 0.12386","m = 0.06788 
 p = 3.10254","m = 0.00520 
 p = 0.23166","m = 0.00158 
 p = 0.07649","m = 0.00320 
 p = 0.66225","m = 0.00086 
 p = 0.03020","m = 0.00108 
 p = 0.09453","m = 0.06863 
 p = 3.46906","m = 0.09370 
 p = 3.59923","m = 0.01233 
 p = 0.43173"
"ISG15","m = 0.03230 
 p = 2.22605","m = 0.03558 
 p = 2.38949","m = 0.06545 
 p = 3.08718","m = 1.00000 
 p = 34.36143","m = 0.15313 
 p = 7.33591","m = 0.24942 
 p = 9.17174","m = 0.32195 
 p = 14.85336","m = 0.11422 
 p = 4.45485","m = 0.02156 
 p = 1.76461","m = 0.51056 
 p = 15.00408","m = 0.75266 
 p = 23.20841","m = 0.00321 
 p = 0.10793"
"IKBKE","m = 0.00885 
 p = 0.72532","m = 0.00392 
 p = 0.29364","m = 0.03156 
 p = 1.63051","m = 0.00187 
 p = 0.09201","m = 0.02574 
 p = 1.38996","m = 0.00576 
 p = 0.22564","m = 0.04731 
 p = 3.31126","m = 0.00769 
 p = 0.39263","m = 0.01751 
 p = 1.43375","m = 0.09223 
 p = 5.20165","m = 0.10888 
 p = 4.29340","m = 0.03590 
 p = 1.13330"
"IFNA5","m = 0.00009 
 p = 0.00653","m = 0.00016 
 p = 0.01049","m = 0.00018 
 p = 0.00869","m = 0.00017 
 p = 0.01065","m = 0.00000 
 p = 0.00000","m = 0.00033 
 p = 0.01243","m = 0.00000 
 p = 0.00000","m = 0.00029 
 p = 0.01510","m = 0.00007 
 p = 0.01576","m = 0.00005 
 p = 0.00194","m = 0.00000 
 p = 0.00000","m = 0.00000 
 p = 0.00000"
"RELA","m = 0.03381 
 p = 2.99928","m = 0.02675 
 p = 2.11473","m = 0.09711 
 p = 5.21676","m = 0.28623 
 p = 13.98958","m = 0.12765 
 p = 7.72201","m = 0.11689 
 p = 5.21450","m = 0.11885 
 p = 11.16367","m = 0.07635 
 p = 3.41287","m = 0.07806 
 p = 6.69608","m = 0.10678 
 p = 6.47921","m = 0.13465 
 p = 5.77401","m = 0.03304 
 p = 1.07933"
"DDX58","m = 0.14088 
 p = 10.59877","m = 0.12748 
 p = 8.56012","m = 0.33097 
 p = 14.62243","m = 0.29094 
 p = 12.27938","m = 0.27015 
 p = 12.35521","m = 0.20062 
 p = 7.11233","m = 0.34133 
 p = 19.29991","m = 0.38599 
 p = 14.72365","m = 0.75222 
 p = 40.06617","m = 0.24848 
 p = 12.04255","m = 0.19711 
 p = 7.37100","m = 0.19983 
 p = 6.04425"
"TRAF3","m = 0.12112 
 p = 9.98236","m = 0.08562 
 p = 6.35415","m = 0.51414 
 p = 21.29731","m = 0.11076 
 p = 4.72149","m = 0.30349 
 p = 13.74517","m = 0.12592 
 p = 4.60260","m = 0.43566 
 p = 21.38127","m = 0.19018 
 p = 8.06403","m = 0.75153 
 p = 41.67323","m = 0.51930 
 p = 21.88193","m = 0.26396 
 p = 9.43744","m = 0.23769 
 p = 7.17755"
"TRADD","m = 0.02979 
 p = 2.43732","m = 0.02417 
 p = 1.88821","m = 0.06623 
 p = 3.45732","m = 0.10233 
 p = 5.33440","m = 0.10425 
 p = 6.10039","m = 0.07162 
 p = 3.33674","m = 0.13705 
 p = 11.92053","m = 0.05213 
 p = 2.37088","m = 0.05137 
 p = 4.52182","m = 0.08591 
 p = 5.21721","m = 0.17686 
 p = 7.50341","m = 0.02583 
 p = 0.80950"
"CYLD","m = 0.22325 
 p = 17.76916","m = 0.18250 
 p = 13.49326","m = 0.20294 
 p = 10.16117","m = 0.24442 
 p = 11.46572","m = 0.28698 
 p = 13.97683","m = 0.11487 
 p = 4.57774","m = 0.23767 
 p = 15.79943","m = 0.25651 
 p = 10.99366","m = 0.28432 
 p = 20.97054","m = 0.35088 
 p = 18.70260","m = 0.61830 
 p = 22.83926","m = 0.31891 
 p = 9.82191"
"IKBKB","m = 0.14624 
 p = 11.67041","m = 0.10897 
 p = 7.98647","m = 0.32675 
 p = 15.58292","m = 0.29216 
 p = 13.13486","m = 0.46229 
 p = 21.38996","m = 0.16116 
 p = 6.10462","m = 0.26842 
 p = 16.84011","m = 0.27078 
 p = 11.15977","m = 0.32595 
 p = 24.78336","m = 0.56580 
 p = 26.59161","m = 0.33122 
 p = 12.36257","m = 0.41222 
 p = 12.41230"
