,tau,expected_Atrial Cardiomyocyte,expected_Ventricular Cardiomyocyte,expected_Fibroblast,expected_Endothelial cell,expected_Lymphatic Endothelial cell,expected_Mural cell,expected_Mesothelial cell,expected_Neural cell,expected_Adipocyte,expected_Myeloid,expected_Lymphoid,expected_Mast cell
ISG15,0.7945412993431091,0.0005288161240817181,0.0006251900633675452,0.0014859145064609709,0.25270288096902527,0.008261231784654861,0.01682344198933,0.03516870713109889,0.0037422036002208664,0.0002798044589517322,0.056337198150184356,0.12846512071643018,2.5518798946337126e-06
IKBKE,0.76759934425354,4.719570784227629e-05,8.46215484369958e-06,0.00037845612865613663,1.265597617349481e-06,0.0002631625556117319,9.5619683262301e-06,0.0011520014940113422,2.2212858698593815e-05,0.00018462498147144496,0.0035282814076885815,0.0034378635658277247,0.000299178657945722
NFKB1,0.37063801288604736,0.07259487528760043,0.06281069492726188,0.15160478378153042,0.041961358342396074,0.14792621651211302,0.021530886729298825,0.1873237875800372,0.04972602839701776,0.1598114405858605,0.1694919076040709,0.05593102576309601,0.049543090916554865
MAPK9,0.23343323171138763,0.02321920749083629,0.018435532928050693,0.008838982653503014,0.0067607840281838924,0.013050595190534258,0.0018024544919616361,0.013135411091987662,0.0032878806226673317,0.020677671662856223,0.013918576868204533,0.006185596768282627,0.006979201284538265
RIPK1,0.48298776149749756,0.0322960397893432,0.03405769831166871,0.034980205116762954,0.01241962036025066,0.04854228201980296,0.023607943794813107,0.022905404585199525,0.019334514977816044,0.13618003848745858,0.037768950374439926,0.013980488935105062,0.020423067593921925
TNF,0.8428629040718079,1.2371317498475649e-08,3.230020689885612e-08,7.450584547565114e-07,0.001548877970664058,8.866681382923052e-06,8.866311473930229e-07,1.5570242451318843e-05,1.900312590616162e-07,7.526345749985652e-07,0.0017509955647843577,0.0024801651212441275,3.9142797235148183e-05
MAP3K7,0.2671978771686554,0.06169675970907885,0.034735558880646875,0.04311962990896199,0.02140876965252448,0.04288584304592324,0.01234267420111014,0.05582719917216161,0.020186403841095293,0.0819257204788434,0.060060190383952085,0.01862552333508073,0.011119702701239216
IKBKG,0.3029748201370239,0.0013849050423595294,0.001270036704794911,0.0021201491746625804,0.003032161736142966,0.002526430825929384,0.0014614115821668184,0.004697800725839447,0.0010942546985492141,0.005572342376775097,0.0033870109744891263,0.0033427465498691365,0.000729700788670595
IKBKB,0.5009227395057678,0.012551267831548469,0.006400128230698664,0.037445607746546754,0.028222212837085148,0.07272095459308403,0.007235226975706444,0.033242866523782374,0.022223019498203215,0.05940949829033797,0.11064884195003043,0.030114062434190465,0.03762917298596419
IFNA5,0.7191972732543945,4.367751602984278e-09,1.2432541819571102e-08,1.1396178807253071e-08,1.354808482170402e-08,0.0,3.0089937563350784e-08,0.0,3.257714539914828e-08,7.76296759514942e-09,7.588032471425769e-10,0.0,0.0
