"gene","Atrial Cardiomyocyte","Ventricular Cardiomyocyte","Fibroblast","Endothelial cell","Lymphatic Endothelial cell","Mural cell","Mesothelial cell","Neural cell","Adipocyte","Myeloid","Lymphoid","Mast cell"
"KIT","m = 0.00086 
 p = 0.24395","m = 0.00078 
 p = 0.17671","m = 0.00104 
 p = 0.22817","m = 0.00659 
 p = 0.98323","m = 0.00288 
 p = 0.38610","m = 0.00089 
 p = 0.11282","m = 0.00366 
 p = 1.22990","m = 0.00295 
 p = 0.43793","m = 0.00145 
 p = 0.37813","m = 0.00193 
 p = 0.27807","m = 0.00621 
 p = 0.74232","m = 1.00000 
 p = 77.92768"
"PDGFRA","m = 0.00176 
 p = 0.63166","m = 0.00067 
 p = 0.20869","m = 0.31771 
 p = 38.61360","m = 0.00295 
 p = 0.60758","m = 0.01341 
 p = 2.39382","m = 0.00471 
 p = 0.70655","m = 0.03925 
 p = 8.23084","m = 0.03546 
 p = 5.58744","m = 0.03980 
 p = 9.26422","m = 0.00352 
 p = 0.81282","m = 0.00156 
 p = 0.30094","m = 0.00331 
 p = 0.37777"
"PDGFRB","m = 0.00361 
 p = 0.92788","m = 0.00373 
 p = 0.82376","m = 0.26415 
 p = 35.43081","m = 0.00863 
 p = 1.50565","m = 0.01257 
 p = 1.69884","m = 0.84014 
 p = 76.37222","m = 0.01905 
 p = 5.48723","m = 0.08583 
 p = 11.85442","m = 0.06615 
 p = 15.18828","m = 0.00552 
 p = 1.08505","m = 0.01112 
 p = 1.70532","m = 0.00843 
 p = 0.91743"
"VEGFC","m = 0.00059 
 p = 0.19168","m = 0.00118 
 p = 0.30360","m = 0.01911 
 p = 3.46166","m = 0.14940 
 p = 20.04030","m = 0.01810 
 p = 2.70270","m = 0.00232 
 p = 0.37096","m = 0.05161 
 p = 11.54210","m = 0.00534 
 p = 0.90607","m = 0.02612 
 p = 7.21601","m = 0.00213 
 p = 0.35585","m = 0.00104 
 p = 0.16050","m = 0.00549 
 p = 0.59363"
"EGF","m = 0.17121 
 p = 34.74549","m = 0.12167 
 p = 25.93467","m = 0.00242 
 p = 0.62222","m = 0.00153 
 p = 0.35968","m = 0.00221 
 p = 0.30888","m = 0.00111 
 p = 0.19887","m = 0.00809 
 p = 2.74361","m = 0.00739 
 p = 1.91785","m = 0.00795 
 p = 2.12699","m = 0.00464 
 p = 1.00338","m = 0.00131 
 p = 0.25680","m = 0.00416 
 p = 0.43173"
"IGF1","m = 0.00561 
 p = 1.58568","m = 0.00132 
 p = 0.33559","m = 0.22439 
 p = 26.84365","m = 0.00139 
 p = 0.24866","m = 0.16886 
 p = 23.70656","m = 0.00323 
 p = 0.44458","m = 0.02769 
 p = 6.62252","m = 0.02563 
 p = 3.85080","m = 0.50500 
 p = 61.57240","m = 0.07136 
 p = 11.22389","m = 0.00483 
 p = 0.78645","m = 0.00575 
 p = 0.64760"
"RAC3","m = 0.00134 
 p = 0.34414","m = 0.00084 
 p = 0.21866","m = 0.00062 
 p = 0.13111","m = 0.00014 
 p = 0.02585","m = 0.00156 
 p = 0.38610","m = 0.00035 
 p = 0.05737","m = 0.00479 
 p = 1.60833","m = 0.00137 
 p = 0.25672","m = 0.01118 
 p = 3.24563","m = 0.00064 
 p = 0.13223","m = 0.00055 
 p = 0.10433","m = 0.00000 
 p = 0.00000"
"PDGFB","m = 0.00947 
 p = 2.93394","m = 0.00162 
 p = 0.48293","m = 0.00200 
 p = 0.54688","m = 0.14400 
 p = 20.42280","m = 0.03812 
 p = 6.40927","m = 0.00942 
 p = 1.50392","m = 0.00672 
 p = 2.93283","m = 0.07048 
 p = 9.48354","m = 0.00500 
 p = 1.76461","m = 0.05101 
 p = 8.98962","m = 0.00458 
 p = 0.69015","m = 0.00174 
 p = 0.21587"
"LPAR1","m = 0.00215 
 p = 0.57720","m = 0.00091 
 p = 0.24330","m = 0.35937 
 p = 44.19905","m = 0.00172 
 p = 0.31558","m = 0.01228 
 p = 2.31660","m = 0.01028 
 p = 1.40449","m = 0.15662 
 p = 26.20624","m = 0.53752 
 p = 55.63274","m = 0.09166 
 p = 18.63873","m = 0.11041 
 p = 16.90779","m = 0.00320 
 p = 0.48150","m = 0.00853 
 p = 1.02536"
"FGFR4","m = 0.00028 
 p = 0.09584","m = 0.00013 
 p = 0.03251","m = 0.00599 
 p = 0.95397","m = 0.00027 
 p = 0.04563","m = 0.00148 
 p = 0.30888","m = 0.00305 
 p = 0.43884","m = 0.00003 
 p = 0.09461","m = 0.00121 
 p = 0.21142","m = 0.00091 
 p = 0.29935","m = 0.00015 
 p = 0.03500","m = 0.00031 
 p = 0.04815","m = 0.00085 
 p = 0.10793"
