,tau,expected_Atrial Cardiomyocyte,expected_Ventricular Cardiomyocyte,expected_Fibroblast,expected_Endothelial cell,expected_Lymphatic Endothelial cell,expected_Mural cell,expected_Mesothelial cell,expected_Neural cell,expected_Adipocyte,expected_Myeloid,expected_Lymphoid,expected_Mast cell
CDC42,0.5190489,0.0467649342678889,0.04398836699323645,0.05180955557794513,0.35976968025971734,0.2540638338184725,0.07302953108291639,0.15293393190333385,0.05041171203960072,0.09642294498622107,0.29777546595146454,0.23376734935398344,0.020138025283813477
RAP1A,0.4712634,0.25056351551895645,0.21423874002380355,0.13730441909236854,0.19130998493296977,0.2844170662427041,0.0927316260580823,0.09991617031331997,0.2078046179437018,0.20838873923923604,0.5928389783042438,0.23485750628172056,0.19176858499509478
RAF1,0.4998636,0.4251440942711978,0.3667863740736496,0.09927511191960457,0.0386751233049275,0.0705597318967797,0.055175709091640164,0.07292167705641453,0.08834854442523851,0.2200598072137948,0.10829475583354387,0.036178163742236556,0.053817638434787346
RHOA,0.5744079,0.024415632341275254,0.039775077675314754,0.112864896284537,0.5569049002475999,0.27379810589160697,0.09893894304060312,0.16374663711158083,0.09105574865061795,0.1837315844497813,0.47372713032381886,0.19334560944098222,0.021749747407417072
MAGI1,0.67484945,1.7643386034296547,2.155222617879148,0.07282891291631852,0.23061232524953193,1.4868268230246762,0.02957341939753125,0.28999504889647915,0.04862913563149964,1.2860791177773672,0.006301019455353354,0.00039844525083044483,0.0025744651395503853
PIK3CA,0.44200075,0.07052796398146308,0.046196798130047095,0.08621598779993277,0.030324176843141603,0.08386157596893752,0.05604282861371701,0.055051050523371774,0.04384290145013096,0.1665701975836723,0.071831236425546,0.02482255601931246,0.1203070840382666
PDGFRA,0.9581101,2.8968611997661046e-05,3.63005853758285e-06,0.3200499994364234,4.681268172436833e-05,0.0008376506592316056,8.677933337681482e-05,0.00842798093832543,0.005168905231355721,0.009619585102667897,7.455084231380301e-05,1.2265136578286136e-05,3.261569308401505e-05
KIT,0.99734217,5.458999556703279e-06,3.578298611696422e-06,6.207129508049134e-06,0.00016893096292822503,2.8982869993075443e-05,2.622651233202769e-06,0.00011753128504939202,3.3672923127673646e-05,1.4331518995662328e-05,1.3973535024151522e-05,0.00012035428156007324,2.032974418150176
KDR,0.84478015,3.7002209152656582e-06,1.6692103392710554e-06,5.607791735419739e-05,0.15447418266618884,0.147148903709581,3.3658581208764116e-05,0.09610380935804282,6.922133260175059e-05,0.00015812703281082243,2.7019922850711556e-05,5.840854979372887e-06,1.8886750623286257e-05
EGF,0.9137205,0.15518706697216095,0.0823188168733373,3.927992533037402e-05,1.438309071217058e-05,1.7839385390741946e-05,5.7391632214485915e-06,0.0005791636823536432,0.0003699795178432221,0.0004409476662735799,0.00012150063581365699,8.759351820770098e-06,4.688843369033616e-05
VEGFC,0.9190481,2.9686465624102616e-06,9.352171588328691e-06,0.001725626461263724,0.07810927224174652,0.0012764134318441957,2.2469973322066232e-05,0.015539190909043729,0.0001261726289546515,0.004917965517826149,1.9792464394750414e-05,4.3660448636148434e-06,8.498493047241128e-05
PIK3R1,0.46614665,0.3502247146589433,0.7648163179665918,0.27620319313902997,0.009186746598180676,0.054441404641825265,0.02004043788816818,0.11710251209413317,0.4448682892830197,0.6833940245738194,0.28496192425764116,0.29277646767367005,0.2088555137144831
PDGFRB,0.94710916,8.74043350071231e-05,8.015134645534434e-05,0.24415633741989243,0.00033914011761714403,0.0005572153967319769,1.6738957176986442,0.0027272418183657845,0.026544000491009342,0.0262096243823478,0.00015631486884375989,0.000494560588908472,0.00020177669207984154
LCP2,0.8447681,6.987621582302407e-06,3.3581363760272058e-06,7.081811835519226e-05,0.002795255695779552,0.0009637598307896767,6.472878796082254e-06,0.00025698142223123575,0.00010774973712409237,0.00031799131575035674,0.2538737652182454,0.11290632388859821,0.22841751691269604
FGFR4,0.8685804,7.04217528142263e-07,1.076075269565573e-07,0.00014916158516939095,3.2182833135427163e-07,1.1916093988538248e-05,3.489904127852699e-05,8.119418010002842e-08,6.660878122734973e-06,7.112323159326413e-06,1.3366020216137472e-07,3.841271480171258e-07,2.4070062097091643e-06
AFDN,0.6816934,0.18172695619690066,0.11176948147842453,0.12229696011483694,0.6039004611595515,0.47861198062602156,0.0038860972195733506,0.3728781773892911,0.00979476530083498,0.1902672564521331,0.013523836131726495,0.0037122994356994002,0.00357840380280068
ACTB,0.49720523,0.8203124175939269,0.6837776705287473,0.39410421854557426,1.7288168092693361,0.6613164047476868,0.5312123421931174,1.0123318607444005,0.28652201823797946,0.1465878678960877,1.2919916803656104,1.3570496151453229,0.010665893265188416
RAC1,0.68541086,0.02969000503725597,0.02921826995264208,0.0960699204641105,0.7956355194225815,0.29931239179662755,0.12898443173593083,0.23719775490639,0.09982321144266455,0.0905370282266616,0.3879713352792939,0.0683292451354763,0.014449721918965569
EGFR,0.7670602,0.07782732797952731,4.7545034788417284e-05,0.5941825359527612,0.029152239076737953,0.001211238865341459,0.07635400066237322,0.24354588274924172,0.014632456193640671,0.6867594407715534,0.0006194442483222606,3.456710276117907e-05,0.00010939396835393153
GNAI1,0.7108908,0.0051313624195250635,0.0011785233860071563,0.0026337307869237427,0.03486057361864435,0.02108896756724501,0.028199552818375585,0.02841710409919609,0.0038437048849185333,0.15864641769337653,0.00048171279505193664,6.26189026127475e-05,0.04123996374289281
BRAF,0.2725508,0.4762098359749023,0.5211760445159556,0.28148966608180115,0.07934042190463864,0.29992088995384897,0.1439422668220402,0.21024618187149174,0.19900337622195202,0.46265130124167975,0.2087872756168212,0.11043510557144184,0.17428265187911451
VEGFD,0.80850923,0.01323241352397525,0.012066466852481098,0.027686299993103233,0.0001547526173421917,0.00020856799766363784,0.00021051865148311575,0.000687168479360492,0.0025799109253664457,0.00892969378528021,0.0004176121774903119,4.978599388909616e-06,2.982435397164473e-06
FGFR1,0.6165795,0.153926378959681,0.17378359803161564,0.3365691388423153,0.06555407522413732,0.05719921782210067,0.006489040750315328,0.11645086610102946,0.03382065481773787,0.37916397888753967,0.032245822597684916,0.001412616526812193,0.006235777849258118
ADCY8,0.80025554,0.00013217129202259409,4.629201067384104e-05,2.627340267680823e-05,3.1286306795535763e-06,0.0005186445176831543,6.704639903114356e-06,4.20163536238129e-06,4.0805797064207144e-05,0.00020789119032155404,9.972765335902048e-06,3.7229431204299905e-06,0.00016530408261115654
