#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACTB	PFN1	9606.ENSP00000494750	9606.ENSP00000225655	0	0.948	0.900	0	0.994
ACTB	VASP	9606.ENSP00000494750	9606.ENSP00000245932	0	0.219	0.900	0	0.918
ACTB	PFN4	9606.ENSP00000494750	9606.ENSP00000322170	0	0.044	0.900	0	0.900
ACTB	PFN3	9606.ENSP00000494750	9606.ENSP00000351379	0	0.219	0.900	0	0.918
ACTB	AFDN	9606.ENSP00000494750	9606.ENSP00000355771	0	0	0.900	0	0.900
ACTB	ITGB1	9606.ENSP00000494750	9606.ENSP00000379350	0	0	0.900	0	0.900
ACTB	ITGB3	9606.ENSP00000494750	9606.ENSP00000452786	0	0	0.900	0	0.900
ACTB	ACTG1	9606.ENSP00000494750	9606.ENSP00000458162	0	0.962	0.900	0	0.996
ACTB	CDC42	9606.ENSP00000494750	9606.ENSP00000497733	0	0	0.900	0	0.900
ACTG1	PFN1	9606.ENSP00000458162	9606.ENSP00000225655	0	0.185	0.900	0	0.915
ACTG1	VASP	9606.ENSP00000458162	9606.ENSP00000245932	0	0.528	0.900	0	0.950
ACTG1	PFN4	9606.ENSP00000458162	9606.ENSP00000322170	0	0.044	0.900	0	0.900
ACTG1	PFN3	9606.ENSP00000458162	9606.ENSP00000351379	0	0	0.900	0	0.900
ACTG1	AFDN	9606.ENSP00000458162	9606.ENSP00000355771	0	0	0.900	0	0.900
ACTG1	ITGB1	9606.ENSP00000458162	9606.ENSP00000379350	0	0	0.900	0	0.900
ACTG1	ITGB3	9606.ENSP00000458162	9606.ENSP00000452786	0	0	0.900	0	0.900
ACTG1	CDC42	9606.ENSP00000458162	9606.ENSP00000497733	0	0	0.900	0	0.900
ADCY1	ADCY8	9606.ENSP00000297323	9606.ENSP00000286355	0	0	0.900	0	0.900
ADCY1	CALM1	9606.ENSP00000297323	9606.ENSP00000499717	0	0	0.700	0	0.700
ADCY1	ADCY3	9606.ENSP00000297323	9606.ENSP00000384484	0	0	0.900	0	0.900
