"gene","Atrial Cardiomyocyte","Ventricular Cardiomyocyte","Fibroblast","Endothelial cell","Lymphatic Endothelial cell","Mural cell","Mesothelial cell","Neural cell","Adipocyte","Myeloid","Lymphoid","Mast cell"
"ITGB7","m = 0.00024 
 p = 0.06752","m = 0.00051 
 p = 0.11746","m = 0.00065 
 p = 0.13473","m = 0.00044 
 p = 0.08213","m = 0.00169 
 p = 0.30888","m = 0.00033 
 p = 0.04398","m = 0.00004 
 p = 0.09461","m = 0.00151 
 p = 0.24162","m = 0.00321 
 p = 0.92957","m = 0.00658 
 p = 1.37868","m = 0.07730 
 p = 10.39644","m = 0.00069 
 p = 0.05397"
"PDGFRA","m = 0.00192 
 p = 0.63166","m = 0.00073 
 p = 0.20869","m = 0.34753 
 p = 38.61360","m = 0.00323 
 p = 0.60758","m = 0.01467 
 p = 2.39382","m = 0.00515 
 p = 0.70655","m = 0.04293 
 p = 8.23084","m = 0.03879 
 p = 5.58744","m = 0.04354 
 p = 9.26422","m = 0.00385 
 p = 0.81282","m = 0.00171 
 p = 0.30094","m = 0.00362 
 p = 0.37777"
"ITGB4","m = 0.00348 
 p = 0.81898","m = 0.00164 
 p = 0.35132","m = 0.00266 
 p = 0.48459","m = 0.03286 
 p = 5.40816","m = 0.11456 
 p = 17.37452","m = 0.00144 
 p = 0.19887","m = 0.01980 
 p = 4.54115","m = 0.27121 
 p = 30.32317","m = 0.00689 
 p = 1.74886","m = 0.00103 
 p = 0.20807","m = 0.00098 
 p = 0.14445","m = 0.00408 
 p = 0.43173"
"ITGB8","m = 0.00217 
 p = 0.46612","m = 0.00544 
 p = 1.22699","m = 0.05659 
 p = 8.25685","m = 0.00193 
 p = 0.28516","m = 0.05066 
 p = 7.10425","m = 0.00330 
 p = 0.42163","m = 0.19889 
 p = 28.19300","m = 0.65088 
 p = 54.13772","m = 0.03112 
 p = 7.05845","m = 0.02368 
 p = 3.19877","m = 0.00224 
 p = 0.29693","m = 0.08092 
 p = 7.60928"
"PIK3R3","m = 0.08557 
 p = 18.47270","m = 0.03413 
 p = 8.27120","m = 0.01045 
 p = 1.90286","m = 0.37770 
 p = 40.92316","m = 0.06178 
 p = 9.03475","m = 0.00826 
 p = 1.15017","m = 0.02743 
 p = 5.58184","m = 0.01244 
 p = 2.34068","m = 0.01617 
 p = 3.48196","m = 0.03005 
 p = 5.40777","m = 0.01013 
 p = 1.43648","m = 0.00725 
 p = 0.80950"
"ITGB2","m = 0.00132 
 p = 0.27662","m = 0.00059 
 p = 0.13266","m = 0.00154 
 p = 0.41433","m = 0.00129 
 p = 0.20836","m = 0.01228 
 p = 2.23938","m = 0.00104 
 p = 0.13290","m = 0.00906 
 p = 2.55440","m = 0.00319 
 p = 0.45304","m = 0.00415 
 p = 1.07137","m = 0.24164 
 p = 33.19527","m = 0.29344 
 p = 32.16837","m = 0.01401 
 p = 1.45710"
"RAC3","m = 0.00147 
 p = 0.34414","m = 0.00092 
 p = 0.21866","m = 0.00068 
 p = 0.13111","m = 0.00015 
 p = 0.02585","m = 0.00170 
 p = 0.38610","m = 0.00038 
 p = 0.05737","m = 0.00523 
 p = 1.60833","m = 0.00150 
 p = 0.25672","m = 0.01223 
 p = 3.24563","m = 0.00069 
 p = 0.13223","m = 0.00060 
 p = 0.10433","m = 0.00000 
 p = 0.00000"
"PAK3","m = 0.00131 
 p = 0.32454","m = 0.00119 
 p = 0.26323","m = 0.02358 
 p = 3.59712","m = 0.00748 
 p = 1.08513","m = 0.04769 
 p = 7.10425","m = 0.00183 
 p = 0.23711","m = 0.00968 
 p = 1.98675","m = 0.00380 
 p = 0.66445","m = 0.00732 
 p = 2.07972","m = 0.00142 
 p = 0.25279","m = 0.00723 
 p = 0.93893","m = 0.00635 
 p = 0.59363"
"ITGB6","m = 0.00546 
 p = 1.38965","m = 0.00753 
 p = 1.78753","m = 0.00084 
 p = 0.15863","m = 0.00024 
 p = 0.03498","m = 0.00100 
 p = 0.23166","m = 0.00049 
 p = 0.06501","m = 0.00192 
 p = 0.85147","m = 0.00017 
 p = 0.06040","m = 0.00156 
 p = 0.55144","m = 0.00060 
 p = 0.11667","m = 0.00042 
 p = 0.06019","m = 0.00000 
 p = 0.00000"
"MYH11","m = 0.09739 
 p = 16.67139","m = 0.00889 
 p = 2.01248","m = 0.02711 
 p = 4.12155","m = 0.01733 
 p = 2.24706","m = 0.02047 
 p = 2.54826","m = 0.18465 
 p = 15.67791","m = 0.01927 
 p = 4.44655","m = 0.05296 
 p = 6.44820","m = 0.02116 
 p = 5.41988","m = 0.00775 
 p = 1.32812","m = 0.01747 
 p = 2.05441","m = 0.03041 
 p = 2.96816"
"VAV1","m = 0.00998 
 p = 1.83181","m = 0.00733 
 p = 1.55000","m = 0.00719 
 p = 1.14302","m = 0.00260 
 p = 0.30113","m = 0.01846 
 p = 2.47104","m = 0.00417 
 p = 0.46370","m = 0.02398 
 p = 4.54115","m = 0.00626 
 p = 0.84567","m = 0.00767 
 p = 2.12699","m = 0.18163 
 p = 26.30187","m = 0.09544 
 p = 11.63229","m = 0.20970 
 p = 19.80572"
"FGFR2","m = 0.02673 
 p = 6.36013","m = 0.00235 
 p = 0.50967","m = 0.01490 
 p = 2.30995","m = 0.00196 
 p = 0.33079","m = 0.00380 
 p = 0.61776","m = 0.00200 
 p = 0.25432","m = 0.06068 
 p = 10.78524","m = 0.00589 
 p = 1.28360","m = 0.03863 
 p = 8.53947","m = 0.00120 
 p = 0.20029","m = 0.00217 
 p = 0.25279","m = 0.01286 
 p = 1.24123"
"MYH14","m = 0.13558 
 p = 29.63560","m = 0.14762 
 p = 30.00734","m = 0.00763 
 p = 1.42769","m = 0.00232 
 p = 0.45626","m = 0.00658 
 p = 0.77220","m = 0.00365 
 p = 0.55453","m = 0.02062 
 p = 5.77105","m = 0.03940 
 p = 5.57233","m = 0.08910 
 p = 20.37183","m = 0.00490 
 p = 1.06561","m = 0.00214 
 p = 0.36915","m = 0.01010 
 p = 1.02536"
"PAK1","m = 0.07042 
 p = 17.01989","m = 0.01822 
 p = 4.13560","m = 0.06550 
 p = 10.24012","m = 0.00310 
 p = 0.52165","m = 0.01879 
 p = 2.62548","m = 0.03590 
 p = 4.62268","m = 0.06441 
 p = 13.71807","m = 0.03841 
 p = 5.66294","m = 0.06638 
 p = 16.90562","m = 0.11656 
 p = 18.75899","m = 0.02573 
 p = 3.53102","m = 0.21742 
 p = 20.45332"
"EGFR","m = 0.12948 
 p = 25.20311","m = 0.00282 
 p = 0.70578","m = 0.48861 
 p = 50.98910","m = 0.09905 
 p = 12.34098","m = 0.01778 
 p = 2.85714","m = 0.17079 
 p = 18.74504","m = 0.28707 
 p = 35.57237","m = 0.06693 
 p = 9.16641","m = 0.45589 
 p = 63.16370","m = 0.01247 
 p = 2.08260","m = 0.00317 
 p = 0.45743","m = 0.00654 
 p = 0.70157"
"ITGA1","m = 0.01260 
 p = 2.97532","m = 0.00635 
 p = 1.51329","m = 0.10654 
 p = 15.25044","m = 0.54261 
 p = 54.69450","m = 0.39764 
 p = 46.71815","m = 0.31125 
 p = 32.54520","m = 0.05126 
 p = 10.87985","m = 0.32616 
 p = 35.06494","m = 0.14671 
 p = 28.76950","m = 0.01222 
 p = 1.96982","m = 0.02957 
 p = 3.32638","m = 0.02265 
 p = 2.32056"
"MYL9","m = 0.51060 
 p = 67.55026","m = 0.34590 
 p = 55.67721","m = 0.09167 
 p = 13.84014","m = 0.14198 
 p = 19.83803","m = 0.04270 
 p = 7.10425","m = 0.56907 
 p = 48.55966","m = 0.19280 
 p = 31.03122","m = 0.13683 
 p = 17.15494","m = 0.10082 
 p = 20.84449","m = 0.02430 
 p = 4.23521","m = 0.01055 
 p = 1.46457","m = 0.00846 
 p = 0.86346"
"RAC1","m = 0.07233 
 p = 17.21156","m = 0.07417 
 p = 16.51670","m = 0.16708 
 p = 24.10923","m = 0.57217 
 p = 58.30501","m = 0.30957 
 p = 40.54054","m = 0.21600 
 p = 25.03800","m = 0.24852 
 p = 40.01892","m = 0.18577 
 p = 22.53096","m = 0.12878 
 p = 29.47849","m = 0.35197 
 p = 46.21787","m = 0.14891 
 p = 19.24003","m = 0.07690 
 p = 7.87911"
"SRC","m = 0.01089 
 p = 3.24977","m = 0.00427 
 p = 1.00834","m = 0.03270 
 p = 5.85491","m = 0.00136 
 p = 0.25094","m = 0.01120 
 p = 1.77606","m = 0.02416 
 p = 3.06043","m = 0.01973 
 p = 6.90634","m = 0.04530 
 p = 6.13108","m = 0.02558 
 p = 7.62565","m = 0.03004 
 p = 5.62750","m = 0.00380 
 p = 0.69015","m = 0.00380 
 p = 0.43173"
"HRAS","m = 0.00909 
 p = 2.25001","m = 0.01115 
 p = 2.66373","m = 0.01452 
 p = 2.48814","m = 0.05580 
 p = 9.26353","m = 0.04465 
 p = 8.72587","m = 0.02985 
 p = 4.59400","m = 0.02714 
 p = 8.13623","m = 0.02139 
 p = 3.06554","m = 0.01128 
 p = 3.35592","m = 0.01826 
 p = 3.47879","m = 0.01966 
 p = 2.90908","m = 0.00550 
 p = 0.53967"
"VCL","m = 0.44224 
 p = 61.48418","m = 0.53136 
 p = 69.45834","m = 0.19301 
 p = 26.40035","m = 0.14030 
 p = 19.72701","m = 0.10104 
 p = 15.59846","m = 0.23474 
 p = 26.53715","m = 0.14290 
 p = 24.40870","m = 0.24983 
 p = 28.63183","m = 0.30513 
 p = 52.11911","m = 0.08755 
 p = 14.13876","m = 0.05358 
 p = 6.98178","m = 0.08924 
 p = 9.06638"
"ITGA5","m = 0.05284 
 p = 13.01213","m = 0.04681 
 p = 9.98846","m = 0.18036 
 p = 24.51197","m = 0.14114 
 p = 19.95513","m = 0.17030 
 p = 26.33205","m = 0.01412 
 p = 1.95329","m = 0.06417 
 p = 13.05582","m = 0.03297 
 p = 5.36092","m = 0.05053 
 p = 12.85647","m = 0.07941 
 p = 13.90931","m = 0.03453 
 p = 4.74280","m = 0.01677 
 p = 1.78090"
"BRK1","m = 0.02925 
 p = 7.10069","m = 0.02645 
 p = 6.15122","m = 0.06329 
 p = 9.82072","m = 0.22469 
 p = 30.04220","m = 0.13824 
 p = 21.46718","m = 0.10384 
 p = 13.44067","m = 0.12567 
 p = 24.03027","m = 0.06275 
 p = 8.26034","m = 0.03993 
 p = 10.71372","m = 0.12648 
 p = 19.71182","m = 0.14411 
 p = 18.71038","m = 0.01696 
 p = 1.72693"
"WASF1","m = 0.01077 
 p = 2.75097","m = 0.00746 
 p = 1.75712","m = 0.06104 
 p = 9.73380","m = 0.00428 
 p = 0.67070","m = 0.04178 
 p = 6.25483","m = 0.01216 
 p = 1.52018","m = 0.05694 
 p = 12.67739","m = 0.03456 
 p = 4.63606","m = 0.05078 
 p = 13.02978","m = 0.01667 
 p = 2.95570","m = 0.00382 
 p = 0.55373","m = 0.00650 
 p = 0.64760"
"SOS1","m = 0.27205 
 p = 47.13685","m = 0.31146 
 p = 51.33973","m = 0.21335 
 p = 28.59368","m = 0.18903 
 p = 23.83484","m = 0.22990 
 p = 31.66023","m = 0.15471 
 p = 17.15507","m = 0.19733 
 p = 30.17975","m = 0.20195 
 p = 23.99577","m = 0.59442 
 p = 73.54656","m = 0.21293 
 p = 30.08789","m = 0.27943 
 p = 27.56199","m = 0.14231 
 p = 13.76147"
