#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABI2	NCKAP1L	9606.ENSP00000295851	9606.ENSP00000293373	0	0.611	0.900	0	0.959
ABI2	BAIAP2	9606.ENSP00000295851	9606.ENSP00000316338	0	0.589	0.400	0	0.742
ABI2	RAC1	9606.ENSP00000295851	9606.ENSP00000348461	0	0.869	0.500	0	0.931
ABI2	CYFIP2	9606.ENSP00000295851	9606.ENSP00000479719	0	0.612	0.800	0	0.919
ABI2	WASF1	9606.ENSP00000295851	9606.ENSP00000376367	0	0.968	0.720	0	0.990
ABI2	BRK1	9606.ENSP00000295851	9606.ENSP00000432472	0	0.967	0.900	0	0.996
ABI2	NCKAP1	9606.ENSP00000295851	9606.ENSP00000354251	0	0.968	0.900	0	0.996
ABI2	CYFIP1	9606.ENSP00000295851	9606.ENSP00000481038	0	0.967	0.800	0	0.993
ABI2	WASF2	9606.ENSP00000295851	9606.ENSP00000483313	0	0.651	0.900	0	0.963
ACTB	ITGB4	9606.ENSP00000494750	9606.ENSP00000200181	0	0	0.900	0	0.900
ACTB	VCL	9606.ENSP00000494750	9606.ENSP00000211998	0	0.097	0.900	0	0.905
ACTB	MYH9	9606.ENSP00000494750	9606.ENSP00000216181	0	0.488	0.900	0	0.946
ACTB	ITGB8	9606.ENSP00000494750	9606.ENSP00000222573	0	0	0.900	0	0.900
ACTB	PFN1	9606.ENSP00000494750	9606.ENSP00000225655	0	0.948	0.900	0	0.994
ACTB	ARPC3	9606.ENSP00000494750	9606.ENSP00000228825	0	0.299	0.900	0	0.926
ACTB	ACTR3C	9606.ENSP00000494750	9606.ENSP00000252071	0	0.152	0.900	0	0.911
ACTB	ACTN4	9606.ENSP00000494750	9606.ENSP00000252699	0	0.178	0.900	0	0.914
ACTB	ACTR3B	9606.ENSP00000494750	9606.ENSP00000256001	0	0.152	0.900	0	0.911
ACTB	ARPC1A	9606.ENSP00000494750	9606.ENSP00000262942	0	0.239	0.900	0	0.920
ACTB	ACTR3	9606.ENSP00000494750	9606.ENSP00000263238	0	0.327	0.900	0	0.929
ACTB	ITGB7	9606.ENSP00000494750	9606.ENSP00000267082	0	0	0.900	0	0.900
ACTB	IQGAP1	9606.ENSP00000494750	9606.ENSP00000268182	0	0.457	0.900	0	0.943
ACTB	MYL9	9606.ENSP00000494750	9606.ENSP00000279022	0	0	0.900	0	0.900
ACTB	ITGB6	9606.ENSP00000494750	9606.ENSP00000283249	0	0	0.900	0	0.900
ACTB	TMSB4Y	9606.ENSP00000494750	9606.ENSP00000284856	0	0	0.900	0	0.900
ACTB	ARPC5	9606.ENSP00000494750	9606.ENSP00000294742	0	0.133	0.900	0	0.909
ACTB	ARPC2	9606.ENSP00000494750	9606.ENSP00000295685	0	0.250	0.900	0	0.921
ACTB	ITGB5	9606.ENSP00000494750	9606.ENSP00000296181	0	0	0.900	0	0.900
ACTB	CFL2	9606.ENSP00000494750	9606.ENSP00000298159	0	0.657	0.900	0	0.964
ACTB	BAIAP2	9606.ENSP00000494750	9606.ENSP00000316338	0	0.456	0.500	0	0.716
ACTB	PFN4	9606.ENSP00000494750	9606.ENSP00000322170	0	0.044	0.900	0	0.900
ACTB	EZR	9606.ENSP00000494750	9606.ENSP00000338934	0	0.115	0.900	0	0.907
ACTB	ARPC5L	9606.ENSP00000494750	9606.ENSP00000345361	0	0.262	0.900	0	0.923
ACTB	PFN3	9606.ENSP00000494750	9606.ENSP00000351379	0	0.219	0.900	0	0.918
ACTB	MSN	9606.ENSP00000494750	9606.ENSP00000353408	0	0.130	0.900	0	0.909
ACTB	MYH10	9606.ENSP00000494750	9606.ENSP00000353590	0	0.097	0.900	0	0.905
ACTB	ACTR2	9606.ENSP00000494750	9606.ENSP00000367220	0	0.390	0.900	0	0.936
ACTB	TMSB4X	9606.ENSP00000494750	9606.ENSP00000370010	0	0.363	0.900	0	0.933
ACTB	ACTN1	9606.ENSP00000494750	9606.ENSP00000377941	0	0.345	0.900	0	0.931
ACTB	ITGB1	9606.ENSP00000494750	9606.ENSP00000379350	0	0	0.900	0	0.900
ACTB	MYH11	9606.ENSP00000494750	9606.ENSP00000379616	0	0.251	0.900	0	0.921
ACTB	ARPC4	9606.ENSP00000494750	9606.ENSP00000388169	0	0.310	0.900	0	0.928
ACTB	ARPC1B	9606.ENSP00000494750	9606.ENSP00000389631	0	0.238	0.900	0	0.920
ACTB	CFL1	9606.ENSP00000494750	9606.ENSP00000432660	0	0.964	0.900	0	0.996
ACTB	ITGB3	9606.ENSP00000494750	9606.ENSP00000452786	0	0	0.900	0	0.900
ACTB	ACTG1	9606.ENSP00000494750	9606.ENSP00000458162	0	0.962	0.900	0	0.996
ACTB	MYH14	9606.ENSP00000494750	9606.ENSP00000493594	0	0	0.900	0	0.900
ACTB	CDC42	9606.ENSP00000494750	9606.ENSP00000497733	0	0	0.900	0	0.900
ACTB	RDX	9606.ENSP00000494750	9606.ENSP00000496414	0	0.125	0.900	0	0.908
ACTG1	ITGB4	9606.ENSP00000458162	9606.ENSP00000200181	0	0	0.900	0	0.900
ACTG1	VCL	9606.ENSP00000458162	9606.ENSP00000211998	0	0.223	0.900	0	0.918
ACTG1	MYH9	9606.ENSP00000458162	9606.ENSP00000216181	0	0.214	0.900	0	0.918
ACTG1	ITGB8	9606.ENSP00000458162	9606.ENSP00000222573	0	0	0.900	0	0.900
ACTG1	WASL	9606.ENSP00000458162	9606.ENSP00000223023	0	0.609	0.500	0	0.796
ACTG1	PFN1	9606.ENSP00000458162	9606.ENSP00000225655	0	0.185	0.900	0	0.915
ACTG1	ARPC3	9606.ENSP00000458162	9606.ENSP00000228825	0	0.299	0.900	0	0.926
ACTG1	ACTR3C	9606.ENSP00000458162	9606.ENSP00000252071	0	0.152	0.900	0	0.911
ACTG1	ACTN4	9606.ENSP00000458162	9606.ENSP00000252699	0	0	0.900	0	0.900
ACTG1	ACTR3B	9606.ENSP00000458162	9606.ENSP00000256001	0	0.152	0.900	0	0.911
ACTG1	ARPC1A	9606.ENSP00000458162	9606.ENSP00000262942	0	0.105	0.900	0	0.906
ACTG1	ACTR3	9606.ENSP00000458162	9606.ENSP00000263238	0	0.152	0.900	0	0.911
ACTG1	ITGB7	9606.ENSP00000458162	9606.ENSP00000267082	0	0	0.900	0	0.900
ACTG1	IQGAP1	9606.ENSP00000458162	9606.ENSP00000268182	0	0.163	0.900	0	0.912
ACTG1	MYL9	9606.ENSP00000458162	9606.ENSP00000279022	0	0	0.900	0	0.900
ACTG1	ITGB6	9606.ENSP00000458162	9606.ENSP00000283249	0	0	0.900	0	0.900
ACTG1	TMSB4Y	9606.ENSP00000458162	9606.ENSP00000284856	0	0	0.900	0	0.900
ACTG1	ARPC5	9606.ENSP00000458162	9606.ENSP00000294742	0	0.260	0.900	0	0.922
ACTG1	ARPC2	9606.ENSP00000458162	9606.ENSP00000295685	0	0.250	0.900	0	0.921
ACTG1	ITGB5	9606.ENSP00000458162	9606.ENSP00000296181	0	0	0.900	0	0.900
ACTG1	CFL2	9606.ENSP00000458162	9606.ENSP00000298159	0	0.588	0.900	0	0.957
ACTG1	PFN4	9606.ENSP00000458162	9606.ENSP00000322170	0	0.044	0.900	0	0.900
ACTG1	EZR	9606.ENSP00000458162	9606.ENSP00000338934	0	0	0.900	0	0.900
ACTG1	ARPC5L	9606.ENSP00000458162	9606.ENSP00000345361	0	0.260	0.900	0	0.922
ACTG1	PFN3	9606.ENSP00000458162	9606.ENSP00000351379	0	0	0.900	0	0.900
ACTG1	MSN	9606.ENSP00000458162	9606.ENSP00000353408	0	0	0.900	0	0.900
ACTG1	MYH10	9606.ENSP00000458162	9606.ENSP00000353590	0	0.097	0.900	0	0.905
