#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACLY	CS	9606.ENSP00000466259	9606.ENSP00000342056	0	0.647	0.940	0	0.978
ACLY	SUCLG1	9606.ENSP00000466259	9606.ENSP00000377446	0	0.399	0.673	0	0.795
ACO1	ACO2	9606.ENSP00000309477	9606.ENSP00000216254	0	0	0.900	0	0.900
DLAT	DLD	9606.ENSP00000280346	9606.ENSP00000205402	0	0.741	0.942	0	0.984
DLAT	OGDH	9606.ENSP00000280346	9606.ENSP00000388183	0	0.690	0.352	0	0.790
DLAT	PDHA2	9606.ENSP00000280346	9606.ENSP00000295266	0	0.282	0.941	0	0.955
DLAT	PDHA1	9606.ENSP00000280346	9606.ENSP00000369134	0	0.682	0.941	0	0.980
DLAT	PDHB	9606.ENSP00000280346	9606.ENSP00000307241	0	0.778	0.961	0	0.991
DLD	PDHA2	9606.ENSP00000205402	9606.ENSP00000295266	0	0	0.942	0	0.942
DLD	PDHB	9606.ENSP00000205402	9606.ENSP00000307241	0	0.747	0.959	0	0.989
DLD	OGDHL	9606.ENSP00000205402	9606.ENSP00000363216	0	0.635	0.978	0	0.991
DLD	PDHA1	9606.ENSP00000205402	9606.ENSP00000369134	0	0.617	0.942	0	0.977
DLD	DLST	9606.ENSP00000205402	9606.ENSP00000335304	0	0.744	0.980	0	0.994
DLD	OGDH	9606.ENSP00000205402	9606.ENSP00000388183	0	0.692	0.978	0	0.993
DLST	OGDHL	9606.ENSP00000335304	9606.ENSP00000363216	0	0.736	0.978	0	0.994
DLST	OGDH	9606.ENSP00000335304	9606.ENSP00000388183	0	0.739	0.978	0	0.994
IDH1	IDH3G	9606.ENSP00000390265	9606.ENSP00000217901	0	0.482	0.900	0	0.945
IDH1	IDH3A	9606.ENSP00000390265	9606.ENSP00000299518	0	0.225	0.900	0	0.919
IDH1	IDH2	9606.ENSP00000390265	9606.ENSP00000331897	0	0.608	0.900	0	0.959
IDH1	IDH3B	9606.ENSP00000390265	9606.ENSP00000482773	0	0.482	0.900	0	0.945
IDH2	IDH3G	9606.ENSP00000331897	9606.ENSP00000217901	0	0.618	0.900	0	0.960
IDH2	IDH3A	9606.ENSP00000331897	9606.ENSP00000299518	0	0.422	0.900	0	0.939
IDH2	IDH3B	9606.ENSP00000331897	9606.ENSP00000482773	0	0.618	0.900	0	0.960
IDH3A	IDH3G	9606.ENSP00000299518	9606.ENSP00000217901	0	0.983	0.975	0	0.999
IDH3A	SUCLA2	9606.ENSP00000299518	9606.ENSP00000494360	0	0.677	0.540	0	0.845
IDH3A	IDH3B	9606.ENSP00000299518	9606.ENSP00000482773	0	0.982	0.975	0	0.999
IDH3B	IDH3G	9606.ENSP00000482773	9606.ENSP00000217901	0	0.966	0.900	0	0.996
OGDH	OGDHL	9606.ENSP00000388183	9606.ENSP00000363216	0	0.610	0.900	0	0.959
OGDH	SUCLG1	9606.ENSP00000388183	9606.ENSP00000377446	0	0.486	0.540	0	0.753
PCK1	PCK2	9606.ENSP00000319814	9606.ENSP00000216780	0	0.319	0.900	0	0.928
PDHA1	PDHB	9606.ENSP00000369134	9606.ENSP00000307241	0	0.971	0.972	0	0.999
PDHA2	PDHB	9606.ENSP00000295266	9606.ENSP00000307241	0	0.537	0.972	0	0.986
SDHA	SDHC	9606.ENSP00000264932	9606.ENSP00000356953	0	0.799	0.980	0	0.995
SDHA	SDHB	9606.ENSP00000264932	9606.ENSP00000364649	0	0.890	0.980	0	0.997
SDHA	SDHD	9606.ENSP00000264932	9606.ENSP00000364699	0	0.604	0.979	0	0.991
SDHB	SDHC	9606.ENSP00000364649	9606.ENSP00000356953	0	0.844	0.980	0	0.996
SDHB	SDHD	9606.ENSP00000364649	9606.ENSP00000364699	0	0.781	0.979	0	0.995
SDHC	SDHD	9606.ENSP00000356953	9606.ENSP00000364699	0	0.897	0.979	0	0.997
SUCLA2	SUCLG1	9606.ENSP00000494360	9606.ENSP00000377446	0	0.976	0.979	0	0.999
SUCLA2	SUCLG2	9606.ENSP00000494360	9606.ENSP00000419325	0	0.162	0.900	0	0.912
SUCLG1	SUCLG2	9606.ENSP00000377446	9606.ENSP00000419325	0	0.827	0.967	0	0.994
