"gene","Atrial Cardiomyocyte","Ventricular Cardiomyocyte","Fibroblast","Endothelial cell","Lymphatic Endothelial cell","Mural cell","Mesothelial cell","Neural cell","Adipocyte","Myeloid","Lymphoid","Mast cell"
"SMAD1","m = 0.08279 
 p = 15.57143","m = 0.08130 
 p = 14.09260","m = 0.08038 
 p = 9.32020","m = 0.11236 
 p = 11.67636","m = 0.72454 
 p = 58.99614","m = 0.00909 
 p = 0.98381","m = 0.04978 
 p = 8.23084","m = 0.04538 
 p = 5.08910","m = 0.07827 
 p = 15.28281","m = 0.02897 
 p = 4.22160","m = 0.00388 
 p = 0.50959","m = 0.02264 
 p = 1.72693"
"HJV","m = 0.02418 
 p = 4.45645","m = 0.01224 
 p = 2.20335","m = 0.00231 
 p = 0.30568","m = 0.00085 
 p = 0.10342","m = 0.00182 
 p = 0.15444","m = 0.00087 
 p = 0.08509","m = 0.00512 
 p = 1.13529","m = 0.00448 
 p = 0.58895","m = 0.00632 
 p = 1.21317","m = 0.00151 
 p = 0.22751","m = 0.00076 
 p = 0.09630","m = 0.00280 
 p = 0.21587"
"BMPR1B","m = 0.02997 
 p = 4.87465","m = 0.07364 
 p = 10.72938","m = 0.04019 
 p = 4.40694","m = 0.03392 
 p = 2.83563","m = 0.02093 
 p = 2.00772","m = 0.01774 
 p = 1.54026","m = 0.32713 
 p = 32.54494","m = 0.27932 
 p = 22.96889","m = 0.03780 
 p = 6.19190","m = 0.00605 
 p = 0.84393","m = 0.00409 
 p = 0.45341","m = 0.01658 
 p = 1.24123"
"BMP2","m = 0.00190 
 p = 0.40949","m = 0.00040 
 p = 0.08023","m = 0.02192 
 p = 2.81699","m = 0.00944 
 p = 1.28360","m = 0.05589 
 p = 6.71815","m = 0.02447 
 p = 2.53650","m = 0.08321 
 p = 13.15043","m = 0.01039 
 p = 1.16279","m = 0.01183 
 p = 2.52088","m = 0.00511 
 p = 0.77782","m = 0.00080 
 p = 0.09630","m = 0.00123 
 p = 0.10793"
"SMAD6","m = 0.11912 
 p = 18.97584","m = 0.05556 
 p = 9.03151","m = 0.13088 
 p = 13.28746","m = 0.22905 
 p = 19.73841","m = 0.02325 
 p = 2.77992","m = 0.02590 
 p = 2.36536","m = 0.05710 
 p = 8.32545","m = 0.05683 
 p = 6.35760","m = 0.34102 
 p = 43.32756","m = 0.02221 
 p = 3.04515","m = 0.00527 
 p = 0.54169","m = 0.01060 
 p = 0.80950"
"SMAD7","m = 0.09826 
 p = 17.08087","m = 0.01952 
 p = 3.56877","m = 0.08990 
 p = 10.73268","m = 0.13865 
 p = 14.97205","m = 0.01728 
 p = 2.39382","m = 0.01920 
 p = 2.02021","m = 0.02100 
 p = 4.73037","m = 0.04013 
 p = 5.19481","m = 0.17589 
 p = 26.59524","m = 0.04968 
 p = 6.89146","m = 0.03973 
 p = 4.09277","m = 0.02270 
 p = 1.67296"
"SMAD3","m = 0.20544 
 p = 30.69853","m = 0.12102 
 p = 19.46516","m = 0.46688 
 p = 40.21151","m = 0.10920 
 p = 10.98133","m = 0.12206 
 p = 12.81853","m = 0.10240 
 p = 8.90404","m = 0.26552 
 p = 26.96310","m = 0.08862 
 p = 9.69496","m = 0.43966 
 p = 50.95321","m = 0.07754 
 p = 9.61187","m = 0.18503 
 p = 15.39202","m = 0.10588 
 p = 7.87911"
"TGFB1","m = 0.06135 
 p = 9.81464","m = 0.05260 
 p = 8.14221","m = 0.08061 
 p = 8.65959","m = 0.13559 
 p = 15.31349","m = 0.15947 
 p = 18.68726","m = 0.08684 
 p = 7.66495","m = 0.06069 
 p = 10.31220","m = 0.07219 
 p = 7.00695","m = 0.06565 
 p = 12.43107","m = 0.22354 
 p = 26.11131","m = 0.29190 
 p = 26.07335","m = 0.14446 
 p = 10.36158"
"TGFBR2","m = 0.45440 
 p = 53.17244","m = 0.36601 
 p = 46.63468","m = 0.54326 
 p = 46.91681","m = 0.45048 
 p = 40.14904","m = 1.00000 
 p = 69.80695","m = 0.20607 
 p = 17.88839","m = 0.33476 
 p = 37.18070","m = 0.63702 
 p = 47.97644","m = 0.45327 
 p = 52.60753","m = 0.38042 
 p = 37.68911","m = 0.33317 
 p = 26.57491","m = 0.39881 
 p = 27.73880"
"TGFBR1","m = 0.05722 
 p = 11.19775","m = 0.06759 
 p = 12.01458","m = 0.15324 
 p = 16.85415","m = 0.06404 
 p = 6.93358","m = 0.06711 
 p = 8.26255","m = 0.04602 
 p = 4.29857","m = 0.09290 
 p = 12.96121","m = 0.09748 
 p = 9.87617","m = 0.11750 
 p = 20.60816","m = 0.21940 
 p = 23.71174","m = 0.12946 
 p = 11.60421","m = 0.15309 
 p = 11.27901"
"BMPR1A","m = 0.57878 
 p = 61.00499","m = 0.52076 
 p = 59.46411","m = 0.30656 
 p = 30.50886","m = 0.03298 
 p = 3.54587","m = 0.02458 
 p = 3.16602","m = 0.25318 
 p = 20.82644","m = 0.16689 
 p = 20.90823","m = 0.25305 
 p = 22.71217","m = 0.50469 
 p = 58.95699","m = 0.14326 
 p = 16.40999","m = 0.07602 
 p = 6.66479","m = 0.52134 
 p = 35.72585"
"SMURF1","m = 0.15337 
 p = 25.15084","m = 0.16448 
 p = 25.04221","m = 0.28631 
 p = 28.47416","m = 0.10458 
 p = 10.21938","m = 0.21319 
 p = 21.15830","m = 0.23445 
 p = 19.01944","m = 0.18648 
 p = 22.61116","m = 0.28742 
 p = 25.15856","m = 0.43529 
 p = 54.19883","m = 0.20899 
 p = 23.10504","m = 0.10747 
 p = 9.25688","m = 0.23833 
 p = 17.05343"
"ACVR1","m = 0.18143 
 p = 29.25225","m = 0.12919 
 p = 21.25583","m = 0.11892 
 p = 13.76263","m = 0.06453 
 p = 7.20277","m = 0.07920 
 p = 9.42085","m = 0.06561 
 p = 6.06064","m = 0.06575 
 p = 10.87985","m = 0.09056 
 p = 9.81577","m = 0.17152 
 p = 27.96597","m = 0.13865 
 p = 16.99335","m = 0.04860 
 p = 4.58631","m = 0.05990 
 p = 4.53319"
"HDAC1","m = 0.05635 
 p = 10.78391","m = 0.05970 
 p = 10.42053","m = 0.02851 
 p = 3.66738","m = 0.11743 
 p = 13.34930","m = 0.10078 
 p = 13.20463","m = 0.04895 
 p = 4.96783","m = 0.05889 
 p = 11.63671","m = 0.04742 
 p = 5.05889","m = 0.03430 
 p = 6.96392","m = 0.06509 
 p = 9.08490","m = 0.11017 
 p = 10.73750","m = 0.06876 
 p = 5.12682"
"BMPR2","m = 0.37621 
 p = 48.72906","m = 0.36533 
 p = 47.38399","m = 0.33835 
 p = 32.55514","m = 0.53528 
 p = 43.71925","m = 0.40978 
 p = 38.99614","m = 0.28838 
 p = 23.63638","m = 0.27207 
 p = 29.70672","m = 0.30410 
 p = 26.81969","m = 0.49567 
 p = 57.34993","m = 0.26634 
 p = 28.27947","m = 0.11429 
 p = 9.94703","m = 0.17477 
 p = 12.41230"
"ACVR2A","m = 0.12044 
 p = 20.68785","m = 0.11878 
 p = 19.32148","m = 0.12868 
 p = 14.45149","m = 0.07987 
 p = 8.18068","m = 0.10026 
 p = 11.50579","m = 0.07713 
 p = 6.73850","m = 0.10601 
 p = 14.94797","m = 0.08619 
 p = 8.89459","m = 0.16835 
 p = 28.09201","m = 0.15242 
 p = 17.30837","m = 0.08893 
 p = 7.48335","m = 0.06893 
 p = 5.07285"
"ACVR2B","m = 0.01882 
 p = 4.17547","m = 0.01747 
 p = 3.50375","m = 0.01700 
 p = 2.34399","m = 0.01515 
 p = 1.85468","m = 0.02458 
 p = 3.24324","m = 0.02376 
 p = 2.24394","m = 0.00925 
 p = 2.55440","m = 0.02935 
 p = 3.27696","m = 0.02937 
 p = 6.17615","m = 0.02288 
 p = 3.21044","m = 0.01199 
 p = 1.21579","m = 0.01510 
 p = 1.18726"
