,tau,expected_Atrial Cardiomyocyte,expected_Ventricular Cardiomyocyte,expected_Fibroblast,expected_Endothelial cell,expected_Lymphatic Endothelial cell,expected_Mural cell,expected_Mesothelial cell,expected_Neural cell,expected_Adipocyte,expected_Myeloid,expected_Lymphoid,expected_Mast cell
HDAC1,0.47438353,0.010844237839699686,0.011101449178502953,0.001866062685568267,0.027973155751708233,0.023747442369295362,0.004339633788202039,0.012228431692919645,0.004281306566743108,0.004262576686438189,0.010553259770362922,0.02110955470944377,0.006290764436809295
HJV,0.85318094,0.0019231430788767812,0.00048108116272024506,1.262073284636706e-05,1.5635844572887353e-06,5.005713566619917e-06,1.321154960699702e-06,0.00010369003679014763,4.706975695379224e-05,0.0001367285114872807,6.122720991103204e-06,1.2985538431489538e-06,1.0772211667144229e-05
ACVR2A,0.39109227,0.04446406819456838,0.04095451815565509,0.033184575476406714,0.01165936579518815,0.02058478036902586,0.00927443347527457,0.028278916369323587,0.013680522372016227,0.0843969319906125,0.04707804980981504,0.011876187405433369,0.006239961223607441
ACVR1,0.48269236,0.09471074342260286,0.049005293660715585,0.02920523176310327,0.008294410512663195,0.0133148391964813,0.007096103702560799,0.012765340154590535,0.01586350820209281,0.08559956435276726,0.04204407940127442,0.003977542519318274,0.004845522476799476
BMPR2,0.42166588,0.32713986273485535,0.3089114538899791,0.19656262455965426,0.4176129302708016,0.28516216719932996,0.12163902472204195,0.14423116035019326,0.14554421572626197,0.5072736405792885,0.13440658320975138,0.020286746419970407,0.03871153093194936
TGFBR2,0.5856665,0.4311642912362641,0.3045971806095228,0.4548364808729439,0.3227509131853465,1.2457139254536866,0.0657824599183161,0.22211294069308202,0.5453781460534767,0.425525323263168,0.2558562953409178,0.1580011215057661,0.19741211603991224
ACVR2B,0.36449215,0.0014020855314819463,0.0010924025448248674,0.0007108919302792297,0.0005014133301077131,0.001422363116934493,0.0009512404250426524,0.00042152706826195587,0.0017162057596709715,0.0032373560128558317,0.0013109347784658976,0.0002601741329636689,0.0003199785429113823
BMPR1B,0.8443132,0.002607441179123107,0.014098849807292648,0.0031605125488174037,0.0017163030653631073,0.0007500323146926851,0.0004874815586826668,0.18998507767661968,0.11448667650044918,0.004177169474312803,9.114980202578092e-05,3.307672944623939e-05,0.0003671682958932934
SMAD1,0.92536503,0.023004579840980588,0.020444666151357593,0.013368712902233154,0.023411784204216194,0.7627908806082825,0.00015964992664576377,0.007312158029262143,0.004121265364841765,0.021345674808483265,0.0021821073238069513,3.5273840850618685e-05,0.0006978239681163609
SMURF1,0.543654,0.06883525000167229,0.07350215131794798,0.14548242628792402,0.019071895527837845,0.08049440061723863,0.07957482377415312,0.0752464353248773,0.1290383700588541,0.42100596694621734,0.08616811777456533,0.017753066691026557,0.07252789450798303
TGFBR1,0.5667309,0.0114349865166694,0.01449163527102971,0.04608786323450376,0.007923161934878924,0.009894516091779392,0.003529897942496118,0.021486785618787457,0.017180462333235055,0.04321029414637776,0.0928352604596,0.026807703081978506,0.0308133166542712
BMPR1A,0.55968463,0.6300878524572551,0.5526051346565992,0.16690112870422813,0.002086706557849175,0.0013888570562752976,0.09409499637201375,0.062268887247358046,0.10256228811321069,0.5309841045342376,0.041952070858442096,0.009041525807386225,0.3323708689669565
SMAD6,0.80386186,0.04033657893055196,0.008953942014464584,0.031034140578908905,0.08067788019057377,0.0011532808017546605,0.0010931791858185833,0.008482866560160948,0.006447882766460443,0.2636727158696854,0.0012069054516433292,5.0922831407283356e-05,0.00015316647163321376
SMAD3,0.64515615,0.11254623981819487,0.04203602306888185,0.335021823025299,0.02139954271708499,0.02792036786502853,0.01627050078020162,0.1277563584899722,0.015331906036141056,0.39976693046774775,0.013299211174712104,0.05082142614225793,0.014887242689045196
SMURF2,0.34193003,0.07586089673105341,0.059807726001053156,0.14433234443676984,0.051939229726619136,0.11041588847701612,0.022883917295404958,0.0890407491203965,0.05757487765776359,0.14581401012479855,0.1262191907414588,0.04691345349818781,0.04073491433602182
SMAD2,0.35296023,0.17039318831452865,0.14205556745378156,0.08183997532168706,0.0606074385414386,0.12270433414856899,0.024459802027798037,0.07729180561785666,0.08144208287515874,0.269687472431044,0.18820580210174084,0.05244328799939214,0.04441870830217311
SMAD7,0.7126058,0.02994935425584934,0.0012431065990421522,0.017217622804372317,0.03704543599853144,0.0007381071081262757,0.0006922283987157124,0.0017722753161175026,0.003720402330547184,0.08347654973726226,0.006110125441203127,0.0029019113899415713,0.0006775583969343693
SMAD4,0.29566094,0.05304602996978339,0.031193843739895734,0.04942974874703975,0.020974845010052843,0.045508976079322194,0.01146903925190572,0.0382602849346123,0.029171298209344897,0.07925989760438984,0.06039241451331227,0.01487148577707191,0.006050146790497765
BMP2,0.8433832,1.3854729392573922e-05,5.70180116958807e-07,0.0011020842485877562,0.0002161374533250302,0.006699917117371062,0.0011074134683331026,0.01952725878670854,0.00021552929091592167,0.0005321092674708543,7.087366603819348e-05,1.3775082633775823e-06,2.3635665203067206e-06
TGFB1,0.6440279,0.01074443475161388,0.007642975336578595,0.012457438767170042,0.037053524925474805,0.05318059474805147,0.011878238067549634,0.011167562631017888,0.009026501121855114,0.014562799289355376,0.10415911906075136,0.13581528444847318,0.026710806700968447
