"gene","Atrial Cardiomyocyte","Ventricular Cardiomyocyte","Fibroblast","Endothelial cell","Lymphatic Endothelial cell","Mural cell","Mesothelial cell","Neural cell","Adipocyte","Myeloid","Lymphoid","Mast cell"
"CCL5","m = 0.00624 
 p = 1.06293","m = 0.00209 
 p = 0.27843","m = 0.00348 
 p = 0.36362","m = 0.00261 
 p = 0.22661","m = 0.00705 
 p = 0.54054","m = 0.00135 
 p = 0.09752","m = 0.00520 
 p = 1.04068","m = 0.00733 
 p = 0.57384","m = 0.00708 
 p = 0.99259","m = 0.05533 
 p = 3.87742","m = 1.00000 
 p = 44.49081","m = 0.00674 
 p = 0.43173"
"CASP8","m = 0.01619 
 p = 2.56801","m = 0.01789 
 p = 2.43301","m = 0.04621 
 p = 4.46489","m = 0.03726 
 p = 3.31622","m = 0.02794 
 p = 2.54826","m = 0.01338 
 p = 0.95800","m = 0.06153 
 p = 9.08231","m = 0.01817 
 p = 1.63093","m = 0.06906 
 p = 10.50890","m = 0.10517 
 p = 9.93855","m = 0.40482 
 p = 25.60388","m = 0.18318 
 p = 10.09174"
"TNF","m = 0.00006 
 p = 0.01525","m = 0.00015 
 p = 0.01626","m = 0.00045 
 p = 0.12386","m = 0.03753 
 p = 3.10254","m = 0.00288 
 p = 0.23166","m = 0.00087 
 p = 0.07649","m = 0.00177 
 p = 0.66225","m = 0.00047 
 p = 0.03020","m = 0.00060 
 p = 0.09453","m = 0.03794 
 p = 3.46906","m = 0.05180 
 p = 3.59923","m = 0.00682 
 p = 0.43173"
"BIRC3","m = 0.02175 
 p = 3.31947","m = 0.01969 
 p = 2.63437","m = 0.07317 
 p = 5.77016","m = 0.14593 
 p = 11.29767","m = 0.04714 
 p = 3.93822","m = 0.00922 
 p = 0.72854","m = 0.43808 
 p = 32.45033","m = 0.17878 
 p = 11.88463","m = 0.01961 
 p = 2.97778","m = 0.12527 
 p = 10.27496","m = 0.32437 
 p = 19.86999","m = 0.12323 
 p = 6.26012"
"MAP2K6","m = 0.01671 
 p = 1.94289","m = 0.01827 
 p = 2.28829","m = 0.09404 
 p = 7.70562","m = 0.03482 
 p = 2.80522","m = 0.05629 
 p = 4.63320","m = 0.14831 
 p = 9.16601","m = 0.02087 
 p = 2.83822","m = 0.08059 
 p = 5.84416","m = 0.26687 
 p = 30.32929","m = 0.04685 
 p = 4.06409","m = 0.10904 
 p = 6.94567","m = 0.07178 
 p = 3.88559"
"FADD","m = 0.00566 
 p = 0.92353","m = 0.00626 
 p = 0.85470","m = 0.01492 
 p = 1.41683","m = 0.04372 
 p = 4.11239","m = 0.02306 
 p = 2.62548","m = 0.01531 
 p = 1.28498","m = 0.03400 
 p = 6.05487","m = 0.01080 
 p = 0.95137","m = 0.01236 
 p = 2.01670","m = 0.01347 
 p = 1.56341","m = 0.02474 
 p = 1.97015","m = 0.00522 
 p = 0.32380"
"TRAF3","m = 0.06696 
 p = 9.98236","m = 0.04733 
 p = 6.35415","m = 0.28423 
 p = 21.29731","m = 0.06123 
 p = 4.72149","m = 0.16778 
 p = 13.74517","m = 0.06961 
 p = 4.60260","m = 0.24084 
 p = 21.38127","m = 0.10514 
 p = 8.06403","m = 0.41546 
 p = 41.67323","m = 0.28708 
 p = 21.88193","m = 0.14592 
 p = 9.43744","m = 0.13140 
 p = 7.17755"
"TRADD","m = 0.01647 
 p = 2.43732","m = 0.01336 
 p = 1.88821","m = 0.03661 
 p = 3.45732","m = 0.05657 
 p = 5.33440","m = 0.05763 
 p = 6.10039","m = 0.03959 
 p = 3.33674","m = 0.07576 
 p = 11.92053","m = 0.02882 
 p = 2.37088","m = 0.02840 
 p = 4.52182","m = 0.04750 
 p = 5.21721","m = 0.09777 
 p = 7.50341","m = 0.01428 
 p = 0.80950"
"JUN","m = 0.19435 
 p = 22.22997","m = 0.29092 
 p = 30.88511","m = 0.27077 
 p = 19.89497","m = 0.79684 
 p = 41.86077","m = 0.34619 
 p = 25.63707","m = 0.31310 
 p = 15.79742","m = 0.90056 
 p = 53.73699","m = 0.39130 
 p = 23.27092","m = 0.30255 
 p = 28.54892","m = 0.42106 
 p = 25.97130","m = 0.72628 
 p = 32.46529","m = 0.04240 
 p = 2.26659"
"TNFRSF1A","m = 0.04698 
 p = 7.31415","m = 0.02907 
 p = 4.13140","m = 0.29475 
 p = 23.76661","m = 0.34573 
 p = 27.11152","m = 0.26414 
 p = 23.70656","m = 0.20864 
 p = 14.95320","m = 0.45712 
 p = 40.77578","m = 0.20592 
 p = 14.67834","m = 0.30247 
 p = 35.76493","m = 0.39318 
 p = 33.58807","m = 0.09809 
 p = 7.36297","m = 0.02661 
 p = 1.61900"
