,tau,expected_Atrial Cardiomyocyte,expected_Ventricular Cardiomyocyte,expected_Fibroblast,expected_Endothelial cell,expected_Lymphatic Endothelial cell,expected_Mural cell,expected_Mesothelial cell,expected_Neural cell,expected_Adipocyte,expected_Myeloid,expected_Lymphoid,expected_Mast cell
JUN,0.5865423,0.05747471497367388,0.11952951124850095,0.07166213983040676,0.44374220739829257,0.11806959065691384,0.06579956344757018,0.6437804078649776,0.12113773645464657,0.114907143847368,0.1454760378209035,0.31367153858939506,0.0012785842128528238
ATF2,0.37935475,0.11722590790964192,0.08396394652469827,0.06496647537512322,0.025763214339861323,0.08435960925223744,0.025972022070922134,0.0796952165571608,0.044201833627188686,0.18327732410734424,0.07145549387709844,0.022894332711400636,0.018090390903333423
CASP8,0.8661589,0.0005531748330164552,0.0005790953334005044,0.0027446069884622315,0.00164395641886931,0.0009472016345810247,0.0001705650914733496,0.007434039264776398,0.00039425814410092713,0.009654843919442848,0.01390506556293898,0.13788584653183789,0.02459246945490531
RIPK1,0.48298776,0.0322960397893432,0.03405769831166871,0.034980205116762954,0.01241962036025066,0.04854228201980296,0.023607943794813107,0.022905404585199525,0.019334514977816044,0.13618003848745858,0.037768950374439926,0.013980488935105062,0.020423067593921925
TNF,0.8428629,1.2371317498475649e-08,3.230020689885612e-08,7.450584547565114e-07,0.001548877970664058,8.866681382923052e-06,8.866311473930229e-07,1.5570242451318843e-05,1.900312590616162e-07,7.526345749985652e-07,0.0017509955647843577,0.0024801651212441275,3.9142797235148183e-05
MAPK14,0.47391054,0.10638908258346172,0.06112000413411291,0.0462666925694129,0.024577097679552417,0.12260257659271417,0.013625513048648775,0.07174531806722043,0.03936515991077867,0.28383494403881787,0.15304360129494043,0.03900868779209909,0.08785880395224849
MAP3K7,0.26719788,0.06169675970907885,0.034735558880646875,0.04311962990896199,0.02140876965252448,0.04288584304592324,0.01234267420111014,0.05582719917216161,0.020186403841095293,0.0819257204788434,0.060060190383952085,0.01862552333508073,0.011119702701239216
TAB2,0.4622409,0.0946762058317943,0.07489579501571343,0.10122743983986472,0.017199464087082693,0.0475216530464791,0.011639268273990082,0.060649121608391275,0.07695407642496564,0.13237164876809246,0.1859469736294184,0.0514520250117929,0.040972735903678684
TAB3,0.48485965,0.01597896808215257,0.007743704595286259,0.00508251239382963,0.0028303732552264044,0.005700102500243536,0.0009454329976475407,0.008005414936998145,0.002055492960940456,0.011817949623155917,0.019282623769076725,0.0028403768409036075,0.012058848120107307
XIAP,0.40639982,0.08227413762789644,0.0747585953067992,0.04605088506033859,0.03276523014134017,0.07710004888446174,0.018886487594824117,0.03460067527521976,0.022312623123789944,0.15580310039920697,0.07064049124801162,0.020492608763080816,0.0237837706024558
IKBKG,0.30297482,0.0013849050423595294,0.001270036704794911,0.0021201491746625804,0.003032161736142966,0.002526430825929384,0.0014614115821668184,0.004697800725839447,0.0010942546985492141,0.005572342376775097,0.0033870109744891263,0.0033427465498691365,0.000729700788670595
