#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AKT1	AKT2	9606.ENSP00000451828	9606.ENSP00000375892	0	0.655	0.900	0	0.964
AKT1	AKT3	9606.ENSP00000451828	9606.ENSP00000500582	0	0.592	0.900	0	0.957
AKT2	AKT3	9606.ENSP00000375892	9606.ENSP00000500582	0	0.162	0.900	0	0.912
ATF2	CREB3L3	9606.ENSP00000264110	9606.ENSP00000078445	0	0	0.900	0	0.900
ATF2	CREB3L4	9606.ENSP00000264110	9606.ENSP00000271889	0	0	0.900	0	0.900
ATF2	CREB3L1	9606.ENSP00000264110	9606.ENSP00000481956	0	0	0.900	0	0.900
ATF2	CREB3L2	9606.ENSP00000264110	9606.ENSP00000329140	0	0	0.900	0	0.900
ATF2	ATF6B	9606.ENSP00000264110	9606.ENSP00000364349	0	0	0.900	0	0.900
ATF2	ATF4	9606.ENSP00000264110	9606.ENSP00000336790	0	0.193	0.900	0	0.915
ATF2	CREB3	9606.ENSP00000264110	9606.ENSP00000342136	0	0	0.900	0	0.900
ATF2	MAPK8	9606.ENSP00000264110	9606.ENSP00000378974	0	0.943	0	0	0.943
ATF2	CREB1	9606.ENSP00000264110	9606.ENSP00000387699	0	0.302	0.900	0	0.927
ATF2	FOS	9606.ENSP00000264110	9606.ENSP00000306245	0	0.653	0.500	0	0.819
ATF2	CREB5	9606.ENSP00000264110	9606.ENSP00000350359	0	0.680	0.900	0	0.966
ATF2	JUN	9606.ENSP00000264110	9606.ENSP00000360266	0	0.965	0.900	0	0.996
ATF4	CREB3L3	9606.ENSP00000336790	9606.ENSP00000078445	0	0	0.900	0	0.900
ATF4	CREB3L4	9606.ENSP00000336790	9606.ENSP00000271889	0	0	0.900	0	0.900
ATF4	CEBPB	9606.ENSP00000336790	9606.ENSP00000305422	0	0.918	0.900	0	0.991
ATF4	CREB3L2	9606.ENSP00000336790	9606.ENSP00000329140	0	0	0.900	0	0.900
ATF4	CREB5	9606.ENSP00000336790	9606.ENSP00000350359	0	0	0.900	0	0.900
ATF4	CREB3L1	9606.ENSP00000336790	9606.ENSP00000481956	0	0	0.900	0	0.900
ATF4	ATF6B	9606.ENSP00000336790	9606.ENSP00000364349	0	0	0.900	0	0.900
ATF4	CREB3	9606.ENSP00000336790	9606.ENSP00000342136	0	0.133	0.900	0	0.909
ATF4	CREB1	9606.ENSP00000336790	9606.ENSP00000387699	0	0	0.900	0	0.900
ATF6B	CREB3L3	9606.ENSP00000364349	9606.ENSP00000078445	0	0	0.900	0	0.900
ATF6B	CREB3L4	9606.ENSP00000364349	9606.ENSP00000271889	0	0	0.900	0	0.900
ATF6B	CREB3L2	9606.ENSP00000364349	9606.ENSP00000329140	0	0	0.900	0	0.900
ATF6B	CREB3	9606.ENSP00000364349	9606.ENSP00000342136	0	0	0.900	0	0.900
ATF6B	CREB5	9606.ENSP00000364349	9606.ENSP00000350359	0	0	0.900	0	0.900
ATF6B	CREB1	9606.ENSP00000364349	9606.ENSP00000387699	0	0	0.900	0	0.900
ATF6B	CREB3L1	9606.ENSP00000364349	9606.ENSP00000481956	0	0	0.900	0	0.900
BAG4	TNFRSF1A	9606.ENSP00000287322	9606.ENSP00000162749	0	0.457	0.900	0	0.943
BCL3	NFKBIA	9606.ENSP00000164227	9606.ENSP00000216797	0	0	0.720	0	0.720
BCL3	NFKB1	9606.ENSP00000164227	9606.ENSP00000226574	0	0.457	0.900	0	0.943
BIRC2	TNFRSF1A	9606.ENSP00000477613	9606.ENSP00000162749	0	0.734	0.500	0	0.861
BIRC2	TRAF2	9606.ENSP00000477613	9606.ENSP00000247668	0	0.586	0.900	0	0.956
BIRC2	RIPK1	9606.ENSP00000477613	9606.ENSP00000259808	0	0.457	0.800	0	0.886
BIRC2	TRAF5	9606.ENSP00000477613	9606.ENSP00000261464	0	0	0.900	0	0.900
BIRC2	BIRC3	9606.ENSP00000477613	9606.ENSP00000263464	0	0.292	0.900	0	0.926
BIRC2	TRADD	9606.ENSP00000477613	9606.ENSP00000341268	0	0.734	0.800	0	0.944
BIRC2	XIAP	9606.ENSP00000477613	9606.ENSP00000360242	0	0.571	0.900	0	0.955
BIRC2	TRAF1	9606.ENSP00000477613	9606.ENSP00000362994	0	0.457	0.500	0	0.716
BIRC2	TRAF3	9606.ENSP00000477613	9606.ENSP00000376500	0	0.457	0.540	0	0.739
BIRC2	TNF	9606.ENSP00000477613	9606.ENSP00000398698	0	0.734	0.500	0	0.861
BIRC2	MAP3K14	9606.ENSP00000477613	9606.ENSP00000482657	0	0.457	0.500	0	0.716
BIRC2	TNFAIP3	9606.ENSP00000477613	9606.ENSP00000481570	0	0.457	0.500	0	0.716
BIRC2	IKBKG	9606.ENSP00000477613	9606.ENSP00000483825	0	0.457	0.500	0	0.716
BIRC3	TNFRSF1A	9606.ENSP00000263464	9606.ENSP00000162749	0	0.734	0.500	0	0.861
BIRC3	TRAF2	9606.ENSP00000263464	9606.ENSP00000247668	0	0.964	0.900	0	0.996
BIRC3	RIPK1	9606.ENSP00000263464	9606.ENSP00000259808	0	0.457	0.800	0	0.886
BIRC3	TRAF5	9606.ENSP00000263464	9606.ENSP00000261464	0	0	0.900	0	0.900
BIRC3	IKBKG	9606.ENSP00000263464	9606.ENSP00000483825	0	0.453	0.500	0	0.714
BIRC3	IKBKB	9606.ENSP00000263464	9606.ENSP00000430684	0	0.596	0.500	0	0.789
BIRC3	TNF	9606.ENSP00000263464	9606.ENSP00000398698	0	0.457	0.500	0	0.716
BIRC3	TRAF3	9606.ENSP00000263464	9606.ENSP00000376500	0	0.457	0.500	0	0.716
BIRC3	XIAP	9606.ENSP00000263464	9606.ENSP00000360242	0	0.457	0.900	0	0.943
BIRC3	TRADD	9606.ENSP00000263464	9606.ENSP00000341268	0	0	0.800	0	0.800
BIRC3	TRAF1	9606.ENSP00000263464	9606.ENSP00000362994	0	0.964	0.500	0	0.981
CASP10	RIPK1	9606.ENSP00000286186	9606.ENSP00000259808	0	0.457	0.900	0	0.943
CASP10	FAS	9606.ENSP00000286186	9606.ENSP00000498466	0	0.593	0.900	0	0.957
CASP10	TRADD	9606.ENSP00000286186	9606.ENSP00000341268	0	0	0.900	0	0.900
CASP10	CFLAR	9606.ENSP00000286186	9606.ENSP00000312455	0	0.550	0.900	0	0.953
CASP10	FADD	9606.ENSP00000286186	9606.ENSP00000301838	0	0.593	0.900	0	0.957
CASP10	CASP8	9606.ENSP00000286186	9606.ENSP00000351273	0	0.636	0.900	0	0.962
CASP3	CASP7	9606.ENSP00000311032	9606.ENSP00000358327	0	0.421	0.900	0	0.939
CASP3	CASP8	9606.ENSP00000311032	9606.ENSP00000351273	0	0.636	0.900	0	0.962
CASP3	XIAP	9606.ENSP00000311032	9606.ENSP00000360242	0	0.969	0.700	0	0.990
CASP7	CASP8	9606.ENSP00000358327	9606.ENSP00000351273	0	0.628	0.540	0	0.821
CASP7	XIAP	9606.ENSP00000358327	9606.ENSP00000360242	0	0.971	0.700	0	0.991
CASP8	RIPK3	9606.ENSP00000351273	9606.ENSP00000216274	0	0.734	0	0	0.734
CASP8	TRAF2	9606.ENSP00000351273	9606.ENSP00000247668	0	0.577	0.500	0	0.779
CASP8	RIPK1	9606.ENSP00000351273	9606.ENSP00000259808	0	0.564	0.900	0	0.954
CASP8	FADD	9606.ENSP00000351273	9606.ENSP00000301838	0	0.671	0.900	0	0.965
CASP8	CFLAR	9606.ENSP00000351273	9606.ENSP00000312455	0	0.960	0.900	0	0.995
CASP8	TRADD	9606.ENSP00000351273	9606.ENSP00000341268	0	0.457	0.900	0	0.943
CASP8	TNF	9606.ENSP00000351273	9606.ENSP00000398698	0	0.734	0	0	0.734
CASP8	FAS	9606.ENSP00000351273	9606.ENSP00000498466	0	0.593	0.900	0	0.957
CCL2	CCL5	9606.ENSP00000225831	9606.ENSP00000474412	0	0.734	0	0	0.734
CCL20	CXCL5	9606.ENSP00000351671	9606.ENSP00000296027	0	0.734	0	0	0.734
CCL20	CCL5	9606.ENSP00000351671	9606.ENSP00000474412	0	0.734	0	0	0.734
CCL5	CXCL6	9606.ENSP00000474412	9606.ENSP00000226317	0	0.734	0	0	0.734
CCL5	CXCL10	9606.ENSP00000474412	9606.ENSP00000305651	0	0.734	0	0	0.734
CCL5	CXCL2	9606.ENSP00000474412	9606.ENSP00000427279	0	0.734	0	0	0.734
CEBPB	RELA	9606.ENSP00000305422	9606.ENSP00000384273	0	0.457	0.500	0	0.716
CFLAR	TRAF2	9606.ENSP00000312455	9606.ENSP00000247668	0	0.457	0.500	0	0.716
CFLAR	RIPK1	9606.ENSP00000312455	9606.ENSP00000259808	0	0.457	0.900	0	0.943
CFLAR	FADD	9606.ENSP00000312455	9606.ENSP00000301838	0	0.457	0.900	0	0.943
CFLAR	FAS	9606.ENSP00000312455	9606.ENSP00000498466	0	0.457	0.900	0	0.943
CFLAR	TRADD	9606.ENSP00000312455	9606.ENSP00000341268	0	0	0.900	0	0.900
CHUK	TNFRSF1A	9606.ENSP00000359424	9606.ENSP00000162749	0	0.734	0.500	0	0.861
CHUK	TRAF2	9606.ENSP00000359424	9606.ENSP00000247668	0	0.657	0.540	0	0.835
CHUK	RIPK1	9606.ENSP00000359424	9606.ENSP00000259808	0	0.457	0.500	0	0.716
CHUK	MAP3K7	9606.ENSP00000359424	9606.ENSP00000358335	0	0.542	0.500	0	0.761
CHUK	TNF	9606.ENSP00000359424	9606.ENSP00000398698	0	0.734	0.500	0	0.861
CHUK	MAP3K14	9606.ENSP00000359424	9606.ENSP00000482657	0	0.659	0.700	0	0.893
CHUK	IKBKG	9606.ENSP00000359424	9606.ENSP00000483825	0	0.734	0.900	0	0.972
CHUK	IKBKB	9606.ENSP00000359424	9606.ENSP00000430684	0	0.734	0.900	0	0.972
CREB1	CREB3L3	9606.ENSP00000387699	9606.ENSP00000078445	0	0.237	0.900	0	0.920
CREB1	CREB3L4	9606.ENSP00000387699	9606.ENSP00000271889	0	0	0.900	0	0.900
CREB1	CREB3L2	9606.ENSP00000387699	9606.ENSP00000329140	0	0	0.900	0	0.900
CREB1	CREB3	9606.ENSP00000387699	9606.ENSP00000342136	0	0	0.900	0	0.900
CREB1	CREB5	9606.ENSP00000387699	9606.ENSP00000350359	0	0	0.900	0	0.900
CREB1	CREB3L1	9606.ENSP00000387699	9606.ENSP00000481956	0	0	0.900	0	0.900
CREB3	CREB3L3	9606.ENSP00000342136	9606.ENSP00000078445	0	0.480	0.900	0	0.945
CREB3	CREB3L4	9606.ENSP00000342136	9606.ENSP00000271889	0	0.550	0.900	0	0.953
CREB3	CREB3L2	9606.ENSP00000342136	9606.ENSP00000329140	0	0.399	0.900	0	0.937
CREB3	CREB5	9606.ENSP00000342136	9606.ENSP00000350359	0	0	0.900	0	0.900
CREB3	CREB3L1	9606.ENSP00000342136	9606.ENSP00000481956	0	0.319	0.900	0	0.928
CREB3L1	CREB3L3	9606.ENSP00000481956	9606.ENSP00000078445	0	0.342	0.900	0	0.931
CREB3L1	CREB3L4	9606.ENSP00000481956	9606.ENSP00000271889	0	0	0.900	0	0.900
CREB3L1	CREB3L2	9606.ENSP00000481956	9606.ENSP00000329140	0	0.514	0.900	0	0.949
CREB3L1	CREB5	9606.ENSP00000481956	9606.ENSP00000350359	0	0	0.900	0	0.900
CREB3L2	CREB3L3	9606.ENSP00000329140	9606.ENSP00000078445	0	0.196	0.900	0	0.916
CREB3L2	CREB3L4	9606.ENSP00000329140	9606.ENSP00000271889	0	0	0.900	0	0.900
CREB3L2	CREB5	9606.ENSP00000329140	9606.ENSP00000350359	0	0	0.900	0	0.900
CREB3L3	CREB5	9606.ENSP00000078445	9606.ENSP00000350359	0	0	0.900	0	0.900
CREB3L3	CREB3L4	9606.ENSP00000078445	9606.ENSP00000271889	0	0.206	0.900	0	0.917
CREB3L4	CREB5	9606.ENSP00000271889	9606.ENSP00000350359	0	0	0.900	0	0.900
CXCL1	CXCL6	9606.ENSP00000379110	9606.ENSP00000226317	0	0.734	0.400	0	0.833
CXCL1	CXCL3	9606.ENSP00000379110	9606.ENSP00000296026	0	0.610	0.900	0	0.959
CXCL1	CXCL5	9606.ENSP00000379110	9606.ENSP00000296027	0	0.734	0.400	0	0.833
CXCL1	CXCL2	9606.ENSP00000379110	9606.ENSP00000427279	0	0.610	0.900	0	0.959
CXCL10	CXCL6	9606.ENSP00000305651	9606.ENSP00000226317	0	0.734	0	0	0.734
CXCL2	CXCL6	9606.ENSP00000427279	9606.ENSP00000226317	0	0.734	0.400	0	0.833
CXCL2	CXCL3	9606.ENSP00000427279	9606.ENSP00000296026	0	0.610	0.900	0	0.959
CXCL2	CXCL5	9606.ENSP00000427279	9606.ENSP00000296027	0	0.734	0.400	0	0.833
CXCL3	CXCL6	9606.ENSP00000296026	9606.ENSP00000226317	0	0.734	0.400	0	0.833
CXCL3	CXCL5	9606.ENSP00000296026	9606.ENSP00000296027	0	0.734	0.400	0	0.833
CXCL5	CXCL6	9606.ENSP00000296027	9606.ENSP00000226317	0	0	0.900	0	0.900
CYLD	TNFRSF1A	9606.ENSP00000392025	9606.ENSP00000162749	0	0.734	0.500	0	0.861
CYLD	TRAF2	9606.ENSP00000392025	9606.ENSP00000247668	0	0.457	0.500	0	0.716
CYLD	RIPK1	9606.ENSP00000392025	9606.ENSP00000259808	0	0.457	0.500	0	0.716
CYLD	TNF	9606.ENSP00000392025	9606.ENSP00000398698	0	0.691	0.500	0	0.838
CYLD	IKBKG	9606.ENSP00000392025	9606.ENSP00000483825	0	0.483	0.500	0	0.730
DUSP16	MAPK8	9606.ENSP00000298573	9606.ENSP00000378974	0	0.945	0	0	0.945
FADD	RIPK3	9606.ENSP00000301838	9606.ENSP00000216274	0	0.734	0	0	0.734
FADD	TRAF2	9606.ENSP00000301838	9606.ENSP00000247668	0	0.424	0.800	0	0.879
FADD	RIPK1	9606.ENSP00000301838	9606.ENSP00000259808	0	0.457	0.900	0	0.943
FADD	IKBKG	9606.ENSP00000301838	9606.ENSP00000483825	0	0.457	0.500	0	0.716
FADD	TRADD	9606.ENSP00000301838	9606.ENSP00000341268	0	0.457	0.900	0	0.943
FADD	FAS	9606.ENSP00000301838	9606.ENSP00000498466	0	0.967	0.900	0	0.996
FAS	TNFRSF1A	9606.ENSP00000498466	9606.ENSP00000162749	0	0.448	0.900	0	0.942
FAS	RIPK1	9606.ENSP00000498466	9606.ENSP00000259808	0	0.230	0.720	0	0.775
FAS	TRADD	9606.ENSP00000498466	9606.ENSP00000341268	0	0.292	0.900	0	0.926
FOS	JUNB	9606.ENSP00000306245	9606.ENSP00000303315	0	0.676	0.900	0	0.966
FOS	JUN	9606.ENSP00000306245	9606.ENSP00000360266	0	0.972	0.900	0	0.997
IKBKB	TNFRSF1A	9606.ENSP00000430684	9606.ENSP00000162749	0	0.734	0.500	0	0.861
IKBKB	TRAF2	9606.ENSP00000430684	9606.ENSP00000247668	0	0.657	0.540	0	0.835
IKBKB	RIPK1	9606.ENSP00000430684	9606.ENSP00000259808	0	0.457	0.500	0	0.716
IKBKB	MAP3K7	9606.ENSP00000430684	9606.ENSP00000358335	0	0.457	0.500	0	0.716
IKBKB	TNF	9606.ENSP00000430684	9606.ENSP00000398698	0	0.734	0.500	0	0.861
IKBKB	IKBKG	9606.ENSP00000430684	9606.ENSP00000483825	0	0.972	0.900	0	0.997
IKBKG	TNFRSF1A	9606.ENSP00000483825	9606.ENSP00000162749	0	0.734	0.500	0	0.861
IKBKG	TAB1	9606.ENSP00000483825	9606.ENSP00000216160	0	0.734	0.500	0	0.861
IKBKG	TRAF2	9606.ENSP00000483825	9606.ENSP00000247668	0	0.458	0.500	0	0.717
IKBKG	RIPK1	9606.ENSP00000483825	9606.ENSP00000259808	0	0.734	0.500	0	0.861
IKBKG	TAB2	9606.ENSP00000483825	9606.ENSP00000356426	0	0.734	0.500	0	0.861
IKBKG	MAP3K7	9606.ENSP00000483825	9606.ENSP00000358335	0	0.734	0.500	0	0.861
IKBKG	TAB3	9606.ENSP00000483825	9606.ENSP00000368215	0	0.734	0.500	0	0.861
IKBKG	TNF	9606.ENSP00000483825	9606.ENSP00000398698	0	0.734	0.500	0	0.861
JUN	JUNB	9606.ENSP00000360266	9606.ENSP00000303315	0	0.563	0.900	0	0.954
JUN	MAPK8	9606.ENSP00000360266	9606.ENSP00000378974	0	0.511	0.900	0	0.949
JUN	MAPK9	9606.ENSP00000360266	9606.ENSP00000394560	0	0.511	0.900	0	0.949
LTA	TNFRSF1A	9606.ENSP00000403495	9606.ENSP00000162749	0	0.960	0.500	0	0.979
LTA	TNFRSF1B	9606.ENSP00000403495	9606.ENSP00000365435	0	0.526	0.500	0	0.752
LTA	TNF	9606.ENSP00000403495	9606.ENSP00000398698	0	0.292	0.900	0	0.926
MAP2K1	MAPK1	9606.ENSP00000302486	9606.ENSP00000215832	0	0.537	0.500	0	0.759
MAP2K1	MAPK3	9606.ENSP00000302486	9606.ENSP00000263025	0	0.537	0.900	0	0.951
MAP2K3	MAP2K4	9606.ENSP00000345083	9606.ENSP00000410402	0	0	0.900	0	0.900
MAP2K3	MAP2K6	9606.ENSP00000345083	9606.ENSP00000468348	0	0.657	0.900	0	0.964
MAP2K4	MAPK8	9606.ENSP00000410402	9606.ENSP00000378974	0	0.745	0	0	0.745
MAP2K4	MAP2K7	9606.ENSP00000410402	9606.ENSP00000381070	0	0.457	0.900	0	0.943
