name,BetweennessCentrality,Radiality,Degree,NeighborhoodConnectivity,Stress,TopologicalCoefficient
TRAF6,0.4469802457024936,0.9406494960806272,1.0,0.5305263157894737,1.0,0.2244582043343653
TAB1,0.31748988946606893,0.9193729003359464,0.2777777777777778,0.76,0.6063291139240506,0.4305555555555556
IRF3,0.2838368692670265,0.9126539753639415,0.2777777777777778,0.5066666666666666,0.9037974683544304,0.3583333333333333
IKBKG,0.1272207806840091,0.9283314669652856,0.7222222222222222,0.6171428571428571,0.3886075949367089,0.3004926108374384
TLR4,0.34509988546760056,0.9193729003359464,0.5,0.4,0.6810126582278481,0.1935483870967742
TICAM1,0.1502543517228993,0.9260918253079506,0.5,0.552,0.3860759493670886,0.2548387096774193
MYD88,0.18903489934364132,0.916013437849944,0.5,0.48,0.40253164556962023,0.25
TNF,0.06166074520607355,0.9182530795072787,0.5555555555555556,0.5672727272727274,0.23924050632911392,0.3517786561264822
TRAF3,0.09482488487460736,0.9238521836506158,0.3888888888888889,0.66,0.2949367088607595,0.2983870967741935
TBK1,0.0341945924103648,0.9171332586786116,0.4444444444444444,0.6844444444444444,0.1911392405063291,0.3822222222222222
JUN,0.26564383812302406,0.8868980963045912,0.16666666666666666,0.2,0.7962025316455696,0.3333333333333333
MAP3K7,0.024672752471087248,0.9126539753639415,0.5,0.688,0.09113924050632911,0.4
RIPK1,0.02842832660709615,0.9115341545352744,0.5555555555555556,0.6254545454545455,0.1240506329113924,0.3674242424242424
IKBKE,0.023884473913382248,0.9148936170212768,0.3333333333333333,0.7542857142857143,0.15569620253164557,0.4171428571428571
IRF7,0.069745317895179,0.916013437849944,0.2777777777777778,0.7333333333333333,0.20253164556962025,0.3765432098765432
IRAK1,0.03000503197080435,0.9137737961926092,0.5,0.632,0.1240506329113924,0.3296296296296296
MAP2K6,0.2935606022100009,0.8667413213885778,0.2777777777777778,0.08,0.5151898734177215,0.2222222222222222
TOLLIP,0.01498942777851195,0.8992161254199328,0.2222222222222222,0.6559999999999999,0.043037974683544304,0.3833333333333333
TLR9,0.038964693185322155,0.8857782754759238,0.16666666666666666,0.5,0.08607594936708861,0.3625
TLR6,0.02489014801110075,0.8712206047032475,0.1111111111111111,0.4,0.0810126582278481,0.5454545454545454
MAPK8,0.10536870622439536,0.8577827547592385,0.16666666666666666,0.18,0.2810126582278481,0.375
MAP2K4,0.1208105030954244,0.8376259798432252,0.2222222222222222,0.17600000000000002,0.2645569620253165,0.3
TLR2,0.047889685476410704,0.8790593505039194,0.2777777777777778,0.24,0.12784810126582277,0.3076923076923077
