,tau,expected_Atrial Cardiomyocyte,expected_Ventricular Cardiomyocyte,expected_Fibroblast,expected_Endothelial cell,expected_Lymphatic Endothelial cell,expected_Mural cell,expected_Mesothelial cell,expected_Neural cell,expected_Adipocyte,expected_Myeloid,expected_Lymphoid,expected_Mast cell
JUN,0.5865423,0.05747471497367388,0.11952951124850095,0.07166213983040676,0.44374220739829257,0.11806959065691384,0.06579956344757018,0.6437804078649776,0.12113773645464657,0.114907143847368,0.1454760378209035,0.31367153858939506,0.0012785842128528238
IKBKE,0.76759934,4.719570784227629e-05,8.46215484369958e-06,0.00037845612865613663,1.265597617349481e-06,0.0002631625556117319,9.5619683262301e-06,0.0011520014940113422,2.2212858698593815e-05,0.00018462498147144496,0.0035282814076885815,0.0034378635658277247,0.000299178657945722
MYD88,0.7996115,1.4310469561830972e-05,2.982349582647409e-06,0.0006139307718489655,0.002914127546690937,0.001048653040613447,0.0001116943951522097,0.0038027705073131065,9.536166030973222e-05,0.00024154298189438776,0.014460178729520075,0.0027325965901188764,6.629280239359728e-05
TLR9,0.6328891,6.814605102350104e-08,2.553083002957967e-07,3.170844175127671e-07,1.5451646851528884e-08,8.090150193760754e-07,7.70328330807646e-09,2.099943244627121e-08,5.038014923345283e-07,1.7849855096777425e-06,2.732968866032322e-07,7.751377011084958e-07,0.0
TLR6,0.9611872,7.135745246903037e-08,3.8503473031125906e-08,2.8259780997034864e-05,3.2610338206610926e-07,1.875495890507827e-05,3.1718137059969616e-08,1.1456673572768607e-06,4.573080818666968e-06,2.6970120658679837e-06,0.0029320444906502704,6.598653985551689e-05,8.705436617449626e-07
TLR2,0.9759489,1.7549318918549234e-05,1.1133973374499856e-06,8.000135896673138e-05,9.671904650628669e-05,0.001758314870499276,1.076430739953705e-06,0.017267896921542195,2.5781617820267408e-05,0.0010959916515239153,0.609208420715852,0.00013308844417506997,0.0002800073108750939
RIPK1,0.48298776,0.0322960397893432,0.03405769831166871,0.034980205116762954,0.01241962036025066,0.04854228201980296,0.023607943794813107,0.022905404585199525,0.019334514977816044,0.13618003848745858,0.037768950374439926,0.013980488935105062,0.020423067593921925
TNF,0.8428629,1.2371317498475649e-08,3.230020689885612e-08,7.450584547565114e-07,0.001548877970664058,8.866681382923052e-06,8.866311473930229e-07,1.5570242451318843e-05,1.900312590616162e-07,7.526345749985652e-07,0.0017509955647843577,0.0024801651212441275,3.9142797235148183e-05
MAP3K7,0.26719788,0.06169675970907885,0.034735558880646875,0.04311962990896199,0.02140876965252448,0.04288584304592324,0.01234267420111014,0.05582719917216161,0.020186403841095293,0.0819257204788434,0.060060190383952085,0.01862552333508073,0.011119702701239216
IRAK1,0.75764334,0.00014631277947185949,9.614120282798851e-05,0.0026338646825810295,0.0017729236773132693,0.004763334885987535,0.00059669880715766,0.00770604881116999,0.0005560653586288263,0.002794531966516008,0.026168638409373224,0.002852787214886864,0.0006873850171397457
IKBKG,0.30297482,0.0013849050423595294,0.001270036704794911,0.0021201491746625804,0.003032161736142966,0.002526430825929384,0.0014614115821668184,0.004697800725839447,0.0010942546985492141,0.005572342376775097,0.0033870109744891263,0.0033427465498691365,0.000729700788670595
TLR4,0.88158137,0.00011328690060967778,9.898148972698731e-07,0.0014545866309730816,0.024703532531231438,0.018872100874263806,2.53728637279018e-05,0.00039264549613139937,0.00015103767621205748,0.0018082715727051957,0.10004839404959043,2.9479918557360986e-05,0.00017326817728671522
IRF7,0.65262,0.00018407932404824773,0.00018439593980164328,0.0010725202118554726,0.01816937066199621,0.0014899761980564897,0.0006092104753405368,0.017803811079618946,0.0010568452624891576,0.0009945749882001172,0.012159207268951887,0.009325823367919138,0.0001149819837154341
