#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AKT1	AKT2	9606.ENSP00000451828	9606.ENSP00000375892	0	0.655	0.900	0	0.964
AKT1	AKT3	9606.ENSP00000451828	9606.ENSP00000500582	0	0.592	0.900	0	0.957
AKT2	AKT3	9606.ENSP00000375892	9606.ENSP00000500582	0	0.162	0.900	0	0.912
CASP8	TICAM1	9606.ENSP00000351273	9606.ENSP00000248244	0	0.457	0.900	0	0.943
CASP8	RIPK1	9606.ENSP00000351273	9606.ENSP00000259808	0	0.564	0.900	0	0.954
CASP8	FADD	9606.ENSP00000351273	9606.ENSP00000301838	0	0.671	0.900	0	0.965
CASP8	TNF	9606.ENSP00000351273	9606.ENSP00000398698	0	0.734	0	0	0.734
CCL3	CCL3L1	9606.ENSP00000477908	9606.ENSP00000480558	0	0	0.900	0	0.900
CCL4	CCL4L2	9606.ENSP00000482259	9606.ENSP00000483330	0	0	0.900	0	0.900
CCL5	CXCL10	9606.ENSP00000474412	9606.ENSP00000305651	0	0.734	0	0	0.734
CCL5	CXCL11	9606.ENSP00000474412	9606.ENSP00000306884	0	0.734	0	0	0.734
CCL5	CXCL9	9606.ENSP00000474412	9606.ENSP00000354901	0	0.734	0	0	0.734
CD14	TLR2	9606.ENSP00000385519	9606.ENSP00000260010	0	0.483	0.800	0	0.892
CD14	LY96	9606.ENSP00000385519	9606.ENSP00000284818	0	0	0.900	0	0.900
CD14	TLR4	9606.ENSP00000385519	9606.ENSP00000363089	0	0	0.900	0	0.900
CD40	TRAF3	9606.ENSP00000361359	9606.ENSP00000376500	0	0.960	0.900	0	0.995
CD40	TRAF6	9606.ENSP00000361359	9606.ENSP00000433623	0	0.618	0.900	0	0.960
CD80	CD86	9606.ENSP00000264246	9606.ENSP00000332049	0	0.393	0.900	0	0.936
CHUK	RIPK1	9606.ENSP00000359424	9606.ENSP00000259808	0	0.457	0.500	0	0.716
CHUK	MAP3K7	9606.ENSP00000359424	9606.ENSP00000358335	0	0.542	0.500	0	0.761
CHUK	IRAK1	9606.ENSP00000359424	9606.ENSP00000358997	0	0.457	0.500	0	0.716
CHUK	TNF	9606.ENSP00000359424	9606.ENSP00000398698	0	0.734	0.500	0	0.861
CHUK	IKBKG	9606.ENSP00000359424	9606.ENSP00000483825	0	0.734	0.900	0	0.972
CHUK	IKBKB	9606.ENSP00000359424	9606.ENSP00000430684	0	0.734	0.900	0	0.972
CXCL10	CXCL11	9606.ENSP00000305651	9606.ENSP00000306884	0	0.734	0.900	0	0.972
CXCL10	CXCL9	9606.ENSP00000305651	9606.ENSP00000354901	0	0.734	0.900	0	0.972
CXCL11	CXCL9	9606.ENSP00000306884	9606.ENSP00000354901	0	0.734	0.900	0	0.972
DUSP16	MAPK8	9606.ENSP00000298573	9606.ENSP00000378974	0	0.945	0	0	0.945
FADD	TICAM1	9606.ENSP00000301838	9606.ENSP00000248244	0	0	0.900	0	0.900
FADD	RIPK1	9606.ENSP00000301838	9606.ENSP00000259808	0	0.457	0.900	0	0.943
FADD	IKBKG	9606.ENSP00000301838	9606.ENSP00000483825	0	0.457	0.500	0	0.716
FOS	JUN	9606.ENSP00000306245	9606.ENSP00000360266	0	0.972	0.900	0	0.997
IFNA1	IFNA13	9606.ENSP00000276927	9606.ENSP00000480467	0	0.831	0	0	0.831
IFNA2	IFNAR1	9606.ENSP00000369554	9606.ENSP00000270139	0	0.960	0.500	0	0.979
IFNA2	IFNAR2	9606.ENSP00000369554	9606.ENSP00000343957	0	0.960	0.500	0	0.979
IFNAR1	STAT2	9606.ENSP00000270139	9606.ENSP00000315768	0	0.549	0.800	0	0.905
IFNAR1	IFNB1	9606.ENSP00000270139	9606.ENSP00000369581	0	0.643	0.500	0	0.814
IFNAR1	JAK1	9606.ENSP00000270139	9606.ENSP00000499900	0	0.362	0.900	0	0.933
IFNAR1	TYK2	9606.ENSP00000270139	9606.ENSP00000431885	0	0.943	0.900	0	0.994
IFNAR1	IFNAR2	9606.ENSP00000270139	9606.ENSP00000343957	0	0.886	0.900	0	0.988
IFNAR2	STAT2	9606.ENSP00000343957	9606.ENSP00000315768	0	0.457	0.800	0	0.886
IFNAR2	STAT1	9606.ENSP00000343957	9606.ENSP00000354394	0	0.457	0.500	0	0.716
IFNAR2	TYK2	9606.ENSP00000343957	9606.ENSP00000431885	0	0	0.900	0	0.900
IFNAR2	JAK1	9606.ENSP00000343957	9606.ENSP00000499900	0	0.457	0.900	0	0.943
IKBKB	RIPK1	9606.ENSP00000430684	9606.ENSP00000259808	0	0.457	0.500	0	0.716
IKBKB	MAP3K7	9606.ENSP00000430684	9606.ENSP00000358335	0	0.457	0.500	0	0.716
IKBKB	IRAK1	9606.ENSP00000430684	9606.ENSP00000358997	0	0.457	0.500	0	0.716
IKBKB	TNF	9606.ENSP00000430684	9606.ENSP00000398698	0	0.734	0.500	0	0.861
IKBKB	TRAF6	9606.ENSP00000430684	9606.ENSP00000433623	0	0.509	0.540	0	0.764
IKBKB	IKBKG	9606.ENSP00000430684	9606.ENSP00000483825	0	0.972	0.900	0	0.997
IKBKE	TBK1	9606.ENSP00000464030	9606.ENSP00000329967	0	0.734	0.900	0	0.972
IKBKE	TRAF3	9606.ENSP00000464030	9606.ENSP00000376500	0	0.734	0.500	0	0.861
IKBKE	IRF7	9606.ENSP00000464030	9606.ENSP00000380697	0	0.457	0.900	0	0.943
IKBKE	TNF	9606.ENSP00000464030	9606.ENSP00000398698	0	0.734	0.500	0	0.861
IKBKE	TRAF6	9606.ENSP00000464030	9606.ENSP00000433623	0	0.734	0.500	0	0.861
IKBKE	IRF3	9606.ENSP00000464030	9606.ENSP00000471896	0	0.457	0.900	0	0.943
IKBKE	IKBKG	9606.ENSP00000464030	9606.ENSP00000483825	0	0.457	0.800	0	0.886
IKBKG	TAB1	9606.ENSP00000483825	9606.ENSP00000216160	0	0.734	0.500	0	0.861
IKBKG	RIPK1	9606.ENSP00000483825	9606.ENSP00000259808	0	0.734	0.500	0	0.861
IKBKG	TBK1	9606.ENSP00000483825	9606.ENSP00000329967	0	0.457	0.800	0	0.886
IKBKG	TAB2	9606.ENSP00000483825	9606.ENSP00000356426	0	0.734	0.500	0	0.861
IKBKG	MAP3K7	9606.ENSP00000483825	9606.ENSP00000358335	0	0.734	0.500	0	0.861
IKBKG	IRAK1	9606.ENSP00000483825	9606.ENSP00000358997	0	0.734	0.500	0	0.861
IKBKG	TNF	9606.ENSP00000483825	9606.ENSP00000398698	0	0.734	0.500	0	0.861
IKBKG	TRAF6	9606.ENSP00000483825	9606.ENSP00000433623	0	0.734	0.900	0	0.972
IKBKG	IRAK4	9606.ENSP00000483825	9606.ENSP00000479889	0	0.734	0	0	0.734
IKBKG	MYD88	9606.ENSP00000483825	9606.ENSP00000498321	0	0.734	0	0	0.734
IL12A	IL12B	9606.ENSP00000303231	9606.ENSP00000231228	0	0.960	0.900	0	0.995
IRAK1	TOLLIP	9606.ENSP00000358997	9606.ENSP00000314733	0	0.457	0.500	0	0.716
IRAK1	TAB2	9606.ENSP00000358997	9606.ENSP00000356426	0	0.734	0.500	0	0.861
IRAK1	MAP3K7	9606.ENSP00000358997	9606.ENSP00000358335	0	0.457	0.500	0	0.716
IRAK1	IRF7	9606.ENSP00000358997	9606.ENSP00000380697	0	0.437	0.500	0	0.706
IRAK1	MYD88	9606.ENSP00000358997	9606.ENSP00000498321	0	0.459	0.800	0	0.887
IRAK1	IRAK4	9606.ENSP00000358997	9606.ENSP00000479889	0	0.562	0.900	0	0.954
IRAK1	TRAF6	9606.ENSP00000358997	9606.ENSP00000433623	0	0.457	0.900	0	0.943
IRAK4	TOLLIP	9606.ENSP00000479889	9606.ENSP00000314733	0	0	0.800	0	0.800
IRAK4	TRAF6	9606.ENSP00000479889	9606.ENSP00000433623	0	0.457	0.900	0	0.943
IRAK4	MYD88	9606.ENSP00000479889	9606.ENSP00000498321	0	0.964	0.800	0	0.992
IRF3	TICAM1	9606.ENSP00000471896	9606.ENSP00000248244	0	0.496	0.500	0	0.737
IRF3	TBK1	9606.ENSP00000471896	9606.ENSP00000329967	0	0.457	0.900	0	0.943
IRF3	JUN	9606.ENSP00000471896	9606.ENSP00000360266	0	0.800	0	0	0.800
IRF3	TRAF3	9606.ENSP00000471896	9606.ENSP00000376500	0	0.457	0.500	0	0.716
IRF3	IRF7	9606.ENSP00000471896	9606.ENSP00000380697	0	0.457	0.900	0	0.943
IRF7	TBK1	9606.ENSP00000380697	9606.ENSP00000329967	0	0.292	0.900	0	0.926
IRF7	TRAF6	9606.ENSP00000380697	9606.ENSP00000433623	0	0.457	0.500	0	0.716
IRF7	MYD88	9606.ENSP00000380697	9606.ENSP00000498321	0	0.483	0.500	0	0.730
IRF9	STAT2	9606.ENSP00000380073	9606.ENSP00000315768	0	0.695	0.900	0	0.968
IRF9	STAT1	9606.ENSP00000380073	9606.ENSP00000354394	0	0.569	0.900	0	0.955
JAK1	STAT2	9606.ENSP00000499900	9606.ENSP00000315768	0	0	0.800	0	0.800
JAK1	TYK2	9606.ENSP00000499900	9606.ENSP00000431885	0	0.292	0.900	0	0.926
JUN	MAPK8	9606.ENSP00000360266	9606.ENSP00000378974	0	0.511	0.900	0	0.949
JUN	MAPK9	9606.ENSP00000360266	9606.ENSP00000394560	0	0.511	0.900	0	0.949
LY96	TLR4	9606.ENSP00000284818	9606.ENSP00000363089	0	0.964	0.900	0	0.996
MAP2K1	MAPK1	9606.ENSP00000302486	9606.ENSP00000215832	0	0.537	0.500	0	0.759
MAP2K1	MAP2K2	9606.ENSP00000302486	9606.ENSP00000262948	0	0.661	0.900	0	0.964
MAP2K1	MAPK3	9606.ENSP00000302486	9606.ENSP00000263025	0	0.537	0.900	0	0.951
MAP2K2	MAPK1	9606.ENSP00000262948	9606.ENSP00000215832	0	0.965	0.900	0	0.996
MAP2K2	MAPK3	9606.ENSP00000262948	9606.ENSP00000263025	0	0.537	0.500	0	0.759
MAP2K3	MAP2K4	9606.ENSP00000345083	9606.ENSP00000410402	0	0	0.900	0	0.900
MAP2K3	MAP2K6	9606.ENSP00000345083	9606.ENSP00000468348	0	0.657	0.900	0	0.964
MAP2K4	MAPK8	9606.ENSP00000410402	9606.ENSP00000378974	0	0.745	0	0	0.745
MAP2K4	MAP2K7	9606.ENSP00000410402	9606.ENSP00000381070	0	0.457	0.900	0	0.943
MAP2K4	MAPK9	9606.ENSP00000410402	9606.ENSP00000394560	0	0.745	0	0	0.745
MAP2K4	MAP2K6	9606.ENSP00000410402	9606.ENSP00000468348	0	0.292	0.900	0	0.926
MAP2K6	MAPK13	9606.ENSP00000468348	9606.ENSP00000211287	0	0.348	0.900	0	0.932
MAP2K6	MAPK12	9606.ENSP00000468348	9606.ENSP00000215659	0	0.554	0.900	0	0.953
MAP2K6	MAPK14	9606.ENSP00000468348	9606.ENSP00000229795	0	0.654	0.900	0	0.963
MAP2K6	MAPK11	9606.ENSP00000468348	9606.ENSP00000333685	0	0.375	0.900	0	0.934
MAP3K7	TAB1	9606.ENSP00000358335	9606.ENSP00000216160	0	0.735	0.900	0	0.972
MAP3K7	RIPK1	9606.ENSP00000358335	9606.ENSP00000259808	0	0.457	0.500	0	0.716
MAP3K7	TLR3	9606.ENSP00000358335	9606.ENSP00000296795	0	0.507	0.500	0	0.743
MAP3K7	TAB2	9606.ENSP00000358335	9606.ENSP00000356426	0	0.734	0.900	0	0.972
MAP3K7	TNF	9606.ENSP00000358335	9606.ENSP00000398698	0	0.734	0.500	0	0.861
MAP3K7	TRAF6	9606.ENSP00000358335	9606.ENSP00000433623	0	0.509	0.800	0	0.897
MAP3K8	NFKB1	9606.ENSP00000263056	9606.ENSP00000226574	0	0.693	0.800	0	0.935
MAPK1	MAPK3	9606.ENSP00000215832	9606.ENSP00000263025	0	0.633	0.900	0	0.961
MAPK14	TAB1	9606.ENSP00000229795	9606.ENSP00000216160	0	0.956	0	0	0.956
MAPK8	MAPK9	9606.ENSP00000378974	9606.ENSP00000394560	0	0.734	0.900	0	0.972
MYD88	TLR8	9606.ENSP00000498321	9606.ENSP00000312082	0	0	0.900	0	0.900
MYD88	TOLLIP	9606.ENSP00000498321	9606.ENSP00000314733	0	0	0.800	0	0.800
MYD88	TLR9	9606.ENSP00000498321	9606.ENSP00000353874	0	0.490	0.700	0	0.840
MYD88	TLR7	9606.ENSP00000498321	9606.ENSP00000370034	0	0.140	0.900	0	0.910
MYD88	TIRAP	9606.ENSP00000498321	9606.ENSP00000376445	0	0.457	0.800	0	0.886
MYD88	TRAF6	9606.ENSP00000498321	9606.ENSP00000433623	0	0.457	0.800	0	0.886
NFKB1	NFKBIA	9606.ENSP00000226574	9606.ENSP00000216797	0	0.960	0.900	0	0.995
NFKB1	RELA	9606.ENSP00000226574	9606.ENSP00000384273	0	0.959	0.900	0	0.995
NFKBIA	RELA	9606.ENSP00000216797	9606.ENSP00000384273	0	0.967	0.800	0	0.993
PIK3CA	PIK3R2	9606.ENSP00000263967	9606.ENSP00000222254	0	0.611	0.922	0	0.968
PIK3CA	PIK3R3	9606.ENSP00000263967	9606.ENSP00000262741	0	0.635	0.944	0	0.978
PIK3CA	PIK3CB	9606.ENSP00000263967	9606.ENSP00000501150	0	0	0.900	0	0.900
PIK3CA	PIK3CD	9606.ENSP00000263967	9606.ENSP00000366563	0	0	0.900	0	0.900
PIK3CA	PIK3R1	9606.ENSP00000263967	9606.ENSP00000428056	0	0.963	0.967	0	0.998
PIK3CB	PIK3R2	9606.ENSP00000501150	9606.ENSP00000222254	0	0.766	0.904	0	0.976
PIK3CB	PIK3R3	9606.ENSP00000501150	9606.ENSP00000262741	0	0.659	0.904	0	0.966
PIK3CB	PIK3CD	9606.ENSP00000501150	9606.ENSP00000366563	0	0	0.900	0	0.900
PIK3CB	PIK3R1	9606.ENSP00000501150	9606.ENSP00000428056	0	0.678	0.904	0	0.968
PIK3CD	PIK3R2	9606.ENSP00000366563	9606.ENSP00000222254	0	0.417	0.904	0	0.942
PIK3CD	PIK3R3	9606.ENSP00000366563	9606.ENSP00000262741	0	0.443	0.904	0	0.944
PIK3CD	PIK3R1	9606.ENSP00000366563	9606.ENSP00000428056	0	0.947	0.904	0	0.994
PIK3R1	PIK3R2	9606.ENSP00000428056	9606.ENSP00000222254	0	0.669	0.900	0	0.965
PIK3R1	PIK3R3	9606.ENSP00000428056	9606.ENSP00000262741	0	0.661	0.944	0	0.980
PIK3R2	PIK3R3	9606.ENSP00000222254	9606.ENSP00000262741	0	0.654	0.900	0	0.963
RIPK1	TICAM1	9606.ENSP00000259808	9606.ENSP00000248244	0	0.457	0.900	0	0.943
RIPK1	TLR3	9606.ENSP00000259808	9606.ENSP00000296795	0	0.524	0.500	0	0.751
RIPK1	TNF	9606.ENSP00000259808	9606.ENSP00000398698	0	0.734	0.500	0	0.861
RIPK1	TRAF6	9606.ENSP00000259808	9606.ENSP00000433623	0	0	0.800	0	0.800
RIPK1	TAB2	9606.ENSP00000259808	9606.ENSP00000356426	0	0.734	0.500	0	0.861
STAT1	STAT2	9606.ENSP00000354394	9606.ENSP00000315768	0	0.534	0.900	0	0.951
STAT2	TYK2	9606.ENSP00000315768	9606.ENSP00000431885	0	0.457	0.800	0	0.886
TAB1	TNF	9606.ENSP00000216160	9606.ENSP00000398698	0	0.734	0.500	0	0.861
TAB1	TRAF6	9606.ENSP00000216160	9606.ENSP00000433623	0	0.507	0.900	0	0.948
TAB1	TAB2	9606.ENSP00000216160	9606.ENSP00000356426	0	0.639	0.900	0	0.962
TAB2	TNF	9606.ENSP00000356426	9606.ENSP00000398698	0	0.734	0.500	0	0.861
TAB2	TRAF6	9606.ENSP00000356426	9606.ENSP00000433623	0	0.509	0.900	0	0.948
TBK1	TICAM1	9606.ENSP00000329967	9606.ENSP00000248244	0	0.457	0.500	0	0.716
TBK1	TLR3	9606.ENSP00000329967	9606.ENSP00000296795	0	0.490	0.500	0	0.734
TBK1	TNF	9606.ENSP00000329967	9606.ENSP00000398698	0	0.734	0.500	0	0.861
TBK1	TRAF6	9606.ENSP00000329967	9606.ENSP00000433623	0	0.734	0.500	0	0.861
TBK1	TRAF3	9606.ENSP00000329967	9606.ENSP00000376500	0	0.734	0.500	0	0.861
TICAM1	TRAF6	9606.ENSP00000248244	9606.ENSP00000433623	0	0.460	0.500	0	0.718
TICAM1	TRAF3	9606.ENSP00000248244	9606.ENSP00000376500	0	0.457	0.500	0	0.716
TICAM1	TICAM2	9606.ENSP00000248244	9606.ENSP00000415139	0	0.457	0.800	0	0.886
TICAM1	TLR4	9606.ENSP00000248244	9606.ENSP00000363089	0	0.458	0.500	0	0.717
TICAM1	TLR3	9606.ENSP00000248244	9606.ENSP00000296795	0	0.492	0.700	0	0.841
TICAM2	TLR4	9606.ENSP00000415139	9606.ENSP00000363089	0	0.458	0.500	0	0.717
TICAM2	TRAF6	9606.ENSP00000415139	9606.ENSP00000433623	0	0.460	0.500	0	0.718
TIRAP	TOLLIP	9606.ENSP00000376445	9606.ENSP00000314733	0	0	0.800	0	0.800
TLR1	TLR2	9606.ENSP00000354932	9606.ENSP00000260010	0	0.946	0.900	0	0.994
TLR1	TLR6	9606.ENSP00000354932	9606.ENSP00000389600	0	0.421	0.900	0	0.939
TLR2	TLR9	9606.ENSP00000260010	9606.ENSP00000353874	0	0	0.900	0	0.900
TLR2	TLR5	9606.ENSP00000260010	9606.ENSP00000496355	0	0	0.900	0	0.900
