"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Column1","Column3","Column4","Column5","Column6","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"1.0","0.0","1.0","1.0","HUMAN|HGNC=391|UniProtKB=P31749","RAC-alpha serine_threonine-protein kinase;AKT1;PTN002519490;orthologs","RAC-ALPHA SERINE_THREONINE-PROTEIN KINASE (PTHR24356:SF171)","non-receptor serine/threonine protein kinase(PC00167)","Homo sapiens","2","1","false","AKT1","2.0","0","2","0","1.0","false","0","AKT1","0","1.0"
"1.0","0.0","1.0","1.0","HUMAN|HGNC=392|UniProtKB=P31751","RAC-beta serine_threonine-protein kinase;AKT2;PTN002519489;orthologs","RAC-BETA SERINE_THREONINE-PROTEIN KINASE (PTHR24356:SF176)","non-receptor serine/threonine protein kinase(PC00167)","Homo sapiens","2","1","false","AKT2","2.0","0","2","0","1.0","false","0","AKT2","0","1.0"
"1.0","0.0","1.0","1.0","HUMAN|HGNC=393|UniProtKB=Q9Y243","RAC-gamma serine_threonine-protein kinase;AKT3;PTN002519488;orthologs","RAC-GAMMA SERINE_THREONINE-PROTEIN KINASE (PTHR24356:SF190)","non-receptor serine/threonine protein kinase(PC00167)","Homo sapiens","2","1","false","AKT3","2.0","0","2","0","1.0","false","0","AKT3","0","1.0"
"3.021276595744681","6.057001894189683E-4","0.33098591549295775","0.6666666666666666","HUMAN|HGNC=1509|UniProtKB=Q14790","Caspase-8;CASP8;PTN002470814;orthologs","CASPASE-8 (PTHR10454:SF162)","protease(PC00190)","Homo sapiens","4","6","false","CASP8","9.0","0","4","0","0.8936170212765958","false","0","CASP8","6","0.5"
"2.404255319148936","0.10016956781526624","0.415929203539823","0.35555555555555557","HUMAN|HGNC=18348|UniProtKB=Q8IUC6","TIR domain-containing adapter molecule 1;TICAM1;PTN002932988;orthologs","TIR DOMAIN-CONTAINING ADAPTER MOLECULE 1 (PTHR47230:SF1)","scaffold/adaptor protein(PC00226)","Homo sapiens","10","5","false","TICAM1","7.9","0","10","0","0.9260918253079506","false","0","TICAM1","610","0.25483870967741934"
"2.6808510638297873","0.018952217738064173","0.373015873015873","0.4727272727272727","HUMAN|HGNC=10019|UniProtKB=Q13546","Receptor-interacting serine_threonine-protein kinase 1;RIPK1;PTN002551568;orthologs","RECEPTOR-INTERACTING SERINE_THREONINE-PROTEIN KINASE 1 (PTHR44329:SF6)","non-receptor serine/threonine protein kinase(PC00167)","Homo sapiens","11","6","false","RIPK1","8.818181818181818","0","11","0","0.9115341545352743","false","0","RIPK1","196","0.36742424242424243"
"2.893617021276596","0.0014521556149678261","0.34558823529411764","0.6666666666666666","HUMAN|HGNC=3573|UniProtKB=Q13158","FAS-associated death domain protein;FADD;PTN002495467;orthologs","FAS-ASSOCIATED DEATH DOMAIN PROTEIN (PTHR15077:SF10)",,"Homo sapiens","4","6","false","FADD","9.75","0","4","0","0.9003359462486001","false","0","FADD","16","0.4642857142857143"
"2.5531914893617023","0.04110716347071575","0.39166666666666666","0.4","HUMAN|HGNC=11892|UniProtKB=P01375","Tumor necrosis factor;TNF;PTN002479303;orthologs","TUMOR NECROSIS FACTOR (PTHR11471:SF23)","intercellular signal molecule(PC00207)","Homo sapiens","11","5","false","TNF","8.090909090909092","0","11","0","0.9182530795072789","false","0","TNF","378","0.35177865612648224"
"1.0","0.0","1.0","0.0","HUMAN|HGNC=10627|UniProtKB=P10147","C-C motif chemokine 3;CCL3;PTN002485881;orthologs","C-C MOTIF CHEMOKINE 3 (PTHR12015:SF183)","cytokine(PC00083)","Homo sapiens","1","1","false","CCL3","1.0","0","1","0","1.0","false","0","CCL3","0","0.0"
"1.0","0.0","1.0","0.0",,,,,,"1","1","false","CCL3L1","1.0","0","1","0","1.0","false","0","CCL3L1","0","0.0"
