"gene","Atrial Cardiomyocyte","Ventricular Cardiomyocyte","Fibroblast","Endothelial cell","Lymphatic Endothelial cell","Mural cell","Mesothelial cell","Neural cell","Adipocyte","Myeloid","Lymphoid","Mast cell"
"RAC2","m = 0.00032 
 p = 0.05445","m = 0.00044 
 p = 0.05506","m = 0.00077 
 p = 0.15646","m = 0.00155 
 p = 0.16653","m = 0.00507 
 p = 0.38610","m = 0.00060 
 p = 0.04780","m = 0.00637 
 p = 1.98675","m = 0.00266 
 p = 0.27182","m = 0.00231 
 p = 0.40964","m = 0.12165 
 p = 11.96671","m = 0.47472 
 p = 31.51834","m = 0.11937 
 p = 7.50135"
"PIK3R3","m = 0.14180 
 p = 18.47270","m = 0.05656 
 p = 8.27120","m = 0.01731 
 p = 1.90286","m = 0.62591 
 p = 40.92316","m = 0.10237 
 p = 9.03475","m = 0.01368 
 p = 1.15017","m = 0.04545 
 p = 5.58184","m = 0.02062 
 p = 2.34068","m = 0.02679 
 p = 3.48196","m = 0.04980 
 p = 5.40777","m = 0.01678 
 p = 1.43648","m = 0.01202 
 p = 0.80950"
"KDR","m = 0.00127 
 p = 0.20257","m = 0.00094 
 p = 0.12375","m = 0.00564 
 p = 0.69030","m = 0.37723 
 p = 28.45291","m = 0.34570 
 p = 29.57529","m = 0.00504 
 p = 0.46370","m = 0.26045 
 p = 25.63860","m = 0.00664 
 p = 0.72486","m = 0.00726 
 p = 1.51253","m = 0.00413 
 p = 0.45502","m = 0.00215 
 p = 0.18859","m = 0.00486 
 p = 0.26983"
"MAPK3","m = 0.00746 
 p = 1.23282","m = 0.00450 
 p = 0.68533","m = 0.05886 
 p = 5.64992","m = 0.24518 
 p = 21.53834","m = 0.12135 
 p = 12.97297","m = 0.06566 
 p = 5.39807","m = 0.11727 
 p = 15.98865","m = 0.03927 
 p = 3.54878","m = 0.02626 
 p = 4.60060","m = 0.04694 
 p = 5.34749","m = 0.02260 
 p = 2.09453","m = 0.00851 
 p = 0.53967"
"SRC","m = 0.01804 
 p = 3.24977","m = 0.00708 
 p = 1.00834","m = 0.05419 
 p = 5.85491","m = 0.00225 
 p = 0.25094","m = 0.01856 
 p = 1.77606","m = 0.04004 
 p = 3.06043","m = 0.03270 
 p = 6.90634","m = 0.07507 
 p = 6.13108","m = 0.04238 
 p = 7.62565","m = 0.04977 
 p = 5.62750","m = 0.00629 
 p = 0.69015","m = 0.00630 
 p = 0.43173"
"HRAS","m = 0.01507 
 p = 2.25001","m = 0.01848 
 p = 2.66373","m = 0.02407 
 p = 2.48814","m = 0.09247 
 p = 9.26353","m = 0.07399 
 p = 8.72587","m = 0.04947 
 p = 4.59400","m = 0.04497 
 p = 8.13623","m = 0.03545 
 p = 3.06554","m = 0.01869 
 p = 3.35592","m = 0.03025 
 p = 3.47879","m = 0.03259 
 p = 2.90908","m = 0.00911 
 p = 0.53967"
"MAPKAPK2","m = 0.42454 
 p = 45.74285","m = 0.38855 
 p = 42.62388","m = 0.14296 
 p = 13.59531","m = 0.11433 
 p = 10.91213","m = 0.12765 
 p = 13.12741","m = 0.11431 
 p = 8.81895","m = 0.15328 
 p = 17.21854","m = 0.07847 
 p = 7.18816","m = 0.20077 
 p = 26.65826","m = 0.17761 
 p = 18.32925","m = 0.13869 
 p = 10.82578","m = 0.07337 
 p = 4.64112"
"PLCG2","m = 0.67544 
 p = 42.23389","m = 0.39348 
 p = 25.87174","m = 0.62394 
 p = 36.65785","m = 0.39155 
 p = 26.65450","m = 1.00000 
 p = 53.35907","m = 0.14830 
 p = 9.26544","m = 0.33115 
 p = 19.77294","m = 0.43442 
 p = 26.83479","m = 0.73553 
 p = 44.90310","m = 0.59865 
 p = 40.47175","m = 0.42237 
 p = 25.33906","m = 0.58544 
 p = 32.32596"
"KRAS","m = 0.06709 
 p = 10.42452","m = 0.07010 
 p = 9.93446","m = 0.10283 
 p = 10.11264","m = 0.23536 
 p = 20.86309","m = 0.19975 
 p = 19.15058","m = 0.07523 
 p = 6.21265","m = 0.12718 
 p = 16.27247","m = 0.09337 
 p = 8.13953","m = 0.09829 
 p = 15.23554","m = 0.19721 
 p = 20.42935","m = 0.17783 
 p = 13.99165","m = 0.08297 
 p = 5.07285"
"RAF1","m = 0.54076 
 p = 54.62743","m = 0.49464 
 p = 51.52326","m = 0.28075 
 p = 24.56919","m = 0.17537 
 p = 15.32337","m = 0.22921 
 p = 21.38996","m = 0.23113 
 p = 16.58715","m = 0.20839 
 p = 24.31410","m = 0.28387 
 p = 21.62489","m = 0.35419 
 p = 43.17000","m = 0.27996 
 p = 26.87745","m = 0.18458 
 p = 13.61849","m = 0.25289 
 p = 14.78683"
"PIK3R1","m = 0.51228 
 p = 47.50278","m = 0.82341 
 p = 64.53883","m = 0.51740 
 p = 37.09174","m = 0.08388 
 p = 7.60960","m = 0.20326 
 p = 18.61004","m = 0.13956 
 p = 9.97772","m = 0.30390 
 p = 26.77389","m = 0.71246 
 p = 43.38568","m = 0.78078 
 p = 60.81613","m = 0.50455 
 p = 39.24280","m = 0.56894 
 p = 35.75556","m = 0.50833 
 p = 28.54830"
"PLCG1","m = 0.05138 
 p = 8.34223","m = 0.05958 
 p = 8.21876","m = 0.08877 
 p = 8.37420","m = 0.12669 
 p = 11.11897","m = 0.11557 
 p = 11.27413","m = 0.08034 
 p = 5.66864","m = 0.04106 
 p = 6.33869","m = 0.07841 
 p = 6.20658","m = 0.08744 
 p = 14.29022","m = 0.01443 
 p = 1.70925","m = 0.06190 
 p = 4.76687","m = 0.07349 
 p = 4.26336"
"PIK3CA","m = 0.19013 
 p = 25.77378","m = 0.15634 
 p = 20.53170","m = 0.26565 
 p = 22.55043","m = 0.15639 
 p = 13.47249","m = 0.25579 
 p = 22.77992","m = 0.23832 
 p = 16.33953","m = 0.18982 
 p = 20.15137","m = 0.19566 
 p = 15.56931","m = 0.30813 
 p = 37.56105","m = 0.23007 
 p = 21.69331","m = 0.15546 
 p = 11.09462","m = 0.38152 
 p = 21.91042"
"PTK2","m = 0.65431 
 p = 59.16883","m = 0.61042 
 p = 58.34933","m = 0.71398 
 p = 49.79465","m = 0.53321 
 p = 35.01844","m = 0.72803 
 p = 51.19691","m = 0.74198 
 p = 45.22674","m = 0.59555 
 p = 45.03311","m = 0.84509 
 p = 50.43793","m = 0.67846 
 p = 62.42319","m = 0.37493 
 p = 30.25901","m = 0.03947 
 p = 2.89303","m = 0.43173 
 p = 24.44684"
