name,BetweennessCentrality,Radiality,Degree,NeighborhoodConnectivity,Stress,TopologicalCoefficient
PLCG2,0.45777777777777784,0.916,1.0,0.8188679245283019,0.815068493150685,0.3944444444444444
SRC,0.47748148148148145,0.92,0.7777777777777778,0.6933962264150944,1.0,0.2916666666666667
PIK3R1,0.14059259259259252,0.912,1.0,0.8716981132075472,0.4623287671232877,0.4222222222222222
PIK3CA,0.09392592592592587,0.904,0.8888888888888888,0.8805031446540881,0.2876712328767123,0.4509803921568627
HRAS,0.1928148148148148,0.8879999999999999,0.5555555555555556,0.8144654088050315,0.5308219178082192,0.3771929824561403
PLCG1,0.08240740740740733,0.8800000000000001,0.8888888888888888,0.8218029350104822,0.1267123287671233,0.5158730158730159
RAF1,0.18792592592592586,0.876,0.7777777777777778,0.544811320754717,0.5,0.3660714285714285
PIK3R3,0.016,0.876,0.7777777777777778,0.9245283018867925,0.05136986301369863,0.5714285714285714
MAPKAPK2,1.0,1.0,0.4444444444444444,0.10566037735849057,0.0273972602739726,0.4666666666666667
PTK2,0.030074074074074,0.8640000000000001,0.4444444444444444,0.8452830188679246,0.08904109589041095,0.5285714285714286
MAPK3,0.0968148148148148,0.86,0.4444444444444444,0.6603773584905661,0.2568493150684932,0.4615384615384615
RAC2,0.29333333333333333,0.844,0.3333333333333333,0.49528301886792453,0.410958904109589,0.375
KRAS,0.025777777777777733,0.8240000000000001,0.4444444444444444,0.5811320754716982,0.0958904109589041,0.54
KDR,0.13322222222222213,0.868,0.3333333333333333,0.5613207547169812,0.22602739726027396,0.3392857142857143
