#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AKT1	NOS3	9606.ENSP00000451828	9606.ENSP00000297494	0	0.592	0.500	0	0.787
AKT1	AKT2	9606.ENSP00000451828	9606.ENSP00000375892	0	0.655	0.900	0	0.964
AKT1	AKT3	9606.ENSP00000451828	9606.ENSP00000500582	0	0.592	0.900	0	0.957
AKT2	AKT3	9606.ENSP00000375892	9606.ENSP00000500582	0	0.162	0.900	0	0.912
CDC42	RAC2	9606.ENSP00000497733	9606.ENSP00000249071	0	0.164	0.900	0	0.912
CDC42	RAC3	9606.ENSP00000497733	9606.ENSP00000304283	0	0.164	0.900	0	0.912
CDC42	RAC1	9606.ENSP00000497733	9606.ENSP00000348461	0	0.165	0.700	0	0.738
HRAS	KRAS	9606.ENSP00000407586	9606.ENSP00000256078	0	0.880	0.900	0	0.987
HRAS	PIK3CA	9606.ENSP00000407586	9606.ENSP00000263967	0	0.457	0.500	0	0.716
HRAS	NRAS	9606.ENSP00000407586	9606.ENSP00000358548	0	0.330	0.900	0	0.930
HRAS	SRC	9606.ENSP00000407586	9606.ENSP00000362680	0	0.446	0.500	0	0.711
HRAS	RAF1	9606.ENSP00000407586	9606.ENSP00000401888	0	0.965	0.500	0	0.982
HRAS	PIK3R1	9606.ENSP00000407586	9606.ENSP00000428056	0	0.542	0.500	0	0.761
KDR	PLCG1	9606.ENSP00000263923	9606.ENSP00000244007	0	0.457	0.700	0	0.830
KDR	SHC2	9606.ENSP00000263923	9606.ENSP00000264554	0	0.457	0.700	0	0.830
KDR	SH2D2A	9606.ENSP00000263923	9606.ENSP00000376123	0	0.292	0.700	0	0.778
KDR	SRC	9606.ENSP00000263923	9606.ENSP00000362680	0	0.457	0.500	0	0.716
KRAS	MAPK1	9606.ENSP00000256078	9606.ENSP00000215832	0	0.457	0.500	0	0.716
KRAS	MAP2K1	9606.ENSP00000256078	9606.ENSP00000302486	0	0.559	0.500	0	0.770
KRAS	NRAS	9606.ENSP00000256078	9606.ENSP00000358548	0	0.395	0.900	0	0.936
KRAS	RAF1	9606.ENSP00000256078	9606.ENSP00000401888	0	0.614	0.500	0	0.799
MAP2K1	MAPK1	9606.ENSP00000302486	9606.ENSP00000215832	0	0.537	0.500	0	0.759
MAP2K1	MAP2K2	9606.ENSP00000302486	9606.ENSP00000262948	0	0.661	0.900	0	0.964
MAP2K1	MAPK3	9606.ENSP00000302486	9606.ENSP00000263025	0	0.537	0.900	0	0.951
MAP2K1	RAF1	9606.ENSP00000302486	9606.ENSP00000401888	0	0.712	0.400	0	0.819
MAP2K2	MAPK1	9606.ENSP00000262948	9606.ENSP00000215832	0	0.965	0.900	0	0.996
MAP2K2	MAPK3	9606.ENSP00000262948	9606.ENSP00000263025	0	0.537	0.500	0	0.759
MAP2K2	RAF1	9606.ENSP00000262948	9606.ENSP00000401888	0	0.746	0.400	0	0.841
MAPK1	RAF1	9606.ENSP00000215832	9606.ENSP00000401888	0	0.457	0.500	0	0.716
MAPK1	MAPK3	9606.ENSP00000215832	9606.ENSP00000263025	0	0.633	0.900	0	0.961
MAPK11	MAPKAPK3	9606.ENSP00000333685	9606.ENSP00000396467	0	0.776	0.700	0	0.930
MAPK11	MAPKAPK2	9606.ENSP00000333685	9606.ENSP00000356070	0	0.720	0.900	0	0.970
MAPK12	MAPKAPK2	9606.ENSP00000215659	9606.ENSP00000356070	0	0.366	0.900	0	0.933
MAPK13	MAPKAPK2	9606.ENSP00000211287	9606.ENSP00000356070	0	0.366	0.900	0	0.933
MAPK14	MAPKAPK3	9606.ENSP00000229795	9606.ENSP00000396467	0	0.719	0.700	0	0.912
MAPK14	MAPKAPK2	9606.ENSP00000229795	9606.ENSP00000356070	0	0.974	0.900	0	0.997
MAPK3	RAF1	9606.ENSP00000263025	9606.ENSP00000401888	0	0.457	0.500	0	0.716
MAPK3	SRC	9606.ENSP00000263025	9606.ENSP00000362680	0	0.457	0.500	0	0.716
MAPKAPK2	MAPKAPK3	9606.ENSP00000356070	9606.ENSP00000396467	0	0.652	0.900	0	0.963
NRAS	RAF1	9606.ENSP00000358548	9606.ENSP00000401888	0	0.564	0.500	0	0.772
PIK3CA	PIK3R2	9606.ENSP00000263967	9606.ENSP00000222254	0	0.611	0.922	0	0.968
PIK3CA	PLCG1	9606.ENSP00000263967	9606.ENSP00000244007	0	0.457	0.900	0	0.943
PIK3CA	PIK3R3	9606.ENSP00000263967	9606.ENSP00000262741	0	0.635	0.944	0	0.978
PIK3CA	PTK2	9606.ENSP00000263967	9606.ENSP00000341189	0	0.457	0.500	0	0.716
PIK3CA	PLCG2	9606.ENSP00000263967	9606.ENSP00000482457	0	0	0.900	0	0.900
PIK3CA	PIK3CB	9606.ENSP00000263967	9606.ENSP00000501150	0	0	0.900	0	0.900
PIK3CA	PIK3CD	9606.ENSP00000263967	9606.ENSP00000366563	0	0	0.900	0	0.900
PIK3CA	PIK3R1	9606.ENSP00000263967	9606.ENSP00000428056	0	0.963	0.967	0	0.998
PIK3CB	PIK3R2	9606.ENSP00000501150	9606.ENSP00000222254	0	0.766	0.904	0	0.976
PIK3CB	PLCG1	9606.ENSP00000501150	9606.ENSP00000244007	0	0	0.900	0	0.900
PIK3CB	PIK3R3	9606.ENSP00000501150	9606.ENSP00000262741	0	0.659	0.904	0	0.966
PIK3CB	PIK3CD	9606.ENSP00000501150	9606.ENSP00000366563	0	0	0.900	0	0.900
PIK3CB	PIK3R1	9606.ENSP00000501150	9606.ENSP00000428056	0	0.678	0.904	0	0.968
PIK3CB	PLCG2	9606.ENSP00000501150	9606.ENSP00000482457	0	0	0.900	0	0.900
PIK3CD	PIK3R2	9606.ENSP00000366563	9606.ENSP00000222254	0	0.417	0.904	0	0.942
PIK3CD	PLCG1	9606.ENSP00000366563	9606.ENSP00000244007	0	0	0.900	0	0.900
PIK3CD	PIK3R3	9606.ENSP00000366563	9606.ENSP00000262741	0	0.443	0.904	0	0.944
PIK3CD	PLCG2	9606.ENSP00000366563	9606.ENSP00000482457	0	0	0.900	0	0.900
PIK3CD	PIK3R1	9606.ENSP00000366563	9606.ENSP00000428056	0	0.947	0.904	0	0.994
PIK3R1	PIK3R2	9606.ENSP00000428056	9606.ENSP00000222254	0	0.669	0.900	0	0.965
PIK3R1	PLCG1	9606.ENSP00000428056	9606.ENSP00000244007	0	0.292	0.900	0	0.926
PIK3R1	PIK3R3	9606.ENSP00000428056	9606.ENSP00000262741	0	0.661	0.944	0	0.980
PIK3R1	PTK2	9606.ENSP00000428056	9606.ENSP00000341189	0	0.457	0.500	0	0.716
PIK3R1	SRC	9606.ENSP00000428056	9606.ENSP00000362680	0	0.599	0.400	0	0.749
PIK3R1	PLCG2	9606.ENSP00000428056	9606.ENSP00000482457	0	0.614	0.900	0	0.959
PIK3R2	PLCG2	9606.ENSP00000222254	9606.ENSP00000482457	0	0	0.900	0	0.900
PIK3R2	PLCG1	9606.ENSP00000222254	9606.ENSP00000244007	0	0	0.900	0	0.900
PIK3R2	PIK3R3	9606.ENSP00000222254	9606.ENSP00000262741	0	0.654	0.900	0	0.963
PIK3R3	PLCG1	9606.ENSP00000262741	9606.ENSP00000244007	0	0	0.900	0	0.900
PIK3R3	PTK2	9606.ENSP00000262741	9606.ENSP00000341189	0	0.503	0.500	0	0.740
PIK3R3	PLCG2	9606.ENSP00000262741	9606.ENSP00000482457	0	0	0.900	0	0.900
PLCG1	SH2D2A	9606.ENSP00000244007	9606.ENSP00000376123	0	0	0.900	0	0.900
PLCG1	PLCG2	9606.ENSP00000244007	9606.ENSP00000482457	0	0.387	0.900	0	0.936
PLCG2	RAC2	9606.ENSP00000482457	9606.ENSP00000249071	0	0.900	0	0	0.900
PLCG2	SRC	9606.ENSP00000482457	9606.ENSP00000362680	0	0	0.800	0	0.800
PLCG2	SH2D2A	9606.ENSP00000482457	9606.ENSP00000376123	0	0	0.900	0	0.900
PPP3CA	PPP3R1	9606.ENSP00000378323	9606.ENSP00000234310	0	0.977	0.900	0	0.997
PPP3CA	PPP3CB	9606.ENSP00000378323	9606.ENSP00000378306	0	0.610	0.900	0	0.959
PPP3CA	PPP3CC	9606.ENSP00000378323	9606.ENSP00000380878	0	0	0.900	0	0.900
PPP3CA	PPP3R2	9606.ENSP00000378323	9606.ENSP00000498330	0	0.728	0.900	0	0.971
PPP3CB	PPP3R1	9606.ENSP00000378306	9606.ENSP00000234310	0	0.774	0.900	0	0.976
PPP3CB	PPP3R2	9606.ENSP00000378306	9606.ENSP00000498330	0	0.713	0.900	0	0.970
PPP3CB	PPP3CC	9606.ENSP00000378306	9606.ENSP00000380878	0	0.665	0.900	0	0.965
PPP3CC	PPP3R1	9606.ENSP00000380878	9606.ENSP00000234310	0	0.782	0.900	0	0.977
PPP3CC	PPP3R2	9606.ENSP00000380878	9606.ENSP00000498330	0	0.610	0.900	0	0.959
PPP3R1	PPP3R2	9606.ENSP00000234310	9606.ENSP00000498330	0	0.074	0.900	0	0.903
PRKCA	PRKCG	9606.ENSP00000408695	9606.ENSP00000263431	0	0.603	0.900	0	0.958
PRKCA	PRKCB	9606.ENSP00000408695	9606.ENSP00000496129	0	0.596	0.900	0	0.957
PRKCB	PRKCG	9606.ENSP00000496129	9606.ENSP00000263431	0	0.452	0.900	0	0.942
PTK2	PXN	9606.ENSP00000341189	9606.ENSP00000267257	0	0.615	0.500	0	0.799
PTK2	SRC	9606.ENSP00000341189	9606.ENSP00000362680	0	0.639	0.900	0	0.962
PXN	SRC	9606.ENSP00000267257	9606.ENSP00000362680	0	0.457	0.900	0	0.943
RAC1	RAC2	9606.ENSP00000348461	9606.ENSP00000249071	0	0.607	0.540	0	0.811
RAC1	RAC3	9606.ENSP00000348461	9606.ENSP00000304283	0	0.653	0.540	0	0.833
RAC2	RAC3	9606.ENSP00000249071	9606.ENSP00000304283	0	0.661	0.900	0	0.964
RAF1	SRC	9606.ENSP00000401888	9606.ENSP00000362680	0	0.292	0.900	0	0.926
SPHK1	SPHK2	9606.ENSP00000313681	9606.ENSP00000469158	0	0	0.900	0	0.900
