"gene","Atrial Cardiomyocyte","Ventricular Cardiomyocyte","Fibroblast","Endothelial cell","Lymphatic Endothelial cell","Mural cell","Mesothelial cell","Neural cell","Adipocyte","Myeloid","Lymphoid","Mast cell"
"LEF1","m = 0.00228 
 p = 0.26355","m = 0.00178 
 p = 0.22338","m = 0.00644 
 p = 0.61280","m = 0.00464 
 p = 0.38173","m = 0.01101 
 p = 0.77220","m = 0.00715 
 p = 0.48282","m = 0.00674 
 p = 0.94607","m = 0.01555 
 p = 1.16279","m = 0.00763 
 p = 0.99259","m = 0.00597 
 p = 0.63975","m = 0.14772 
 p = 8.88773","m = 0.01130 
 p = 0.59363"
"WNT3","m = 0.01243 
 p = 1.64449","m = 0.01125 
 p = 1.44775","m = 0.00759 
 p = 0.72073","m = 0.00235 
 p = 0.20836","m = 0.01231 
 p = 0.77220","m = 0.00626 
 p = 0.41494","m = 0.01111 
 p = 2.27058","m = 0.00456 
 p = 0.37753","m = 0.10200 
 p = 12.55711","m = 0.00237 
 p = 0.22168","m = 0.00168 
 p = 0.12439","m = 0.00499 
 p = 0.26983"
"FZD4","m = 0.00909 
 p = 1.47024","m = 0.01440 
 p = 2.19076","m = 0.18563 
 p = 15.40401","m = 0.16952 
 p = 13.83598","m = 0.12256 
 p = 11.73745","m = 0.16602 
 p = 11.00265","m = 0.02896 
 p = 4.82498","m = 0.05415 
 p = 4.78707","m = 0.54066 
 p = 51.20529","m = 0.00433 
 p = 0.49002","m = 0.00252 
 p = 0.23674","m = 0.00633 
 p = 0.37777"
"APC2","m = 0.00515 
 p = 0.66215","m = 0.00678 
 p = 0.86886","m = 0.00684 
 p = 0.63815","m = 0.00164 
 p = 0.11482","m = 0.00223 
 p = 0.15444","m = 0.00739 
 p = 0.48569","m = 0.00363 
 p = 0.85147","m = 0.03287 
 p = 2.28028","m = 0.01109 
 p = 1.82764","m = 0.00410 
 p = 0.38113","m = 0.00437 
 p = 0.28088","m = 0.00643 
 p = 0.37777"
"VANGL2","m = 0.01645 
 p = 2.63771","m = 0.00581 
 p = 0.79702","m = 0.00950 
 p = 1.00467","m = 0.02122 
 p = 2.03947","m = 0.00486 
 p = 0.46332","m = 0.00359 
 p = 0.26101","m = 0.00871 
 p = 1.89215","m = 0.04147 
 p = 3.02024","m = 0.00482 
 p = 0.94533","m = 0.00049 
 p = 0.07195","m = 0.00062 
 p = 0.06019","m = 0.00039 
 p = 0.05397"
"AXIN2","m = 0.06562 
 p = 10.77955","m = 0.03246 
 p = 4.98873","m = 0.01686 
 p = 1.90286","m = 0.00246 
 p = 0.29885","m = 0.00528 
 p = 0.46332","m = 0.00589 
 p = 0.51151","m = 0.01031 
 p = 3.12204","m = 0.00896 
 p = 1.22320","m = 0.03861 
 p = 5.76650","m = 0.00192 
 p = 0.32085","m = 0.00504 
 p = 0.44539","m = 0.00168 
 p = 0.10793"
"FZD7","m = 0.01297 
 p = 2.04526","m = 0.01868 
 p = 2.70253","m = 0.04093 
 p = 3.88396","m = 0.00102 
 p = 0.13612","m = 0.00122 
 p = 0.23166","m = 0.00419 
 p = 0.42355","m = 0.04867 
 p = 7.09555","m = 0.00885 
 p = 0.99668","m = 0.00934 
 p = 1.74886","m = 0.00285 
 p = 0.36363","m = 0.00152 
 p = 0.16451","m = 0.00000 
 p = 0.00000"
"WNT3A","m = 0.00188 
 p = 0.24613","m = 0.00134 
 p = 0.16622","m = 0.00129 
 p = 0.11807","m = 0.00046 
 p = 0.03422","m = 0.00777 
 p = 0.46332","m = 0.00103 
 p = 0.07075","m = 0.00282 
 p = 0.18921","m = 0.00033 
 p = 0.06040","m = 0.00245 
 p = 0.45691","m = 0.00080 
 p = 0.07973","m = 0.00063 
 p = 0.04414","m = 0.00379 
 p = 0.21587"
"CACYBP","m = 0.03991 
 p = 5.67402","m = 0.04325 
 p = 5.73226","m = 0.06433 
 p = 5.99109","m = 0.16105 
 p = 14.17361","m = 0.07197 
 p = 7.56757","m = 0.07898 
 p = 6.28914","m = 0.08895 
 p = 14.00189","m = 0.08177 
 p = 6.49351","m = 0.05669 
 p = 9.13818","m = 0.14641 
 p = 13.26372","m = 0.33136 
 p = 21.47901","m = 0.03228 
 p = 1.78090"
"FZD5","m = 0.01032 
 p = 1.80131","m = 0.01248 
 p = 1.88506","m = 0.00495 
 p = 0.56572","m = 0.00876 
 p = 0.96042","m = 0.01513 
 p = 1.54440","m = 0.00214 
 p = 0.21512","m = 0.00775 
 p = 1.79754","m = 0.00749 
 p = 0.66445","m = 0.03056 
 p = 5.12053","m = 0.01686 
 p = 1.95426","m = 0.00194 
 p = 0.22069","m = 0.00063 
 p = 0.05397"
"TLE1","m = 0.02855 
 p = 4.05349","m = 0.03030 
 p = 4.02758","m = 0.10149 
 p = 9.10869","m = 0.13336 
 p = 10.61785","m = 0.37300 
 p = 29.96139","m = 0.41005 
 p = 25.57628","m = 0.21453 
 p = 21.28666","m = 0.24655 
 p = 16.85291","m = 0.55092 
 p = 51.59918","m = 0.08662 
 p = 7.82678","m = 0.09895 
 p = 6.73702","m = 0.01235 
 p = 0.80950"
