,tau,expected_Atrial Cardiomyocyte,expected_Ventricular Cardiomyocyte,expected_Fibroblast,expected_Endothelial cell,expected_Lymphatic Endothelial cell,expected_Mural cell,expected_Mesothelial cell,expected_Neural cell,expected_Adipocyte,expected_Myeloid,expected_Lymphoid,expected_Mast cell
DVL1,0.37709296,0.0018846671814495128,0.002742178418153634,0.0015658272195741398,0.0019762387851119372,0.002817197561148971,0.0008321293897964347,0.004916219719198366,0.001016286711738175,0.005016733816106882,0.0006591507682769973,0.00029172684365626217,5.353809697719374e-05
CTNNBIP1,0.68845505,0.07043164897605331,0.11904374053076187,0.002373563900510609,0.09718511906836287,0.003104470992410505,0.001106873541405348,0.006893994933383693,0.005449242454457592,0.01697146873061293,0.012537728057568583,0.0037665498924192237,0.004307562777851957
JUN,0.5865423,0.05747471497367388,0.11952951124850095,0.07166213983040676,0.44374220739829257,0.11806959065691384,0.06579956344757018,0.6437804078649776,0.12113773645464657,0.114907143847368,0.1454760378209035,0.31367153858939506,0.0012785842128528238
VANGL2,0.83242494,0.0005835168159712206,6.227209717918221e-05,0.00012840282837527537,0.0005821563830373767,3.0285811850002832e-05,1.259405230751494e-05,0.00022169960312044834,0.0016848618297985913,6.128593073720272e-05,4.7366813782712513e-07,4.98155360170269e-07,2.824486380556565e-07
CACYBP,0.7625208,0.0030463405676613375,0.0033350521665484307,0.0051844633341522044,0.030705337314264686,0.007326792381905221,0.006681675181479077,0.016753229366345795,0.007142251381626376,0.006969112433916906,0.0261230467127348,0.09573978786913927,0.0007733759353177585
WNT3A,0.80328137,6.218974534266773e-06,2.998535237453554e-06,2.052291882787033e-06,2.1106917149761971e-07,4.840845738368605e-05,9.771765055432634e-07,7.168700003973583e-06,2.7167169634298917e-07,1.5038456769264812e-05,8.593513067292045e-07,3.713394677063637e-07,1.0994085574626151e-05
TCF7L1,0.6251805,0.107285475078388,0.00637657638371794,0.12454039835022342,0.05477954587176392,0.21042808860425322,0.06646366949312468,0.016226176789264805,0.04445827371384291,0.15256763330985187,0.007812674047394023,5.848917638678658e-05,0.0003160156442291725
FZD7,0.81027013,0.00035694668555560384,0.0006792647474888868,0.0021381983220013813,1.868672688515686e-06,3.8001682738769926e-06,2.3894328961303207e-05,0.004645502908453133,0.00011858830779196811,0.00021975535819577252,1.3939901536137672e-05,3.3691626655884205e-06,0.0
FZD5,0.73693776,0.0002500710434870377,0.00031638403966804897,3.7667176006464046e-05,0.00011317659164336439,0.0003143009014111228,6.206244020379325e-06,0.00018740984696679895,6.696091735877864e-05,0.0021052744156810567,0.0004431665797325933,5.74860073690018e-06,4.543677759967459e-07
CTNNB1,0.43989974,0.14163336230241955,0.07126588285560032,0.09283862583886182,0.276809093026733,0.23102517127990724,0.057407581028193315,0.24669057779303113,0.08519387648423177,0.12262339825440115,0.3519945122654795,0.06164049895715105,0.04026887430349557
WNT5A,0.65112203,0.00032832212930334687,0.000222311407568113,0.0005770330252320481,2.181993645228595e-07,0.0001895559685570853,4.29426420969355e-07,0.0007327379501982467,1.9179654499778607e-05,0.0006158537836958145,5.7383717770792146e-05,1.0294669316213851e-06,0.0
GSK3B,0.4095953,0.4316655333488592,0.414949212252553,0.19207103859186217,0.07421506158816334,0.23347337761440795,0.09056247787782724,0.15593924337439416,0.16709337372032404,0.6178296434235081,0.27039023235771154,0.07912021795859184,0.09601616081005164
RUVBL1,0.4024855,0.023990113912386184,0.02627102811715567,0.026476671645324513,0.012385727738179229,0.02302970824094352,0.008022429284471999,0.0506527115685148,0.0071579262713261215,0.05730516666246246,0.005608398679840761,0.0074915105494763315,0.005682923112826545
RYK,0.43216354,0.12475092947718047,0.08388782926460511,0.07319278812996485,0.027326680786423547,0.09045938736683615,0.055739390027513575,0.05180716664021942,0.02903769781171141,0.21914476827690876,0.03147261859241688,0.01598599557293599,0.057761677039743956
DVL3,0.35673973,0.018610821433209718,0.010764590702600519,0.008589199897535838,0.004056117072866324,0.004924870463641914,0.004604946081913333,0.017318267498584772,0.0033215967028640036,0.020189061223267944,0.006999897525048853,0.001437065379834464,0.0005183630998367499
CTBP1,0.5174753,0.016852320744447796,0.009227115560228651,0.00921311861775077,0.008442201703579488,0.020339749678681712,0.0031876432359752567,0.019362220179391786,0.004173244170482264,0.05650371881250286,0.017241395586004186,0.01704239525094039,0.0015031664345274728
LEF1,0.9504594,8.091398798741838e-06,5.3592705497023295e-06,5.305966460241972e-05,2.3841445240170905e-05,0.00011437322268384765,4.646815318276702e-05,8.582318150557317e-05,0.00024317354397025218,0.00010191781626233945,5.13514401479163e-05,0.017660178158014607,9.019931710962984e-05
APC,0.32772034,0.15411017303857732,0.116765912050381,0.05186925022376969,0.030781427735924464,0.08910750569523991,0.02590587272696289,0.023525438138416833,0.06136712551621001,0.132548939755381,0.1230341336941147,0.02156237268579895,0.0232574979292658
TCF7,0.6919121,0.003895407637968234,0.004277675542524318,0.003199232513351678,0.0004775189685642953,0.0007810867085880296,0.002690725472730255,0.003978217716699743,0.00620880939586218,0.007154770811768203,0.0005496467327086875,0.021875905496486166,0.0020573720038419663
SKP1,0.5248179,0.07048112738550777,0.04809985871623418,0.07803122946078903,0.36345813330677196,0.15620423992628296,0.13058342224893313,0.31360515763202473,0.0731493115551124,0.06425451127510287,0.11101225388581847,0.19892091369774317,0.004302217583365526
CSNK1A1,0.37869322,0.9752340022949124,0.6811099506707167,0.5203905375414578,0.3264055078262875,0.38543308655727787,0.19606589437899902,0.4617141264163895,0.24262286273960043,0.774514882117909,0.4877332524482212,0.13607306988776355,0.1734520885922493
CUL1,0.4188799,0.12770785486266345,0.0918774197056712,0.1263678761083962,0.0348665645768772,0.08046112322899367,0.06973687507187303,0.11482594533697434,0.05824046316228941,0.2799985158982494,0.07265317887189493,0.03175272209972356,0.04019517816213164
TLE4,0.6451098,0.06531601933143442,0.02697040052164158,0.08316283047788582,0.06459836120555792,0.1135780721097379,0.04051182753825971,0.04103181693727606,0.006700791678456373,0.10338108128631361,0.3481128341383061,0.1424672652922954,0.0019258138695023089
TLE1,0.71357584,0.0015569286505044584,0.0016416445970269618,0.012435455651428503,0.01904795877897514,0.15033116469512114,0.14107524139451474,0.061427889957446025,0.055893884526750766,0.3823915703363901,0.009119411132806973,0.008967442980462002,0.000134532109176347
LRP5,0.66489387,0.08840943273227556,0.060755825531694604,0.00889891417684457,0.012828682704160595,0.08974591553441345,0.002605953484523747,0.00988914802769162,0.0026756674928882624,0.14394252030646987,0.000943163100800858,0.00016103498114503298,0.0011108047150465456
FZD4,0.87161976,0.0001797564275583373,0.0004244901127357312,0.03846471029437355,0.031550082349513425,0.019350360627340073,0.024571406960153423,0.0018796809440586178,0.0034872044605796194,0.37240758080435155,2.8573223355457335e-05,8.01339226870313e-06,3.217627820586489e-05
BTRC,0.51991653,0.31720167750672057,0.36574585904616763,0.07415901744280638,0.01238621141646671,0.07636725290401561,0.030383406295598384,0.10034704938629604,0.04689192686852139,0.22041168561484356,0.06137758495973344,0.019889218745420285,0.04449308005398309
LRP6,0.5767397,0.03873143133873624,0.044227293354389415,0.04915316157928869,0.023780076434111796,0.06946137130950869,0.00908278120377492,0.02369411298150484,0.08919704289855428,0.08103187143924725,0.001282352707708971,6.569019411093742e-05,0.002325030521193647
CSNK1A1L,0.6335843,1.6725831267505008e-07,2.7915820246745494e-07,1.007323082736681e-07,3.4453462620800584e-08,0.0,4.3157905539080105e-08,0.0,1.7462683937151453e-08,2.630483800034993e-07,2.7460378588684018e-08,2.7621554807909224e-09,0.0
DAAM1,0.45949772,0.6837686505481477,0.5972106989822955,0.3595558420413519,0.07369487301319128,0.30892274057542957,0.07281381002355136,0.5724826522220838,0.05770604142750976,0.5946005686298212,0.09081431182562592,0.00942227325334412,0.006263438115651326
TLE3,0.55838484,0.003967938924127994,0.00034226988680603293,0.0030854151515297356,0.0020967205021595403,0.0009520580438343254,0.00026746213956989914,0.011895804413107057,0.013778502434915157,0.01161834096225844,0.021521038563884886,0.0042054796364643,0.006925383718413915
AXIN1,0.42313936,0.0021022725818292784,0.0018137255859833807,0.005345035992979136,0.001215620102206952,0.00435125655188984,0.0010886091799167657,0.008601120681049922,0.0036196902223275674,0.016101255491716347,0.00821187238702301,0.009287033245313055,0.0049311301987105555
CREBBP,0.37002155,0.1992466656655026,0.16106390980911345,0.19587618027769244,0.05099566096425722,0.12060294280181061,0.06610800328278224,0.08872223261289136,0.10465858800646692,0.36405180191569236,0.20753271101616425,0.0796355380489914,0.0568931321485327
SIAH1,0.41303852,0.02346545075403551,0.02642444819454179,0.016436710318722562,0.01529422217455886,0.015976403613348265,0.009702128297520613,0.015317132197806829,0.018224638372848705,0.06193548034303147,0.030432192880580758,0.0034481176101858147,0.007006498378351196
DVL2,0.3333712,0.0013845687439301157,0.0011127009236756647,0.0011484300231930141,0.0009366995839310085,0.000740104416047284,0.0010629000099600927,0.0028451055626657175,0.0006220908557061737,0.0025395473589460657,0.0006982627204980714,0.0006673576485315704,0.00013308137196884628
WNT3,0.93145925,0.00027503398528238963,0.00021918198932943824,7.35470854569762e-05,6.577788545963569e-06,0.00012788748994297042,3.4946235148217366e-05,0.00033921278244837793,2.3168356069798235e-05,0.01722952532161591,7.065380483921372e-06,2.8129400767343508e-06,1.811863692689444e-05
AXIN2,0.82064337,0.009514764289175043,0.0021781245646679396,0.00043158255721752415,9.877502414073575e-06,3.289433347212302e-05,4.051323391806788e-05,0.00043309279677855486,0.00014746260098782199,0.0029949988880476016,8.276177318893845e-06,3.0181771426036895e-05,2.4342151028011147e-06
APC2,0.8349672,4.58899231820741e-05,7.926335595018787e-05,5.869559469025629e-05,2.5344525549677924e-06,4.630946845506609e-06,4.829019132142163e-05,4.1631299318603e-05,0.0010081192940401549,0.00027268902946405,2.102592147007913e-05,1.6517669729898602e-05,3.268189539281472e-05
CSNK1E,0.42656544,0.014104837623158136,0.007223337435846117,0.018944607842323,0.032027537280817656,0.026823424004219675,0.025661284679898904,0.009803716392875732,0.016358120226852846,0.02488504171521716,0.008861909635132911,0.003496067263481944,0.0007391871187858046
EP300,0.35688,0.09305813912406848,0.08005198025455272,0.0870329803422448,0.032665808637497254,0.07175570947323066,0.04485550751180551,0.07119335745908002,0.07680831656503519,0.20552832288724784,0.16811899457480217,0.048530772733761066,0.037835541523538664
