#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
APC	DVL2	9606.ENSP00000257430	9606.ENSP00000005340	0	0.434	0.900	0	0.940
APC	WNT3	9606.ENSP00000257430	9606.ENSP00000225512	0	0	0.720	0	0.720
APC	SKP1	9606.ENSP00000257430	9606.ENSP00000231487	0	0	0.900	0	0.900
APC	LRP6	9606.ENSP00000257430	9606.ENSP00000261349	0	0	0.720	0	0.720
APC	LRP5	9606.ENSP00000257430	9606.ENSP00000294304	0	0	0.720	0	0.720
APC	CTBP1	9606.ENSP00000257430	9606.ENSP00000290921	0	0.457	0.800	0	0.886
APC	APC2	9606.ENSP00000257430	9606.ENSP00000442954	0	0	0.900	0	0.900
APC	TBL1XR1	9606.ENSP00000257430	9606.ENSP00000405574	0	0	0.900	0	0.900
APC	DVL3	9606.ENSP00000257430	9606.ENSP00000316054	0	0	0.900	0	0.900
APC	TBL1X	9606.ENSP00000257430	9606.ENSP00000495556	0	0	0.900	0	0.900
APC	CACYBP	9606.ENSP00000257430	9606.ENSP00000356652	0	0	0.900	0	0.900
APC	TBL1Y	9606.ENSP00000257430	9606.ENSP00000372499	0	0	0.900	0	0.900
APC	CTNNBIP1	9606.ENSP00000257430	9606.ENSP00000366474	0	0.671	0.720	0	0.904
APC	SIAH1	9606.ENSP00000257430	9606.ENSP00000349156	0	0.549	0.900	0	0.952
APC	DVL1	9606.ENSP00000257430	9606.ENSP00000368166	0	0.457	0.900	0	0.943
APC	BTRC	9606.ENSP00000257430	9606.ENSP00000359206	0	0.564	0.800	0	0.909
APC	CSNK1A1	9606.ENSP00000257430	9606.ENSP00000261798	0	0.292	0.800	0	0.852
APC	AXIN2	9606.ENSP00000257430	9606.ENSP00000302625	0	0.296	0.900	0	0.926
APC	CTNNB1	9606.ENSP00000257430	9606.ENSP00000495360	0	0.975	0.900	0	0.997
APC	GSK3B	9606.ENSP00000257430	9606.ENSP00000324806	0	0.564	0.900	0	0.954
APC	AXIN1	9606.ENSP00000257430	9606.ENSP00000262320	0	0.960	0.900	0	0.995
APC2	DVL2	9606.ENSP00000442954	9606.ENSP00000005340	0	0	0.900	0	0.900
APC2	SKP1	9606.ENSP00000442954	9606.ENSP00000231487	0	0	0.900	0	0.900
APC2	AXIN1	9606.ENSP00000442954	9606.ENSP00000262320	0	0.047	0.900	0	0.900
APC2	AXIN2	9606.ENSP00000442954	9606.ENSP00000302625	0	0.234	0.900	0	0.920
APC2	DVL3	9606.ENSP00000442954	9606.ENSP00000316054	0	0	0.900	0	0.900
APC2	GSK3B	9606.ENSP00000442954	9606.ENSP00000324806	0	0	0.800	0	0.800
APC2	DVL1	9606.ENSP00000442954	9606.ENSP00000368166	0	0	0.900	0	0.900
APC2	TBL1Y	9606.ENSP00000442954	9606.ENSP00000372499	0	0	0.900	0	0.900
APC2	TBL1XR1	9606.ENSP00000442954	9606.ENSP00000405574	0	0	0.900	0	0.900
APC2	TBL1X	9606.ENSP00000442954	9606.ENSP00000495556	0	0	0.900	0	0.900
APC2	CTNNB1	9606.ENSP00000442954	9606.ENSP00000495360	0	0.625	0.900	0	0.960
AXIN1	DVL2	9606.ENSP00000262320	9606.ENSP00000005340	0	0.950	0.900	0	0.994
AXIN1	LRP6	9606.ENSP00000262320	9606.ENSP00000261349	0	0.457	0.500	0	0.716
AXIN1	CSNK1A1	9606.ENSP00000262320	9606.ENSP00000261798	0	0.490	0.800	0	0.893
AXIN1	CTNNBIP1	9606.ENSP00000262320	9606.ENSP00000366474	0	0	0.720	0	0.720
AXIN1	CACYBP	9606.ENSP00000262320	9606.ENSP00000356652	0	0	0.900	0	0.900
AXIN1	CSNK1A1L	9606.ENSP00000262320	9606.ENSP00000369126	0	0	0.900	0	0.900
AXIN1	DVL3	9606.ENSP00000262320	9606.ENSP00000316054	0	0.457	0.900	0	0.943
AXIN1	CSNK1E	9606.ENSP00000262320	9606.ENSP00000380044	0	0.457	0.900	0	0.943
AXIN1	SIAH1	9606.ENSP00000262320	9606.ENSP00000349156	0	0.946	0.900	0	0.994
AXIN1	LRP5	9606.ENSP00000262320	9606.ENSP00000294304	0	0.457	0.500	0	0.716
AXIN1	BTRC	9606.ENSP00000262320	9606.ENSP00000359206	0	0.564	0.500	0	0.772
AXIN1	AXIN2	9606.ENSP00000262320	9606.ENSP00000302625	0	0.457	0.900	0	0.943
AXIN1	GSK3B	9606.ENSP00000262320	9606.ENSP00000324806	0	0.777	0.900	0	0.976
AXIN1	DVL1	9606.ENSP00000262320	9606.ENSP00000368166	0	0.457	0.900	0	0.943
AXIN1	CTNNB1	9606.ENSP00000262320	9606.ENSP00000495360	0	0.655	0.900	0	0.964
AXIN2	DVL2	9606.ENSP00000302625	9606.ENSP00000005340	0	0	0.900	0	0.900
