,tau,expected_Atrial Cardiomyocyte,expected_Ventricular Cardiomyocyte,expected_Fibroblast,expected_Endothelial cell,expected_Lymphatic Endothelial cell,expected_Mural cell,expected_Mesothelial cell,expected_Neural cell,expected_Adipocyte,expected_Myeloid,expected_Lymphoid,expected_Mast cell
SLC9A1,0.74765915,0.02428676144597588,0.009148080047069778,0.004009713208447423,0.0010284868743450379,0.001221323332616261,0.0008389206672391107,0.004034896813819401,0.0009998182243800026,0.023190013396377464,0.0017665465407391365,0.0011738967397088424,0.03305354338044807
JUN,0.5865423,0.05747471497367388,0.11952951124850095,0.07166213983040676,0.44374220739829257,0.11806959065691384,0.06579956344757018,0.6437804078649776,0.12113773645464657,0.114907143847368,0.1454760378209035,0.31367153858939506,0.0012785842128528238
GNAI3,0.52552134,0.07876464317404804,0.09159641470645834,0.03022965075446334,0.0623867738755011,0.04795330769767172,0.02369778821939706,0.04008213401743005,0.018904432559870264,0.06750127638402428,0.17530743791950126,0.03741150076551371,0.015839931751609942
TSHB,0.91519815,7.344504009754742e-10,4.1937469788502007e-10,6.567956422185802e-10,6.508716307512484e-11,0.0,1.8744018245402748e-09,0.0,0.0,2.253685627565227e-08,0.0,0.0,0.0
ATP1A1,0.5777848,0.09434450366232142,0.12896946927846167,0.1549112401153327,0.26265098605064024,0.045379591172266184,0.006818694352551432,0.3650226752602389,0.026686856814001087,0.08554829284490066,0.07409359997973829,0.04982644102611853,0.0023210026963105795
ATP1A2,0.7745306,0.17409423914908823,0.3702581088932739,0.00018633073571906015,4.8169400542974465e-05,6.749812355372897e-05,0.06863062597190275,0.0010149571040157111,0.06334821290748063,0.4288597470177277,0.0001271828790722467,1.632206063622237e-05,5.209399864712857e-05
ATP1B1,0.79445744,0.2922391716810918,0.5110300703170222,0.003815516549503612,0.003416736112473188,0.001251213252544403,0.0002718239638138023,0.18005633997037485,0.032295211026744874,0.0025175871817318496,0.030026413920170202,0.0028657063921939964,0.001262538710029075
CACNA1S,0.4928378,5.486452212137979e-06,2.347297825739253e-06,2.6775519601548188e-06,4.078746509638516e-07,5.023204811406412e-06,1.8232764776599817e-06,1.1401858697085867e-06,6.857362433219381e-07,4.840000588766736e-06,7.355427709851979e-07,3.7202658763263116e-07,3.16750296405117e-06
POMC,0.8351883,0.00011672415063218445,5.309725817363055e-05,9.12235320998155e-06,0.003234048060426095,6.236894538043549e-05,8.224433712052144e-06,0.00018204889254064749,8.990007194731755e-05,7.580131719633409e-05,0.0003389942758974782,0.0009357061791062193,1.0333906032880834e-05
CALM2,0.6037932,0.038310251138968535,0.01592277598383543,0.05633990847038164,0.5368281417398652,0.18210369923860412,0.15701569426329046,0.14661338087964307,0.14485533210094223,0.03814340590003233,0.3381204434550222,0.23660996221690528,0.001813251161279385
GCG,0.90483737,3.061195813304293e-10,0.0,3.455522845288978e-09,1.13651358679448e-08,0.0,2.6815334728399504e-10,0.0,4.1849260116898914e-08,0.0,1.0206785101875415e-09,0.0,0.0
OXTR,0.7474356,8.466903786694969e-05,4.058369681935313e-05,2.0144135591350623e-06,6.83671074341261e-06,1.2366267992722941e-05,1.9925260673729175e-07,5.9467348267474936e-05,8.635656928969309e-07,2.1777128271332438e-06,1.5184995358093328e-06,2.954477976357996e-07,2.604683070039981e-06
RAF1,0.4998636,0.4251440942711978,0.3667863740736496,0.09927511191960457,0.0386751233049275,0.0705597318967797,0.055175709091640164,0.07292167705641453,0.08834854442523851,0.2200598072137948,0.10829475583354387,0.036178163742236556,0.053817638434787346
RHOA,0.5744079,0.024415632341275254,0.039775077675314754,0.112864896284537,0.5569049002475999,0.27379810589160697,0.09893894304060312,0.16374663711158083,0.09105574865061795,0.1837315844497813,0.47372713032381886,0.19334560944098222,0.021749747407417072
GNAI2,0.7580833,0.003450652808668265,0.001402319379310654,0.01670670806325413,0.5211926583513862,0.3168660406900649,0.01604962240377331,0.0385805538440495,0.026706302298299858,0.014108898813365404,0.26171559036271796,0.06524963334565102,0.009025255345809287
ATP1B3,0.42852208,0.01663826849846394,0.015395622059939622,0.1616887021257317,0.20818650666753907,0.20152778676117705,0.2152219195805984,0.16392280047190222,0.027820693644574315,0.38514342808772284,0.30139710655435126,0.0770486439475469,0.016793731734743647
GHSR,0.8888106,1.0672591777253019e-08,3.7343864854178874e-09,5.880927169401167e-08,2.6469711380342203e-09,0.0,8.400736641357729e-10,1.8621495305476824e-06,0.0,2.5863001410376465e-06,2.466410863673705e-08,2.0023150411827225e-08,0.0
SST,0.89849,4.554232030535144e-09,0.0,2.0242636917889355e-09,0.0,0.0,3.2269487316725503e-09,6.516197301595417e-07,2.0290531341253144e-07,9.905487778859968e-09,5.798810033974994e-09,0.0,0.0
NFKB1,0.370638,0.07259487528760043,0.06281069492726188,0.15160478378153042,0.041961358342396074,0.14792621651211302,0.021530886729298825,0.1873237875800372,0.04972602839701776,0.1598114405858605,0.1694919076040709,0.05593102576309601,0.049543090916554865
CAMK2D,0.6076133,1.6743803406085767,1.907652964783755,0.6326703984839892,0.04480047824446146,0.3486253093568515,0.37650990749653934,0.25008275459257073,0.2817451034615458,0.8214427234057049,0.22262081520210525,0.09057119269282446,0.006131135084084801
CAMK2A,0.8301305,0.0045953661703865565,0.0030777583259036876,3.385091090713087e-05,1.1908304100503287e-06,0.0,2.230692378958712e-06,0.000464103678937441,0.00014851219576314582,3.4926961317989456e-05,9.885727205256044e-06,1.5859361217783155e-06,4.6914556961862445e-05
GRIA1,0.9286343,0.00038703610983736376,0.00010709411589013007,9.02763655394578e-05,5.79955429993101e-06,0.0023768590338902125,1.558608112823141e-05,0.0005298305087869981,0.025493133634247832,0.0002854429772327655,1.489432200535043e-05,5.291273108744887e-06,0.00022838707597141192
CGA,0.76623076,8.895579420898494e-07,4.5742140368678457e-07,1.4793898015322547e-07,3.0284921460306616e-08,0.0,5.2506209591457085e-08,0.0,2.9704977062901262e-08,9.991405294421307e-08,3.298236719914218e-08,3.2313593379117594e-08,7.779900254998346e-07
PLN,0.8802731,1.0708722343338055,1.2845477238592031,0.0014898968271376588,0.00047599748193408626,0.0006805031988266352,0.013638082322079755,0.020692899301577652,0.006827017505591602,0.004158256667907808,0.001785370758016946,0.00017347798153821427,5.8378364852616044e-05
RAC1,0.68541086,0.02969000503725597,0.02921826995264208,0.0960699204641105,0.7956355194225815,0.29931239179662755,0.12898443173593083,0.23719775490639,0.09982321144266455,0.0905370282266616,0.3879713352792939,0.0683292451354763,0.014449721918965569
CAMK2B,0.91490835,0.2863800553993425,0.1612959357139592,8.457507566440577e-05,2.3292900103429647e-05,4.0772601847022653e-05,1.4935514391099447e-05,0.0010117481417721357,0.0006097501238886233,0.0006043590092862781,0.00017200765243314512,9.874360648657023e-06,1.1830907807566317e-05
ADCY1,0.7891807,0.0036809412740087056,0.0012171888568773448,0.015737452206437727,7.157029534405137e-05,0.00033456383121980204,0.003779791491350753,0.0018420041368722695,0.0019708186325008725,0.0016875366819868393,5.9397319939607726e-05,1.0629547177673813e-05,3.690516784248388e-05
GNAI1,0.7108908,0.0051313624195250635,0.0011785233860071563,0.0026337307869237427,0.03486057361864435,0.02108896756724501,0.028199552818375585,0.02841710409919609,0.0038437048849185333,0.15864641769337653,0.00048171279505193664,6.26189026127475e-05,0.04123996374289281
VIPR2,0.8674454,0.14487370567581329,0.37083669538034364,0.017411752141487817,2.7076377443469826e-05,4.8401382927959035e-05,0.0014083373502349762,0.042074771271974495,0.001889651219890183,0.002862261498192266,0.00019452080450905982,0.001078227854922537,1.5761315243603154e-05
