#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACOX1	ACOX3	9606.ENSP00000293217	9606.ENSP00000348775	0	0	0.900	0	0.900
ADCY1	ADCY8	9606.ENSP00000297323	9606.ENSP00000286355	0	0	0.900	0	0.900
ADCY1	CALM1	9606.ENSP00000297323	9606.ENSP00000499717	0	0	0.700	0	0.700
ADCY1	ADCY3	9606.ENSP00000297323	9606.ENSP00000384484	0	0	0.900	0	0.900
ADCY2	GNAS	9606.ENSP00000342952	9606.ENSP00000360141	0	0.599	0.500	0	0.791
ADCY3	ADCY8	9606.ENSP00000384484	9606.ENSP00000286355	0	0	0.900	0	0.900
ADCY3	ADCY9	9606.ENSP00000384484	9606.ENSP00000294016	0	0	0.900	0	0.900
ADCY3	ADCY6	9606.ENSP00000384484	9606.ENSP00000311405	0	0	0.900	0	0.900
ADCY4	ADCY8	9606.ENSP00000312126	9606.ENSP00000286355	0	0	0.900	0	0.900
ADCY4	ADCY6	9606.ENSP00000312126	9606.ENSP00000311405	0	0.255	0.900	0	0.922
ADCY5	ADCY6	9606.ENSP00000419361	9606.ENSP00000311405	0	0	0.900	0	0.900
ADCY6	ADCY8	9606.ENSP00000311405	9606.ENSP00000286355	0	0	0.900	0	0.900
ADCY6	ADCY9	9606.ENSP00000311405	9606.ENSP00000294016	0	0	0.900	0	0.900
ADCY8	CALM1	9606.ENSP00000286355	9606.ENSP00000499717	0	0	0.700	0	0.700
ADCYAP1	VIPR2	9606.ENSP00000462647	9606.ENSP00000262178	0	0.900	0	0	0.900
ADCYAP1	GNAS	9606.ENSP00000462647	9606.ENSP00000360141	0	0.800	0	0	0.800
ADCYAP1	ADCYAP1R1	9606.ENSP00000462647	9606.ENSP00000483721	0	0.935	0.900	0	0.993
ADCYAP1R1	GNAS	9606.ENSP00000483721	9606.ENSP00000360141	0	0.911	0	0	0.911
ADORA1	GNAI2	9606.ENSP00000356205	9606.ENSP00000312999	0	0.926	0	0	0.926
ADORA2A	GNAS	9606.ENSP00000480012	9606.ENSP00000360141	0	0.913	0	0	0.913
ADRB1	ADRB2	9606.ENSP00000358301	9606.ENSP00000305372	0	0.230	0.900	0	0.919
AFDN	RAP1B	9606.ENSP00000355771	9606.ENSP00000250559	0	0	0.900	0	0.900
AFDN	RAP1A	9606.ENSP00000355771	9606.ENSP00000358723	0	0.292	0.900	0	0.926
AKT1	AKT2	9606.ENSP00000451828	9606.ENSP00000375892	0	0.655	0.900	0	0.964
AKT1	AKT3	9606.ENSP00000451828	9606.ENSP00000500582	0	0.592	0.900	0	0.957
AKT2	AKT3	9606.ENSP00000375892	9606.ENSP00000500582	0	0.162	0.900	0	0.912
