"gene","Atrial Cardiomyocyte","Ventricular Cardiomyocyte","Fibroblast","Endothelial cell","Lymphatic Endothelial cell","Mural cell","Mesothelial cell","Neural cell","Adipocyte","Myeloid","Lymphoid","Mast cell"
"NOS3","m = 0.00048 
 p = 0.20039","m = 0.00028 
 p = 0.11221","m = 0.00060 
 p = 0.23831","m = 0.06183 
 p = 13.80480","m = 0.02342 
 p = 6.56371","m = 0.00049 
 p = 0.11760","m = 0.00465 
 p = 1.70293","m = 0.00062 
 p = 0.21142","m = 0.00200 
 p = 0.94533","m = 0.00069 
 p = 0.21390","m = 0.00086 
 p = 0.20865","m = 0.00313 
 p = 0.59363"
"ATP1B2","m = 0.00080 
 p = 0.28751","m = 0.00031 
 p = 0.11064","m = 0.00182 
 p = 0.48749","m = 0.00063 
 p = 0.20608","m = 0.00040 
 p = 0.07722","m = 0.02106 
 p = 4.49935","m = 0.00067 
 p = 0.37843","m = 0.01031 
 p = 2.25008","m = 0.00040 
 p = 0.23633","m = 0.00039 
 p = 0.11667","m = 0.00024 
 p = 0.04815","m = 0.00000 
 p = 0.00000"
"PLN","m = 0.41035 
 p = 72.61223","m = 0.46111 
 p = 77.51193","m = 0.01354 
 p = 3.06110","m = 0.00809 
 p = 1.63644","m = 0.00791 
 p = 2.39382","m = 0.04550 
 p = 8.33995","m = 0.04755 
 p = 12.10974","m = 0.03024 
 p = 6.28209","m = 0.02057 
 p = 5.62470","m = 0.01563 
 p = 3.17738","m = 0.00489 
 p = 0.98708","m = 0.00301 
 p = 0.53967"
"NFATC4","m = 0.00080 
 p = 0.27444","m = 0.00040 
 p = 0.11169","m = 0.03898 
 p = 9.29340","m = 0.00177 
 p = 0.47907","m = 0.00100 
 p = 0.23166","m = 0.06458 
 p = 11.74457","m = 0.01268 
 p = 5.01419","m = 0.01890 
 p = 4.15282","m = 0.01260 
 p = 6.19190","m = 0.00088 
 p = 0.27224","m = 0.00047 
 p = 0.14445","m = 0.00204 
 p = 0.37777"
"ATP1A3","m = 0.02617 
 p = 11.38725","m = 0.02522 
 p = 9.61198","m = 0.00095 
 p = 0.40708","m = 0.00075 
 p = 0.29048","m = 0.00171 
 p = 0.30888","m = 0.00037 
 p = 0.12238","m = 0.00247 
 p = 1.98675","m = 0.00368 
 p = 1.44971","m = 0.00157 
 p = 0.88231","m = 0.00209 
 p = 0.79532","m = 0.00228 
 p = 0.56175","m = 0.00173 
 p = 0.26983"
"CACNA1C","m = 0.92664 
 p = 93.00386","m = 1.00000 
 p = 96.78465","m = 0.14165 
 p = 24.20919","m = 0.04298 
 p = 6.54196","m = 0.04976 
 p = 10.03861","m = 0.53202 
 p = 63.73084","m = 0.12375 
 p = 23.27342","m = 0.08918 
 p = 12.88130","m = 0.07433 
 p = 16.81109","m = 0.02522 
 p = 3.28044","m = 0.00761 
 p = 1.05128","m = 0.02936 
 p = 4.15542"
"ADCY3","m = 0.00189 
 p = 0.72096","m = 0.00188 
 p = 0.63814","m = 0.10913 
 p = 22.88726","m = 0.00575 
 p = 1.42884","m = 0.00766 
 p = 1.93050","m = 0.16934 
 p = 27.76285","m = 0.05550 
 p = 15.70482","m = 0.03041 
 p = 6.88614","m = 0.11111 
 p = 30.77044","m = 0.01473 
 p = 3.99603","m = 0.01626 
 p = 3.13779","m = 0.00990 
 p = 1.56503"
"ADCY8","m = 0.00330 
 p = 1.11520","m = 0.00200 
 p = 0.64391","m = 0.00167 
 p = 0.43751","m = 0.00065 
 p = 0.13307","m = 0.01038 
 p = 1.38996","m = 0.00103 
 p = 0.18166","m = 0.00031 
 p = 0.37843","m = 0.00235 
 p = 0.48324","m = 0.00403 
 p = 1.43375","m = 0.00105 
 p = 0.26446","m = 0.00074 
 p = 0.14044","m = 0.00568 
 p = 0.80950"
"GATA4","m = 0.38043 
 p = 71.54277","m = 0.33919 
 p = 69.68486","m = 0.12238 
 p = 24.90819","m = 0.03205 
 p = 5.72602","m = 0.00889 
 p = 2.08494","m = 0.09195 
 p = 15.46853","m = 0.09028 
 p = 22.42195","m = 0.03933 
 p = 8.09423","m = 0.09518 
 p = 27.83992","m = 0.00963 
 p = 2.08260","m = 0.00267 
 p = 0.58583","m = 0.00654 
 p = 0.91743"
"ATP1B1","m = 0.17658 
 p = 46.04997","m = 0.24531 
 p = 57.96445","m = 0.02036 
 p = 5.21314","m = 0.02031 
 p = 4.68043","m = 0.01218 
 p = 2.85714","m = 0.00542 
 p = 1.39589","m = 0.14628 
 p = 34.24787","m = 0.06785 
 p = 13.24373","m = 0.01381 
 p = 5.07326","m = 0.05752 
 p = 14.52573","m = 0.01952 
 p = 4.08474","m = 0.01479 
 p = 2.37453"
