,tau,expected_Atrial Cardiomyocyte,expected_Ventricular Cardiomyocyte,expected_Fibroblast,expected_Endothelial cell,expected_Lymphatic Endothelial cell,expected_Mural cell,expected_Mesothelial cell,expected_Neural cell,expected_Adipocyte,expected_Myeloid,expected_Lymphoid,expected_Mast cell
GNAI3,0.52552134,0.07876464317404804,0.09159641470645834,0.03022965075446334,0.0623867738755011,0.04795330769767172,0.02369778821939706,0.04008213401743005,0.018904432559870264,0.06750127638402428,0.17530743791950126,0.03741150076551371,0.015839931751609942
ATP1A1,0.5777848,0.09434450366232142,0.12896946927846167,0.1549112401153327,0.26265098605064024,0.045379591172266184,0.006818694352551432,0.3650226752602389,0.026686856814001087,0.08554829284490066,0.07409359997973829,0.04982644102611853,0.0023210026963105795
MEF2D,0.3941555,0.055718936164523857,0.04912479286469884,0.011476998850538636,0.004627021012467209,0.01272391233895276,0.030751270072810054,0.011689786625675358,0.017333454778460138,0.013467307816307545,0.021808962569661243,0.011255242159485042,0.004823397416812435
ATP1A2,0.7745306,0.17409423914908823,0.3702581088932739,0.00018633073571906015,4.8169400542974465e-05,6.749812355372897e-05,0.06863062597190275,0.0010149571040157111,0.06334821290748063,0.4288597470177277,0.0001271828790722467,1.632206063622237e-05,5.209399864712857e-05
ATP1B1,0.79445744,0.2922391716810918,0.5110300703170222,0.003815516549503612,0.003416736112473188,0.001251213252544403,0.0002718239638138023,0.18005633997037485,0.032295211026744874,0.0025175871817318496,0.030026413920170202,0.0028657063921939964,0.001262538710029075
CACNA1S,0.4928378,5.486452212137979e-06,2.347297825739253e-06,2.6775519601548188e-06,4.078746509638516e-07,5.023204811406412e-06,1.8232764776599817e-06,1.1401858697085867e-06,6.857362433219381e-07,4.840000588766736e-06,7.355427709851979e-07,3.7202658763263116e-07,3.16750296405117e-06
ADCY3,0.80447,4.890298809661356e-05,4.319641120641194e-05,0.0897668754494068,0.00029513032648786474,0.0005314230170949545,0.1689651212970085,0.03132833310648757,0.0075250442691959666,0.12287351508788166,0.0021150074940487324,0.0018339081683880962,0.0005570342990429543
CALM2,0.6037932,0.038310251138968535,0.01592277598383543,0.05633990847038164,0.5368281417398652,0.18210369923860412,0.15701569426329046,0.14661338087964307,0.14485533210094223,0.03814340590003233,0.3381204434550222,0.23660996221690528,0.001813251161279385
PPP3R1,0.67269605,0.03220470076237114,0.00894539680504429,0.0261506763497938,0.02153806092972438,0.03948081667358811,0.001958776715403733,0.015273179044786667,0.010426607904424122,0.06296630685247172,0.15503429476839192,0.024530859198757565,0.008461291459979588
CREB1,0.2998911,0.11773081205911694,0.1624105419774316,0.04931503668935308,0.05250281370400902,0.07306754876748014,0.028790646237143423,0.040273757959833206,0.04352540683256684,0.1473586907889386,0.10416076394020457,0.04071158144391948,0.05077983380264677
ITPR1,0.7178662,0.13256337910904212,0.036272757781501415,0.19023401787554678,0.04664178848456966,0.02226479513764842,0.21203127769667876,0.023664948561333665,0.09020523051414847,0.3746677943716204,0.012485670599716572,0.03884770337875788,0.6424627632176111
GNAI2,0.7580833,0.003450652808668265,0.001402319379310654,0.01670670806325413,0.5211926583513862,0.3168660406900649,0.01604962240377331,0.0385805538440495,0.026706302298299858,0.014108898813365404,0.26171559036271796,0.06524963334565102,0.009025255345809287
ATP1B3,0.42852208,0.01663826849846394,0.015395622059939622,0.1616887021257317,0.20818650666753907,0.20152778676117705,0.2152219195805984,0.16392280047190222,0.027820693644574315,0.38514342808772284,0.30139710655435126,0.0770486439475469,0.016793731734743647
PPP3CA,0.5106406,0.057828676395240114,0.08347384928531836,0.40873416346135205,0.22652498414174607,0.646085077086931,0.033857981915758555,0.2572221488127081,0.17738471899605776,0.9041967838040033,0.4112309961381001,0.2303667772199874,0.758206108423162
SRF,0.5693561,0.006719720418695837,0.0019040980163628988,0.0013324933221890137,0.0011880214677104561,0.000595888656538886,0.0008022257559890518,0.0031567694673926175,0.0006158237619203442,0.001312980693927126,0.0010481207318479686,0.0003548669464746875,4.0148697990503946e-05
PLN,0.8802731,1.0708722343338055,1.2845477238592031,0.0014898968271376588,0.00047599748193408626,0.0006805031988266352,0.013638082322079755,0.020692899301577652,0.006827017505591602,0.004158256667907808,0.001785370758016946,0.00017347798153821427,5.8378364852616044e-05
ADCY1,0.7891807,0.0036809412740087056,0.0012171888568773448,0.015737452206437727,7.157029534405137e-05,0.00033456383121980204,0.003779791491350753,0.0018420041368722695,0.0019708186325008725,0.0016875366819868393,5.9397319939607726e-05,1.0629547177673813e-05,3.690516784248388e-05
GNAI1,0.7108908,0.0051313624195250635,0.0011785233860071563,0.0026337307869237427,0.03486057361864435,0.02108896756724501,0.028199552818375585,0.02841710409919609,0.0038437048849185333,0.15864641769337653,0.00048171279505193664,6.26189026127475e-05,0.04123996374289281
NOS3,0.9452618,3.462862640860106e-06,1.1265777305095166e-06,5.107123504177705e-06,0.03067719400969255,0.005524375378855407,2.0846840548196963e-06,0.00028477167902741667,4.741402114515073e-06,6.788119125529614e-05,5.30786272121696e-06,6.483438538444069e-06,6.68190298044096e-05
GATA4,0.7997293,0.9781769077477341,0.8494979117501857,0.10955675372343943,0.006595432374201901,0.0006663319428224822,0.051115684692297506,0.07275124436972158,0.01143997549398613,0.09523673737088544,0.0007204201390610151,5.6146162213564366e-05,0.0002155536700279341
PPP3CC,0.40379563,0.36331105802956065,0.42513174003924914,0.12269483819209412,0.08796685483400273,0.19762462796391667,0.08779982128629116,0.07902824168173682,0.10913204837155031,0.19986847203153876,0.08251785585020088,0.12358879676151023,0.046145415634190265
ADCY8,0.80025554,0.00013217129202259409,4.629201067384104e-05,2.627340267680823e-05,3.1286306795535763e-06,0.0005186445176831543,6.704639903114356e-06,4.20163536238129e-06,4.0805797064207144e-05,0.00020789119032155404,9.972765335902048e-06,3.7229431204299905e-06,0.00016530408261115654
GNAQ,0.6168204,0.00033630150873600645,0.0004539821139878591,0.2508770297625458,0.3379300424533309,0.33475109324952346,0.06197107888272865,0.1936095654682495,0.1166696744323749,0.5596213248633617,0.9601077666194752,0.037492056337695145,0.8580746968501463
PPP3CB,0.37937272,0.16442695870037727,0.18107049122228489,0.13262535571913844,0.021639881692754513,0.0677618890655547,0.06541078620398143,0.051954013565969334,0.09202770792944702,0.26827747805467533,0.06640017268197593,0.03712476474253824,0.14278744351715894
CACNA1C,0.8143184,3.097327435238116,3.4784236912984636,0.12324408067701381,0.010106419749502165,0.017951438785980104,1.2185832795861287,0.10350920388240688,0.041285044457105236,0.04491185139948615,0.0029737776734202327,0.00028742447880515795,0.00438425420138621
ADCY6,0.7053509,0.1290487788775188,0.2154389350160868,0.004296494273631499,0.0012227685860520393,0.00471011560165744,0.07600830097401497,0.003685250469503701,0.008002982740674411,0.19596134036737145,0.0005474444521489724,2.201788301414705e-05,0.000345614822697009
ATP2A2,0.7935474,2.061622410919824,1.6037459728270371,0.0747825723198503,0.02788643232611512,0.05917143225669861,0.0728726439651625,0.14881530457661754,0.04385752973690453,0.23798136518041746,0.17849661450015525,0.01203721975995128,0.01193538840500265
EDNRB,0.70391023,0.0002344647471198979,1.3389817854259356e-05,0.06969701739310148,0.03431847973797404,0.15919976234436037,0.13026502370041088,0.0023809555378745155,0.0430768669029623,0.016556307112342336,0.0029046091905243084,2.1392371204749184e-05,0.001531096701035291
NFATC4,0.8725822,7.88669592861214e-06,1.5921251321220541e-06,0.013020935095421652,3.040517990858644e-05,8.336359340136576e-06,0.02726031965262193,0.0022847035594897778,0.0028208718075110667,0.002804235045916831,8.562819001637608e-06,2.4540727273025557e-06,2.7751357330303868e-05
CALM1,0.7190292,0.0894288836849016,0.07771784893105348,0.05768749088470966,1.0165450719729887,0.2814528691262352,0.08578879401566027,0.055495561748150964,0.09270407069093041,0.06787169274052467,0.21546577690770827,0.6015309369848184,0.011057288693017852
AKT1,0.53146034,0.0033987941221741555,0.003965282720534592,0.003804748199111346,0.013851748408076835,0.008593199934278217,0.003513315214902023,0.0052732902252121475,0.0030792406584355305,0.03042084287616687,0.012563754370771396,0.004022664192072338,0.0009642158827457436
MEF2A,0.47863042,1.177951492545252,1.285170299143879,0.2121739751085213,0.3998724479221318,0.42674265358899094,0.17219196627671232,0.3709868078200233,0.2428646160734632,0.509287132181219,0.7540578657876179,0.05257528309750908,0.1013195896817746
CNGB1,0.62381953,4.7864929962642715e-05,2.9076332946509007e-05,1.2868151052092214e-05,1.216744080915056e-06,7.252623704639642e-05,2.880487849696774e-06,4.138532839186821e-05,1.3905907585897392e-05,4.406201054359846e-05,1.0630625363095812e-05,1.390212023478719e-06,6.0926145269332925e-05
NFATC3,0.44806635,0.12362436956665625,0.1198822430854926,0.052874351235993086,0.021458734886205984,0.12865769904552737,0.027573361573267584,0.042433917127697666,0.04520763484724553,0.24228492408770172,0.12125327297553844,0.1311922129735395,0.16944392333465594
ATP1B2,0.93106645,8.281548848407607e-06,1.2256709279744581e-06,3.184991973735569e-05,4.6836164225827544e-06,1.1052322325846864e-06,0.003405675699901115,9.1270837041152e-06,0.0008335046400407476,3.3976308737617507e-06,1.6325380617937177e-06,4.2255311684476534e-07,0.0
NFATC1,0.7116737,0.005646868623639442,0.004396252951190515,0.00889502742938029,0.007628654894683847,0.06248885250459767,0.00047682939159276685,0.01282613037212231,0.0027617506943901867,0.013190242691792822,0.016391747068673603,0.010870756963341914,0.0017609979677895113
