#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ADCY1	ADCY8	9606.ENSP00000297323	9606.ENSP00000286355	0	0	0.900	0	0.900
ADCY1	CALM1	9606.ENSP00000297323	9606.ENSP00000499717	0	0	0.700	0	0.700
ADCY1	ADCY3	9606.ENSP00000297323	9606.ENSP00000384484	0	0	0.900	0	0.900
ADCY3	ADCY8	9606.ENSP00000384484	9606.ENSP00000286355	0	0	0.900	0	0.900
ADCY3	ADCY9	9606.ENSP00000384484	9606.ENSP00000294016	0	0	0.900	0	0.900
ADCY3	ADCY6	9606.ENSP00000384484	9606.ENSP00000311405	0	0	0.900	0	0.900
ADCY4	ADCY8	9606.ENSP00000312126	9606.ENSP00000286355	0	0	0.900	0	0.900
ADCY4	ADCY6	9606.ENSP00000312126	9606.ENSP00000311405	0	0.255	0.900	0	0.922
ADCY5	ADCY6	9606.ENSP00000419361	9606.ENSP00000311405	0	0	0.900	0	0.900
ADCY6	ADCY8	9606.ENSP00000311405	9606.ENSP00000286355	0	0	0.900	0	0.900
ADCY6	ADCY9	9606.ENSP00000311405	9606.ENSP00000294016	0	0	0.900	0	0.900
ADCY8	CALM1	9606.ENSP00000286355	9606.ENSP00000499717	0	0	0.700	0	0.700
ADORA1	ADORA3	9606.ENSP00000356205	9606.ENSP00000241356	0	0	0.900	0	0.900
ADORA1	GNAI2	9606.ENSP00000356205	9606.ENSP00000312999	0	0.926	0	0	0.926
ADRA1A	ADRA1B	9606.ENSP00000369960	9606.ENSP00000306662	0	0.483	0.900	0	0.946
ADRA1A	ADRA1D	9606.ENSP00000369960	9606.ENSP00000368766	0	0	0.900	0	0.900
ADRA1B	ADRA1D	9606.ENSP00000306662	9606.ENSP00000368766	0	0.292	0.900	0	0.926
ADRB1	ADRB2	9606.ENSP00000358301	9606.ENSP00000305372	0	0.230	0.900	0	0.919
ADRB1	ADRB3	9606.ENSP00000358301	9606.ENSP00000343782	0	0	0.900	0	0.900
ADRB2	ADRB3	9606.ENSP00000305372	9606.ENSP00000343782	0	0	0.900	0	0.900
AKT1	NOS3	9606.ENSP00000451828	9606.ENSP00000297494	0	0.592	0.500	0	0.787
AKT1	AKT2	9606.ENSP00000451828	9606.ENSP00000375892	0	0.655	0.900	0	0.964
AKT1	AKT3	9606.ENSP00000451828	9606.ENSP00000500582	0	0.592	0.900	0	0.957
AKT2	AKT3	9606.ENSP00000375892	9606.ENSP00000500582	0	0.162	0.900	0	0.912
ATF2	CREB3L3	9606.ENSP00000264110	9606.ENSP00000078445	0	0	0.900	0	0.900
ATF2	CREB3L4	9606.ENSP00000264110	9606.ENSP00000271889	0	0	0.900	0	0.900
