"gene","Atrial Cardiomyocyte","Ventricular Cardiomyocyte","Fibroblast","Endothelial cell","Lymphatic Endothelial cell","Mural cell","Mesothelial cell","Neural cell","Adipocyte","Myeloid","Lymphoid","Mast cell"
"FZD4","m = 0.00862 
 p = 1.47024","m = 0.01367 
 p = 2.19076","m = 0.17614 
 p = 15.40401","m = 0.16085 
 p = 13.83598","m = 0.11629 
 p = 11.73745","m = 0.15753 
 p = 11.00265","m = 0.02748 
 p = 4.82498","m = 0.05138 
 p = 4.78707","m = 0.51302 
 p = 51.20529","m = 0.00411 
 p = 0.49002","m = 0.00239 
 p = 0.23674","m = 0.00601 
 p = 0.37777"
"PRR5","m = 0.02303 
 p = 4.18418","m = 0.00494 
 p = 0.73725","m = 0.02443 
 p = 2.81699","m = 0.01346 
 p = 1.46382","m = 0.17544 
 p = 17.45174","m = 0.00602 
 p = 0.45605","m = 0.02151 
 p = 5.20341","m = 0.01722 
 p = 1.72153","m = 0.33027 
 p = 33.95305","m = 0.15234 
 p = 14.69101","m = 0.09204 
 p = 7.31883","m = 0.11567 
 p = 6.79978"
"ATP6V1B2","m = 0.05688 
 p = 9.31367","m = 0.04344 
 p = 6.53610","m = 0.10179 
 p = 10.05179","m = 0.05219 
 p = 5.38307","m = 0.08690 
 p = 9.18919","m = 0.05831 
 p = 4.88274","m = 0.08852 
 p = 13.24503","m = 0.07585 
 p = 6.46330","m = 0.10427 
 p = 15.80274","m = 0.36684 
 p = 32.82386","m = 0.05212 
 p = 4.42982","m = 0.03696 
 p = 2.32056"
"MAPK3","m = 0.00757 
 p = 1.23282","m = 0.00457 
 p = 0.68533","m = 0.05975 
 p = 5.64992","m = 0.24891 
 p = 21.53834","m = 0.12319 
 p = 12.97297","m = 0.06666 
 p = 5.39807","m = 0.11906 
 p = 15.98865","m = 0.03987 
 p = 3.54878","m = 0.02666 
 p = 4.60060","m = 0.04765 
 p = 5.34749","m = 0.02294 
 p = 2.09453","m = 0.00864 
 p = 0.53967"
"PRR5L","m = 0.00379 
 p = 0.52711","m = 0.00251 
 p = 0.35971","m = 0.03795 
 p = 3.77386","m = 0.01632 
 p = 1.51857","m = 0.18882 
 p = 14.90347","m = 0.01837 
 p = 1.31271","m = 0.02202 
 p = 3.31126","m = 0.00987 
 p = 1.02688","m = 0.07126 
 p = 10.54041","m = 0.05670 
 p = 6.03391","m = 0.13231 
 p = 9.40936","m = 0.03046 
 p = 1.88883"
"RRAGD","m = 0.15125 
 p = 21.55257","m = 0.13658 
 p = 18.48251","m = 0.01242 
 p = 1.62834","m = 0.00458 
 p = 0.59313","m = 0.00281 
 p = 0.38610","m = 0.00564 
 p = 0.59086","m = 0.01439 
 p = 3.31126","m = 0.01794 
 p = 2.23497","m = 0.05183 
 p = 8.39767","m = 0.05969 
 p = 7.02757","m = 0.00800 
 p = 0.81855","m = 0.02168 
 p = 1.34916"
"MAP2K1","m = 0.16852 
 p = 22.04700","m = 0.15120 
 p = 18.94709","m = 0.16569 
 p = 14.60505","m = 0.11519 
 p = 10.13193","m = 0.14277 
 p = 13.66795","m = 0.10750 
 p = 7.94604","m = 0.14688 
 p = 17.69158","m = 0.10539 
 p = 8.87949","m = 0.38644 
 p = 42.61856","m = 0.54453 
 p = 42.21794","m = 0.23134 
 p = 16.61584","m = 0.13848 
 p = 8.31085"
"LRP5","m = 0.21788 
 p = 28.62277","m = 0.18440 
 p = 23.24105","m = 0.08032 
 p = 7.81500","m = 0.10114 
 p = 8.94719","m = 0.26531 
 p = 23.86100","m = 0.04964 
 p = 3.70292","m = 0.07229 
 p = 9.64995","m = 0.04280 
 p = 4.40954","m = 0.29413 
 p = 34.52025","m = 0.02361 
 p = 2.81764","m = 0.01142 
 p = 0.99510","m = 0.03541 
 p = 2.21263"
"HRAS","m = 0.01529 
 p = 2.25001","m = 0.01876 
 p = 2.66373","m = 0.02443 
 p = 2.48814","m = 0.09387 
 p = 9.26353","m = 0.07512 
 p = 8.72587","m = 0.05022 
 p = 4.59400","m = 0.04565 
 p = 8.13623","m = 0.03599 
 p = 3.06554","m = 0.01898 
 p = 3.35592","m = 0.03071 
 p = 3.47879","m = 0.03308 
 p = 2.90908","m = 0.00925 
 p = 0.53967"
"WNT5A","m = 0.01174 
 p = 1.97338","m = 0.00983 
 p = 1.59562","m = 0.01917 
 p = 2.12379","m = 0.00032 
 p = 0.04867","m = 0.01082 
 p = 1.23552","m = 0.00060 
 p = 0.05067","m = 0.01518 
 p = 3.40587","m = 0.00332 
 p = 0.40773","m = 0.01540 
 p = 2.82023","m = 0.00566 
 p = 0.71559","m = 0.00070 
 p = 0.10433","m = 0.00000 
 p = 0.00000"
"LAMTOR2","m = 0.02642 
 p = 3.67232","m = 0.02546 
 p = 3.56615","m = 0.03957 
 p = 3.83977","m = 0.18384 
 p = 16.28455","m = 0.10761 
 p = 11.89189","m = 0.05744 
 p = 5.09499","m = 0.09992 
 p = 14.66414","m = 0.05420 
 p = 4.50015","m = 0.02362 
 p = 4.01765","m = 0.16174 
 p = 15.05464","m = 0.10277 
 p = 8.70315","m = 0.00903 
 p = 0.53967"
"SOS1","m = 0.45766 
 p = 47.13685","m = 0.52397 
 p = 51.33973","m = 0.35893 
 p = 28.59368","m = 0.31800 
 p = 23.83484","m = 0.38677 
 p = 31.66023","m = 0.26026 
 p = 17.15507","m = 0.33196 
 p = 30.17975","m = 0.33974 
 p = 23.99577","m = 1.00000 
 p = 73.54656","m = 0.35821 
 p = 30.08789","m = 0.47009 
 p = 27.56199","m = 0.23940 
 p = 13.76147"
"RRAGA","m = 0.03702 
 p = 5.27978","m = 0.01954 
 p = 2.83257","m = 0.06988 
 p = 6.54522","m = 0.14257 
 p = 13.45500","m = 0.08768 
 p = 9.65251","m = 0.08922 
 p = 7.67260","m = 0.09063 
 p = 13.43425","m = 0.06100 
 p = 4.93809","m = 0.02988 
 p = 4.66362","m = 0.04446 
 p = 5.16859","m = 0.04699 
 p = 4.06468","m = 0.00918 
 p = 0.53967"
"LAMTOR1","m = 0.03492 
 p = 4.80277","m = 0.03507 
 p = 4.73808","m = 0.07729 
 p = 7.25146","m = 0.25904 
 p = 22.26912","m = 0.15854 
 p = 16.06178","m = 0.13507 
 p = 10.97397","m = 0.15381 
 p = 19.48912","m = 0.08986 
 p = 7.27877","m = 0.06049 
 p = 9.62660","m = 0.18081 
 p = 17.16058","m = 0.13973 
 p = 11.34339","m = 0.03377 
 p = 2.10470"
"LAMTOR5","m = 0.07591 
 p = 9.82118","m = 0.06759 
 p = 8.98380","m = 0.10684 
 p = 9.77654","m = 0.33874 
 p = 27.47500","m = 0.19399 
 p = 18.45560","m = 0.16767 
 p = 13.22937","m = 0.26003 
 p = 26.86850","m = 0.11670 
 p = 8.80399","m = 0.07064 
 p = 11.06034","m = 0.19120 
 p = 17.88784","m = 0.20325 
 p = 15.83741","m = 0.01067 
 p = 0.64760"
