,tau,expected_Atrial Cardiomyocyte,expected_Ventricular Cardiomyocyte,expected_Fibroblast,expected_Endothelial cell,expected_Lymphatic Endothelial cell,expected_Mural cell,expected_Mesothelial cell,expected_Neural cell,expected_Adipocyte,expected_Myeloid,expected_Lymphoid,expected_Mast cell
MTOR,0.4495532,0.07313905157446952,0.055749914447497786,0.034378474475870203,0.006878333308661303,0.023597991512548967,0.01349558260748033,0.018904166421240643,0.0199733377313081,0.10557890657704704,0.029700224373975112,0.009852794556793379,0.010587322128121428
RRAGC,0.51048875,0.0025031765687715192,0.0022633116849942346,0.004868050469379364,0.006378209053640615,0.006625842823715283,0.001857471854945254,0.014913044968582936,0.0049479674942829715,0.02386206043823997,0.020174918822112264,0.0021195872936805265,0.0004945924667429422
LAMTOR5,0.6069712,0.01056933210271468,0.008608287578252046,0.014807485902474776,0.13194159316765502,0.05075445890886903,0.03144678187482223,0.09904505344867257,0.01456592504269261,0.01107614250873907,0.048486571570786854,0.04563464300871259,9.797809417351992e-05
LAMTOR2,0.6500011,0.001375622584520362,0.0012871661816956732,0.002153949992321932,0.04244122110611177,0.018141592837668755,0.004148803847796302,0.020773078234779915,0.0034579112698253423,0.0013451519176746628,0.034519269128842164,0.012679796799540224,6.905680495182117e-05
SOS1,0.6322723,0.30583078479780346,0.38135800402388614,0.14549600198783444,0.10745228894341285,0.17359566320323574,0.06329670181583787,0.142029244012165,0.11557112054517356,1.04264249173566,0.15279368777070726,0.18368163820149552,0.0467055967641533
RAF1,0.4998636,0.4251440942711978,0.3667863740736496,0.09927511191960457,0.0386751233049275,0.0705597318967797,0.055175709091640164,0.07292167705641453,0.08834854442523851,0.2200598072137948,0.10829475583354387,0.036178163742236556,0.053817638434787346
NPRL2,0.59466994,0.0010581402234775786,0.0008841203603113924,0.0004802985284882909,0.0014429930248966117,0.0009908398203407936,0.0010354650707523334,0.002014541041631121,0.0005600458948823196,0.001038721015279793,0.0004661120686225012,0.004844357028702807,0.0019899013392422177
WNT5A,0.65112203,0.00032832212930334687,0.000222311407568113,0.0005770330252320481,2.181993645228595e-07,0.0001895559685570853,4.29426420969355e-07,0.0007327379501982467,1.9179654499778607e-05,0.0006158537836958145,5.7383717770792146e-05,1.0294669316213851e-06,0.0
PIK3CA,0.44200075,0.07052796398146308,0.046196798130047095,0.08621598779993277,0.030324176843141603,0.08386157596893752,0.05604282861371701,0.055051050523371774,0.04384290145013096,0.1665701975836723,0.071831236425546,0.02482255601931246,0.1203070840382666
LAMTOR3,0.4402562,0.003104636486090587,0.00248495434050911,0.0029381093895641274,0.005492768391090347,0.0045068732444844195,0.0024381762530262916,0.013010166818055773,0.0030049692633486126,0.003528490401974659,0.010918054066875715,0.0033081047958599106,0.0004311290967162081
