#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AKT1	PDPK1	9606.ENSP00000451828	9606.ENSP00000344220	0	0.639	0.700	0	0.887
AKT1	AKT2	9606.ENSP00000451828	9606.ENSP00000375892	0	0.655	0.900	0	0.964
AKT1	AKT3	9606.ENSP00000451828	9606.ENSP00000500582	0	0.592	0.900	0	0.957
AKT1S1	DEPTOR	9606.ENSP00000375711	9606.ENSP00000286234	0	0	0.800	0	0.800
AKT1S1	RPTOR	9606.ENSP00000375711	9606.ENSP00000307272	0	0.972	0.900	0	0.997
AKT1S1	MTOR	9606.ENSP00000375711	9606.ENSP00000354558	0	0.959	0.900	0	0.995
AKT1S1	RRAGC	9606.ENSP00000375711	9606.ENSP00000362092	0	0.800	0.500	0	0.895
AKT1S1	RRAGA	9606.ENSP00000375711	9606.ENSP00000369899	0	0.800	0.500	0	0.895
AKT1S1	MLST8	9606.ENSP00000375711	9606.ENSP00000457870	0	0.900	0.800	0	0.979
AKT2	AKT3	9606.ENSP00000375892	9606.ENSP00000500582	0	0.162	0.900	0	0.912
ATP6V1A	ATP6V1D	9606.ENSP00000273398	9606.ENSP00000216442	0	0.981	0.967	0	0.999
ATP6V1A	ATP6V1B1	9606.ENSP00000273398	9606.ENSP00000234396	0	0.786	0.956	0	0.990
ATP6V1A	ATP6V1E1	9606.ENSP00000273398	9606.ENSP00000253413	0	0.979	0.956	0	0.999
ATP6V1A	ATP6V1C2	9606.ENSP00000273398	9606.ENSP00000272238	0	0.786	0.540	0	0.897
ATP6V1A	ATP6V1E2	9606.ENSP00000273398	9606.ENSP00000304891	0	0.480	0.783	0	0.882
ATP6V1A	ATP6V1G2	9606.ENSP00000273398	9606.ENSP00000302194	0	0.895	0.720	0	0.969
ATP6V1A	ATP6V1C1	9606.ENSP00000273398	9606.ENSP00000430282	0	0.949	0.720	0	0.985
ATP6V1A	ATP6V1H	9606.ENSP00000273398	9606.ENSP00000352522	0	0.958	0.909	0	0.996
ATP6V1A	ATP6V1G1	9606.ENSP00000273398	9606.ENSP00000363162	0	0.976	0.900	0	0.997
ATP6V1A	ATP6V1B2	9606.ENSP00000273398	9606.ENSP00000276390	0	0.977	0.956	0	0.998
ATP6V1A	ATP6V1F	9606.ENSP00000273398	9606.ENSP00000417378	0	0.977	0.978	0	0.999
ATP6V1B1	ATP6V1D	9606.ENSP00000234396	9606.ENSP00000216442	0	0.800	0.956	0	0.991
ATP6V1B1	ATP6V1C2	9606.ENSP00000234396	9606.ENSP00000272238	0	0.774	0.540	0	0.891
ATP6V1B1	ATP6V1H	9606.ENSP00000234396	9606.ENSP00000352522	0	0.559	0.720	0	0.871
ATP6V1B1	ATP6V1G2	9606.ENSP00000234396	9606.ENSP00000302194	0	0.815	0.720	0	0.946
ATP6V1B1	ATP6V1C1	9606.ENSP00000234396	9606.ENSP00000430282	0	0.777	0.720	0	0.935
ATP6V1B1	ATP6V1E2	9606.ENSP00000234396	9606.ENSP00000304891	0	0.786	0.783	0	0.951
ATP6V1B1	ATP6V1B2	9606.ENSP00000234396	9606.ENSP00000276390	0	0.671	0.900	0	0.965
ATP6V1B1	ATP6V1G1	9606.ENSP00000234396	9606.ENSP00000363162	0	0.781	0.900	0	0.977
ATP6V1B1	ATP6V1E1	9606.ENSP00000234396	9606.ENSP00000253413	0	0.775	0.956	0	0.989
ATP6V1B1	ATP6V1F	9606.ENSP00000234396	9606.ENSP00000417378	0	0.815	0.978	0	0.995
ATP6V1B2	ATP6V1D	9606.ENSP00000276390	9606.ENSP00000216442	0	0.981	0.956	0	0.999
ATP6V1B2	ATP6V1E1	9606.ENSP00000276390	9606.ENSP00000253413	0	0.977	0.956	0	0.998
ATP6V1B2	ATP6V1C2	9606.ENSP00000276390	9606.ENSP00000272238	0	0.769	0.540	0	0.889
ATP6V1B2	LAMTOR2	9606.ENSP00000276390	9606.ENSP00000357288	0	0.621	0.500	0	0.802
ATP6V1B2	SLC38A9	9606.ENSP00000276390	9606.ENSP00000380074	0	0.621	0.500	0	0.802
ATP6V1B2	LAMTOR1	9606.ENSP00000276390	9606.ENSP00000278671	0	0.734	0.500	0	0.861
ATP6V1B2	ATP6V1G2	9606.ENSP00000276390	9606.ENSP00000302194	0	0.789	0.720	0	0.938
