"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Column1","Column3","Column4","Column5","Column6","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"2.891566265060241","0.0","0.3458333333333333","1.0","HUMAN|HGNC=357|UniProtKB=O14862","Interferon-inducible protein AIM2;AIM2;PTN002486730;orthologs","INTERFERON-INDUCIBLE PROTEIN AIM2 (PTHR12200:SF17)","DNA-binding transcription factor(PC00218)","Homo sapiens","10","6","false","AIM2","11.9","0","10","0","0.9211847389558233","false","0","AIM2","0","0.4576923076923077"
"2.5783132530120483","0.03748357923355462","0.3878504672897196","0.8363636363636363","HUMAN|HGNC=16718|UniProtKB=Q9H6R0","ATP-dependent RNA helicase DHX33;DHX33;PTN002498295;orthologs","ATP-DEPENDENT RNA HELICASE DHX33 (PTHR18934:SF118)","RNA helicase(PC00032)","Homo sapiens","11","5","false","DHX33","12.272727272727273","0","11","0","0.9342369477911646","false","0","DHX33","1306","0.3068181818181818"
"2.433734939759036","0.1878688586406315","0.41089108910891087","0.44761904761904764","HUMAN|HGNC=16608|UniProtKB=Q9ULZ3","Apoptosis-associated speck-like protein containing a CARD;PYCARD;PTN002470791;orthologs","APOPTOSIS-ASSOCIATED SPECK-LIKE PROTEIN CONTAINING A CARD (PTHR46985:SF2)","defense/immunity protein(PC00090)","Homo sapiens","15","6","false","PYCARD","10.066666666666666","0","15","0","0.9402610441767069","false","0","PYCARD","3876","0.20694444444444443"
"2.891566265060241","0.0","0.3458333333333333","1.0","HUMAN|HGNC=22944|UniProtKB=P59044","NACHT, LRR and PYD domains-containing protein 6;NLRP6;PTN002515894;orthologs","NACHT, LRR AND PYD DOMAINS-CONTAINING PROTEIN 6 (PTHR45690:SF1)","defense/immunity protein(PC00090)","Homo sapiens","10","6","false","NLRP6","11.9","0","10","0","0.9211847389558233","false","0","NLRP6","0","0.4576923076923077"
"2.433734939759036","0.2743840072230548","0.41089108910891087","0.39166666666666666","HUMAN|HGNC=16400|UniProtKB=Q96P20","NACHT, LRR and PYD domains-containing protein 3;NLRP3;PTN002515881;orthologs","NACHT, LRR AND PYD DOMAINS-CONTAINING PROTEIN 3 (PTHR45690:SF19)","defense/immunity protein(PC00090)","Homo sapiens","16","5","false","NLRP3","8.9375","0","16","0","0.9402610441767069","false","0","NLRP3","5706","0.21875"
"2.8795180722891565","0.011901263590949163","0.3472803347280335","0.8363636363636363","HUMAN|HGNC=25697|UniProtKB=P57764","Gasdermin-D;GSDMD;PTN002497401;orthologs","GASDERMIN-D (PTHR16399:SF15)","transporter(PC00227)","Homo sapiens","11","6","false","GSDMD","10.909090909090908","0","11","0","0.9216867469879518","false","0","GSDMD","460","0.4195804195804196"
"2.8795180722891565","0.011901263590949163","0.3472803347280335","0.8363636363636363","HUMAN|HGNC=1506|UniProtKB=P51878","Caspase-5;CASP5;PTN002470818;orthologs","CASPASE-5 (PTHR10454:SF243)","protease(PC00190)","Homo sapiens","11","6","false","CASP5","10.909090909090908","0","11","0","0.9216867469879518","false","0","CASP5","460","0.4195804195804196"
"2.891566265060241","0.0","0.3458333333333333","1.0","HUMAN|HGNC=17057|UniProtKB=Q9Y2G2","Caspase recruitment domain-containing protein 8;CARD8;PTN002515988;orthologs","CASPASE RECRUITMENT DOMAIN-CONTAINING PROTEIN 8 (PTHR46985:SF4)","defense/immunity protein(PC00090)","Homo sapiens","10","6","false","CARD8","11.9","0","10","0","0.9211847389558233","false","0","CARD8","0","0.4576923076923077"
"2.8795180722891565","0.024096385542168676","0.3472803347280335","0.8181818181818182","HUMAN|HGNC=16412|UniProtKB=Q9NPP4","NLR family CARD domain-containing protein 4;NLRC4;PTN002467537;orthologs","NLR FAMILY CARD DOMAIN-CONTAINING PROTEIN 4 (PTHR47688:SF1)",,"Homo sapiens","11","6","false","NLRC4","10.818181818181818","0","11","0","0.9216867469879518","false","0","NLRC4","464","0.4290909090909091"
"2.8313253012048194","0.05952806811288083","0.35319148936170214","0.696969696969697","HUMAN|HGNC=14374|UniProtKB=Q9C000","NACHT, LRR and PYD domains-containing protein 1;NLRP1;PTN002515968;orthologs","NACHT, LRR AND PYD DOMAINS-CONTAINING PROTEIN 1 (PTHR46985:SF3)","defense/immunity protein(PC00090)","Homo sapiens","12","6","false","NLRP1","10.166666666666666","0","12","0","0.9236947791164658","false","0","NLRP1","1100","0.3765432098765432"
