"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Column1","Column3","Column4","Column5","Column6","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"1.0","0.0","1.0","0.0","HUMAN|HGNC=23162|UniProtKB=Q5BKT4","Dol-P-Glc:Glc(2)Man(9)GlcNAc(2)-PP-Dol alpha-1,2-glucosyltransferase;ALG10;PTN002490308;orthologs","DOL-P-GLC:GLC(2)MAN(9)GLCNAC(2)-PP-DOL ALPHA-1,2-GLUCOSYLTRANSFERASE (PTHR12989:SF11)","transferase(PC00220)","Homo sapiens","1","1","false","ALG10","1.0","0","1","0","1.0","false","0","ALG10","0","0.0"
"1.0","0.0","1.0","0.0","HUMAN|HGNC=31088|UniProtKB=Q5I7T1","Putative Dol-P-Glc:Glc(2)Man(9)GlcNAc(2)-PP-Dol alpha-1,2-glucosyltransferase;ALG10B;PTN002490307;orthologs","DOL-P-GLC:GLC(2)MAN(9)GLCNAC(2)-PP-DOL ALPHA-1,2-GLUCOSYLTRANSFERASE-RELATED (PTHR12989:SF12)","transferase(PC00220)","Homo sapiens","1","1","false","ALG10B","1.0","0","1","0","1.0","false","0","ALG10B","0","0.0"
"1.0","0.0","1.0","0.0","HUMAN|HGNC=30881|UniProtKB=Q9NP73","Putative bifunctional UDP-N-acetylglucosamine transferase and deubiquitinase ALG13;ALG13;PTN002489978;orthologs","BIFUNCTIONAL UDP-N-ACETYLGLUCOSAMINE TRANSFERASE AND DEUBIQUITINASE ALG13-RELATED (PTHR12867:SF7)","transferase(PC00220)","Homo sapiens","1","1","false","ALG13","1.0","0","1","0","1.0","false","0","ALG13","0","0.0"
"1.0","0.0","1.0","0.0","HUMAN|HGNC=28287|UniProtKB=Q96F25","UDP-N-acetylglucosamine transferase subunit ALG14 homolog;ALG14;PTN002486471;orthologs","UDP-N-ACETYLGLUCOSAMINE TRANSFERASE SUBUNIT ALG14 HOMOLOG (PTHR12154:SF4)","transferase(PC00220)","Homo sapiens","1","1","false","ALG14","1.0","0","1","0","1.0","false","0","ALG14","0","0.0"
"1.0","0.0","1.0","1.0","HUMAN|HGNC=924|UniProtKB=P15291","Beta-1,4-galactosyltransferase 1;B4GALT1;PTN002499590;orthologs","BETA-1,4-GALACTOSYLTRANSFERASE 1 (PTHR19300:SF5)","glycosyltransferase(PC00111)","Homo sapiens","2","1","false","B4GALT1","2.0","0","2","0","1.0","false","0","B4GALT1","0","1.0"
"1.0","0.0","1.0","1.0","HUMAN|HGNC=925|UniProtKB=O60909","Beta-1,4-galactosyltransferase 2;B4GALT2;PTN002499589;orthologs","BETA-1,4-GALACTOSYLTRANSFERASE 2 (PTHR19300:SF32)","glycosyltransferase(PC00111)","Homo sapiens","2","1","false","B4GALT2","2.0","0","2","0","1.0","false","0","B4GALT2","0","1.0"
"1.0","0.0","1.0","1.0","HUMAN|HGNC=926|UniProtKB=O60512","Beta-1,4-galactosyltransferase 3;B4GALT3;PTN002499587;orthologs","BETA-1,4-GALACTOSYLTRANSFERASE 3 (PTHR19300:SF33)","glycosyltransferase(PC00111)","Homo sapiens","2","1","false","B4GALT3","2.0","0","2","0","1.0","false","0","B4GALT3","0","1.0"
"1.0","0.0","1.0","1.0","HUMAN|HGNC=2664|UniProtKB=P61803","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1;DAD1;PTN002473224;orthologs","DOLICHYL-DIPHOSPHOOLIGOSACCHARIDE--PROTEIN GLYCOSYLTRANSFERASE SUBUNIT DAD1 (PTHR10705:SF0)","glycosyltransferase(PC00111)","Homo sapiens","11","1","false","DAD1","11.0","0","11","0","1.0","false","0","DAD1","0","1.0"
"1.0","0.0","1.0","1.0","HUMAN|HGNC=10382|UniProtKB=P04844","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2;RPN2;PTN002489210;orthologs","DOLICHYL-DIPHOSPHOOLIGOSACCHARIDE--PROTEIN GLYCOSYLTRANSFERASE SUBUNIT 2 (PTHR12640:SF0)","glycosyltransferase(PC00111)","Homo sapiens","11","1","false","RPN2","11.0","0","11","0","1.0","false","0","RPN2","0","1.0"
"1.0","0.0","1.0","1.0","HUMAN|HGNC=28942|UniProtKB=Q8N6L1","Keratinocyte-associated protein 2;KRTCAP2;PTN002528693;orthologs","KERATINOCYTE-ASSOCIATED PROTEIN 2 (PTHR32001:SF1)",,"Homo sapiens","11","1","false","KRTCAP2","11.0","0","11","0","1.0","false","0","KRTCAP2","0","1.0"
"1.0","0.0","1.0","1.0","HUMAN|HGNC=24448|UniProtKB=Q9NRP0","Oligosaccharyltransferase complex subunit OSTC;OSTC;PTN002491009;orthologs","OLIGOSACCHARYLTRANSFERASE COMPLEX SUBUNIT OSTC (PTHR13160:SF9)","transferase(PC00220)","Homo sapiens","11","1","false","OSTC","11.0","0","11","0","1.0","false","0","OSTC","0","1.0"
"1.0","0.0","1.0","1.0","HUMAN|HGNC=30242|UniProtKB=Q13454","Tumor suppressor candidate 3;TUSC3;PTN002489404;orthologs","TUMOR SUPPRESSOR CANDIDATE 3 (PTHR12692:SF1)","glycosyltransferase(PC00111)","Homo sapiens","11","1","false","TUSC3","11.0","0","11","0","1.0","false","0","TUSC3","0","1.0"
"1.0","0.0","1.0","1.0","HUMAN|HGNC=28880|UniProtKB=Q9H0U3","Magnesium transporter protein 1;MAGT1;PTN002489402;orthologs","MAGNESIUM TRANSPORTER PROTEIN 1 (PTHR12692:SF2)","glycosyltransferase(PC00111)","Homo sapiens","11","1","false","MAGT1","11.0","0","11","0","1.0","false","0","MAGT1","0","1.0"
"1.0","0.0","1.0","1.0","HUMAN|HGNC=1164|UniProtKB=P61165","Transmembrane protein 258;TMEM258;PTN002491951;orthologs","TRANSMEMBRANE PROTEIN 258 (PTHR13636:SF0)",,"Homo sapiens","11","1","false","TMEM258","11.0","0","11","0","1.0","false","0","TMEM258","0","1.0"
"1.0","0.0","1.0","1.0","HUMAN|HGNC=30611|UniProtKB=Q8TCJ2","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B;STT3B;PTN002493262;orthologs","DOLICHYL-DIPHOSPHOOLIGOSACCHARIDE--PROTEIN GLYCOSYLTRANSFERASE SUBUNIT STT3B (PTHR13872:SF1)","glycosyltransferase(PC00111)","Homo sapiens","11","1","false","STT3B","11.0","0","11","0","1.0","false","0","STT3B","0","1.0"
"1.0","0.0","1.0","1.0","HUMAN|HGNC=6172|UniProtKB=P46977","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A;STT3A;PTN002493269;orthologs","DOLICHYL-DIPHOSPHOOLIGOSACCHARIDE--PROTEIN GLYCOSYLTRANSFERASE SUBUNIT STT3A (PTHR13872:SF43)","glycosyltransferase(PC00111)","Homo sapiens","11","1","false","STT3A","11.0","0","11","0","1.0","false","0","STT3A","0","1.0"
"1.0","0.0","1.0","1.0","HUMAN|HGNC=2728|UniProtKB=P39656","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit;DDOST;PTN002474330;orthologs","DOLICHYL-DIPHOSPHOOLIGOSACCHARIDE--PROTEIN GLYCOSYLTRANSFERASE 48 KDA SUBUNIT (PTHR10830:SF0)","glycosyltransferase(PC00111)","Homo sapiens","11","1","false","DDOST","11.0","0","11","0","1.0","false","0","DDOST","0","1.0"
"1.0","0.0","1.0","1.0","HUMAN|HGNC=10381|UniProtKB=P04843","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1;RPN1;PTN002501236;orthologs","DOLICHYL-DIPHOSPHOOLIGOSACCHARIDE--PROTEIN GLYCOSYLTRANSFERASE SUBUNIT 1 (PTHR21049:SF0)","glycosyltransferase(PC00111)","Homo sapiens","11","1","false","RPN1","11.0","0","11","0","1.0","false","0","RPN1","0","1.0"
"1.0","0.0","1.0","1.0","HUMAN|HGNC=32483|UniProtKB=P0C6T2","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 4;OST4;PTN008298641;orthologs","DOLICHYL-DIPHOSPHOOLIGOSACCHARIDE--PROTEIN GLYCOSYLTRANSFERASE SUBUNIT 4 (PTHR48164:SF1)","protein modifying enzyme(PC00260)","Homo sapiens","11","1","false","OST4","11.0","0","11","0","1.0","false","0","OST4","0","1.0"
"1.0","0.0","1.0","1.0","HUMAN|HGNC=3005|UniProtKB=O60762","Dolichol-phosphate mannosyltransferase subunit 1;DPM1;PTN002535381;orthologs","DOLICHOL-PHOSPHATE MANNOSYLTRANSFERASE SUBUNIT 1 (PTHR43398:SF1)","glycosyltransferase(PC00111)","Homo sapiens","2","1","false","DPM1","2.0","0","2","0","1.0","false","0","DPM1","0","1.0"
"1.0","0.0","1.0","1.0","HUMAN|HGNC=3006|UniProtKB=O94777","Dolichol phosphate-mannose biosynthesis regulatory protein;DPM2;PTN002495403;orthologs","DOLICHOL PHOSPHATE-MANNOSE BIOSYNTHESIS REGULATORY PROTEIN (PTHR15039:SF11)",,"Homo sapiens","2","1","false","DPM2","2.0","0","2","0","1.0","false","0","DPM2","0","1.0"
"1.0","0.0","1.0","1.0","HUMAN|HGNC=3007|UniProtKB=Q9P2X0","Dolichol-phosphate mannosyltransferase subunit 3;DPM3;PTN002497413;orthologs","DOLICHOL-PHOSPHATE MANNOSYLTRANSFERASE SUBUNIT 3 (PTHR16433:SF0)","transferase(PC00220)","Homo sapiens","2","1","false","DPM3","2.0","0","2","0","1.0","false","0","DPM3","0","1.0"
"1.0","0.0","1.0","1.0","HUMAN|HGNC=6821|UniProtKB=P33908","Mannosyl-oligosaccharide 1,2-alpha-mannosidase IA;MAN1A1;PTN002482757;orthologs","MANNOSYL-OLIGOSACCHARIDE 1,2-ALPHA-MANNOSIDASE IA (PTHR11742:SF31)","protein modifying enzyme(PC00260)","Homo sapiens","2","1","false","MAN1A1","2.0","0","2","0","1.0","false","0","MAN1A1","0","1.0"
"1.0","0.0","1.0","1.0","HUMAN|HGNC=6822|UniProtKB=O60476","Mannosyl-oligosaccharide 1,2-alpha-mannosidase IB;MAN1A2;PTN002482758;orthologs","MANNOSYL-OLIGOSACCHARIDE 1,2-ALPHA-MANNOSIDASE IB (PTHR11742:SF40)","protein modifying enzyme(PC00260)","Homo sapiens","2","1","false","MAN1A2","2.0","0","2","0","1.0","false","0","MAN1A2","0","1.0"
"1.0","0.0","1.0","1.0","HUMAN|HGNC=19080|UniProtKB=Q9NR34","Mannosyl-oligosaccharide 1,2-alpha-mannosidase IC;MAN1C1;PTN002482754;orthologs","MANNOSYL-OLIGOSACCHARIDE 1,2-ALPHA-MANNOSIDASE IC (PTHR11742:SF28)","protein modifying enzyme(PC00260)","Homo sapiens","2","1","false","MAN1C1","2.0","0","2","0","1.0","false","0","MAN1C1","0","1.0"
"1.0","0.0","1.0","0.0","HUMAN|HGNC=6824|UniProtKB=Q16706","Alpha-mannosidase 2;MAN2A1;PTN002480877;orthologs","ALPHA-MANNOSIDASE 2 (PTHR11607:SF69)","glycosidase(PC00110)","Homo sapiens","1","1","false","MAN2A1","1.0","0","1","0","1.0","false","0","MAN2A1","0","0.0"
"1.0","0.0","1.0","0.0","HUMAN|HGNC=6825|UniProtKB=P49641","Alpha-mannosidase 2x;MAN2A2;PTN002480878;orthologs","ALPHA-MANNOSIDASE 2X (PTHR11607:SF57)","glycosidase(PC00110)","Homo sapiens","1","1","false","MAN2A2","1.0","0","1","0","1.0","false","0","MAN2A2","0","0.0"
